t,Xacceleration
1.7000000E-004,3.0123514E-004
2.1700000E-003,6.1762194E-004
4.1700000E-003,2.8702039E-004
6.1700000E-003,1.7364808E-004
8.1700000E-003,1.1898328E-004
1.0170000E-002,6.3908884E-006
1.2170000E-002,1.6063868E-004
1.4170000E-002,2.5963798E-004
1.6170000E-002,2.7185143E-004
1.8170000E-002,2.7249605E-004
2.0170000E-002,2.7751870E-004
2.2170000E-002,2.6768396E-004
2.4170000E-002,2.1713760E-004
2.6170000E-002,1.4071012E-004
2.8170000E-002,7.7969263E-005
3.0170000E-002,4.8121030E-005
3.2170000E-002,4.1577193E-005
3.4170000E-002,3.9607585E-005
3.6170000E-002,3.0154787E-005
3.8170000E-002,1.3412833E-005
4.0170000E-002,-1.6197637E-006
4.2170000E-002,-7.1422899E-006
4.4170000E-002,-1.1716154E-006
4.6170000E-002,1.6459211E-005
4.8170000E-002,4.5495653E-005
5.0170000E-002,8.2529695E-005
5.2170000E-002,1.2348640E-004
5.4170000E-002,1.6907663E-004
5.6170000E-002,2.2205451E-004
5.8170000E-002,2.7802720E-004
6.0170000E-002,3.2321572E-004
6.2170000E-002,3.4337611E-004
6.4170000E-002,3.3385104E-004
6.6170000E-002,3.0116209E-004
6.8170000E-002,2.5717849E-004
7.0170000E-002,2.1279371E-004
7.2170000E-002,1.7521520E-004
7.4170000E-002,1.4801511E-004
7.6170000E-002,1.3166039E-004
7.8170000E-002,1.2380072E-004
8.0170000E-002,1.1997415E-004
8.2170000E-002,1.1515043E-004
8.4170000E-002,1.0552800E-004
8.6170000E-002,8.9575336E-005
8.8170000E-002,6.7863278E-005
9.0170000E-002,4.2135144E-005
9.2170000E-002,1.4421949E-005
9.4170000E-002,-1.3391222E-005
9.6170000E-002,-3.9733429E-005
9.8170000E-002,-6.3594649E-005
1.0017000E-001,-8.4935573E-005
1.0217000E-001,-1.0505808E-004
1.0417000E-001,-1.2663922E-004
1.0617000E-001,-1.5323119E-004
1.0817000E-001,-1.8821651E-004
1.1017000E-001,-2.3347970E-004
1.1217000E-001,-2.8829865E-004
1.1417000E-001,-3.4898890E-004
1.1617000E-001,-4.0957279E-004
1.1817000E-001,-4.6329233E-004
1.2017000E-001,-5.0442767E-004
1.2217000E-001,-5.2975465E-004
1.2417000E-001,-5.3915969E-004
1.2617000E-001,-5.3525086E-004
1.2817000E-001,-5.2221260E-004
1.3017000E-001,-5.0441109E-004
1.3217000E-001,-4.8528752E-004
1.3417000E-001,-4.6687531E-004
1.3617000E-001,-4.4995247E-004
1.3817000E-001,-4.3459192E-004
1.4017000E-001,-4.2074047E-004
1.4217000E-001,-4.0855847E-004
1.4417000E-001,-3.9838410E-004
1.4617000E-001,-3.9047958E-004
1.4817000E-001,-3.8476718E-004
1.5017000E-001,-3.8073544E-004
1.5217000E-001,-3.7759808E-004
1.5417000E-001,-3.7459602E-004
1.5617000E-001,-3.7126381E-004
1.5817000E-001,-3.6752166E-004
1.6017000E-001,-3.6355658E-004
1.6217000E-001,-3.5962582E-004
1.6417000E-001,-3.5583355E-004
1.6617000E-001,-3.5197446E-004
1.6817000E-001,-3.4755712E-004
1.7017000E-001,-3.4193516E-004
1.7217000E-001,-3.3448746E-004
1.7417000E-001,-3.2478694E-004
1.7617000E-001,-3.1271824E-004
1.7817000E-001,-2.9850267E-004
1.8017000E-001,-2.8262683E-004
1.8217000E-001,-2.6569891E-004
1.8417000E-001,-2.4827604E-004
1.8617000E-001,-2.3071437E-004
1.8817000E-001,-2.1308852E-004
1.9017000E-001,-1.9520267E-004
1.9217000E-001,-1.7668703E-004
1.9417000E-001,-1.5714969E-004
1.9617000E-001,-1.3634019E-004
1.9817000E-001,-1.1427798E-004
2.0017000E-001,-9.1302687E-005
2.0217000E-001,-6.8029882E-005
2.0417000E-001,-4.5221772E-005
2.0617000E-001,-2.3609526E-005
2.0817000E-001,-3.7246983E-006
2.1017000E-001,1.4201941E-005
2.1217000E-001,3.0253910E-005
2.1417000E-001,4.4756741E-005
2.1617000E-001,5.8153405E-005
2.1817000E-001,7.0875550E-005
2.2017000E-001,8.3274542E-005
2.2217000E-001,9.5598093E-005
2.2417000E-001,1.0800893E-004
2.2617000E-001,1.2065048E-004
2.2817000E-001,1.3368573E-004
2.3017000E-001,1.4729122E-004
2.3217000E-001,1.6166502E-004
2.3417000E-001,1.7693195E-004
2.3617000E-001,1.9305976E-004
2.3817000E-001,2.0981610E-004
2.4017000E-001,2.2673691E-004
2.4217000E-001,2.4312773E-004
2.4417000E-001,2.5814798E-004
2.4617000E-001,2.7088212E-004
2.4817000E-001,2.8053154E-004
2.5017000E-001,2.8643441E-004
2.5217000E-001,2.8825283E-004
2.5417000E-001,2.8599030E-004
2.5617000E-001,2.7998894E-004
2.5817000E-001,2.7086634E-004
2.6017000E-001,2.5944661E-004
2.6217000E-001,2.4659534E-004
2.6417000E-001,2.3316854E-004
2.6617000E-001,2.1988716E-004
2.6817000E-001,2.0728675E-004
2.7017000E-001,1.9569372E-004
2.7217000E-001,1.8523845E-004
2.7417000E-001,1.7589121E-004
2.7617000E-001,1.6751116E-004
2.7817000E-001,1.5990186E-004
2.8017000E-001,1.5286208E-004
2.8217000E-001,1.4622861E-004
2.8417000E-001,1.3991228E-004
2.8617000E-001,1.3392506E-004
2.8817000E-001,1.2839510E-004
2.9017000E-001,1.2356805E-004
2.9217000E-001,1.1979112E-004
2.9417000E-001,1.1747609E-004
2.9617000E-001,1.1704292E-004
2.9817000E-001,1.1885040E-004
3.0017000E-001,1.2312357E-004
3.0217000E-001,1.2989152E-004
3.0417000E-001,1.3894808E-004
3.0617000E-001,1.4984614E-004
3.0817000E-001,1.6193327E-004
3.1017000E-001,1.7442572E-004
3.1217000E-001,1.8650667E-004
3.1417000E-001,1.9742774E-004
3.1617000E-001,2.0659289E-004
3.1817000E-001,2.1360779E-004
3.2017000E-001,2.1828727E-004
3.2217000E-001,2.2062390E-004
3.2417000E-001,2.2072900E-004
3.2617000E-001,2.1876473E-004
3.2817000E-001,2.1488453E-004
3.3017000E-001,2.0919453E-004
3.3217000E-001,2.0174059E-004
3.3417000E-001,1.9252044E-004
3.3617000E-001,1.8151455E-004
3.3817000E-001,1.6872209E-004
3.4017000E-001,1.5420479E-004
3.4217000E-001,1.3811488E-004
3.4417000E-001,1.2071084E-004
3.4617000E-001,1.0235803E-004
3.4817000E-001,8.3518157E-005
3.5017000E-001,6.4725803E-005
3.5217000E-001,4.6558381E-005
3.5417000E-001,2.9596902E-005
3.5617000E-001,1.4379717E-005
3.5817000E-001,1.3587253E-006
3.6017000E-001,-9.1383805E-006
3.6217000E-001,-1.6938751E-005
3.6417000E-001,-2.2043234E-005
3.6617000E-001,-2.4628487E-005
3.6817000E-001,-2.5030724E-005
3.7017000E-001,-2.3713721E-005
3.7217000E-001,-2.1225918E-005
3.7417000E-001,-1.8150748E-005
3.7617000E-001,-1.5055075E-005
3.7817000E-001,-1.2442113E-005
3.8017000E-001,-1.0714218E-005
3.8217000E-001,-1.0149683E-005
3.8417000E-001,-1.0894785E-005
3.8617000E-001,-1.2968250E-005
3.8817000E-001,-1.6273527E-005
3.9017000E-001,-2.0615135E-005
3.9217000E-001,-2.5716427E-005
3.9417000E-001,-3.1236177E-005
3.9617000E-001,-3.6783570E-005
3.9817000E-001,-4.1934147E-005
4.0017000E-001,-4.6249835E-005
4.0217000E-001,-4.9305017E-005
4.0417000E-001,-5.0718892E-005
4.0617000E-001,-5.0187123E-005
4.0817000E-001,-4.7516215E-005
4.1017000E-001,-4.2646376E-005
4.1217000E-001,-3.5663267E-005
4.1417000E-001,-2.6795548E-005
4.1617000E-001,-1.6404205E-005
4.1817000E-001,-4.9338577E-006
4.2017000E-001,7.1028898E-006
4.2217000E-001,1.9182445E-005
4.2417000E-001,3.0800377E-005
4.2617000E-001,4.1495027E-005
4.2817000E-001,5.0872267E-005
4.3017000E-001,5.8608645E-005
4.3217000E-001,6.4450630E-005
4.3417000E-001,6.8210763E-005
4.3617000E-001,6.9758661E-005
