History  10 vs   2
----------------------------------
   Dynamic time               X displacement( 233,   1)
     ---------------------      ---------------------
 
 
History  10 vs   2
----------------------------------
   Dynamic time               X displacement( 233,   1)
     ---------------------      ---------------------
          8.0000000E-004            -1.3087791E-007
          1.8000000E-003            -6.1201187E-007
          2.8000000E-003            -1.3449444E-006
          3.8000000E-003            -1.9428393E-006
          4.8000000E-003            -2.7781345E-006
          5.8000000E-003            -3.6943042E-006
          6.8000000E-003            -4.5489941E-006
          7.8000000E-003            -5.3883187E-006
          8.8000000E-003            -6.2248303E-006
          9.8000000E-003            -7.0109488E-006
          1.0800000E-002            -7.8975913E-006
          1.1800000E-002            -8.6457155E-006
          1.2800000E-002            -9.3690313E-006
          1.3800000E-002            -1.0132763E-005
          1.4800000E-002            -1.0843243E-005
          1.5800000E-002            -1.1520455E-005
          1.6800000E-002            -1.2203193E-005
          1.7800000E-002            -1.2811426E-005
          1.8800000E-002            -1.3466546E-005
          1.9800000E-002            -1.4097604E-005
          2.0800000E-002            -1.4673033E-005
          2.1800000E-002            -1.5273456E-005
          2.2800000E-002            -1.5847841E-005
          2.3800000E-002            -1.6373809E-005
          2.4800000E-002            -1.6885162E-005
          2.5800000E-002            -1.7313763E-005
          2.6800000E-002            -1.7682358E-005
          2.7800000E-002            -1.8004029E-005
          2.8800000E-002            -1.8207338E-005
          2.9800000E-002            -1.8340324E-005
          3.0800000E-002            -1.8396673E-005
          3.1800000E-002            -1.8364209E-005
          3.2800000E-002            -1.8283884E-005
          3.3800000E-002            -1.8165604E-005
          3.4800000E-002            -1.8005622E-005
          3.5800000E-002            -1.7864969E-005
          3.6800000E-002            -1.7699533E-005
          3.7800000E-002            -1.7522992E-005
          3.8800000E-002            -1.7328045E-005
          3.9800000E-002            -1.7088603E-005
          4.0800000E-002            -1.6784620E-005
          4.1800000E-002            -1.6417553E-005
          4.2800000E-002            -1.5932835E-005
          4.3800000E-002            -1.5354911E-005
          4.4800000E-002            -1.4652776E-005
          4.5800000E-002            -1.3826282E-005
          4.6800000E-002            -1.2878230E-005
          4.7800000E-002            -1.1820008E-005
          4.8800000E-002            -1.0643162E-005
          4.9800000E-002            -9.3860532E-006
          5.0800000E-002            -8.0291453E-006
          5.1800000E-002            -6.6008554E-006
          5.2800000E-002            -5.1010863E-006
          5.3800000E-002            -3.5384689E-006
          5.4800000E-002            -1.9120842E-006
          5.5800000E-002            -2.4076859E-007
          5.6800000E-002             1.4913661E-006
          5.7800000E-002             3.2546423E-006
          5.8800000E-002             5.0550428E-006
          5.9800000E-002             6.8723754E-006
          6.0800000E-002             8.6960195E-006
          6.1800000E-002             1.0503978E-005
          6.2800000E-002             1.2288907E-005
          6.3800000E-002             1.4017294E-005
          6.4800000E-002             1.5687701E-005
          6.5800000E-002             1.7270932E-005
          6.6800000E-002             1.8758616E-005
          6.7800000E-002             2.0133632E-005
          6.8800000E-002             2.1389640E-005
          6.9800000E-002             2.2512214E-005
          7.0800000E-002             2.3509102E-005
          7.1800000E-002             2.4369699E-005
          7.2800000E-002             2.5103933E-005
          7.3800000E-002             2.5708391E-005
          7.4800000E-002             2.6184766E-005
          7.5800000E-002             2.6530001E-005
