History  40 vs   2
----------------------------------
   Dynamic time               Y displacement( 233,   1)
     ---------------------      ---------------------
 
 
History  40 vs   2
----------------------------------
   Dynamic time               Y displacement( 233,   1)
     ---------------------      ---------------------
          8.0000000E-004            -1.6738792E-006
          1.8000000E-003            -7.2629213E-006
          2.8000000E-003            -1.5619769E-005
          3.8000000E-003            -2.5886064E-005
          4.8000000E-003            -3.7304365E-005
          5.8000000E-003            -4.8901414E-005
          6.8000000E-003            -6.0457006E-005
          7.8000000E-003            -7.2125387E-005
          8.8000000E-003            -8.3912822E-005
          9.8000000E-003            -9.5349193E-005
          1.0800000E-002            -1.0642024E-004
          1.1800000E-002            -1.1722575E-004
          1.2800000E-002            -1.2788210E-004
          1.3800000E-002            -1.3821533E-004
          1.4800000E-002            -1.4815221E-004
          1.5800000E-002            -1.5781335E-004
          1.6800000E-002            -1.6749284E-004
          1.7800000E-002            -1.7717486E-004
          1.8800000E-002            -1.8679769E-004
          1.9800000E-002            -1.9631631E-004
          2.0800000E-002            -2.0572223E-004
          2.1800000E-002            -2.1494246E-004
          2.2800000E-002            -2.2387941E-004
          2.3800000E-002            -2.3246519E-004
          2.4800000E-002            -2.4081251E-004
          2.5800000E-002            -2.4899155E-004
          2.6800000E-002            -2.5700940E-004
          2.7800000E-002            -2.6488361E-004
          2.8800000E-002            -2.7262899E-004
          2.9800000E-002            -2.8027037E-004
          3.0800000E-002            -2.8782804E-004
          3.1800000E-002            -2.9528425E-004
          3.2800000E-002            -3.0264435E-004
          3.3800000E-002            -3.0995228E-004
          3.4800000E-002            -3.1717718E-004
          3.5800000E-002            -3.2428575E-004
          3.6800000E-002            -3.3122196E-004
          3.7800000E-002            -3.3794041E-004
          3.8800000E-002            -3.4440847E-004
          3.9800000E-002            -3.5061520E-004
          4.0800000E-002            -3.5652942E-004
          4.1800000E-002            -3.6218629E-004
          4.2800000E-002            -3.6759992E-004
          4.3800000E-002            -3.7280668E-004
          4.4800000E-002            -3.7783063E-004
          4.5800000E-002            -3.8270718E-004
          4.6800000E-002            -3.8744625E-004
          4.7800000E-002            -3.9208407E-004
          4.8800000E-002            -3.9661567E-004
          4.9800000E-002            -4.0106059E-004
          5.0800000E-002            -4.0541712E-004
          5.1800000E-002            -4.0969511E-004
          5.2800000E-002            -4.1388740E-004
          5.3800000E-002            -4.1800977E-004
          5.4800000E-002            -4.2205135E-004
          5.5800000E-002            -4.2602874E-004
          5.6800000E-002            -4.2993141E-004
          5.7800000E-002            -4.3376854E-004
          5.8800000E-002            -4.3753612E-004
          5.9800000E-002            -4.4124948E-004
          6.0800000E-002            -4.4491125E-004
          6.1800000E-002            -4.4855224E-004
          6.2800000E-002            -4.5219222E-004
          6.3800000E-002            -4.5587888E-004
          6.4800000E-002            -4.5965049E-004
          6.5800000E-002            -4.6356249E-004
          6.6800000E-002            -4.6765954E-004
          6.7800000E-002            -4.7199990E-004
          6.8800000E-002            -4.7662485E-004
          6.9800000E-002            -4.8158593E-004
          7.0800000E-002            -4.8691664E-004
          7.1800000E-002            -4.9265724E-004
          7.2800000E-002            -4.9883216E-004
          7.3800000E-002            -5.0547002E-004
          7.4800000E-002            -5.1258500E-004
