History  50 vs   2
----------------------------------
   Dynamic time               X acceleration( 234,  19)
     ---------------------      ---------------------
 
 
History  50 vs   2
----------------------------------
   Dynamic time               X acceleration( 234,  19)
     ---------------------      ---------------------
          8.0000000E-004            -9.7171116E-004
          1.8000000E-003            -8.5996326E-004
          2.8000000E-003            -7.8016205E-004
          3.8000000E-003            -9.9574219E-004
          4.8000000E-003            -1.4122950E-003
          5.8000000E-003            -1.8741220E-003
          6.8000000E-003            -2.2104510E-003
          7.8000000E-003            -2.3364564E-003
          8.8000000E-003            -2.4034966E-003
          9.8000000E-003            -2.4875670E-003
          1.0800000E-002            -2.5096969E-003
          1.1800000E-002            -2.3883160E-003
          1.2800000E-002            -2.1557148E-003
          1.3800000E-002            -1.9248249E-003
          1.4800000E-002            -1.7737620E-003
          1.5800000E-002            -1.6796016E-003
          1.6800000E-002            -1.5552509E-003
          1.7800000E-002            -1.3359645E-003
          1.8800000E-002            -1.0305846E-003
          1.9800000E-002            -7.0383911E-004
          2.0800000E-002            -4.2246583E-004
          2.1800000E-002            -2.1862971E-004
          2.2800000E-002            -9.4896780E-005
          2.3800000E-002            -5.4541983E-005
          2.4800000E-002            -1.2549881E-004
          2.5800000E-002            -1.7970205E-003
          2.6800000E-002            -1.6710424E-003
          2.7800000E-002            -4.0646453E-003
          2.8800000E-002            -8.6917652E-003
          2.9800000E-002            -1.7147889E-002
          3.0800000E-002            -2.7354931E-002
          3.1800000E-002            -3.8521046E-002
          3.2800000E-002            -4.9710777E-002
          3.3800000E-002            -5.9839383E-002
          3.4800000E-002            -6.7592078E-002
          3.5800000E-002            -7.1346553E-002
          3.6800000E-002            -6.9187643E-002
          3.7800000E-002            -5.9072702E-002
          3.8800000E-002            -2.2324266E-002
          3.9800000E-002             2.4922491E-002
          4.0800000E-002             5.1896313E-002
          4.1800000E-002             2.9976696E-002
          4.2800000E-002            -2.5758577E-003
          4.3800000E-002            -1.7430422E-002
          4.4800000E-002            -7.8047329E-003
          4.5800000E-002             1.7200523E-002
          4.6800000E-002             4.5933963E-002
          4.7800000E-002             7.2471360E-002
          4.8800000E-002             9.6929660E-002
          4.9800000E-002             1.2152151E-001
          5.0800000E-002             1.4798181E-001
          5.1800000E-002             1.7703954E-001
          5.2800000E-002             2.0757647E-001
          5.3800000E-002             2.3899958E-001
          5.4800000E-002             2.7015017E-001
          5.5800000E-002             2.9913002E-001
          5.6800000E-002             3.2350608E-001
          5.7800000E-002             3.4087426E-001
          5.8800000E-002             3.4936622E-001
          5.9800000E-002             3.4784497E-001
          6.0800000E-002             3.3580248E-001
          6.1800000E-002             3.1298010E-001
          6.2800000E-002             2.8046696E-001
          6.3800000E-002             2.3972185E-001
          6.4800000E-002             1.9277491E-001
          6.5800000E-002             1.4221264E-001
          6.6800000E-002             9.1089809E-002
          6.7800000E-002             4.2658810E-002
          6.8800000E-002            -1.9229863E-004
          6.9800000E-002            -3.4994869E-002
          7.0800000E-002            -6.0250788E-002
          7.1800000E-002            -7.5456943E-002
          7.2800000E-002            -7.9174208E-002
          7.3800000E-002            -7.4906864E-002
          7.4800000E-002            -6.3380494E-002
          7.5800000E-002            -4.6151932E-002
