History  51 vs   2
----------------------------------
   Dynamic time               X acceleration( 269,   9)
     ---------------------      ---------------------
 
 
History  51 vs   2
----------------------------------
   Dynamic time               X acceleration( 269,   9)
     ---------------------      ---------------------
          8.0000000E-004             5.9102647E-005
          1.8000000E-003             1.1112072E-004
          2.8000000E-003             1.8505103E-004
          3.8000000E-003             2.7055837E-004
          4.8000000E-003             3.5655671E-004
          5.8000000E-003             4.3271123E-004
          6.8000000E-003             4.9069895E-004
          7.8000000E-003             5.2507291E-004
          8.8000000E-003             5.3365403E-004
          9.8000000E-003             5.1745035E-004
          1.0800000E-002             4.8017904E-004
          1.1800000E-002             4.2750565E-004
          1.2800000E-002             3.6614137E-004
          1.3800000E-002             3.0293410E-004
          1.4800000E-002             2.4406782E-004
          1.5800000E-002             1.9444919E-004
          1.6800000E-002             1.5732377E-004
          1.7800000E-002             1.3412831E-004
          1.8800000E-002             1.2455783E-004
          1.9800000E-002             1.2680707E-004
          2.0800000E-002             1.3793631E-004
          2.1800000E-002             1.5430793E-004
          2.2800000E-002             1.7204532E-004
          2.3800000E-002             1.8746686E-004
          2.4800000E-002             1.9746023E-004
          2.5800000E-002             1.9976673E-004
          2.6800000E-002             1.9315570E-004
          2.7800000E-002             1.7747773E-004
          2.8800000E-002             1.5359358E-004
          2.9800000E-002             1.2318428E-004
          3.0800000E-002             8.8453625E-005
          3.1800000E-002             5.1735926E-005
          3.2800000E-002             1.5022924E-005
          3.3800000E-002            -2.0581792E-005
          3.4800000E-002            -5.5477863E-005
          3.5800000E-002            -9.2262118E-005
          3.6800000E-002            -1.3651268E-004
          3.7800000E-002            -1.9768116E-004
          3.8800000E-002            -2.9010774E-004
          3.9800000E-002            -4.3416215E-004
          4.0800000E-002            -6.5749432E-004
          4.1800000E-002            -9.9633981E-004
          4.2800000E-002            -1.4968570E-003
          4.3800000E-002            -2.2162770E-003
          4.4800000E-002            -3.2238223E-003
          4.5800000E-002            -4.6011540E-003
          4.6800000E-002            -6.4421625E-003
          4.7800000E-002            -8.8518897E-003
          4.8800000E-002            -1.1944389E-002
          4.9800000E-002            -1.5839369E-002
          5.0800000E-002            -2.0657512E-002
          5.1800000E-002            -2.6514459E-002
          5.2800000E-002            -3.3513552E-002
          5.3800000E-002            -4.1737546E-002
          5.4800000E-002            -5.1239668E-002
          5.5800000E-002            -6.2034508E-002
          5.6800000E-002            -7.4089316E-002
          5.7800000E-002            -8.7316442E-002
          5.8800000E-002            -1.0156763E-001
          5.9800000E-002            -1.1663088E-001
          6.0800000E-002            -1.3223047E-001
          6.1800000E-002            -1.4803065E-001
          6.2800000E-002            -1.6364317E-001
          6.3800000E-002            -1.7863914E-001
          6.4800000E-002            -1.9256649E-001
          6.5800000E-002            -2.0496288E-001
          6.6800000E-002            -2.1537518E-001
          6.7800000E-002            -2.2338062E-001
          6.8800000E-002            -2.2860828E-001
          6.9800000E-002            -2.3075947E-001
          7.0800000E-002            -2.2962596E-001
          7.1800000E-002            -2.2516826E-001
          7.2800000E-002            -2.1732462E-001
          7.3800000E-002            -2.0620849E-001
          7.4800000E-002            -1.9206779E-001
          7.5800000E-002            -1.7526674E-001
          7.6800000E-002            -1.5627204E-001
