History  60 vs   2
----------------------------------
   Dynamic time               X velocity    (  77,   1)
     ---------------------      ---------------------
 
 
History  60 vs   2
----------------------------------
   Dynamic time               X velocity    (  77,   1)
     ---------------------      ---------------------
          8.0000000E-004             2.1437718E-006
          1.8000000E-003             3.0378585E-006
          2.8000000E-003             3.9319452E-006
          3.8000000E-003             4.8260319E-006
          4.8000000E-003             5.7201186E-006
          5.8000000E-003             6.6142053E-006
          6.8000000E-003             7.5082920E-006
          7.8000000E-003             8.4023787E-006
          8.8000000E-003             9.2964654E-006
          9.8000000E-003             1.0190552E-005
          1.0800000E-002             1.2304618E-005
          1.1800000E-002             1.4723679E-005
          1.2800000E-002             1.7142740E-005
          1.3800000E-002             1.9561802E-005
          1.4800000E-002             2.1980863E-005
          1.5800000E-002             2.4399924E-005
          1.6800000E-002             2.6818985E-005
          1.7800000E-002             2.9238046E-005
          1.8800000E-002             3.1657107E-005
          1.9800000E-002             3.4076168E-005
          2.0800000E-002             3.7564062E-005
          2.1800000E-002             4.1319164E-005
          2.2800000E-002             4.5074267E-005
          2.3800000E-002             4.8829369E-005
          2.4800000E-002             5.2584471E-005
          2.5800000E-002             5.6339573E-005
          2.6800000E-002             6.0094675E-005
          2.7800000E-002             6.3849778E-005
          2.8800000E-002             6.7604880E-005
          2.9800000E-002             7.1359982E-005
          3.0800000E-002             7.5233092E-005
          3.1800000E-002             7.9135704E-005
          3.2800000E-002             8.3038315E-005
          3.3800000E-002             8.6940927E-005
          3.4800000E-002             9.0843539E-005
          3.5800000E-002             9.4746151E-005
          3.6800000E-002             9.8648762E-005
          3.7800000E-002             1.0255137E-004
          3.8800000E-002             1.0645399E-004
          3.9800000E-002             1.1035660E-004
          4.0800000E-002             1.1384657E-004
          4.1800000E-002             1.1723339E-004
          4.2800000E-002             1.2062021E-004
          4.3800000E-002             1.2400703E-004
          4.4800000E-002             1.2739384E-004
          4.5800000E-002             1.3078066E-004
          4.6800000E-002             1.3416748E-004
          4.7800000E-002             1.3755430E-004
          4.8800000E-002             1.4094111E-004
          4.9800000E-002             1.4432793E-004
          5.0800000E-002             1.4760173E-004
          5.1800000E-002             1.5084727E-004
          5.2800000E-002             1.5409281E-004
          5.3800000E-002             1.5733835E-004
          5.4800000E-002             1.6058389E-004
          5.5800000E-002             1.6382943E-004
          5.6800000E-002             1.6707497E-004
          5.7800000E-002             1.7032051E-004
          5.8800000E-002             1.7356605E-004
          5.9800000E-002             1.7681159E-004
          6.0800000E-002             1.8020675E-004
          6.1800000E-002             1.8363931E-004
          6.2800000E-002             1.8707188E-004
          6.3800000E-002             1.9050444E-004
          6.4800000E-002             1.9393700E-004
          6.5800000E-002             1.9736957E-004
          6.6800000E-002             2.0080213E-004
          6.7800000E-002             2.0423469E-004
          6.8800000E-002             2.0766725E-004
          6.9800000E-002             2.1109982E-004
          7.0800000E-002             2.1451134E-004
          7.1800000E-002             2.1791760E-004
          7.2800000E-002             2.2132385E-004
          7.3800000E-002             2.2473011E-004
          7.4800000E-002             2.2813637E-004
          7.5800000E-002             2.3154263E-004
          7.6800000E-002             2.3494889E-004
          7.7800000E-002             2.3835515E-004
          7.8800000E-002             2.4176141E-004
