t,Xacceleration
1.4600000E-003,8.1847967E-009
2.9600000E-003,1.3686818E-008
4.4600000E-003,1.9188840E-008
5.9600000E-003,3.2157200E-008
7.4600000E-003,4.9325375E-008
8.9600000E-003,6.6493549E-008
1.0460000E-002,8.9468945E-008
1.1960000E-002,1.2557371E-007
1.3460000E-002,1.6167847E-007
1.4960000E-002,1.9778324E-007
1.6460000E-002,2.5716925E-007
1.7960000E-002,3.1719310E-007
1.9460000E-002,3.7721695E-007
2.0960000E-002,4.5276394E-007
2.2460000E-002,5.3704269E-007
2.3960000E-002,6.2132144E-007
2.5460000E-002,7.1025287E-007
2.6960000E-002,8.0970337E-007
2.8460000E-002,9.0915388E-007
2.9960000E-002,1.0086044E-006
3.1460000E-002,1.1021086E-006
3.2960000E-002,1.1954499E-006
3.4460000E-002,1.2887911E-006
3.5960000E-002,1.3605377E-006
3.7460000E-002,1.4201373E-006
3.8960000E-002,1.4797369E-006
4.0460000E-002,1.5226611E-006
4.1960000E-002,1.5278843E-006
4.3460000E-002,1.5331075E-006
4.4960000E-002,1.5383307E-006
4.6460000E-002,1.4890681E-006
4.7960000E-002,1.4383127E-006
4.9460000E-002,1.3875572E-006
5.0960000E-002,1.3134995E-006
5.2460000E-002,1.2263341E-006
5.3960000E-002,1.1391687E-006
5.5460000E-002,1.0504951E-006
5.6960000E-002,9.5841149E-007
5.8460000E-002,8.6632786E-007
5.9960000E-002,7.7424422E-007
6.1460000E-002,7.0532465E-007
6.2960000E-002,6.3703972E-007
6.4460000E-002,5.6875478E-007
6.5960000E-002,5.2482643E-007
6.7460000E-002,4.9459866E-007
6.8960000E-002,4.6437090E-007
7.0460000E-002,4.4477517E-007
7.1960000E-002,4.4921711E-007
7.3460000E-002,4.5365905E-007
7.4960000E-002,4.5810099E-007
7.6460000E-002,4.8098285E-007
7.7960000E-002,5.0436991E-007
7.9460000E-002,5.2775697E-007
8.0960000E-002,5.5139909E-007
8.2460000E-002,5.7518468E-007
8.3960000E-002,5.9897027E-007
8.5460000E-002,6.1888891E-007
8.6960000E-002,6.3006490E-007
8.8460000E-002,6.4124088E-007
8.9960000E-002,6.5241686E-007
9.1460000E-002,6.4767692E-007
9.2960000E-002,6.4250093E-007
9.4460000E-002,6.3732494E-007
9.5960000E-002,6.2438898E-007
9.7460000E-002,6.0708804E-007
9.8960000E-002,5.8978710E-007
1.0046000E-001,5.7119159E-007
1.0196000E-001,5.4966924E-007
1.0346000E-001,5.2814689E-007
1.0496000E-001,5.0662454E-007
1.0646000E-001,4.8787879E-007
1.0796000E-001,4.6920911E-007
1.0946000E-001,4.5053943E-007
1.1096000E-001,4.3596404E-007
1.1246000E-001,4.2369169E-007
1.1396000E-001,4.1141934E-007
1.1546000E-001,4.0101672E-007
1.1696000E-001,3.9484130E-007
1.1846000E-001,3.8866588E-007
1.1996000E-001,3.8249047E-007
1.2146000E-001,3.7959628E-007
1.2296000E-001,3.7679199E-007
1.2446000E-001,3.7398770E-007
1.2596000E-001,3.7130747E-007
1.2746000E-001,3.6869702E-007
1.2896000E-001,3.6608658E-007
1.3046000E-001,3.6288446E-007
1.3196000E-001,3.5834466E-007
1.3346000E-001,3.5380485E-007
1.3496000E-001,3.4926504E-007
1.3646000E-001,3.4234472E-007
1.3796000E-001,3.3535919E-007
1.3946000E-001,3.2837365E-007
1.4096000E-001,3.2031381E-007
1.4246000E-001,3.1164967E-007
1.4396000E-001,3.0298553E-007
1.4546000E-001,2.9419759E-007
1.4696000E-001,2.8512977E-007
1.4846000E-001,2.7606196E-007
1.4996000E-001,2.6699414E-007
1.5146000E-001,2.5854507E-007
1.5296000E-001,2.5011295E-007
1.5446000E-001,2.4168083E-007
1.5596000E-001,2.3391828E-007
1.5746000E-001,2.2653237E-007
1.5896000E-001,2.1914645E-007
1.6046000E-001,2.1201931E-007
1.6196000E-001,2.0547720E-007
1.6346000E-001,1.9893510E-007
1.6496000E-001,1.9239300E-007
1.6646000E-001,1.8615197E-007
1.6796000E-001,1.7991920E-007
1.6946000E-001,1.7368642E-007
1.7096000E-001,1.6731095E-007
1.7246000E-001,1.6085522E-007
1.7396000E-001,1.5439948E-007
1.7546000E-001,1.4778345E-007
1.7696000E-001,1.4080498E-007
1.7846000E-001,1.3382651E-007
1.7996000E-001,1.2684804E-007
1.8146000E-001,1.1935967E-007
1.8296000E-001,1.1185733E-007
1.8446000E-001,1.0435498E-007
1.8596000E-001,9.6657680E-008
1.8746000E-001,8.8850711E-008
1.8896000E-001,8.1043743E-008
1.9046000E-001,7.3230822E-008
1.9196000E-001,6.5404445E-008
1.9346000E-001,5.7578068E-008
1.9496000E-001,4.9751690E-008
1.9646000E-001,4.2107465E-008
