KP,Er
0,-6.32
3.856,-6.32580889818472
11.3559,-6.33712519464838
18.8558,-6.34842139111832
26.3557,-6.35971758758825
33.8556,-6.37103388405191
41.3555,-6.38233008052185
48.8555,-6.39362627699179
56.3554,-6.40494257345545
63.8553,-6.41623876992538
71.3552,-6.42755506638904
78.8551,-6.43885126285898
86.355,-6.45014745932892
93.855,-6.46146375579258
101.3549,-6.47275995226252
108.8548,-6.48405614873245
116.3547,-6.49537244519611
123.8546,-6.50666864166605
131.3546,-6.51798493812971
138.8545,-6.52928113459965
146.3544,-6.54057733106958
153.8543,-6.55189362753324
161.3542,-6.56318982400318
168.8541,-6.57448602047312
176.3541,-6.58580231693678
183.854,-6.59709851340672
191.3539,-6.60841480987037
198.8538,-6.61971100634031
206.3537,-6.64067529978897
213.8536,-6.68419178619007
221.3536,-6.75032076552476
228.8535,-6.83908233778677
236.3534,-6.95043630298866
243.8533,-7.08440276112414
251.3532,-7.24098171219322
258.8531,-7.42017315619589
266.3531,-7.62197709313216
273.853,-7.84639352300203
281.3529,-8.09137224644617
288.8528,-8.34010966871573
296.3527,-8.58884709098528
303.8527,-8.83758451325484
311.3526,-9.0863219355244
318.8525,-9.33505935779395
326.3524,-9.58381688005723
333.8523,-9.83255430232678
341.3522,-10.0812917245963
348.8522,-10.3300291468659
356.3521,-10.5787665691354
363.852,-10.8195845938798
371.3519,-11.0380916255964
378.8518,-11.2339861643793
386.3517,-11.4072682102287
393.8517,-11.5579377631444
401.3516,-11.6859948231266
408.8515,-11.7914393901752
416.3514,-11.8742714642902
423.8513,-11.9344910454716
431.3512,-11.9720981337193
438.8512,-11.9870927290335
446.3511,-11.9807612310121
453.851,-11.9694650345422
461.3509,-11.9581688380722
468.8508,-11.9468525416086
476.3508,-11.9355563451386
483.8507,-11.9242601486687
491.3506,-11.9129639521988
498.8505,-11.9016476557351
506.3504,-11.8903514592652
513.8503,-11.8790552627952
521.3503,-11.8677389663316
528.8502,-11.8564427698616
536.3501,-11.8451465733917
543.85,-11.8338503769218
551.3499,-11.8225340804581
558.8498,-11.8112378839882
566.3498,-11.7999416875182
573.8497,-11.7886253910546
581.3496,-11.7773291945846
588.8495,-11.7660329981147
596.3494,-11.754716701651
603.8493,-11.7434205051811
611.3493,-11.7321243087112
618.8492,-11.7208281122412
626.3491,-11.7095118157776
633.849,-11.6982156193076
641.3489,-11.6869194228377
648.8488,-11.675603126374
656.3488,-11.6643069299041
663.8487,-11.6530107334341
671.3486,-11.6417145369642
678.8485,-11.6303982405006
686.3484,-11.6282676411664
693.8484,-11.6486289348035
701.3483,-11.6916027213742
708.8482,-11.7571689008847
716.3481,-11.8453676733226
723.848,-11.9561186387129
731.3479,-12.0767186010254
738.8479,-12.1973185633379
746.3478,-12.3179185256505
753.8477,-12.438518487963
761.3476,-12.5591184502755
768.8475,-12.679718412588
776.3474,-12.8003183749005
783.8474,-12.920918337213
791.3473,-13.0415182995255
798.8472,-13.1620981618443
806.3471,-13.2826981241568
813.847,-13.4032980864693
821.3469,-13.5238980487819
828.8469,-13.6444980110944
836.3468,-13.7650979734069
843.8467,-13.8856979357194
851.3466,-14.0062978980319
858.8465,-14.1268978603444
866.3465,-14.2474978226569
873.8464,-14.3680776849757
881.3463,-14.4886776472882
888.8462,-14.6092776096007
896.3461,-14.7298775719133
903.846,-14.8504775342258
911.346,-14.9710774965383
