CODE,Vs30_1,POINT_X,POINT_Y
F27,799.1236162,22.96734018,40.62804678
G20,784.4690967,22.9505183,40.63749206
G21,632.137775,22.95261698,40.63591186
G22,434.8565231,22.95472727,40.6343407
G23,450.1851411,22.95683756,40.63276051
G24,378.6132859,22.95894776,40.63118027
G25,445.4212905,22.96105785,40.6296
G26,372.0073006,22.96315602,40.6280196
G28,348.9594373,22.96737562,40.62486786
H11,783.9912281,22.92946916,40.6500853
H13,912.7966225,22.93367991,40.64693474
H16,642.0233463,22.94001316,40.64219522
H17,621.3017751,22.94212394,40.64062431
H18,445.2819464,22.9442229,40.63904427
H19,447.8094171,22.94633359,40.63746426
H20,348.6909414,22.94844417,40.63588422
H21,410.7786419,22.95055456,40.63431316
H22,361.6013775,22.95265313,40.63273295
H23,323.7964708,22.95476342,40.63115279
H24,359.5553141,22.95687361,40.6295726
H25,366.9475401,22.9589837,40.62799235
H26,359.786391,22.96109359,40.62642108
H27,389.7747767,22.96319167,40.62484068
H29,360.5215613,22.96741116,40.62167992
I12,421.8407597,22.92950643,40.64690642
I14,411.7541983,22.93371707,40.64374685
I16,314.7901399,22.93793902,40.64059621
I17,336.2391034,22.9400499,40.63901633
I18,338.1137601,22.94216069,40.6374364
I19,310.4292304,22.94425956,40.63585636
I20,337.3012332,22.94637004,40.63428537
I21,330.4889138,22.94848052,40.63270532
I22,353.2545208,22.95059091,40.63112524
I23,349.9805566,22.95268938,40.62954504
I24,340.5405405,22.95479957,40.62796487
I25,357.7072668,22.95690955,40.62639369
I26,381.2174755,22.95901954,40.62481344
I28,357.7004968,22.96322741,40.62165276
J9,343.032513,22.92111001,40.65002811
J11,357.6374255,22.92532114,40.64687787
J13,330.5640577,22.92954379,40.64371854
J15,300.2008907,22.93375412,40.64056797
J16,339.9739173,22.9358651,40.63898816
J17,258.9839334,22.93797598,40.63740832
J18,279.0697674,22.94008676,40.63582843
J19,258.2178867,22.94219733,40.63425751
J20,293.6606588,22.9442961,40.63267746
J21,322.4733192,22.94640659,40.63109746
J22,313.6200717,22.94851697,40.62951741
J23,298.743381,22.95062725,40.62793732
J24,331.8846306,22.95272552,40.62636613
J25,347.3434657,22.9548356,40.62478596
J26,302.8093983,22.95694559,40.62320576
J27,295.1027004,22.95905547,40.62162552
J29,311.1111111,22.96326303,40.61847384
J31,359.7601599,22.96748211,40.61531307
K10,322.6632522,22.92114768,40.64684925
K12,262.063228,22.9253587,40.64368999
K14,284.5956934,22.92958105,40.64053965
K16,223.9469163,22.93379127,40.63738008
K17,244.5019405,22.93590216,40.63580027
K18,250.6797533,22.93801283,40.63422943
K19,258.5499316,22.9401235,40.63264954
K20,234.1282131,22.94223408,40.63106961
K21,266.0098522,22.94433275,40.62948955
K22,282.2580645,22.94644313,40.62790955
K23,308.2568807,22.9485533,40.62633851
K24,288.9908257,22.95066348,40.62475842
K25,293.3767966,22.95276175,40.62317822
K26,340.6940063,22.95487173,40.62159804
K28,353.271028,22.95909129,40.6184466
K30,329.8429319,22.96329875,40.6152859
L11,312.0485409,22.92118545,40.64366136
L12,312.0485409,22.92329682,40.64208179
L13,312.0485409,22.92539615,40.6405111
L14,221.3757373,22.92750732,40.63893145
L15,217.5453539,22.9296184,40.63735176
L16,215.8681711,22.93172938,40.63577203
L17,260.2051353,22.93382832,40.63420118
L26,315,22.95279787,40.6199993
L27,307.8175896,22.95490775,40.61841912
L29,310.1665709,22.95912723,40.61525866
L31,306.5693431,22.96333438,40.61210697
L33,392.9313929,22.96755304,40.6089462
M27,224.4389027,22.9528341,40.61681138
M28,239.5740905,22.95494387,40.6152312
M30,383.7563452,22.95916303,40.61207974
M32,365.3939101,22.96337008,40.60891904
N28,239.5740905,22.95287031,40.61362345
N29,345.6790123,22.95497989,40.61205228
N31,332.8929987,22.95919894,40.60889181
N33,324.742268,22.96340568,40.60574011
N35,326.1432269,22.96762395,40.60257932
N37,408.355676,22.97183,40.5994183
N38,388.5690789,22.97604737,40.59626619
O29,264.7244205,22.95290643,40.61044453
O30,332.8929987,22.955016,40.60886436
O32,264.1878669,22.95923475,40.60571288
O34,339.1655451,22.96344139,40.60255217
P30,293.0232558,22.95294263,40.6072566
P31,319.391635,22.95505199,40.60568543
P33,216.7431193,22.95927064,40.60252494
P35,315.5258765,22.96347708,40.59936423
P37,329.153605,22.96769483,40.59621244
P38,339.8974912,22.97190048,40.5930514
P39,383.5510294,22.97611745,40.58989929
Q31,202.7027027,22.95297872,40.60407767
Q32,291.6666667,22.95508809,40.6024975
Q34,250.4638219,22.95930654,40.59933701
Q36,337.8921963,22.96351267,40.59618529
R32,246.92971,22.95301492,40.60088975
R33,244.1229656,22.95512418,40.59930956
R35,274.0144364,22.95934233,40.59615807
R37,307.0581373,22.96354836,40.59299735
R38,344.0742764,22.9677657,40.58984554
R39,379.8040693,22.97197093,40.5866845
S33,228.4263959,22.953051,40.59771081
S34,299.7145576,22.95516017,40.59613063
S36,310.0393701,22.9593782,40.59297013
T34,319.391635,22.95308718,40.59452288
T35,318.1818182,22.95519625,40.59294268
T37,318.1818182,22.95941398,40.58979119
T38,330.7086614,22.96361959,40.58663045
U35,342.3913043,22.95312325,40.59134394
U36,355.9322034,22.95523222,40.58976376
V37,321.0191083,22.95526828,40.58657581
K15,269.8458024,22.93169212,40.63895992
