lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.329268E-01,9.088805E-01,8.763722E-01,8.342614E-01,7.820129E-01,7.198848E-01,6.490678E-01,5.716768E-01,4.906316E-01,4.094234E-01,3.316462E-01,2.604909E-01,1.983152E-01,1.463729E-01,1.047963E-01,7.283390E-02,4.917400E-02,3.226412E-02,2.057277E-02,1.274092E-02,7.654541E-03,4.451758E-03,2.499040E-03,1.347782E-03,6.941936E-04,3.384655E-04,1.546966E-04,6.535724E-05,2.513393E-05,8.548071E-06
22.92631,40.64517,0.00000,9.330658E-01,9.090729E-01,8.766273E-01,8.345848E-01,7.824060E-01,7.203430E-01,6.495796E-01,5.722248E-01,4.911933E-01,4.099746E-01,3.321629E-01,2.609529E-01,1.987101E-01,1.466957E-01,1.050493E-01,7.302456E-02,4.931258E-02,3.236159E-02,2.063931E-02,1.278514E-02,7.683201E-03,4.469866E-03,2.510177E-03,1.354435E-03,6.980246E-04,3.405843E-04,1.557983E-04,6.589683E-05,2.537432E-05,8.645126E-06
22.92651,40.64507,0.00000,9.331305E-01,9.091659E-01,8.767597E-01,8.347672E-01,7.826454E-01,7.206389E-01,6.499234E-01,5.726014E-01,4.915839E-01,4.103602E-01,3.325253E-01,2.612784E-01,1.989899E-01,1.469253E-01,1.052292E-01,7.315999E-02,4.941075E-02,3.243028E-02,2.068610E-02,1.281623E-02,7.703415E-03,4.482723E-03,2.518166E-03,1.359268E-03,7.008458E-04,3.421668E-04,1.566330E-04,6.631212E-05,2.556164E-05,8.721923E-06
22.92671,40.64496,0.00000,9.331822E-01,9.092374E-01,8.768546E-01,8.348877E-01,7.827918E-01,7.208095E-01,6.501144E-01,5.728062E-01,4.917943E-01,4.105670E-01,3.327197E-01,2.614527E-01,1.991391E-01,1.470477E-01,1.053252E-01,7.323235E-02,4.946342E-02,3.246741E-02,2.071163E-02,1.283345E-02,7.714831E-03,4.490167E-03,2.522924E-03,1.362238E-03,7.026389E-04,3.432045E-04,1.571966E-04,6.660074E-05,2.569459E-05,8.778127E-06
22.92691,40.64486,0.00000,9.331916E-01,9.092506E-01,8.768721E-01,8.349100E-01,7.828190E-01,7.208412E-01,6.501499E-01,5.728448E-01,4.918342E-01,4.106069E-01,3.327576E-01,2.614872E-01,1.991689E-01,1.470723E-01,1.053447E-01,7.324702E-02,4.947414E-02,3.247510E-02,2.071716E-02,1.283746E-02,7.717793E-03,4.492361E-03,2.524531E-03,1.363381E-03,7.034148E-04,3.437015E-04,1.574903E-04,6.676293E-05,2.577334E-05,8.813549E-06
22.92712,40.64475,0.00000,9.331651E-01,9.092141E-01,8.768239E-01,8.348488E-01,7.827444E-01,7.207543E-01,6.500531E-01,5.727412E-01,4.917285E-01,4.105039E-01,3.326617E-01,2.614020E-01,1.990967E-01,1.470135E-01,1.052987E-01,7.321240E-02,4.944902E-02,3.245761E-02,2.070556E-02,1.283022E-02,7.713600E-03,4.490156E-03,2.523522E-03,1.363027E-03,7.033680E-04,3.437669E-04,1.575716E-04,6.682665E-05,2.581012E-05,8.833053E-06
22.92732,40.64465,0.00000,9.331105E-01,9.091387E-01,8.767239E-01,8.347220E-01,7.825903E-01,7.205749E-01,6.498527E-01,5.725272E-01,4.915094E-01,4.102897E-01,3.324617E-01,2.612239E-01,1.989449E-01,1.468897E-01,1.052017E-01,7.313938E-02,4.939598E-02,3.242055E-02,2.068063E-02,1.281418E-02,7.703751E-03,4.484427E-03,2.520384E-03,1.361428E-03,7.026215E-04,3.434565E-04,1.574624E-04,6.679990E-05,2.580760E-05,8.837139E-06
22.92752,40.64454,0.00000,9.330367E-01,9.090370E-01,8.765892E-01,8.345510E-01,7.823824E-01,7.203327E-01,6.495821E-01,5.722378E-01,4.912138E-01,4.100007E-01,3.321924E-01,2.609841E-01,1.987410E-01,1.467236E-01,1.050719E-01,7.304167E-02,4.932513E-02,3.237097E-02,2.064724E-02,1.279259E-02,7.690386E-03,4.476536E-03,2.515964E-03,1.359094E-03,7.014704E-04,3.429321E-04,1.572466E-04,6.672325E-05,2.578355E-05,8.832923E-06
22.92772,40.64443,0.00000,9.329562E-01,9.089258E-01,8.764419E-01,8.343641E-01,7.821552E-01,7.200680E-01,6.492867E-01,5.719217E-01,4.908903E-01,4.096842E-01,3.318966E-01,2.607204E-01,1.985161E-01,1.465400E-01,1.049282E-01,7.293339E-02,4.924647E-02,3.231588E-02,2.061011E-02,1.276852E-02,7.675439E-03,4.467672E-03,2.510961E-03,1.356424E-03,7.001340E-04,3.423096E-04,1.569818E-04,6.662384E-05,2.574963E-05,8.824909E-06
22.92792,40.64433,0.00000,9.331204E-01,9.090574E-01,8.765324E-01,8.344055E-01,7.821414E-01,7.199962E-01,6.491585E-01,5.717442E-01,4.906755E-01,4.094484E-01,3.316575E-01,2.604940E-01,1.983146E-01,1.463703E-01,1.047923E-01,7.282925E-02,4.917001E-02,3.226194E-02,2.057354E-02,1.274473E-02,7.660625E-03,4.458866E-03,2.505985E-03,1.353764E-03,6.988007E-04,3.416877E-04,1.567172E-04,6.652460E-05,2.571589E-05,8.816932E-06
