lon,lat,PGA
22.92611,40.64528,8.427543E-01
22.92631,40.64517,8.448952E-01
22.92651,40.64507,8.464877E-01
22.92671,40.64496,8.475251E-01
22.92691,40.64486,8.480127E-01
22.92712,40.64475,8.480611E-01
22.92732,40.64465,8.477282E-01
22.92752,40.64454,8.471768E-01
22.92772,40.64443,8.465250E-01
22.92792,40.64433,8.458729E-01
22.92812,40.64422,8.453247E-01
22.92833,40.64412,8.449207E-01
22.92853,40.64401,8.446529E-01
22.92873,40.64391,8.444874E-01
22.92893,40.64380,8.443922E-01
22.92913,40.64370,8.442774E-01
22.92933,40.64359,8.440925E-01
22.92953,40.64349,8.437546E-01
22.92974,40.64338,8.432597E-01
22.92994,40.64328,8.425361E-01
22.93014,40.64317,8.416342E-01
22.93034,40.64307,8.405735E-01
22.93054,40.64296,8.394418E-01
22.93074,40.64286,8.383063E-01
22.93094,40.64275,8.372933E-01
22.93115,40.64265,8.365127E-01
22.93135,40.64254,8.360685E-01
22.93155,40.64244,8.360675E-01
22.93175,40.64233,8.366292E-01
22.93195,40.64222,8.378162E-01
22.93215,40.64212,8.396574E-01
22.93235,40.64201,8.421736E-01
22.93256,40.64191,8.453097E-01
22.93276,40.64180,8.489493E-01
22.93296,40.64170,8.529323E-01
22.93316,40.64159,8.570728E-01
22.93336,40.64149,8.610703E-01
22.93356,40.64139,8.647667E-01
22.93377,40.64128,8.680123E-01
22.93397,40.64118,8.705177E-01
22.93417,40.64107,8.722132E-01
22.93437,40.64097,8.730417E-01
22.93457,40.64086,8.730837E-01
22.93477,40.64076,8.724481E-01
22.93497,40.64065,8.713597E-01
22.93518,40.64055,8.700544E-01
22.93538,40.64044,8.687705E-01
22.93558,40.64034,8.677452E-01
22.93578,40.64023,8.672108E-01
22.93598,40.64013,8.672980E-01
22.93618,40.64002,8.681305E-01
22.93639,40.63992,8.697408E-01
22.93659,40.63981,8.720935E-01
22.93679,40.63971,8.751161E-01
22.93699,40.63960,8.787282E-01
22.93719,40.63950,8.827662E-01
22.93739,40.63939,8.870996E-01
22.93759,40.63928,8.915415E-01
22.93780,40.63918,8.959180E-01
22.93800,40.63907,9.000252E-01
22.93820,40.63897,9.036737E-01
22.93840,40.63886,9.064841E-01
22.93860,40.63876,9.085734E-01
22.93880,40.63865,9.098632E-01
22.93900,40.63855,9.102679E-01
22.93921,40.63844,9.098321E-01
22.93941,40.63834,9.085384E-01
22.93961,40.63823,9.065460E-01
22.93981,40.63813,9.039838E-01
22.94001,40.63802,9.008513E-01
22.94021,40.63792,8.974957E-01
22.94042,40.63781,8.942125E-01
22.94062,40.63771,8.911186E-01
22.94082,40.63760,8.884271E-01
22.94102,40.63750,8.862336E-01
22.94122,40.63739,8.846549E-01
22.94142,40.63729,8.837151E-01
22.94162,40.63718,8.834665E-01
22.94183,40.63708,8.839049E-01
22.94203,40.63697,8.850437E-01
22.94223,40.63686,8.867792E-01
22.94243,40.63675,8.891472E-01
22.94263,40.63664,8.919151E-01
22.94283,40.63653,8.948904E-01
22.94303,40.63642,8.979133E-01
22.94323,40.63631,9.006088E-01
22.94343,40.63620,9.029185E-01
22.94363,40.63610,9.045742E-01
22.94383,40.63599,9.055378E-01
22.94403,40.63588,9.057742E-01
22.94423,40.63578,9.052618E-01
22.94443,40.63567,9.040930E-01
22.94463,40.63557,9.022606E-01
22.94484,40.63546,9.000363E-01
22.94504,40.63535,8.976094E-01
22.94524,40.63525,8.952152E-01
22.94544,40.63514,8.930888E-01
22.94564,40.63503,8.913770E-01
22.94584,40.63493,8.901740E-01
22.94604,40.63482,8.895603E-01
22.94624,40.63471,8.895112E-01
22.94644,40.63461,8.899680E-01
22.94665,40.63450,8.908889E-01
22.94685,40.63440,8.920514E-01
22.94705,40.63430,8.933493E-01
22.94725,40.63419,8.946430E-01
22.94745,40.63409,8.957655E-01
22.94766,40.63399,8.966472E-01
22.94786,40.63388,8.971699E-01
22.94806,40.63378,8.972816E-01
22.94826,40.63368,8.969855E-01
22.94846,40.63357,8.963180E-01
22.94867,40.63347,8.953221E-01
22.94887,40.63336,8.940423E-01
22.94907,40.63326,8.925572E-01
22.94927,40.63316,8.909742E-01
22.94947,40.63305,8.894017E-01
22.94968,40.63295,8.879247E-01
22.94988,40.63285,8.865864E-01
22.95008,40.63274,8.854983E-01
22.95028,40.63264,8.846853E-01
22.95048,40.63254,8.842074E-01
22.95068,40.63243,8.841114E-01
22.95089,40.63233,8.844159E-01
