lon,lat,PGA-0.0004
22.92611,40.64528,9.069556E-01
22.92631,40.64517,9.091326E-01
22.92651,40.64507,9.107580E-01
22.92671,40.64496,9.118252E-01
22.92691,40.64486,9.123400E-01
22.92712,40.64475,9.124141E-01
22.92732,40.64465,9.121035E-01
22.92752,40.64454,9.115734E-01
22.92772,40.64443,9.109418E-01
22.92792,40.64433,9.103102E-01
22.92812,40.64422,9.097829E-01
22.92833,40.64412,9.094062E-01
22.92853,40.64401,9.091614E-01
22.92873,40.64391,9.090198E-01
22.92893,40.64380,9.089490E-01
22.92913,40.64370,9.088587E-01
22.92933,40.64359,9.086976E-01
22.92953,40.64349,9.083829E-01
22.92974,40.64338,9.079111E-01
22.92994,40.64328,9.072079E-01
22.93014,40.64317,9.063253E-01
22.93034,40.64307,9.052826E-01
22.93054,40.64296,9.041684E-01
22.93074,40.64286,9.029950E-01
22.93094,40.64275,9.019082E-01
22.93115,40.64265,9.010782E-01
22.93135,40.64254,9.006164E-01
22.93155,40.64244,9.006427E-01
22.93175,40.64233,9.012881E-01
22.93195,40.64222,9.026216E-01
22.93215,40.64212,9.045876E-01
22.93235,40.64201,9.071472E-01
22.93256,40.64191,9.103326E-01
22.93276,40.64180,9.140244E-01
22.93296,40.64170,9.180616E-01
22.93316,40.64159,9.222592E-01
22.93336,40.64149,9.263138E-01
22.93356,40.64139,9.300659E-01
22.93377,40.64128,9.333661E-01
22.93397,40.64118,9.359191E-01
22.93417,40.64107,9.376563E-01
22.93437,40.64097,9.385201E-01
22.93457,40.64086,9.385906E-01
22.93477,40.64076,9.379779E-01
22.93497,40.64065,9.369089E-01
22.93518,40.64055,9.356222E-01
22.93538,40.64044,9.343556E-01
22.93558,40.64034,9.333494E-01
22.93578,40.64023,9.328385E-01
22.93598,40.64013,9.329547E-01
22.93618,40.64002,9.338223E-01
22.93639,40.63992,9.354764E-01
22.93659,40.63981,9.378786E-01
22.93679,40.63971,9.409572E-01
22.93699,40.63960,9.446316E-01
22.93719,40.63950,9.487367E-01
22.93739,40.63939,9.531412E-01
22.93759,40.63928,9.576573E-01
22.93780,40.63918,9.621102E-01
22.93800,40.63907,9.662910E-01
22.93820,40.63897,9.700108E-01
22.93840,40.63886,9.731212E-01
22.93860,40.63876,9.754418E-01
22.93880,40.63865,9.768866E-01
22.93900,40.63855,9.773614E-01
22.93921,40.63844,9.769170E-01
22.93941,40.63834,9.755303E-01
22.93961,40.63823,9.733781E-01
22.93981,40.63813,9.706015E-01
22.94001,40.63802,9.674367E-01
22.94021,40.63792,9.640744E-01
22.94042,40.63781,9.607865E-01
22.94062,40.63771,9.576868E-01
22.94082,40.63760,9.549943E-01
22.94102,40.63750,9.528053E-01
22.94122,40.63739,9.512378E-01
22.94142,40.63729,9.503167E-01
22.94162,40.63718,9.500944E-01
22.94183,40.63708,9.505682E-01
22.94203,40.63697,9.517496E-01
22.94223,40.63686,9.535348E-01
22.94243,40.63675,9.559597E-01
22.94263,40.63664,9.587901E-01
22.94283,40.63653,9.618312E-01
22.94303,40.63642,9.649208E-01
22.94323,40.63631,9.676793E-01
22.94343,40.63620,9.700474E-01
22.94363,40.63610,9.718316E-01
22.94383,40.63599,9.729175E-01
22.94403,40.63588,9.732066E-01
22.94423,40.63578,9.726741E-01
22.94443,40.63567,9.714216E-01
22.94463,40.63557,9.695570E-01
22.94484,40.63546,9.673352E-01
22.94504,40.63535,9.649063E-01
22.94524,40.63525,9.625106E-01
22.94544,40.63514,9.603855E-01
22.94564,40.63503,9.586805E-01
22.94584,40.63493,9.574904E-01
22.94604,40.63482,9.568976E-01
22.94624,40.63471,9.568761E-01
22.94644,40.63461,9.573667E-01
22.94665,40.63450,9.583294E-01
22.94685,40.63440,9.595354E-01
22.94705,40.63430,9.608787E-01
22.94725,40.63419,9.622179E-01
22.94745,40.63409,9.633836E-01
22.94766,40.63399,9.643067E-01
22.94786,40.63388,9.648644E-01
22.94806,40.63378,9.650053E-01
22.94826,40.63368,9.647328E-01
22.94846,40.63357,9.640834E-01
22.94867,40.63347,9.631016E-01
22.94887,40.63336,9.618306E-01
22.94907,40.63326,9.603512E-01
