lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.95951,40.56594,0.00000,3.791870E-01,3.525278E-01,3.264928E-01,3.011954E-01,2.767403E-01,2.532262E-01,2.307392E-01,2.093539E-01,1.891309E-01,1.701148E-01,1.523366E-01,1.358129E-01,1.205437E-01,1.065163E-01,9.370156E-02,8.206332E-02,7.155421E-02,6.211510E-02,5.368584E-02,4.619808E-02,3.958176E-02,3.376693E-02,2.868154E-02,2.425693E-02,2.042651E-02,1.712551E-02,1.429478E-02,1.187934E-02,9.827622E-03,8.092565E-03
22.96189,40.56594,0.00000,3.792629E-01,3.526053E-01,3.265714E-01,3.012738E-01,2.768179E-01,2.533025E-01,2.308137E-01,2.094261E-01,1.892003E-01,1.701810E-01,1.523995E-01,1.358725E-01,1.205997E-01,1.065688E-01,9.375048E-02,8.210902E-02,7.159661E-02,6.215441E-02,5.372203E-02,4.623137E-02,3.961245E-02,3.379505E-02,2.870722E-02,2.428023E-02,2.044782E-02,1.714471E-02,1.431206E-02,1.189494E-02,9.841642E-03,8.105047E-03
22.96427,40.56594,0.00000,3.793404E-01,3.526833E-01,3.266494E-01,3.013512E-01,2.768943E-01,2.533773E-01,2.308866E-01,2.094966E-01,1.892681E-01,1.702457E-01,1.524612E-01,1.359308E-01,1.206547E-01,1.066205E-01,9.379872E-02,8.215410E-02,7.163847E-02,6.219328E-02,5.375785E-02,4.626440E-02,3.964288E-02,3.382291E-02,2.873275E-02,2.430337E-02,2.046896E-02,1.716380E-02,1.432923E-02,1.191045E-02,9.855554E-03,8.117436E-03
22.96664,40.56594,0.00000,3.793311E-01,3.526821E-01,3.266560E-01,3.013651E-01,2.769150E-01,2.534042E-01,2.309186E-01,2.095328E-01,1.893075E-01,1.702874E-01,1.525044E-01,1.359746E-01,1.206984E-01,1.066635E-01,9.384042E-02,8.219428E-02,7.167670E-02,6.222950E-02,5.379177E-02,4.629601E-02,3.967227E-02,3.385000E-02,2.875761E-02,2.432599E-02,2.048960E-02,1.718247E-02,1.434605E-02,1.192560E-02,9.869124E-03,8.129533E-03
22.96902,40.56594,0.00000,3.780858E-01,3.514662E-01,3.254743E-01,3.002224E-01,2.758157E-01,2.523521E-01,2.299172E-01,2.085850E-01,1.884154E-01,1.694525E-01,1.517276E-01,1.352562E-01,1.200378E-01,1.060597E-01,9.329166E-02,8.169860E-02,7.123157E-02,6.183211E-02,5.343908E-02,4.598464E-02,3.939910E-02,3.361155E-02,2.855063E-02,2.414733E-02,2.033627E-02,1.705149E-02,1.423479E-02,1.183166E-02,9.790145E-03,8.063541E-03
22.97140,40.56594,0.00000,3.783996E-01,3.517786E-01,3.257826E-01,3.005237E-01,2.761078E-01,2.526323E-01,2.301834E-01,2.088355E-01,1.886489E-01,1.696679E-01,1.519245E-01,1.354344E-01,1.201978E-01,1.062019E-01,9.341712E-02,8.180851E-02,7.132717E-02,6.191481E-02,5.351019E-02,4.604558E-02,3.945122E-02,3.365601E-02,2.858851E-02,2.417959E-02,2.036378E-02,1.707502E-02,1.425493E-02,1.184894E-02,9.805019E-03,8.076377E-03
22.97378,40.56594,0.00000,3.782895E-01,3.516879E-01,3.257101E-01,3.004679E-01,2.760669E-01,2.526050E-01,2.301678E-01,2.088301E-01,1.886518E-01,1.696779E-01,1.519400E-01,1.354544E-01,1.202210E-01,1.062274E-01,9.344391E-02,8.183599E-02,7.135470E-02,6.194195E-02,5.353649E-02,4.607083E-02,3.947520E-02,3.367858E-02,2.860956E-02,2.419906E-02,2.038165E-02,1.709138E-02,1.426982E-02,1.186237E-02,9.817104E-03,8.087206E-03
22.97615,40.56594,0.00000,3.767208E-01,3.501552E-01,3.242202E-01,2.990266E-01,2.746798E-01,2.512773E-01,2.289038E-01,2.076335E-01,1.875255E-01,1.686237E-01,1.509592E-01,1.345471E-01,1.193866E-01,1.054645E-01,9.275043E-02,8.120932E-02,7.079167E-02,6.143892E-02,5.308974E-02,4.567608E-02,3.912843E-02,3.337548E-02,2.834602E-02,2.397129E-02,2.018565E-02,1.692363E-02,1.412706E-02,1.174140E-02,9.715105E-03,8.001711E-03
22.97853,40.56594,0.00000,3.768280E-01,3.502618E-01,3.243255E-01,2.991297E-01,2.747801E-01,2.513741E-01,2.289966E-01,2.077218E-01,1.876089E-01,1.687020E-01,1.510324E-01,1.346151E-01,1.194495E-01,1.055224E-01,9.280354E-02,8.125782E-02,7.083583E-02,6.147901E-02,5.312602E-02,4.570880E-02,3.915789E-02,3.340202E-02,2.836975E-02,2.399257E-02,2.020457E-02,1.694056E-02,1.414217E-02,1.175470E-02,9.726910E-03,8.012164E-03
22.98091,40.56594,0.00000,3.751863E-01,3.487683E-01,3.229783E-01,2.979256E-01,2.737140E-01,2.504387E-01,2.281841E-01,2.070227E-01,1.870136E-01,1.682002E-01,1.506140E-01,1.342702E-01,1.191685E-01,1.052964E-01,9.262434E-02,8.111784E-02,7.072836E-02,6.139822E-02,5.306675E-02,4.566667E-02,3.912922E-02,3.338383E-02,2.835938E-02,2.398806E-02,2.020416E-02,1.694318E-02,1.414678E-02,1.176037E-02,9.733208E-03,8.018713E-03
22.98328,40.56594,0.00000,3.752583E-01,3.488413E-01,3.230521E-01,2.979995E-01,2.737874E-01,2.505114E-01,2.282553E-01,2.070920E-01,1.870806E-01,1.682647E-01,1.506756E-01,1.343285E-01,1.192235E-01,1.053479E-01,9.267237E-02,8.116227E-02,7.076925E-02,6.143571E-02,5.310092E-02,4.569767E-02,3.915720E-02,3.340910E-02,2.838198E-02,2.400833E-02,2.022211E-02,1.695924E-02,1.416109E-02,1.177291E-02,9.744311E-03,8.028560E-03
22.98566,40.56594,0.00000,3.703375E-01,3.440297E-01,3.183695E-01,2.934652E-01,2.694193E-01,2.463254E-01,2.242653E-01,2.033097E-01,1.835152E-01,1.649230E-01,1.475616E-01,1.314436E-01,1.165662E-01,1.029142E-01,9.045643E-02,7.915647E-02,6.896359E-02,5.981928E-02,5.166228E-02,4.442391E-02,3.803559E-02,3.242648E-02,2.752551E-02,2.326583E-02,1.958145E-02,1.640913E-02,1.369119E-02,1.137332E-02,9.406134E-03,7.743855E-03
22.98804,40.56594,0.00000,3.701062E-01,3.438172E-01,3.181765E-01,2.932921E-01,2.692661E-01,2.461918E-01,2.241506E-01,2.032128E-01,1.834348E-01,1.648579E-01,1.475101E-01,1.314042E-01,1.165373E-01,1.028944E-01,9.044424E-02,7.915047E-02,6.896257E-02,5.982217E-02,5.166807E-02,4.443182E-02,3.804490E-02,3.243675E-02,2.753622E-02,2.327660E-02,1.959196E-02,1.641932E-02,1.370089E-02,1.138228E-02,9.414472E-03,7.751559E-03
22.99041,40.56594,0.00000,3.702138E-01,3.439244E-01,3.182822E-01,2.933956E-01,2.693666E-01,2.462889E-01,2.242436E-01,2.033012E-01,1.835183E-01,1.649363E-01,1.475833E-01,1.314721E-01,1.165999E-01,1.029518E-01,9.049669E-02,7.919811E-02,6.900561E-02,5.986099E-02,5.170283E-02,4.446287E-02,3.807251E-02,3.246131E-02,2.755800E-02,2.329583E-02,1.960887E-02,1.643431E-02,1.371410E-02,1.139380E-02,9.424609E-03,7.760513E-03
22.99279,40.56594,0.00000,4.196160E-01,3.924402E-01,3.657018E-01,3.395176E-01,3.139997E-01,2.892549E-01,2.653839E-01,2.424788E-01,2.206185E-01,1.998710E-01,1.802912E-01,1.619173E-01,1.447756E-01,1.288757E-01,1.142131E-01,1.007699E-01,8.851369E-02,7.740612E-02,6.739517E-02,5.842148E-02,5.042345E-02,4.333165E-02,3.707779E-02,3.159076E-02,2.680018E-02,2.263929E-02,1.904305E-02,1.594896E-02,1.329974E-02,1.104170E-02
22.99517,40.56594,0.00000,4.216620E-01,3.943173E-01,3.674141E-01,3.410694E-01,3.153974E-01,2.905068E-01,2.664989E-01,2.434679E-01,2.214916E-01,2.006384E-01,1.809631E-01,1.625034E-01,1.452855E-01,1.293181E-01,1.145957E-01,1.010996E-01,8.879725E-02,7.764935E-02,6.760301E-02,5.859865E-02,5.057393E-02,4.345893E-02,3.718516E-02,3.168092E-02,2.687558E-02,2.270209E-02,1.909511E-02,1.599207E-02,1.333516E-02,1.107075E-02
22.99755,40.56594,0.00000,4.218386E-01,3.945000E-01,3.676021E-01,3.412617E-01,3.155928E-01,2.907042E-01,2.666971E-01,2.436659E-01,2.216880E-01,2.008320E-01,1.811526E-01,1.626877E-01,1.454635E-01,1.294888E-01,1.147582E-01,1.012533E-01,8.894153E-02,7.778376E-02,6.772732E-02,5.871277E-02,5.067787E-02,4.355274E-02,3.726926E-02,3.175575E-02,2.694155E-02,2.275978E-02,1.914517E-02,1.603521E-02,1.337194E-02,1.110192E-02
22.99992,40.56594,0.00000,4.219832E-01,3.946446E-01,3.677459E-01,3.414039E-01,3.157329E-01,2.908415E-01,2.668310E-01,2.437956E-01,2.218130E-01,2.009515E-01,1.812662E-01,1.627949E-01,1.455640E-01,1.295822E-01,1.148444E-01,1.013321E-01,8.901310E-02,7.784820E-02,6.778490E-02,5.876392E-02,5.072301E-02,4.359223E-02,3.730366E-02,3.178566E-02,2.696746E-02,2.278204E-02,1.916433E-02,1.605173E-02,1.338605E-02,1.111407E-02
23.00230,40.56594,0.00000,4.233267E-01,3.959571E-01,3.690210E-01,3.426361E-01,3.169168E-01,2.919721E-01,2.679045E-01,2.448088E-01,2.227636E-01,2.018379E-01,1.820874E-01,1.635515E-01,1.462566E-01,1.302126E-01,1.154146E-01,1.018451E-01,8.947193E-02,7.825635E-02,6.814621E-02,5.908217E-02,5.100199E-02,4.383554E-02,3.751504E-02,3.196866E-02,2.712523E-02,2.291751E-02,1.928032E-02,1.615071E-02,1.347018E-02,1.118548E-02
22.94287,40.56817,0.00000,3.759047E-01,3.492959E-01,3.233283E-01,2.981146E-01,2.737580E-01,2.503555E-01,2.279923E-01,2.067419E-01,1.866620E-01,1.677951E-01,1.501699E-01,1.338003E-01,1.186855E-01,1.048096E-01,9.214281E-02,8.064586E-02,7.027184E-02,6.096068E-02,5.265151E-02,4.527499E-02,3.876091E-02,3.304079E-02,2.804213E-02,2.369536E-02,1.993539E-02,1.669836E-02,1.392475E-02,1.155960E-02,9.552517E-03,7.857841E-03
22.94525,40.56817,0.00000,3.759774E-01,3.493694E-01,3.234020E-01,2.981879E-01,2.738304E-01,2.504267E-01,2.280617E-01,2.068092E-01,1.867267E-01,1.678571E-01,1.502289E-01,1.338563E-01,1.187383E-01,1.048592E-01,9.218935E-02,8.068943E-02,7.031249E-02,6.099844E-02,5.268652E-02,4.530749E-02,3.879095E-02,3.306846E-02,2.806742E-02,2.371866E-02,1.995665E-02,1.671766E-02,1.394227E-02,1.157546E-02,9.566807E-03,7.870554E-03
22.94763,40.56817,0.00000,3.761032E-01,3.495066E-01,3.235499E-01,2.983450E-01,2.739953E-01,2.505979E-01,2.282373E-01,2.069873E-01,1.869056E-01,1.680347E-01,1.504036E-01,1.340265E-01,1.189028E-01,1.050167E-01,9.233886E-02,8.083031E-02,7.044425E-02,6.112066E-02,5.279904E-02,4.541037E-02,3.888436E-02,3.315257E-02,2.814242E-02,2.378535E-02,2.001537E-02,1.676895E-02,1.398680E-02,1.161385E-02,9.599700E-03,7.898419E-03
22.95000,40.56817,0.00000,3.693899E-01,3.429424E-01,3.171635E-01,2.921636E-01,2.680439E-01,2.448982E-01,2.228090E-01,2.018468E-01,1.820647E-01,1.635019E-01,1.461845E-01,1.301217E-01,1.153109E-01,1.017305E-01,8.934994E-02,7.812803E-02,6.801403E-02,5.894814E-02,5.086739E-02,4.370204E-02,3.738212E-02,3.183812E-02,2.699809E-02,2.279446E-02,1.916163E-02,1.603691E-02,1.336235E-02,1.108370E-02,9.151890E-03,7.521878E-03
22.95238,40.56817,0.00000,3.695953E-01,3.431463E-01,3.173641E-01,2.923590E-01,2.682326E-01,2.450792E-01,2.229810E-01,2.020087E-01,1.822157E-01,1.636415E-01,1.463126E-01,1.302384E-01,1.154163E-01,1.018252E-01,8.943447E-02,7.820334E-02,6.808079E-02,5.900711E-02,5.091942E-02,4.374791E-02,3.742273E-02,3.187389E-02,2.702953E-02,2.282232E-02,1.918635E-02,1.605861E-02,1.338157E-02,1.110073E-02,9.166950E-03,7.535072E-03
22.95476,40.56817,0.00000,3.696691E-01,3.432207E-01,3.174383E-01,2.924330E-01,2.683055E-01,2.451507E-01,2.230506E-01,2.020760E-01,1.822804E-01,1.637034E-01,1.463715E-01,1.302943E-01,1.154690E-01,1.018748E-01,8.948088E-02,7.824684E-02,6.812140E-02,5.904477E-02,5.095436E-02,4.378027E-02,3.745269E-02,3.190142E-02,2.705472E-02,2.284543E-02,1.920748E-02,1.607769E-02,1.339885E-02,1.111639E-02,9.180998E-03,7.547517E-03
22.95714,40.56817,0.00000,3.697534E-01,3.433066E-01,3.175249E-01,2.925191E-01,2.683906E-01,2.452343E-01,2.231322E-01,2.021547E-01,1.823560E-01,1.637755E-01,1.464400E-01,1.303591E-01,1.155298E-01,1.019317E-01,8.953384E-02,7.829618E-02,6.816711E-02,5.908685E-02,5.099315E-02,4.381579E-02,3.748536E-02,3.193116E-02,2.708168E-02,2.286993E-02,1.922971E-02,1.609762E-02,1.341672E-02,1.113247E-02,9.195313E-03,7.560129E-03
22.95951,40.56817,0.00000,3.720061E-01,3.455109E-01,3.196706E-01,2.945959E-01,2.703894E-01,2.471472E-01,2.249519E-01,2.038757E-01,1.839738E-01,1.652873E-01,1.478442E-01,1.316559E-01,1.167200E-01,1.030182E-01,9.051994E-02,7.918624E-02,6.896655E-02,5.980079E-02,5.162762E-02,4.437684E-02,3.797916E-02,3.236380E-02,2.745896E-02,2.319748E-02,1.951304E-02,1.634148E-02,1.362563E-02,1.131088E-02,9.347036E-03,7.688419E-03
22.96189,40.56817,0.00000,3.720838E-01,3.455891E-01,3.197487E-01,2.946732E-01,2.704655E-01,2.472216E-01,2.250242E-01,2.039454E-01,1.840407E-01,1.653511E-01,1.479049E-01,1.317134E-01,1.167740E-01,1.030690E-01,9.056729E-02,7.923042E-02,6.900764E-02,5.983887E-02,5.166283E-02,4.440926E-02,3.800911E-02,3.239119E-02,2.748404E-02,2.322034E-02,1.953390E-02,1.636033E-02,1.364258E-02,1.132622E-02,9.360783E-03,7.700609E-03
22.96427,40.56817,0.00000,3.721557E-01,3.456620E-01,3.198219E-01,2.947462E-01,2.705378E-01,2.472927E-01,2.250937E-01,2.040128E-01,1.841058E-01,1.654136E-01,1.479644E-01,1.317699E-01,1.168273E-01,1.031192E-01,9.061418E-02,7.927430E-02,6.904846E-02,5.987669E-02,5.169783E-02,4.444146E-02,3.803881E-02,3.241833E-02,2.750888E-02,2.324293E-02,1.955449E-02,1.637894E-02,1.365926E-02,1.134132E-02,9.374291E-03,7.712624E-03
22.96664,40.56817,0.00000,3.720497E-01,3.455752E-01,3.197528E-01,2.946932E-01,2.704994E-01,2.472673E-01,2.250796E-01,2.040084E-01,1.841095E-01,1.654240E-01,1.479802E-01,1.317898E-01,1.168502E-01,1.031443E-01,9.064069E-02,7.930154E-02,6.907582E-02,5.990376E-02,5.172422E-02,4.446685E-02,3.806311E-02,3.244122E-02,2.753041E-02,2.326295E-02,1.957303E-02,1.639597E-02,1.367473E-02,1.135544E-02,9.387032E-03,7.724053E-03
22.96902,40.56817,0.00000,3.748006E-01,3.482682E-01,3.223757E-01,2.972344E-01,2.729487E-01,2.496149E-01,2.273175E-01,2.061293E-01,1.861084E-01,1.672969E-01,1.497251E-01,1.334061E-01,1.183385E-01,1.045073E-01,9.188155E-02,8.042498E-02,7.008759E-02,6.081005E-02,5.253136E-02,4.518225E-02,3.869385E-02,3.299478E-02,2.801389E-02,2.368298E-02,1.993647E-02,1.670895E-02,1.394294E-02,1.158434E-02,9.581607E-03,7.888687E-03
