lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.95951,40.56594,0.00000,9.299040E-01,9.026055E-01,8.660054E-01,8.190647E-01,7.614880E-01,6.939073E-01,6.180072E-01,5.364980E-01,4.529195E-01,3.712299E-01,2.951736E-01,2.276744E-01,1.704592E-01,1.239942E-01,8.770825E-02,6.035946E-02,4.040940E-02,2.629854E-02,1.661187E-02,1.016083E-02,5.998325E-03,3.404255E-03,1.847155E-03,9.518846E-04,4.621263E-04,2.091513E-04,8.738932E-05,3.309002E-05,1.122921E-05,3.266543E-06
22.96189,40.56594,0.00000,9.299474E-01,9.026619E-01,8.660701E-01,8.191309E-01,7.615508E-01,6.939663E-01,6.180673E-01,5.365649E-01,4.529978E-01,3.713184E-01,2.952687E-01,2.277692E-01,1.705470E-01,1.240711E-01,8.777204E-02,6.041043E-02,4.044882E-02,2.632843E-02,1.663437E-02,1.017744E-02,6.010346E-03,3.412626E-03,1.852716E-03,9.553405E-04,4.641833E-04,2.102425E-04,8.789904E-05,3.330670E-05,1.131656E-05,3.291494E-06
22.96427,40.56594,0.00000,9.299497E-01,9.026685E-01,8.660828E-01,8.191515E-01,7.615815E-01,6.940094E-01,6.181247E-01,5.366377E-01,4.530848E-01,3.714160E-01,2.953709E-01,2.278698E-01,1.706403E-01,1.241525E-01,8.783964E-02,6.046407E-02,4.048993E-02,2.635925E-02,1.665716E-02,1.019402E-02,6.022197E-03,3.420733E-03,1.858046E-03,9.586201E-04,4.661211E-04,2.112521E-04,8.836253E-05,3.350107E-05,1.139527E-05,3.313616E-06
22.96664,40.56594,0.00000,9.299219E-01,9.026360E-01,8.660461E-01,8.191132E-01,7.615466E-01,6.939856E-01,6.181204E-01,5.366591E-01,4.531336E-01,3.714881E-01,2.954585E-01,2.279630E-01,1.707302E-01,1.242328E-01,8.790692E-02,6.051767E-02,4.053107E-02,2.638997E-02,1.667975E-02,1.021030E-02,6.033724E-03,3.428503E-03,1.863102E-03,9.616808E-04,4.679038E-04,2.121680E-04,8.878034E-05,3.367257E-05,1.146383E-05,3.332234E-06
22.96902,40.56594,0.00000,9.298242E-01,9.025054E-01,8.658789E-01,8.189084E-01,7.613073E-01,6.937192E-01,6.178387E-01,5.363771E-01,4.528665E-01,3.712484E-01,2.952549E-01,2.277991E-01,1.706045E-01,1.241402E-01,8.784122E-02,6.047271E-02,4.050143E-02,2.637130E-02,1.666881E-02,1.020443E-02,6.031040E-03,3.427467E-03,1.862887E-03,9.617183E-04,4.680288E-04,2.122439E-04,8.880358E-05,3.367546E-05,1.146539E-05,3.328821E-06
22.97140,40.56594,0.00000,9.298672E-01,9.025670E-01,8.659639E-01,8.190213E-01,7.614504E-01,6.938913E-01,6.180339E-01,5.365847E-01,4.530734E-01,3.714419E-01,2.954262E-01,2.279437E-01,1.707227E-01,1.242344E-01,8.791464E-02,6.052884E-02,4.054354E-02,2.640224E-02,1.669117E-02,1.022017E-02,6.041875E-03,3.434571E-03,1.867334E-03,9.643370E-04,4.694560E-04,2.129553E-04,8.911794E-05,3.379918E-05,1.150963E-05,3.339858E-06
22.97378,40.56594,0.00000,9.295169E-01,9.022250E-01,8.656412E-01,8.187301E-01,7.612027E-01,6.936975E-01,6.179007E-01,5.365136E-01,4.530591E-01,3.714738E-01,2.954892E-01,2.280232E-01,1.708058E-01,1.243118E-01,8.798118E-02,6.058265E-02,4.058500E-02,2.643297E-02,1.671328E-02,1.023556E-02,6.052312E-03,3.441298E-03,1.871446E-03,9.667176E-04,4.706920E-04,2.135506E-04,8.937737E-05,3.389653E-05,1.154045E-05,3.346730E-06
22.97615,40.56594,0.00000,9.293943E-01,9.020607E-01,8.654298E-01,8.184698E-01,7.608964E-01,6.933542E-01,6.175346E-01,5.361428E-01,4.527033E-01,3.711497E-01,2.952095E-01,2.277936E-01,1.706259E-01,1.241765E-01,8.788299E-02,6.051371E-02,4.053806E-02,2.640191E-02,1.669341E-02,1.022325E-02,6.044947E-03,3.436999E-03,1.868965E-03,9.653172E-04,4.698635E-04,2.131035E-04,8.914500E-05,3.378400E-05,1.148889E-05,3.327232E-06
22.97853,40.56594,0.00000,9.294024E-01,9.020751E-01,8.654527E-01,8.185033E-01,7.609422E-01,6.934140E-01,6.176086E-01,5.362303E-01,4.528023E-01,3.712558E-01,2.953170E-01,2.278975E-01,1.707212E-01,1.242594E-01,8.795197E-02,6.056855E-02,4.057990E-02,2.643258E-02,1.671511E-02,1.023796E-02,6.054577E-03,3.442924E-03,1.872405E-03,9.671639E-04,4.707195E-04,2.134738E-04,8.928870E-05,3.382662E-05,1.149321E-05,3.327491E-06
22.98091,40.56594,0.00000,9.279795E-01,9.005005E-01,8.637624E-01,8.167617E-01,7.592375E-01,6.918452E-01,6.162670E-01,5.351788E-01,4.520600E-01,3.707962E-01,2.950811E-01,2.278140E-01,1.707253E-01,1.243035E-01,8.800646E-02,6.061879E-02,4.062050E-02,2.646293E-02,1.673657E-02,1.025237E-02,6.063851E-03,3.448469E-03,1.875525E-03,9.687674E-04,4.714212E-04,2.137381E-04,8.937247E-05,3.384161E-05,1.148620E-05,3.324362E-06
22.98328,40.56594,0.00000,9.279804E-01,9.005052E-01,8.637726E-01,8.167790E-01,7.592641E-01,6.918838E-01,6.163201E-01,5.352472E-01,4.521433E-01,3.708907E-01,2.951815E-01,2.279137E-01,1.708185E-01,1.243858E-01,8.807534E-02,6.067378E-02,4.066243E-02,2.649345E-02,1.675781E-02,1.026643E-02,6.072737E-03,3.453637E-03,1.878319E-03,9.701331E-04,4.719702E-04,2.139126E-04,8.939979E-05,3.383157E-05,1.146824E-05,3.318373E-06
22.98566,40.56594,0.00000,9.276123E-01,9.000051E-01,8.631219E-01,8.159691E-01,7.582996E-01,6.907848E-01,6.151212E-01,5.339974E-01,4.509003E-01,3.697131E-01,2.941192E-01,2.270007E-01,1.700687E-01,1.237952E-01,8.762740E-02,6.034542E-02,4.042894E-02,2.633195E-02,1.664906E-02,1.019506E-02,6.027245E-03,3.425406E-03,1.861345E-03,9.603559E-04,4.665632E-04,2.111073E-04,8.803212E-05,3.322974E-05,1.122680E-05,3.238773E-06
22.98804,40.56594,0.00000,9.275329E-01,8.999059E-01,8.630015E-01,8.158302E-01,7.581494E-01,6.906364E-01,6.149905E-01,5.339000E-01,4.508466E-01,3.697044E-01,2.941490E-01,2.270567E-01,1.701376E-01,1.238653E-01,8.769105E-02,6.039844E-02,4.047024E-02,2.636218E-02,1.666991E-02,1.020854E-02,6.035444E-03,3.429923E-03,1.863565E-03,9.613130E-04,4.668375E-04,2.111219E-04,8.795496E-05,3.317475E-05,1.119219E-05,3.226223E-06
