lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.95951,40.56594,7.070359E-01,3.845625E-01,1.711638E-01
22.96189,40.56594,7.082635E-01,3.851028E-01,1.713395E-01
22.96427,40.56594,7.094144E-01,3.856198E-01,1.715138E-01
22.96664,40.56594,7.104688E-01,3.861087E-01,1.716842E-01
22.96902,40.56594,7.105455E-01,3.860930E-01,1.716338E-01
22.97140,40.56594,7.113833E-01,3.865208E-01,1.717963E-01
22.97378,40.56594,7.121024E-01,3.869150E-01,1.719541E-01
22.97615,40.56594,7.116081E-01,3.866783E-01,1.718353E-01
22.97853,40.56594,7.120949E-01,3.870035E-01,1.719835E-01
22.98091,40.56594,7.124833E-01,3.872959E-01,1.721275E-01
22.98328,40.56594,7.127783E-01,3.875553E-01,1.722667E-01
22.98566,40.56594,7.095841E-01,3.859310E-01,1.715569E-01
22.98804,40.56594,7.097147E-01,3.861339E-01,1.716881E-01
22.99041,40.56594,7.097830E-01,3.863137E-01,1.718158E-01
22.99279,40.56594,7.558379E-01,4.115754E-01,1.833848E-01
22.99517,40.56594,7.557933E-01,4.117340E-01,1.835202E-01
22.99755,40.56594,7.557234E-01,4.118836E-01,1.836553E-01
22.99992,40.56594,7.556303E-01,4.120254E-01,1.837881E-01
23.00230,40.56594,7.569078E-01,4.129186E-01,1.842646E-01
22.94287,40.56817,6.966200E-01,3.798615E-01,1.695747E-01
22.94525,40.56817,6.981291E-01,3.804678E-01,1.697525E-01
22.94763,40.56817,6.996226E-01,3.810778E-01,1.699336E-01
22.95000,40.56817,6.966205E-01,3.792456E-01,1.689986E-01
22.95238,40.56817,6.980306E-01,3.798440E-01,1.691793E-01
22.95476,40.56817,6.993946E-01,3.804304E-01,1.693591E-01
22.95714,40.56817,7.007234E-01,3.810033E-01,1.695369E-01
22.95951,40.56817,7.033652E-01,3.822984E-01,1.700510E-01
22.96189,40.56817,7.045970E-01,3.828379E-01,1.702269E-01
22.96427,40.56817,7.057502E-01,3.833544E-01,1.704002E-01
22.96664,40.56817,7.068120E-01,3.838441E-01,1.705701E-01
22.96902,40.56817,7.095543E-01,3.852720E-01,1.711763E-01
22.97140,40.56817,7.104158E-01,3.857066E-01,1.713394E-01
22.97378,40.56817,7.111616E-01,3.861086E-01,1.714979E-01
22.97615,40.56817,7.629226E-01,4.142281E-01,1.842797E-01
22.97853,40.56817,7.635110E-01,4.145977E-01,1.844427E-01
22.98091,40.56817,7.639858E-01,4.149317E-01,1.846008E-01
22.98328,40.56817,7.643552E-01,4.152296E-01,1.847538E-01
22.98566,40.56817,7.236021E-01,3.932300E-01,1.747738E-01
22.98804,40.56817,7.237800E-01,3.934497E-01,1.749098E-01
22.99041,40.56817,7.238931E-01,3.936455E-01,1.750422E-01
22.99279,40.56817,7.091874E-01,3.857791E-01,1.715062E-01
22.99517,40.56817,7.092047E-01,3.859403E-01,1.716314E-01
22.99755,40.56817,7.091892E-01,3.860933E-01,1.717574E-01
22.99992,40.56817,7.091475E-01,3.862411E-01,1.718816E-01
23.00230,40.56817,7.031693E-01,3.831516E-01,1.705255E-01
22.94287,40.57040,6.979871E-01,3.802333E-01,1.696265E-01
22.94525,40.57040,6.995252E-01,3.808464E-01,1.698049E-01
22.94763,40.57040,7.010474E-01,3.814628E-01,1.699869E-01
22.95000,40.57040,6.980530E-01,3.796329E-01,1.690523E-01
22.95238,40.57040,6.994826E-01,3.802369E-01,1.692332E-01
22.95476,40.57040,7.008600E-01,3.808283E-01,1.694126E-01
22.95714,40.57040,7.022050E-01,3.814068E-01,1.695922E-01
22.95951,40.57040,7.048731E-01,3.827086E-01,1.701072E-01
22.96189,40.57040,7.061247E-01,3.832542E-01,1.702839E-01
22.96427,40.57040,7.072971E-01,3.837771E-01,1.704583E-01
22.96664,40.57040,7.083796E-01,3.842731E-01,1.706290E-01
