lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.95951,40.56594,0.00000,9.298606E-01,9.014036E-01,8.641788E-01,8.168187E-01,7.585986E-01,6.904826E-01,6.143654E-01,5.328900E-01,4.511381E-01,3.676500E-01,2.914392E-01,2.224998E-01,1.644342E-01,1.165007E-01,8.144435E-02,5.534682E-02,3.608121E-02,2.373878E-02,1.500662E-02,9.102308E-03,5.341185E-03,2.997487E-03,1.576043E-03,6.798736E-04,2.632950E-04,8.908095E-05,2.518604E-05,5.969950E-06,8.476110E-07,4.020832E-08
22.96189,40.56594,0.00000,9.298537E-01,9.013910E-01,8.643188E-01,8.169752E-01,7.587532E-01,6.906236E-01,6.144944E-01,5.330210E-01,4.512796E-01,3.678019E-01,2.915962E-01,2.225574E-01,1.644902E-01,1.165538E-01,8.148810E-02,5.538240E-02,3.612437E-02,2.376819E-02,1.502663E-02,9.116007E-03,5.349876E-03,3.003403E-03,1.582391E-03,6.835407E-04,2.652840E-04,8.996396E-05,2.553689E-05,6.115532E-06,9.058378E-07,4.020832E-08
22.96427,40.56594,0.00000,9.298469E-01,9.013782E-01,8.643468E-01,8.170214E-01,7.588203E-01,6.907145E-01,6.146107E-01,5.331590E-01,4.514513E-01,3.679694E-01,2.917645E-01,2.226146E-01,1.645453E-01,1.166065E-01,8.153155E-02,5.541750E-02,3.617173E-02,2.379955E-02,1.504710E-02,9.129453E-03,5.358220E-03,3.008687E-03,1.588694E-03,6.871693E-04,2.672737E-04,9.083770E-05,2.589009E-05,6.257771E-06,9.605258E-07,4.020832E-08
22.96664,40.56594,0.00000,9.298399E-01,9.013652E-01,8.643134E-01,8.169881E-01,7.587915E-01,6.906985E-01,6.146181E-01,5.332021E-01,4.514817E-01,3.680868E-01,2.919042E-01,2.226716E-01,1.646001E-01,1.166590E-01,8.157461E-02,5.545237E-02,3.621963E-02,2.383124E-02,1.506738E-02,9.142489E-03,5.366001E-03,3.013271E-03,1.594899E-03,6.907111E-04,2.692117E-04,9.172136E-05,2.623101E-05,6.394240E-06,1.002990E-06,4.020832E-08
22.96902,40.56594,0.00000,9.297517E-01,9.011857E-01,8.641608E-01,8.168063E-01,7.585853E-01,6.904767E-01,6.143938E-01,5.329850E-01,4.513020E-01,3.679168E-01,2.917673E-01,2.224461E-01,1.644264E-01,1.165336E-01,8.148309E-02,5.538483E-02,3.620741E-02,2.382014E-02,1.505690E-02,9.135012E-03,5.360579E-03,3.009608E-03,1.595740E-03,6.916330E-04,2.699459E-04,9.213334E-05,2.640621E-05,6.478765E-06,1.050502E-06,3.861751E-08
22.97140,40.56594,0.00000,9.297442E-01,9.011723E-01,8.643075E-01,8.170114E-01,7.588603E-01,6.908249E-01,6.148084E-01,5.330586E-01,4.518471E-01,3.683591E-01,2.921468E-01,2.225029E-01,1.644812E-01,1.165856E-01,8.152577E-02,5.541925E-02,3.625685E-02,2.385266E-02,1.507697E-02,9.147077E-03,5.367063E-03,3.012982E-03,1.601725E-03,6.950075E-04,2.717453E-04,9.295635E-05,2.671524E-05,6.599859E-06,1.104799E-06,3.861751E-08
22.97378,40.56594,0.00000,9.296112E-01,9.008895E-01,8.643309E-01,8.170513E-01,7.589197E-01,6.909074E-01,6.149149E-01,5.331905E-01,4.520083E-01,3.685220E-01,2.923133E-01,2.225594E-01,1.645357E-01,1.166375E-01,8.156817E-02,5.545364E-02,3.630721E-02,2.388563E-02,1.509692E-02,9.158636E-03,5.372908E-03,3.015741E-03,1.604213E-03,6.982482E-04,2.734628E-04,9.373428E-05,2.700525E-05,6.710626E-06,1.155147E-06,3.861751E-08
22.97615,40.56594,0.00000,9.294974E-01,9.006678E-01,8.641320E-01,8.168108E-01,7.586430E-01,6.906041E-01,6.146011E-01,5.329006E-01,4.517371E-01,3.682632E-01,2.920972E-01,2.222643E-01,1.643045E-01,1.164677E-01,8.144291E-02,5.536005E-02,3.628195E-02,2.386482E-02,1.507838E-02,9.144706E-03,5.362395E-03,3.008288E-03,1.599091E-03,6.980898E-04,2.736496E-04,9.389101E-05,2.708124E-05,6.751318E-06,1.170264E-06,3.664873E-08
22.97853,40.56594,0.00000,9.295155E-01,9.006576E-01,8.641722E-01,8.168729E-01,7.587309E-01,6.907198E-01,6.147434E-01,5.331184E-01,4.519607E-01,3.684480E-01,2.922776E-01,2.223204E-01,1.643586E-01,1.165190E-01,8.148478E-02,5.539383E-02,3.633368E-02,2.389857E-02,1.509810E-02,9.155411E-03,5.367089E-03,3.009719E-03,1.599033E-03,7.009917E-04,2.751483E-04,9.454555E-05,2.734244E-05,6.726485E-06,1.168365E-06,3.664873E-08
22.98091,40.56594,0.00000,9.295133E-01,9.006643E-01,8.641906E-01,8.169066E-01,7.587833E-01,6.907929E-01,6.148401E-01,5.332413E-01,4.521089E-01,3.686048E-01,2.924403E-01,2.220970E-01,1.642780E-01,1.165252E-01,8.150426E-02,5.541781E-02,3.638609E-02,2.393284E-02,1.511781E-02,9.165778E-03,5.371328E-03,3.010549E-03,1.598447E-03,7.036698E-04,2.765115E-04,9.513388E-05,2.757213E-05,6.692465E-06,1.167309E-06,3.664873E-08
