lon,lat,PGV,PGA
22.95951,40.56594,9.462109E+00,1.606417E-01
22.96189,40.56594,9.474503E+00,1.607804E-01
22.96427,40.56594,9.484562E+00,1.609157E-01
22.96664,40.56594,9.494053E+00,1.610456E-01
22.96902,40.56594,9.454204E+00,1.609671E-01
22.97140,40.56594,9.464497E+00,1.610842E-01
22.97378,40.56594,9.472770E+00,1.611947E-01
22.97615,40.56594,9.420711E+00,1.610468E-01
22.97853,40.56594,9.428255E+00,1.611460E-01
22.98091,40.56594,9.435472E+00,1.612406E-01
22.98328,40.56594,9.442228E+00,1.613307E-01
22.98566,40.56594,9.262989E+00,1.606353E-01
22.98804,40.56594,9.269502E+00,1.607198E-01
22.99041,40.56594,9.275823E+00,1.608036E-01
22.99279,40.56594,1.000000E+01,1.714601E-01
22.99517,40.56594,1.000000E+01,1.715560E-01
22.99755,40.56594,1.000000E+01,1.716557E-01
22.99992,40.56594,1.000000E+01,1.717589E-01
23.00230,40.56594,1.000000E+01,1.721857E-01
22.94287,40.56817,9.293803E+00,1.593123E-01
22.94525,40.56817,9.306844E+00,1.594617E-01
22.94763,40.56817,9.326046E+00,1.596140E-01
22.95000,40.56817,9.096786E+00,1.587264E-01
22.95238,40.56817,9.109065E+00,1.588787E-01
22.95476,40.56817,9.120598E+00,1.590280E-01
22.95714,40.56817,9.131792E+00,1.591734E-01
22.95951,40.56817,9.216102E+00,1.596290E-01
22.96189,40.56817,9.226920E+00,1.597672E-01
22.96427,40.56817,9.237138E+00,1.599009E-01
22.96664,40.56817,9.246674E+00,1.600298E-01
22.96902,40.56817,9.350956E+00,1.605610E-01
22.97140,40.56817,9.359881E+00,1.606782E-01
22.97378,40.56817,9.369336E+00,1.607891E-01
22.97615,40.56817,1.000000E+01,1.725896E-01
22.97853,40.56817,1.000000E+01,1.726959E-01
22.98091,40.56817,1.000000E+01,1.727975E-01
22.98328,40.56817,1.000000E+01,1.728947E-01
22.98566,40.56817,9.709304E+00,1.636301E-01
22.98804,40.56817,9.715307E+00,1.637184E-01
22.99041,40.56817,9.721185E+00,1.638058E-01
22.99279,40.56817,9.538027E+00,1.605044E-01
22.99517,40.56817,9.542005E+00,1.605933E-01
22.99755,40.56817,9.560092E+00,1.606867E-01
22.99992,40.56817,9.574727E+00,1.607856E-01
23.00230,40.56817,9.496390E+00,1.595218E-01
22.94287,40.57040,9.304998E+00,1.594171E-01
22.94525,40.57040,9.318015E+00,1.595663E-01
22.94763,40.57040,9.337375E+00,1.597190E-01
22.95000,40.57040,9.106080E+00,1.588313E-01
22.95238,40.57040,9.117684E+00,1.589829E-01
22.95476,40.57040,9.128991E+00,1.591311E-01
22.95714,40.57040,9.139959E+00,1.592775E-01
22.95951,40.57040,9.224232E+00,1.597336E-01
22.96189,40.57040,9.234310E+00,1.598715E-01
22.96427,40.57040,9.244010E+00,1.600056E-01
22.96664,40.57040,9.250398E+00,1.601348E-01
22.96902,40.57040,9.358634E+00,1.606667E-01
22.97140,40.57040,9.366905E+00,1.607844E-01
22.97378,40.57040,9.375085E+00,1.608968E-01
22.97615,40.57040,1.000000E+01,1.727031E-01
22.97853,40.57040,1.000000E+01,1.728107E-01
22.98091,40.57040,1.000000E+01,1.729131E-01
22.98328,40.57040,1.000000E+01,1.730108E-01
22.98566,40.57040,9.716198E+00,1.637427E-01
22.98804,40.57040,9.722239E+00,1.638317E-01
22.99041,40.57040,9.728120E+00,1.639196E-01
22.99279,40.57040,9.544776E+00,1.606178E-01
22.99517,40.57040,9.546039E+00,1.607070E-01
22.99755,40.57040,9.564856E+00,1.608021E-01
22.99992,40.57040,9.573899E+00,1.609013E-01
23.00230,40.57040,9.493935E+00,1.596377E-01
22.94287,40.57263,9.318431E+00,1.595667E-01
22.94525,40.57263,9.330144E+00,1.597173E-01
22.94763,40.57263,9.350626E+00,1.598711E-01
22.95000,40.57263,9.116971E+00,1.589833E-01
22.95238,40.57263,9.128355E+00,1.591346E-01
22.95476,40.57263,9.139420E+00,1.592850E-01
22.95714,40.57263,9.150184E+00,1.594324E-01
22.95951,40.57263,9.233028E+00,1.598896E-01
22.96189,40.57263,9.240162E+00,1.600288E-01
22.96427,40.57263,9.249574E+00,1.601635E-01
22.96664,40.57263,9.258572E+00,1.602928E-01
22.96902,40.57263,9.364938E+00,1.608256E-01
22.97140,40.57263,9.373048E+00,1.609438E-01
22.97378,40.57263,9.380809E+00,1.610559E-01
22.97615,40.57263,1.000000E+01,1.728736E-01
22.97853,40.57263,1.000000E+01,1.729811E-01
22.98091,40.57263,1.000000E+01,1.730836E-01
22.98328,40.57263,1.000000E+01,1.731822E-01
22.98566,40.57263,9.724884E+00,1.639044E-01
22.98804,40.57263,9.730801E+00,1.639936E-01
22.99041,40.57263,9.737225E+00,1.640829E-01
22.99279,40.57263,9.552158E+00,1.607774E-01
22.99517,40.57263,9.546351E+00,1.608679E-01
