sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
0,22.95951,40.56594,0.00000,UNKNOWN,2,2.37084E-02,5.00089E+02,-1.50000E+02,0
1,22.96189,40.56594,0.00000,UNKNOWN,2,2.37084E-02,5.00089E+02,-1.50000E+02,0
2,22.96427,40.56594,0.00000,UNKNOWN,2,2.37084E-02,5.00089E+02,-1.50000E+02,0
3,22.96664,40.56594,0.00000,UNKNOWN,2,2.37084E-02,5.00089E+02,-1.50000E+02,0
4,22.96902,40.56594,0.00000,UNKNOWN,2,2.49302E-02,4.41079E+02,-1.50000E+02,0
5,22.97140,40.56594,0.00000,UNKNOWN,2,2.49302E-02,4.41079E+02,-1.50000E+02,0
6,22.97378,40.56594,0.00000,UNKNOWN,2,2.49302E-02,4.41079E+02,-1.50000E+02,0
7,22.97615,40.56594,0.00000,UNKNOWN,2,2.65396E-02,3.92924E+02,-1.50000E+02,0
8,22.97853,40.56594,0.00000,UNKNOWN,2,2.65396E-02,3.92924E+02,-1.50000E+02,0
9,22.98091,40.56594,0.00000,UNKNOWN,2,2.65396E-02,3.92924E+02,-1.50000E+02,0
10,22.98328,40.56594,0.00000,UNKNOWN,2,2.65396E-02,3.92924E+02,-1.50000E+02,0
11,22.98566,40.56594,0.00000,UNKNOWN,2,3.22547E-02,4.26867E+02,-1.50000E+02,0
12,22.98804,40.56594,0.00000,UNKNOWN,2,3.22547E-02,4.26867E+02,-1.50000E+02,0
13,22.99041,40.56594,0.00000,UNKNOWN,2,3.22547E-02,4.26867E+02,-1.50000E+02,0
14,22.99279,40.56594,0.00000,HOLOCENE,2,4.13254E-02,4.55511E+02,-1.50000E+02,0
15,22.99517,40.56594,0.00000,HOLOCENE,2,4.13254E-02,4.55511E+02,-1.50000E+02,0
16,22.99755,40.56594,0.00000,HOLOCENE,2,4.13254E-02,4.55511E+02,-1.50000E+02,0
17,22.99992,40.56594,0.00000,HOLOCENE,2,4.13254E-02,4.55511E+02,-1.50000E+02,0
18,23.00230,40.56594,0.00000,HOLOCENE,2,4.04078E-02,4.69631E+02,-1.50000E+02,0
19,22.94287,40.56817,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
20,22.94525,40.56817,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
21,22.94763,40.56817,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
22,22.95000,40.56817,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
23,22.95238,40.56817,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
24,22.95476,40.56817,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
25,22.95714,40.56817,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
26,22.95951,40.56817,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
