lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.95951,40.56594,0.00000,9.315267E-01,9.048049E-01,8.689247E-01,8.228063E-01,7.660738E-01,6.992866E-01,6.240277E-01,5.429263E-01,4.594253E-01,3.773794E-01,3.005179E-01,2.318652E-01,1.733339E-01,1.256171E-01,8.832051E-02,6.027879E-02,3.994613E-02,2.569459E-02,1.602503E-02,9.673130E-03,5.637325E-03,3.161423E-03,1.699139E-03,8.707317E-04,4.226196E-04,1.926991E-04,8.180717E-05,3.185637E-05,1.123205E-05,3.444540E-06
22.96189,40.56594,0.00000,9.315726E-01,9.048621E-01,8.689870E-01,8.228666E-01,7.661279E-01,6.993366E-01,6.240804E-01,5.429881E-01,4.595007E-01,3.774669E-01,3.006122E-01,2.319595E-01,1.734217E-01,1.256932E-01,8.838305E-02,6.032833E-02,3.998404E-02,2.572317E-02,1.604646E-02,9.689094E-03,5.648878E-03,3.169459E-03,1.704382E-03,8.739948E-04,4.244867E-04,1.936772E-04,8.226877E-05,3.205059E-05,1.130934E-05,3.466483E-06
22.96427,40.56594,0.00000,9.315757E-01,9.048694E-01,8.690002E-01,8.228875E-01,7.661585E-01,6.993794E-01,6.241375E-01,5.430604E-01,4.595869E-01,3.775635E-01,3.007131E-01,2.320585E-01,1.735131E-01,1.257727E-01,8.844839E-02,6.037974E-02,4.002315E-02,2.575238E-02,1.606804E-02,9.704933E-03,5.660169E-03,3.177228E-03,1.709415E-03,8.770880E-04,4.262328E-04,1.945918E-04,8.269726E-05,3.222996E-05,1.137904E-05,3.485739E-06
22.96664,40.56594,0.00000,9.315500E-01,9.048395E-01,8.689665E-01,8.228523E-01,7.661260E-01,6.993562E-01,6.241308E-01,5.430757E-01,4.596266E-01,3.776258E-01,3.007910E-01,2.321434E-01,1.735966E-01,1.258482E-01,8.851198E-02,6.043046E-02,4.006203E-02,2.578142E-02,1.608938E-02,9.720424E-03,5.671085E-03,3.184649E-03,1.714179E-03,8.799753E-04,4.278577E-04,1.954331E-04,8.308596E-05,3.238978E-05,1.144066E-05,3.502579E-06
22.96902,40.56594,0.00000,9.353839E-01,9.101287E-01,8.759545E-01,8.316845E-01,7.768091E-01,7.117181E-01,6.378207E-01,5.575734E-01,4.742849E-01,3.917615E-01,3.137894E-01,2.435405E-01,1.831375E-01,1.334946E-01,9.439334E-02,6.478489E-02,4.317668E-02,2.793559E-02,1.753244E-02,1.065669E-02,6.258352E-03,3.540223E-03,1.921160E-03,9.952920E-04,4.889483E-04,2.260217E-04,9.740193E-05,3.863476E-05,1.389060E-05,4.378126E-06
22.97140,40.56594,0.00000,9.354240E-01,9.101856E-01,8.760330E-01,8.317887E-01,7.769418E-01,7.118798E-01,6.380080E-01,5.577785E-01,4.744974E-01,3.919690E-01,3.139803E-01,2.437067E-01,1.832755E-01,1.336043E-01,9.447724E-02,6.484720E-02,4.322187E-02,2.796791E-02,1.755532E-02,1.067269E-02,6.269264E-03,3.547462E-03,1.925714E-03,9.980103E-04,4.904571E-04,2.267868E-04,9.775116E-05,3.877853E-05,1.394391E-05,4.391920E-06
22.97378,40.56594,0.00000,9.350882E-01,9.098540E-01,8.757141E-01,8.314928E-01,7.766803E-01,7.116637E-01,6.378461E-01,5.576750E-01,4.744508E-01,3.919718E-01,3.140199E-01,2.437694E-01,1.833478E-01,1.336756E-01,9.454088E-02,6.489965E-02,4.326284E-02,2.799846E-02,1.757737E-02,1.068814E-02,6.279688E-03,3.554267E-03,1.929926E-03,1.000475E-03,4.918086E-04,2.274528E-04,9.804989E-05,3.889547E-05,1.398564E-05,4.401412E-06
22.97615,40.56594,0.00000,9.381664E-01,9.141291E-01,8.814024E-01,8.387341E-01,7.855019E-01,7.219454E-01,6.493176E-01,5.699148E-01,4.869242E-01,4.041002E-01,3.252664E-01,2.537096E-01,1.917363E-01,1.404498E-01,9.978751E-02,6.881057E-02,4.607566E-02,2.995479E-02,1.889493E-02,1.154720E-02,6.821377E-03,3.884058E-03,2.123128E-03,1.108844E-03,5.497455E-04,2.567072E-04,1.119087E-04,4.500543E-05,1.642014E-05,5.289993E-06
22.97853,40.56594,0.00000,9.381735E-01,9.141419E-01,8.814226E-01,8.387637E-01,7.855428E-01,7.219997E-01,6.493862E-01,5.699979E-01,4.870203E-01,4.042054E-01,3.253753E-01,2.538161E-01,1.918352E-01,1.405366E-01,9.986010E-02,6.886853E-02,4.611992E-02,2.998730E-02,1.891793E-02,1.156283E-02,6.831589E-03,3.890473E-03,2.126917E-03,1.110967E-03,5.508617E-04,2.572325E-04,1.121303E-04,4.508273E-05,1.644512E-05,5.293106E-06
22.98091,40.56594,0.00000,9.368945E-01,9.127042E-01,8.798375E-01,8.370682E-01,7.838011E-01,7.202981E-01,6.478199E-01,5.686513E-01,4.859497E-01,4.034270E-01,3.248657E-01,2.535245E-01,1.916989E-01,1.404968E-01,9.987056E-02,6.889890E-02,4.615316E-02,3.001577E-02,1.893951E-02,1.157778E-02,6.841328E-03,3.896473E-03,2.130372E-03,1.112819E-03,5.518006E-04,2.576522E-04,1.122969E-04,4.513578E-05,1.645874E-05,5.290937E-06
