lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.95951,40.56594,0.00000,3.745815E-01,3.482241E-01,3.225212E-01,2.975794E-01,2.734962E-01,2.503633E-01,2.282598E-01,2.072525E-01,1.873970E-01,1.687293E-01,1.512757E-01,1.350494E-01,1.200459E-01,1.062516E-01,9.363671E-02,8.216431E-02,7.178851E-02,6.245395E-02,5.410030E-02,4.666635E-02,4.008190E-02,3.428050E-02,2.919557E-02,2.475972E-02,2.090913E-02,1.758217E-02,1.472160E-02,1.227331E-02,1.018756E-02,8.418771E-03
22.96189,40.56594,0.00000,3.746578E-01,3.483017E-01,3.225994E-01,2.976571E-01,2.735730E-01,2.504388E-01,2.283334E-01,2.073236E-01,1.874651E-01,1.687943E-01,1.513375E-01,1.351078E-01,1.201009E-01,1.063030E-01,9.368475E-02,8.220910E-02,7.183028E-02,6.249260E-02,5.413607E-02,4.669928E-02,4.011225E-02,3.430833E-02,2.922098E-02,2.478290E-02,2.093023E-02,1.760129E-02,1.473874E-02,1.228884E-02,1.020145E-02,8.431093E-03
22.96427,40.56594,0.00000,3.747352E-01,3.483797E-01,3.226771E-01,2.977342E-01,2.736488E-01,2.505128E-01,2.284055E-01,2.073931E-01,1.875319E-01,1.688580E-01,1.513979E-01,1.351650E-01,1.201548E-01,1.063536E-01,9.373204E-02,8.225322E-02,7.187140E-02,6.253067E-02,5.417132E-02,4.673177E-02,4.014221E-02,3.433577E-02,2.924609E-02,2.480584E-02,2.095111E-02,1.762019E-02,1.475572E-02,1.230420E-02,1.021520E-02,8.443305E-03
22.96664,40.56594,0.00000,3.747262E-01,3.483782E-01,3.226832E-01,2.977470E-01,2.736678E-01,2.505375E-01,2.284350E-01,2.074266E-01,1.875685E-01,1.688969E-01,1.514383E-01,1.352062E-01,1.201960E-01,1.063944E-01,9.377176E-02,8.229154E-02,7.190819E-02,6.256561E-02,5.420420E-02,4.676251E-02,4.017087E-02,3.436224E-02,2.927044E-02,2.482817E-02,2.097144E-02,1.763863E-02,1.477230E-02,1.231919E-02,1.022862E-02,8.455233E-03
22.96902,40.56594,0.00000,3.916973E-01,3.649975E-01,3.388780E-01,3.134517E-01,2.888208E-01,2.650813E-01,2.423214E-01,2.206137E-01,2.000226E-01,1.805965E-01,1.623677E-01,1.453586E-01,1.295757E-01,1.150109E-01,1.016456E-01,8.944639E-02,7.837392E-02,6.837925E-02,5.940238E-02,5.138581E-02,4.426321E-02,3.796618E-02,3.242752E-02,2.758100E-02,2.336007E-02,1.970182E-02,1.654588E-02,1.383650E-02,1.152144E-02,9.551463E-03
22.97140,40.56594,0.00000,3.920077E-01,3.653079E-01,3.391858E-01,3.137541E-01,2.891155E-01,2.653659E-01,2.425938E-01,2.208720E-01,2.002653E-01,1.808225E-01,1.625761E-01,1.455492E-01,1.297485E-01,1.151661E-01,1.017839E-01,8.956879E-02,7.848143E-02,6.847312E-02,5.948380E-02,5.145606E-02,4.432360E-02,3.801795E-02,3.247176E-02,2.761870E-02,2.339220E-02,1.972923E-02,1.656927E-02,1.385644E-02,1.153848E-02,9.566103E-03
22.97378,40.56594,0.00000,3.918844E-01,3.652043E-01,3.391008E-01,3.136861E-01,2.890632E-01,2.653277E-01,2.425682E-01,2.208572E-01,2.002600E-01,1.808250E-01,1.625850E-01,1.455633E-01,1.297667E-01,1.151874E-01,1.018073E-01,8.959339E-02,7.850675E-02,6.849860E-02,5.950895E-02,5.148049E-02,4.434709E-02,3.804031E-02,3.249283E-02,2.763840E-02,2.341042E-02,1.974607E-02,1.658469E-02,1.387045E-02,1.155114E-02,9.577530E-03
22.97615,40.56594,0.00000,4.078420E-01,3.808779E-01,3.544243E-01,3.285929E-01,3.034932E-01,2.792245E-01,2.558810E-01,2.335449E-01,2.122849E-01,1.921603E-01,1.732129E-01,1.554709E-01,1.389525E-01,1.236564E-01,1.095723E-01,9.667443E-02,8.492761E-02,7.428931E-02,6.470606E-02,5.611716E-02,4.846381E-02,4.167682E-02,3.568865E-02,3.043306E-02,2.584269E-02,2.185288E-02,1.840108E-02,1.542886E-02,1.288212E-02,1.070966E-02
22.97853,40.56594,0.00000,4.079483E-01,3.809849E-01,3.545309E-01,3.286983E-01,3.035966E-01,2.793251E-01,2.559784E-01,2.336383E-01,2.123740E-01,1.922446E-01,1.732923E-01,1.555452E-01,1.390216E-01,1.237205E-01,1.096313E-01,9.672860E-02,8.497715E-02,7.433444E-02,6.474706E-02,5.615421E-02,4.849733E-02,4.170698E-02,3.571584E-02,3.045740E-02,2.586449E-02,2.187231E-02,1.841846E-02,1.544439E-02,1.289583E-02,1.072184E-02
22.98091,40.56594,0.00000,4.061121E-01,3.792922E-01,3.529835E-01,3.272955E-01,3.023356E-01,2.782017E-01,2.549859E-01,2.327695E-01,2.116204E-01,1.915967E-01,1.727407E-01,1.550802E-01,1.386333E-01,1.233999E-01,1.093695E-01,9.651734E-02,8.480881E-02,7.420225E-02,6.464488E-02,5.607666E-02,4.843979E-02,4.166541E-02,3.568700E-02,3.043839E-02,2.585298E-02,2.186638E-02,1.841673E-02,1.544566E-02,1.289896E-02,1.072625E-02
