lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.95951,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.836616E-01,3.702752E-01,1.660097E-01
22.96189,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.848267E-01,3.707908E-01,1.661749E-01
22.96427,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.859152E-01,3.712856E-01,1.663379E-01
22.96664,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.869258E-01,3.717537E-01,1.664967E-01
22.96902,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.237983E-01,3.916596E-01,1.755884E-01
22.97140,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.246879E-01,3.920968E-01,1.757499E-01
22.97378,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.254776E-01,3.924991E-01,1.759049E-01
22.97615,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.587836E-01,4.104899E-01,1.841384E-01
22.97853,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.593920E-01,4.108373E-01,1.842910E-01
22.98091,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.598925E-01,4.111485E-01,1.844365E-01
22.98328,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.602921E-01,4.114260E-01,1.845784E-01
22.98566,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.372192E-01,3.990480E-01,1.789190E-01
22.98804,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.374351E-01,3.992606E-01,1.790453E-01
22.99041,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.375814E-01,3.994493E-01,1.791697E-01
22.99279,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.190732E-01,3.895570E-01,1.746672E-01
22.99517,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.191184E-01,3.897096E-01,1.747901E-01
22.99755,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.191388E-01,3.898568E-01,1.749138E-01
22.99992,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.191440E-01,3.899941E-01,1.750289E-01
23.00230,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,7.103430E-01,3.853595E-01,1.729480E-01
22.94287,40.56817,1.000000E+01,1.000000E+01,9.685359E+00,6.445515E-01,3.497153E-01,1.576398E-01
22.94525,40.56817,1.000000E+01,1.000000E+01,9.693435E+00,6.460353E-01,3.503052E-01,1.577984E-01
22.94763,40.56817,1.000000E+01,1.000000E+01,9.711728E+00,6.475134E-01,3.509037E-01,1.579665E-01
22.95000,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.082582E-01,3.838736E-01,1.725430E-01
22.95238,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.097145E-01,3.844833E-01,1.727260E-01
22.95476,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.111079E-01,3.850808E-01,1.729071E-01
22.95714,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.124519E-01,3.856644E-01,1.730863E-01
22.95951,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.522960E-01,4.070601E-01,1.828400E-01
22.96189,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.536103E-01,4.076506E-01,1.830274E-01
22.96427,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.548466E-01,4.082163E-01,1.832113E-01
22.96664,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.559944E-01,4.087524E-01,1.833902E-01
22.96902,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.585873E-01,4.100833E-01,1.839436E-01
22.97140,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.595566E-01,4.105552E-01,1.841143E-01
22.97378,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.604241E-01,4.109895E-01,1.842790E-01
22.97615,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.457150E-01,4.030398E-01,1.806137E-01
22.97853,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.463515E-01,4.033924E-01,1.807642E-01
22.98091,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.468844E-01,4.037085E-01,1.809072E-01
22.98328,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.473186E-01,4.039920E-01,1.810467E-01
22.98566,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.198809E-01,3.892591E-01,1.743068E-01
22.98804,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.201335E-01,3.894778E-01,1.744321E-01
22.99041,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.203158E-01,3.896737E-01,1.745537E-01
22.99279,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.038250E-01,3.808663E-01,1.705490E-01
22.99517,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.039117E-01,3.810261E-01,1.706627E-01
22.99755,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.039692E-01,3.811817E-01,1.707857E-01
22.99992,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,7.040124E-01,3.813285E-01,1.709050E-01
23.00230,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.953717E-01,3.767737E-01,1.688576E-01
22.94287,40.57040,1.000000E+01,1.000000E+01,9.686574E+00,6.459644E-01,3.500762E-01,1.576811E-01
22.94525,40.57040,1.000000E+01,1.000000E+01,9.692886E+00,6.474813E-01,3.506720E-01,1.578391E-01
22.94763,40.57040,1.000000E+01,1.000000E+01,9.713000E+00,6.489870E-01,3.512768E-01,1.580092E-01
22.95000,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.098093E-01,3.842660E-01,1.725916E-01
22.95238,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.112851E-01,3.848801E-01,1.727737E-01
22.95476,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.126952E-01,3.854826E-01,1.729551E-01
22.95714,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.140557E-01,3.860722E-01,1.731357E-01
22.95951,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.540384E-01,4.075043E-01,1.828929E-01
22.96189,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.553757E-01,4.081007E-01,1.830814E-01
22.96427,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.566348E-01,4.086735E-01,1.832662E-01
22.96664,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.578055E-01,4.092163E-01,1.834445E-01
22.96902,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.604294E-01,4.105564E-01,1.839990E-01
22.97140,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.614288E-01,4.110372E-01,1.841708E-01
22.97378,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,7.623293E-01,4.114806E-01,1.843379E-01
