lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.95951,40.56594,0.00000,9.256506E-01,8.974132E-01,8.596621E-01,8.119204E-01,7.544990E-01,6.883379E-01,6.147777E-01,5.357509E-01,4.539450E-01,3.728473E-01,2.958221E-01,2.219522E-01,1.634781E-01,1.151723E-01,8.001316E-02,5.294007E-02,3.566883E-02,2.274948E-02,1.420529E-02,8.431844E-03,4.874456E-03,2.638732E-03,1.270289E-03,5.509744E-04,2.232190E-04,8.939087E-05,2.654584E-05,6.862595E-06,1.426266E-06,1.532307E-07
22.96189,40.56594,0.00000,9.257409E-01,8.975430E-01,8.598175E-01,8.120764E-01,7.546339E-01,6.884493E-01,6.148806E-01,5.358644E-01,4.540804E-01,3.730021E-01,2.958727E-01,2.220106E-01,1.635342E-01,1.152249E-01,8.009642E-02,5.297424E-02,3.570923E-02,2.277724E-02,1.422392E-02,8.444182E-03,4.883029E-03,2.645294E-03,1.273963E-03,5.538284E-04,2.244073E-04,9.017870E-05,2.686894E-05,6.889464E-06,1.421649E-06,1.532307E-07
22.96427,40.56594,0.00000,9.257511E-01,8.975655E-01,8.598569E-01,8.121357E-01,7.547147E-01,6.885539E-01,6.150092E-01,5.360157E-01,4.542504E-01,3.731820E-01,2.959236E-01,2.220688E-01,1.635897E-01,1.152771E-01,8.018640E-02,5.300815E-02,3.575249E-02,2.280656E-02,1.424282E-02,8.456154E-03,4.890969E-03,2.651298E-03,1.278347E-03,5.566656E-04,2.254831E-04,9.095917E-05,2.718976E-05,6.909620E-06,1.417057E-06,1.532307E-07
22.96664,40.56594,0.00000,9.256650E-01,8.974571E-01,8.597216E-01,8.119749E-01,7.545381E-01,6.883828E-01,6.148720E-01,5.359401E-01,4.542496E-01,3.732516E-01,2.959739E-01,2.221264E-01,1.636452E-01,1.153288E-01,8.025233E-02,5.304167E-02,3.579625E-02,2.283605E-02,1.426151E-02,8.467514E-03,4.898131E-03,2.656664E-03,1.283299E-03,5.594449E-04,2.264498E-04,9.173081E-05,2.750431E-05,6.923262E-06,1.412510E-06,1.532307E-07
22.96902,40.56594,0.00000,9.297002E-01,9.030533E-01,8.670535E-01,8.210681E-01,7.652909E-01,7.005844E-01,6.282628E-01,5.501440E-01,4.687245E-01,3.873417E-01,3.098336E-01,2.341710E-01,1.734456E-01,1.229490E-01,8.554299E-02,5.719492E-02,3.849263E-02,2.509083E-02,1.552703E-02,9.287094E-03,5.413793E-03,2.976730E-03,1.487607E-03,6.597472E-04,2.617395E-04,1.119500E-04,3.485169E-05,8.823253E-06,1.894031E-06,2.475941E-07
22.97140,40.56594,0.00000,9.298135E-01,9.032177E-01,8.672863E-01,8.213849E-01,7.657009E-01,7.010862E-01,6.288363E-01,5.507503E-01,4.693134E-01,3.878653E-01,3.101823E-01,2.342277E-01,1.735012E-01,1.230016E-01,8.565608E-02,5.722951E-02,3.854350E-02,2.511095E-02,1.554705E-02,9.298337E-03,5.420048E-03,2.981312E-03,1.492873E-03,6.627094E-04,2.625965E-04,1.125804E-04,3.521442E-05,8.824140E-06,1.894631E-06,2.475941E-07
22.97378,40.56594,0.00000,9.298166E-01,9.032303E-01,8.673124E-01,8.214275E-01,7.657623E-01,7.011696E-01,6.289428E-01,5.508817E-01,4.694673E-01,3.880353E-01,3.102305E-01,2.342841E-01,1.735561E-01,1.230538E-01,8.575448E-02,5.726388E-02,3.859312E-02,2.513074E-02,1.556698E-02,9.309048E-03,5.425528E-03,2.985087E-03,1.497941E-03,6.655396E-04,2.633075E-04,1.128169E-04,3.555600E-05,8.817109E-06,1.893997E-06,2.475941E-07
22.97615,40.56594,0.00000,9.334868E-01,9.077474E-01,8.732870E-01,8.289033E-01,7.746677E-01,7.113436E-01,6.401785E-01,5.628756E-01,4.817851E-01,4.001273E-01,3.217393E-01,2.448357E-01,1.822046E-01,1.297467E-01,9.047212E-02,6.100375E-02,4.103188E-02,2.728426E-02,1.672153E-02,1.005958E-02,5.899756E-03,3.282442E-03,1.694679E-03,7.634493E-04,2.982063E-04,1.289870E-04,4.318654E-05,1.113042E-05,2.428024E-06,3.434689E-07
22.97853,40.56594,0.00000,9.334756E-01,9.077909E-01,8.733545E-01,8.290013E-01,7.747997E-01,7.115103E-01,6.403741E-01,5.630934E-01,4.820137E-01,4.003536E-01,3.219521E-01,2.448909E-01,1.822598E-01,1.298727E-01,9.057628E-02,6.103893E-02,4.108595E-02,2.730435E-02,1.674301E-02,1.007039E-02,5.904298E-03,3.285125E-03,1.699767E-03,7.662944E-04,2.995641E-04,1.291441E-04,4.352084E-05,1.125746E-05,2.424392E-06,3.434689E-07
22.98091,40.56594,0.00000,9.330651E-01,9.077937E-01,8.733678E-01,8.290282E-01,7.748410E-01,7.115706E-01,6.404575E-01,5.632029E-01,4.821487E-01,4.005101E-01,3.216503E-01,2.444375E-01,1.820399E-01,1.298229E-01,9.068079E-02,6.105379E-02,4.114085E-02,2.730083E-02,1.676473E-02,1.008082E-02,5.908383E-03,3.287169E-03,1.704572E-03,7.689383E-04,3.008145E-04,1.292314E-04,4.382685E-05,1.137070E-05,2.419302E-06,3.434689E-07
