lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.95951,40.56594,0.00000,3.790824E-01,3.535844E-01,3.267715E-01,2.994243E-01,2.731029E-01,2.479363E-01,2.240345E-01,2.014605E-01,1.823700E-01,1.645393E-01,1.471066E-01,1.301646E-01,1.146230E-01,1.004627E-01,8.764170E-02,7.678313E-02,6.649612E-02,5.724612E-02,4.932223E-02,4.251723E-02,3.651280E-02,3.124152E-02,2.645828E-02,2.253709E-02,1.912610E-02,1.605796E-02,1.328892E-02,1.093450E-02,8.943928E-03,7.424975E-03
22.96189,40.56594,0.00000,3.792016E-01,3.537063E-01,3.268071E-01,2.994616E-01,2.731414E-01,2.479756E-01,2.240744E-01,2.015004E-01,1.824623E-01,1.646243E-01,1.471434E-01,1.302007E-01,1.146581E-01,1.004968E-01,8.767468E-02,7.680035E-02,6.652489E-02,5.727304E-02,4.937384E-02,4.256395E-02,3.655532E-02,3.128039E-02,2.648707E-02,2.256300E-02,1.914958E-02,1.607111E-02,1.330061E-02,1.094483E-02,8.952908E-03,7.441764E-03
22.96427,40.56594,0.00000,3.793386E-01,3.538425E-01,3.268425E-01,2.994986E-01,2.731794E-01,2.480147E-01,2.241139E-01,2.015400E-01,1.825619E-01,1.647179E-01,1.471799E-01,1.302365E-01,1.146928E-01,1.005306E-01,8.770740E-02,7.681739E-02,6.655336E-02,5.729986E-02,4.942086E-02,4.260672E-02,3.659428E-02,3.131576E-02,2.651555E-02,2.258877E-02,1.917289E-02,1.608419E-02,1.331223E-02,1.095512E-02,8.961882E-03,7.457979E-03
22.96664,40.56594,0.00000,3.791447E-01,3.536786E-01,3.268775E-01,2.995351E-01,2.732172E-01,2.480532E-01,2.241531E-01,2.015792E-01,1.826076E-01,1.647691E-01,1.472160E-01,1.302719E-01,1.147272E-01,1.005641E-01,8.773980E-02,7.683434E-02,6.658155E-02,5.732637E-02,4.946623E-02,4.264856E-02,3.663256E-02,3.135057E-02,2.654357E-02,2.261402E-02,1.919560E-02,1.609716E-02,1.332370E-02,1.096528E-02,8.970778E-03,7.473635E-03
22.96902,40.56594,0.00000,3.954962E-01,3.698142E-01,3.444950E-01,3.166972E-01,2.897240E-01,2.638176E-01,2.391130E-01,2.156919E-01,1.945323E-01,1.759913E-01,1.585611E-01,1.408258E-01,1.244025E-01,1.093687E-01,9.570710E-02,8.348709E-02,7.301649E-02,6.306443E-02,5.426453E-02,4.689445E-02,4.037732E-02,3.463703E-02,2.950338E-02,2.505507E-02,2.131795E-02,1.807239E-02,1.503303E-02,1.241778E-02,1.019835E-02,8.357163E-03
22.97140,40.56594,0.00000,3.963794E-01,3.706927E-01,3.446621E-01,3.167320E-01,2.897608E-01,2.638554E-01,2.391514E-01,2.157308E-01,1.952268E-01,1.766341E-01,1.587086E-01,1.408615E-01,1.244372E-01,1.094024E-01,9.573986E-02,8.350416E-02,7.304514E-02,6.309156E-02,5.436504E-02,4.697708E-02,4.044538E-02,3.469322E-02,2.952338E-02,2.510481E-02,2.135820E-02,1.810510E-02,1.504529E-02,1.242858E-02,1.020778E-02,8.372723E-03
22.97378,40.56594,0.00000,3.964952E-01,3.708091E-01,3.446952E-01,3.167669E-01,2.897972E-01,2.638926E-01,2.391896E-01,2.157694E-01,1.953287E-01,1.767311E-01,1.587445E-01,1.408968E-01,1.244716E-01,1.094358E-01,9.577227E-02,8.342072E-02,7.276519E-02,6.311844E-02,5.441514E-02,4.702201E-02,4.048572E-02,3.472944E-02,2.954312E-02,2.513045E-02,2.138066E-02,1.812505E-02,1.505735E-02,1.243922E-02,1.021708E-02,8.387661E-03
22.97615,40.56594,0.00000,4.118108E-01,3.859634E-01,3.604159E-01,3.330957E-01,3.055492E-01,2.790036E-01,2.535810E-01,2.294033E-01,2.068559E-01,1.876185E-01,1.694702E-01,1.512393E-01,1.339826E-01,1.181312E-01,1.036656E-01,9.055156E-02,7.872207E-02,6.884199E-02,5.935659E-02,5.130170E-02,4.426827E-02,3.805701E-02,3.259848E-02,2.761163E-02,2.354312E-02,2.000150E-02,1.681353E-02,1.393637E-02,1.148685E-02,9.412195E-03
22.97853,40.56594,0.00000,4.120732E-01,3.862239E-01,3.606710E-01,3.331288E-01,3.055840E-01,2.790400E-01,2.536182E-01,2.294412E-01,2.070051E-01,1.877569E-01,1.695974E-01,1.512745E-01,1.340170E-01,1.181647E-01,1.036982E-01,9.058297E-02,7.875224E-02,6.885791E-02,5.938238E-02,5.135243E-02,4.431298E-02,3.809637E-02,3.263319E-02,2.763822E-02,2.356644E-02,2.002179E-02,1.682589E-02,1.394739E-02,1.149651E-02,9.420658E-03
22.98091,40.56594,0.00000,4.121609E-01,3.863143E-01,3.580072E-01,3.299694E-01,3.027929E-01,2.766016E-01,2.515094E-01,2.276391E-01,2.071054E-01,1.878536E-01,1.687846E-01,1.502929E-01,1.332116E-01,1.175120E-01,1.031754E-01,9.016977E-02,7.870999E-02,6.862243E-02,5.934995E-02,5.139999E-02,4.435544E-02,3.813412E-02,3.257065E-02,2.766433E-02,2.358920E-02,2.004152E-02,1.680169E-02,1.393187E-02,1.148724E-02,9.415859E-03
