lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.95951,40.56594,1.000000E+01,1.000000E+01,9.594460E+00,5.515793E-01,3.283970E-01,1.537479E-01
22.96189,40.56594,1.000000E+01,1.000000E+01,9.603875E+00,5.525357E-01,3.287662E-01,1.538735E-01
22.96427,40.56594,1.000000E+01,1.000000E+01,9.613153E+00,5.534520E-01,3.291723E-01,1.539947E-01
22.96664,40.56594,1.000000E+01,1.000000E+01,9.622269E+00,5.543199E-01,3.296057E-01,1.541091E-01
22.96902,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.833777E-01,3.494875E-01,1.623022E-01
22.97140,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.841011E-01,3.499730E-01,1.624100E-01
22.97378,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.847463E-01,3.504369E-01,1.625104E-01
22.97615,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.095586E-01,3.694456E-01,1.699186E-01
22.97853,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.103936E-01,3.698647E-01,1.700087E-01
22.98091,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.111635E-01,3.702602E-01,1.700934E-01
22.98328,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.118603E-01,3.705585E-01,1.701733E-01
22.98566,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.937213E-01,3.578174E-01,1.650101E-01
22.98804,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.939386E-01,3.581499E-01,1.650811E-01
22.99041,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.941622E-01,3.584461E-01,1.651513E-01
22.99279,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.805684E-01,3.479174E-01,1.610499E-01
22.99517,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.806931E-01,3.481171E-01,1.611226E-01
22.99755,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.807812E-01,3.482858E-01,1.611996E-01
22.99992,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.808616E-01,3.484316E-01,1.612810E-01
23.00230,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,5.743046E-01,3.435218E-01,1.593918E-01
22.94287,40.56817,1.000000E+01,1.000000E+01,9.017532E+00,5.205602E-01,3.117312E-01,1.461610E-01
22.94525,40.56817,1.000000E+01,1.000000E+01,9.022557E+00,5.215080E-01,3.122122E-01,1.462950E-01
22.94763,40.56817,1.000000E+01,1.000000E+01,9.029398E+00,5.224791E-01,3.126955E-01,1.464313E-01
22.95000,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,5.718572E-01,3.415493E-01,1.597470E-01
22.95238,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,5.730058E-01,3.420634E-01,1.598964E-01
22.95476,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,5.741025E-01,3.425803E-01,1.600431E-01
22.95714,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,5.751668E-01,3.430978E-01,1.601850E-01
22.95951,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.051843E-01,3.654225E-01,1.690024E-01
22.96189,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.062083E-01,3.660163E-01,1.691460E-01
22.96427,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.071771E-01,3.666054E-01,1.692830E-01
22.96664,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.080729E-01,3.671852E-01,1.694123E-01
22.96902,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.099930E-01,3.684596E-01,1.698769E-01
22.97140,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.107352E-01,3.689336E-01,1.699910E-01
22.97378,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.113924E-01,3.693934E-01,1.700972E-01
22.97615,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.007910E-01,3.612064E-01,1.667327E-01
22.97853,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.012939E-01,3.616781E-01,1.668221E-01
22.98091,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.017227E-01,3.621298E-01,1.669056E-01
22.98328,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,6.021048E-01,3.625510E-01,1.669838E-01
22.98566,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,5.816844E-01,3.469702E-01,1.608508E-01
22.98804,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,5.819800E-01,3.472543E-01,1.609203E-01
22.99041,40.56817,1.000000E+01,1.000000E+01,1.000000E+01,5.822369E-01,3.475122E-01,1.609895E-01
22.99279,40.56817,1.000000E+01,1.000000E+01,9.899277E+00,5.695557E-01,3.384673E-01,1.573417E-01
22.99517,40.56817,1.000000E+01,1.000000E+01,9.897713E+00,5.697559E-01,3.386322E-01,1.574142E-01
22.99755,40.56817,1.000000E+01,1.000000E+01,9.921083E+00,5.699140E-01,3.387844E-01,1.574907E-01
22.99992,40.56817,1.000000E+01,1.000000E+01,9.936873E+00,5.700354E-01,3.389105E-01,1.575724E-01
23.00230,40.56817,1.000000E+01,1.000000E+01,9.786160E+00,5.632116E-01,3.342457E-01,1.557157E-01
22.94287,40.57040,1.000000E+01,1.000000E+01,9.012692E+00,5.209817E-01,3.120222E-01,1.462436E-01
22.94525,40.57040,1.000000E+01,1.000000E+01,9.020211E+00,5.219736E-01,3.125011E-01,1.463776E-01
22.94763,40.57040,1.000000E+01,1.000000E+01,9.039979E+00,5.229862E-01,3.129913E-01,1.465141E-01
22.95000,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,5.736061E-01,3.414762E-01,1.598346E-01
22.95238,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,5.747844E-01,3.419889E-01,1.599828E-01
22.95476,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,5.759076E-01,3.425044E-01,1.601282E-01
22.95714,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,5.770078E-01,3.430202E-01,1.602717E-01
22.95951,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.077498E-01,3.652278E-01,1.690954E-01
22.96189,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.088296E-01,3.658174E-01,1.692394E-01
22.96427,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.098438E-01,3.664020E-01,1.693766E-01
22.96664,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.107860E-01,3.669784E-01,1.695061E-01
22.96902,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.127793E-01,3.682849E-01,1.699713E-01
22.97140,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.135727E-01,3.687579E-01,1.700860E-01
22.97378,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.142770E-01,3.692206E-01,1.701943E-01
22.97615,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.034680E-01,3.610324E-01,1.668274E-01
22.97853,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.040158E-01,3.615028E-01,1.669174E-01
22.98091,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.044829E-01,3.619542E-01,1.670013E-01
22.98328,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,6.048841E-01,3.623730E-01,1.670802E-01
22.98566,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,5.839681E-01,3.468840E-01,1.609436E-01
22.98804,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,5.843092E-01,3.471686E-01,1.610138E-01
22.99041,40.57040,1.000000E+01,1.000000E+01,1.000000E+01,5.846119E-01,3.474268E-01,1.610839E-01
22.99279,40.57040,1.000000E+01,1.000000E+01,9.903615E+00,5.716090E-01,3.384331E-01,1.574335E-01
22.99517,40.57040,1.000000E+01,1.000000E+01,9.901758E+00,5.718352E-01,3.385988E-01,1.575066E-01
22.99755,40.57040,1.000000E+01,1.000000E+01,9.921357E+00,5.720178E-01,3.387510E-01,1.575849E-01
22.99992,40.57040,1.000000E+01,1.000000E+01,9.931381E+00,5.721633E-01,3.388764E-01,1.576666E-01
23.00230,40.57040,1.000000E+01,1.000000E+01,9.779237E+00,5.651628E-01,3.342387E-01,1.558090E-01
22.94287,40.57263,1.000000E+01,1.000000E+01,9.020572E+00,5.214865E-01,3.125471E-01,1.463721E-01
22.94525,40.57263,1.000000E+01,1.000000E+01,9.032972E+00,5.225215E-01,3.130374E-01,1.465071E-01
22.94763,40.57263,1.000000E+01,1.000000E+01,9.052910E+00,5.235751E-01,3.135382E-01,1.466451E-01
22.95000,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,5.757463E-01,3.414319E-01,1.599748E-01
22.95238,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,5.770100E-01,3.419413E-01,1.601228E-01
22.95476,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,5.782019E-01,3.424546E-01,1.602704E-01
22.95714,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,5.793581E-01,3.429689E-01,1.604147E-01
22.95951,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.109003E-01,3.650116E-01,1.692502E-01
22.96189,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.120222E-01,3.655973E-01,1.693948E-01
22.96427,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.130877E-01,3.661787E-01,1.695329E-01
22.96664,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.140789E-01,3.667510E-01,1.696629E-01
22.96902,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.161478E-01,3.680882E-01,1.701291E-01
22.97140,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.169889E-01,3.685607E-01,1.702444E-01
22.97378,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.177419E-01,3.690198E-01,1.703514E-01
22.97615,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.066805E-01,3.608561E-01,1.669817E-01
22.97853,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.072730E-01,3.613215E-01,1.670719E-01
22.98091,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.077926E-01,3.617663E-01,1.671559E-01
22.98328,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,6.082436E-01,3.621801E-01,1.672352E-01
22.98566,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,5.867323E-01,3.468087E-01,1.610899E-01
22.98804,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,5.870834E-01,3.470892E-01,1.611602E-01
22.99041,40.57263,1.000000E+01,1.000000E+01,1.000000E+01,5.873850E-01,3.473449E-01,1.612310E-01
22.99279,40.57263,1.000000E+01,1.000000E+01,9.911222E+00,5.739686E-01,3.384258E-01,1.575763E-01
22.99517,40.57263,1.000000E+01,1.000000E+01,9.908103E+00,5.742173E-01,3.385918E-01,1.576494E-01
22.99755,40.57263,1.000000E+01,1.000000E+01,9.913582E+00,5.744222E-01,3.387373E-01,1.577263E-01
22.99992,40.57263,1.000000E+01,1.000000E+01,9.933791E+00,5.745868E-01,3.388638E-01,1.578088E-01
23.00230,40.57263,1.000000E+01,1.000000E+01,9.788054E+00,5.673668E-01,3.342634E-01,1.559493E-01
22.94287,40.57486,1.000000E+01,1.000000E+01,9.035188E+00,5.220318E-01,3.132978E-01,1.465465E-01
22.94525,40.57486,1.000000E+01,1.000000E+01,9.047951E+00,5.231254E-01,3.138140E-01,1.466837E-01
22.94763,40.57486,1.000000E+01,1.000000E+01,9.068109E+00,5.242311E-01,3.143331E-01,1.468225E-01
22.95000,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,5.782744E-01,3.418268E-01,1.601661E-01
22.95238,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,5.796260E-01,3.423609E-01,1.603178E-01
22.95476,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,5.808857E-01,3.428683E-01,1.604671E-01
22.95714,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,5.821009E-01,3.433465E-01,1.606134E-01
22.95951,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.146739E-01,3.647752E-01,1.694654E-01
22.96189,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.158568E-01,3.653535E-01,1.696111E-01
22.96427,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.169663E-01,3.659270E-01,1.697506E-01
22.96664,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.180191E-01,3.664922E-01,1.698818E-01
22.96902,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.201754E-01,3.678614E-01,1.703494E-01
22.97140,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.210691E-01,3.683326E-01,1.704649E-01
22.97378,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.218756E-01,3.687893E-01,1.705722E-01
22.97615,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.105201E-01,3.606608E-01,1.671970E-01
22.97853,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.111538E-01,3.611208E-01,1.672870E-01
22.98091,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.117195E-01,3.615573E-01,1.673707E-01
22.98328,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,6.121976E-01,3.619634E-01,1.674494E-01
22.98566,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,5.899566E-01,3.467459E-01,1.612921E-01
22.98804,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,5.903285E-01,3.470230E-01,1.613616E-01
22.99041,40.57486,1.000000E+01,1.000000E+01,1.000000E+01,5.906403E-01,3.472722E-01,1.614292E-01
22.99279,40.57486,1.000000E+01,1.000000E+01,9.912299E+00,5.767093E-01,3.384406E-01,1.577688E-01
22.99517,40.57486,1.000000E+01,1.000000E+01,9.917610E+00,5.769390E-01,3.386060E-01,1.578405E-01
22.99755,40.57486,1.000000E+01,1.000000E+01,9.922976E+00,5.771506E-01,3.387471E-01,1.579161E-01
22.99992,40.57486,1.000000E+01,1.000000E+01,9.943012E+00,5.773303E-01,3.388722E-01,1.579972E-01
23.00230,40.57486,1.000000E+01,1.000000E+01,9.794123E+00,5.698599E-01,3.343117E-01,1.561333E-01
22.93337,40.57709,1.000000E+01,1.000000E+01,9.049416E+00,5.212170E-01,3.136069E-01,1.469493E-01
22.93574,40.57709,1.000000E+01,1.000000E+01,9.061595E+00,5.222316E-01,3.140901E-01,1.470706E-01
22.93812,40.57709,1.000000E+01,1.000000E+01,9.074144E+00,5.233068E-01,3.146003E-01,1.471988E-01
22.94050,40.57709,1.000000E+01,1.000000E+01,9.086976E+00,5.243437E-01,3.151149E-01,1.473326E-01
22.94287,40.57709,1.000000E+01,1.000000E+01,1.000000E+01,5.777137E-01,3.419618E-01,1.603160E-01
22.94525,40.57709,1.000000E+01,1.000000E+01,1.000000E+01,5.793807E-01,3.425588E-01,1.604656E-01
