lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.89771,40.56594,0.00000,4.175980E-01,3.905016E-01,3.638778E-01,3.378422E-01,3.125061E-01,2.879695E-01,2.643248E-01,2.416573E-01,2.200399E-01,1.995360E-01,1.801906E-01,1.620370E-01,1.450926E-01,1.293659E-01,1.148500E-01,1.015244E-01,8.935720E-02,7.830756E-02,6.832811E-02,5.936385E-02,5.135272E-02,4.423089E-02,3.793247E-02,3.239026E-02,2.753870E-02,2.331159E-02,1.964733E-02,1.648651E-02,1.377186E-02,1.145226E-02
22.90009,40.56594,0.00000,4.177482E-01,3.906519E-01,3.640270E-01,3.379890E-01,3.126495E-01,2.881082E-01,2.644580E-01,2.417841E-01,2.201597E-01,1.996482E-01,1.802948E-01,1.621332E-01,1.451807E-01,1.294459E-01,1.149223E-01,1.015892E-01,8.941500E-02,7.835864E-02,6.837310E-02,5.940324E-02,5.138705E-02,4.426070E-02,3.795825E-02,3.241264E-02,2.755799E-02,2.332826E-02,1.966183E-02,1.649916E-02,1.378284E-02,1.146194E-02
22.90246,40.56594,0.00000,4.182089E-01,3.911218E-01,3.645030E-01,3.384672E-01,3.131259E-01,2.885786E-01,2.649183E-01,2.422305E-01,2.205884E-01,2.000559E-01,1.806784E-01,1.624908E-01,1.455106E-01,1.297469E-01,1.151942E-01,1.018321E-01,8.962985E-02,7.854657E-02,6.853580E-02,5.954266E-02,5.150525E-02,4.435992E-02,3.804086E-02,3.248083E-02,2.761380E-02,2.337357E-02,1.969854E-02,1.652873E-02,1.380659E-02,1.148107E-02
22.90484,40.56594,0.00000,4.182756E-01,3.911901E-01,3.645722E-01,3.385367E-01,3.131955E-01,2.886476E-01,2.649863E-01,2.422972E-01,2.206531E-01,2.001184E-01,1.807386E-01,1.625482E-01,1.455649E-01,1.297982E-01,1.152420E-01,1.018765E-01,8.967092E-02,7.858409E-02,6.857011E-02,5.957371E-02,5.153321E-02,4.438496E-02,3.806319E-02,3.250084E-02,2.763152E-02,2.338923E-02,1.971252E-02,1.654110E-02,1.381754E-02,1.149085E-02
22.90722,40.56594,0.00000,4.183392E-01,3.912549E-01,3.646377E-01,3.386028E-01,3.132614E-01,2.887130E-01,2.650507E-01,2.423603E-01,2.207146E-01,2.001778E-01,1.807956E-01,1.626026E-01,1.456166E-01,1.298469E-01,1.152877E-01,1.019189E-01,8.971020E-02,7.862020E-02,6.860314E-02,5.960373E-02,5.156034E-02,4.440934E-02,3.808501E-02,3.252047E-02,2.764901E-02,2.340474E-02,1.972644E-02,1.655346E-02,1.382855E-02,1.150071E-02
22.90960,40.56594,0.00000,4.184454E-01,3.913651E-01,3.647513E-01,3.387187E-01,3.133785E-01,2.888303E-01,2.651671E-01,2.424745E-01,2.208258E-01,2.002850E-01,1.808977E-01,1.626992E-01,1.457069E-01,1.299306E-01,1.153646E-01,1.019890E-01,8.977348E-02,7.867681E-02,6.865356E-02,5.964826E-02,5.159947E-02,4.444350E-02,3.811470E-02,3.254636E-02,2.767141E-02,2.342410E-02,1.974330E-02,1.656806E-02,1.384127E-02,1.151185E-02
22.91197,40.56594,0.00000,4.184954E-01,3.914164E-01,3.648036E-01,3.387719E-01,3.134318E-01,2.888836E-01,2.652201E-01,2.425270E-01,2.208773E-01,2.003351E-01,1.809464E-01,1.627462E-01,1.457519E-01,1.299735E-01,1.154052E-01,1.020272E-01,8.980919E-02,7.870993E-02,6.868424E-02,5.967641E-02,5.162522E-02,4.446693E-02,3.813586E-02,3.256560E-02,2.768875E-02,2.343965E-02,1.975734E-02,1.658065E-02,1.385260E-02,1.152205E-02
22.91435,40.56594,0.00000,4.185549E-01,3.914771E-01,3.648649E-01,3.388336E-01,3.134935E-01,2.889448E-01,2.652804E-01,2.425860E-01,2.209348E-01,2.003907E-01,1.809999E-01,1.627973E-01,1.458005E-01,1.300195E-01,1.154484E-01,1.020676E-01,8.984681E-02,7.874471E-02,6.871631E-02,5.970578E-02,5.165205E-02,4.449137E-02,3.815797E-02,3.258565E-02,2.770683E-02,2.345589E-02,1.977202E-02,1.659383E-02,1.386447E-02,1.153271E-02
22.91673,40.56594,0.00000,4.186394E-01,3.915621E-01,3.649499E-01,3.389181E-01,3.135772E-01,2.890274E-01,2.653617E-01,2.426656E-01,2.210125E-01,2.004661E-01,1.810727E-01,1.628672E-01,1.458673E-01,1.300829E-01,1.155083E-01,1.021238E-01,8.989918E-02,7.879317E-02,6.876098E-02,5.974660E-02,5.168926E-02,4.452508E-02,3.818827E-02,3.261295E-02,2.773120E-02,2.347760E-02,1.979135E-02,1.661099E-02,1.387965E-02,1.154616E-02
22.91910,40.56594,0.00000,4.187201E-01,3.916440E-01,3.650323E-01,3.390007E-01,3.136592E-01,2.891082E-01,2.654407E-01,2.427424E-01,2.210867E-01,2.005372E-01,1.811405E-01,1.629314E-01,1.459277E-01,1.301396E-01,1.155609E-01,1.021726E-01,8.994417E-02,7.883444E-02,6.879873E-02,5.978090E-02,5.172036E-02,4.455320E-02,3.821361E-02,3.263577E-02,2.775172E-02,2.349597E-02,1.980782E-02,1.662578E-02,1.389288E-02,1.155799E-02
22.92148,40.56594,0.00000,4.187864E-01,3.917116E-01,3.651010E-01,3.390699E-01,3.137283E-01,2.891768E-01,2.655085E-01,2.428089E-01,2.211516E-01,2.006000E-01,1.812009E-01,1.629891E-01,1.459826E-01,1.301915E-01,1.156098E-01,1.022183E-01,8.998666E-02,7.887385E-02,6.883506E-02,5.981425E-02,5.175089E-02,4.458105E-02,3.823889E-02,3.265869E-02,2.777247E-02,2.351469E-02,1.982466E-02,1.664098E-02,1.390651E-02,1.157023E-02
22.92386,40.56594,0.00000,4.188480E-01,3.917750E-01,3.651655E-01,3.391353E-01,3.137941E-01,2.892426E-01,2.655736E-01,2.428730E-01,2.212143E-01,2.006610E-01,1.812598E-01,1.630456E-01,1.460365E-01,1.302427E-01,1.156580E-01,1.022636E-01,9.002891E-02,7.891317E-02,6.887148E-02,5.984774E-02,5.178163E-02,4.460920E-02,3.826457E-02,3.268206E-02,2.779370E-02,2.353388E-02,1.984196E-02,1.665664E-02,1.392058E-02,1.158287E-02
22.92623,40.56594,0.00000,4.188838E-01,3.918145E-01,3.652084E-01,3.391812E-01,3.138424E-01,2.892929E-01,2.656255E-01,2.429259E-01,2.212677E-01,2.007142E-01,1.813124E-01,1.630971E-01,1.460865E-01,1.302909E-01,1.157040E-01,1.023073E-01,9.007008E-02,7.895187E-02,6.890748E-02,5.988112E-02,5.181246E-02,4.463757E-02,3.829056E-02,3.270574E-02,2.781533E-02,2.355352E-02,1.985967E-02,1.667270E-02,1.393505E-02,1.159587E-02
22.92861,40.56594,0.00000,4.189496E-01,3.918817E-01,3.652767E-01,3.392500E-01,3.139111E-01,2.893613E-01,2.656930E-01,2.429922E-01,2.213322E-01,2.007768E-01,1.813726E-01,1.631546E-01,1.461413E-01,1.303429E-01,1.157529E-01,1.023533E-01,9.011298E-02,7.899187E-02,6.894456E-02,5.991532E-02,5.184396E-02,4.466656E-02,3.831715E-02,3.272999E-02,2.783750E-02,2.357370E-02,1.987791E-02,1.668929E-02,1.395000E-02,1.160932E-02
22.93099,40.56594,0.00000,4.191457E-01,3.920747E-01,3.654656E-01,3.394336E-01,3.140883E-01,2.895309E-01,2.658544E-01,2.431450E-01,2.214760E-01,2.009110E-01,1.814973E-01,1.632695E-01,1.462469E-01,1.304395E-01,1.158407E-01,1.024329E-01,9.018463E-02,7.905652E-02,6.900252E-02,5.996718E-02,5.189025E-02,4.470781E-02,3.835387E-02,3.276262E-02,2.786652E-02,2.359941E-02,1.990068E-02,1.670953E-02,1.396791E-02,1.162512E-02
22.93337,40.56594,0.00000,4.192067E-01,3.921373E-01,3.655297E-01,3.394988E-01,3.141538E-01,2.895964E-01,2.659192E-01,2.432090E-01,2.215386E-01,2.009718E-01,1.815562E-01,1.633259E-01,1.463009E-01,1.304907E-01,1.158892E-01,1.024786E-01,9.022738E-02,7.909665E-02,6.903988E-02,6.000185E-02,5.192235E-02,4.473755E-02,3.838130E-02,3.278770E-02,2.788953E-02,2.362048E-02,1.991977E-02,1.672695E-02,1.398368E-02,1.163932E-02
