lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.89771,40.56594,0.00000,9.391280E-01,9.157319E-01,8.837930E-01,8.420268E-01,7.897444E-01,7.270777E-01,6.551794E-01,5.762321E-01,4.933622E-01,4.103299E-01,3.309790E-01,2.586839E-01,1.958652E-01,1.437242E-01,1.022737E-01,7.062400E-02,4.734542E-02,3.080281E-02,1.942987E-02,1.185943E-02,6.986239E-03,3.958660E-03,2.148579E-03,1.111249E-03,5.440115E-04,2.501847E-04,1.070969E-04,4.216329E-05,1.502779E-05,4.696845E-06
22.90009,40.56594,0.00000,9.391512E-01,9.157643E-01,8.838355E-01,8.420801E-01,7.898097E-01,7.271561E-01,6.552718E-01,5.763381E-01,4.934787E-01,4.104516E-01,3.310995E-01,2.587969E-01,1.959656E-01,1.438095E-01,1.023431E-01,7.067798E-02,4.738560E-02,3.083115E-02,1.944860E-02,1.187086E-02,6.992720E-03,3.962033E-03,2.150297E-03,1.112071E-03,5.443915E-04,2.503700E-04,1.071917E-04,4.220068E-05,1.504801E-05,4.698234E-06
22.90246,40.56594,0.00000,9.392392E-01,9.158832E-01,8.839865E-01,8.422606E-01,7.900152E-01,7.273834E-01,6.555195E-01,5.766032E-01,4.937529E-01,4.107203E-01,3.313461E-01,2.590062E-01,1.961309E-01,1.439320E-01,1.024299E-01,7.073812E-02,4.742667E-02,3.085867E-02,1.946652E-02,1.188183E-02,6.999087E-03,3.965445E-03,2.152092E-03,1.112964E-03,5.448389E-04,2.506009E-04,1.073159E-04,4.225282E-05,1.507431E-05,4.702604E-06
22.90484,40.56594,0.00000,9.392398E-01,9.158871E-01,8.839951E-01,8.422755E-01,7.900388E-01,7.274177E-01,6.555668E-01,5.766653E-01,4.938295E-01,4.108083E-01,3.314407E-01,2.591013E-01,1.962201E-01,1.440108E-01,1.024960E-01,7.079063E-02,4.746624E-02,3.088687E-02,1.948535E-02,1.189349E-02,7.005876E-03,3.969134E-03,2.154060E-03,1.113982E-03,5.453773E-04,2.509025E-04,1.074706E-04,4.232357E-05,1.511190E-05,4.710739E-06
22.90722,40.56594,0.00000,9.392400E-01,9.158905E-01,8.840029E-01,8.422894E-01,7.900605E-01,7.274497E-01,6.556115E-01,5.767246E-01,4.939031E-01,4.108937E-01,3.315334E-01,2.591946E-01,1.963080E-01,1.440888E-01,1.025616E-01,7.084292E-02,4.750578E-02,3.091511E-02,1.950433E-02,1.190539E-02,7.012931E-03,3.973066E-03,2.156229E-03,1.115157E-03,5.460189E-04,2.512812E-04,1.076707E-04,4.242271E-05,1.516403E-05,4.724122E-06
22.90960,40.56594,0.00000,9.392413E-01,9.158956E-01,8.840140E-01,8.423089E-01,7.900920E-01,7.274967E-01,6.556767E-01,5.768095E-01,4.940053E-01,4.110075E-01,3.316515E-01,2.593088E-01,1.964120E-01,1.441781E-01,1.026345E-01,7.089967E-02,4.754791E-02,3.094485E-02,1.952417E-02,1.191791E-02,7.020438E-03,3.977352E-03,2.158661E-03,1.116536E-03,5.467887E-04,2.517438E-04,1.079166E-04,4.255572E-05,1.522998E-05,4.745807E-06
22.91197,40.56594,0.00000,9.392381E-01,9.158944E-01,8.840160E-01,8.423160E-01,7.901063E-01,7.275211E-01,6.557140E-01,5.768620E-01,4.940731E-01,4.110884E-01,3.317409E-01,2.594005E-01,1.964996E-01,1.442568E-01,1.027011E-01,7.095297E-02,4.758836E-02,3.097397E-02,1.954395E-02,1.193062E-02,7.028261E-03,3.981971E-03,2.161371E-03,1.118142E-03,5.477210E-04,2.522983E-04,1.082147E-04,4.271689E-05,1.530968E-05,4.774924E-06
22.91435,40.56594,0.00000,9.392363E-01,9.158952E-01,8.840208E-01,8.423264E-01,7.901247E-01,7.275504E-01,6.557567E-01,5.769199E-01,4.941460E-01,4.111736E-01,3.318337E-01,2.594948E-01,1.965892E-01,1.443367E-01,1.027685E-01,7.100685E-02,4.762919E-02,3.100340E-02,1.956412E-02,1.194379E-02,7.036530E-03,3.987009E-03,2.164422E-03,1.120000E-03,5.488316E-04,2.529513E-04,1.085762E-04,4.290689E-05,1.540219E-05,4.810096E-06
22.91673,40.56594,0.00000,9.392265E-01,9.158874E-01,8.840197E-01,8.423383E-01,7.901557E-01,7.276046E-01,6.558350E-01,5.770202E-01,4.942634E-01,4.113023E-01,3.319671E-01,2.596261E-01,1.967116E-01,1.444444E-01,1.028579E-01,7.107668E-02,4.768063E-02,3.103929E-02,1.958794E-02,1.195895E-02,7.045908E-03,3.992709E-03,2.167900E-03,1.122130E-03,5.501175E-04,2.537076E-04,1.090049E-04,4.312608E-05,1.550676E-05,4.850981E-06
22.91910,40.56594,0.00000,9.392278E-01,9.158922E-01,8.840300E-01,8.423559E-01,7.901829E-01,7.276444E-01,6.558893E-01,5.770901E-01,4.943481E-01,4.113978E-01,3.320686E-01,2.597269E-01,1.968058E-01,1.445273E-01,1.029270E-01,7.113145E-02,4.772200E-02,3.106924E-02,1.960878E-02,1.197296E-02,7.055091E-03,3.998633E-03,2.171673E-03,1.124508E-03,5.516009E-04,2.545665E-04,1.094999E-04,4.337778E-05,1.562391E-05,4.898978E-06
