lon,lat,PGV,PGA
22.89771,40.56594,1.000000E+01,4.120455E-01
22.90009,40.56594,1.000000E+01,4.121910E-01
22.90246,40.56594,1.000000E+01,4.123453E-01
22.90484,40.56594,1.000000E+01,4.125168E-01
22.90722,40.56594,1.000000E+01,4.127092E-01
22.90960,40.56594,1.000000E+01,4.129289E-01
22.91197,40.56594,1.000000E+01,4.131781E-01
22.91435,40.56594,1.000000E+01,4.134620E-01
22.91673,40.56594,1.000000E+01,4.137863E-01
22.91910,40.56594,1.000000E+01,4.141427E-01
22.92148,40.56594,1.000000E+01,4.145411E-01
22.92386,40.56594,1.000000E+01,4.149804E-01
22.92623,40.56594,1.000000E+01,4.154575E-01
22.92861,40.56594,1.000000E+01,4.159744E-01
22.93099,40.56594,1.000000E+01,4.165279E-01
22.93337,40.56594,1.000000E+01,4.171141E-01
22.93574,40.56594,1.000000E+01,4.177280E-01
22.93812,40.56594,1.000000E+01,4.183699E-01
22.94050,40.56594,1.000000E+01,4.190384E-01
22.94287,40.56594,1.000000E+01,4.197119E-01
22.94525,40.56594,1.000000E+01,4.203983E-01
22.94763,40.56594,1.000000E+01,4.210949E-01
22.95000,40.56594,1.000000E+01,4.217828E-01
22.95238,40.56594,1.000000E+01,4.224672E-01
22.95476,40.56594,1.000000E+01,4.231411E-01
22.95714,40.56594,1.000000E+01,4.238009E-01
22.95951,40.56594,1.000000E+01,4.244402E-01
22.96189,40.56594,1.000000E+01,4.250600E-01
22.96427,40.56594,1.000000E+01,4.256539E-01
22.96664,40.56594,1.000000E+01,4.262134E-01
22.96902,40.56594,1.000000E+01,4.267391E-01
22.97140,40.56594,1.000000E+01,4.272262E-01
22.97378,40.56594,1.000000E+01,4.276729E-01
22.97615,40.56594,1.000000E+01,4.280766E-01
22.97853,40.56594,1.000000E+01,4.284410E-01
22.98091,40.56594,1.000000E+01,4.287693E-01
22.98328,40.56594,1.000000E+01,4.290617E-01
22.98566,40.56594,1.000000E+01,4.293229E-01
22.98804,40.56594,1.000000E+01,4.295551E-01
22.99041,40.56594,1.000000E+01,4.297639E-01
22.99279,40.56594,1.000000E+01,4.299527E-01
22.99517,40.56594,1.000000E+01,4.301285E-01
22.99755,40.56594,1.000000E+01,4.302977E-01
22.99992,40.56594,1.000000E+01,4.304550E-01
23.00230,40.56594,1.000000E+01,4.306111E-01
22.89771,40.56817,1.000000E+01,4.121470E-01
22.90009,40.56817,1.000000E+01,4.123037E-01
22.90246,40.56817,1.000000E+01,4.124727E-01
22.90484,40.56817,1.000000E+01,4.126594E-01
22.90722,40.56817,1.000000E+01,4.128671E-01
22.90960,40.56817,1.000000E+01,4.130998E-01
22.91197,40.56817,1.000000E+01,4.133616E-01
22.91435,40.56817,1.000000E+01,4.136623E-01
22.91673,40.56817,1.000000E+01,4.139934E-01
22.91910,40.56817,1.000000E+01,4.143597E-01
22.92148,40.56817,1.000000E+01,4.147674E-01
22.92386,40.56817,1.000000E+01,4.152145E-01
22.92623,40.56817,1.000000E+01,4.156986E-01
22.92861,40.56817,1.000000E+01,4.162222E-01
22.93099,40.56817,1.000000E+01,4.167808E-01
22.93337,40.56817,1.000000E+01,4.173715E-01
22.93574,40.56817,1.000000E+01,4.179887E-01
22.93812,40.56817,1.000000E+01,4.186336E-01
22.94050,40.56817,1.000000E+01,4.193044E-01
22.94287,40.56817,1.000000E+01,4.199802E-01
22.94525,40.56817,1.000000E+01,4.206679E-01
22.94763,40.56817,1.000000E+01,4.213654E-01
22.95000,40.56817,1.000000E+01,4.220547E-01
22.95238,40.56817,1.000000E+01,4.227411E-01
22.95476,40.56817,1.000000E+01,4.234141E-01
22.95714,40.56817,1.000000E+01,4.240739E-01
22.95951,40.56817,1.000000E+01,4.247167E-01
22.96189,40.56817,1.000000E+01,4.253427E-01
22.96427,40.56817,1.000000E+01,4.259411E-01
22.96664,40.56817,1.000000E+01,4.265065E-01
22.96902,40.56817,1.000000E+01,4.270405E-01
22.97140,40.56817,1.000000E+01,4.275368E-01
22.97378,40.56817,1.000000E+01,4.279934E-01
22.97615,40.56817,1.000000E+01,4.284090E-01
22.97853,40.56817,1.000000E+01,4.287858E-01
22.98091,40.56817,1.000000E+01,4.291231E-01
22.98328,40.56817,1.000000E+01,4.294282E-01
22.98566,40.56817,1.000000E+01,4.297044E-01
22.98804,40.56817,1.000000E+01,4.299524E-01
22.99041,40.56817,1.000000E+01,4.301748E-01
22.99279,40.56817,1.000000E+01,4.303790E-01
22.99517,40.56817,1.000000E+01,4.305676E-01
22.99755,40.56817,1.000000E+01,4.307510E-01
22.99992,40.56817,1.000000E+01,4.309249E-01
23.00230,40.56817,1.000000E+01,4.310943E-01
22.89771,40.57040,1.000000E+01,4.123931E-01
22.90009,40.57040,1.000000E+01,4.125596E-01
22.90246,40.57040,1.000000E+01,4.127390E-01
22.90484,40.57040,1.000000E+01,4.129375E-01
22.90722,40.57040,1.000000E+01,4.131558E-01
22.90960,40.57040,1.000000E+01,4.133987E-01
22.91197,40.57040,1.000000E+01,4.136754E-01
22.91435,40.57040,1.000000E+01,4.139818E-01
22.91673,40.57040,1.000000E+01,4.143231E-01
22.91910,40.57040,1.000000E+01,4.146996E-01
22.92148,40.57040,1.000000E+01,4.151167E-01
22.92386,40.57040,1.000000E+01,4.155731E-01
22.92623,40.57040,1.000000E+01,4.160665E-01
22.92861,40.57040,1.000000E+01,4.165991E-01
22.93099,40.57040,1.000000E+01,4.171668E-01
22.93337,40.57040,1.000000E+01,4.177660E-01
22.93574,40.57040,1.000000E+01,4.183909E-01
22.93812,40.57040,1.000000E+01,4.190429E-01
22.94050,40.57040,1.000000E+01,4.197214E-01
22.94287,40.57040,1.000000E+01,4.204049E-01
22.94525,40.57040,1.000000E+01,4.210995E-01
22.94763,40.57040,1.000000E+01,4.218045E-01
22.95000,40.57040,1.000000E+01,4.225003E-01
22.95238,40.57040,1.000000E+01,4.231927E-01
22.95476,40.57040,1.000000E+01,4.238706E-01
22.95714,40.57040,1.000000E+01,4.245348E-01
22.95951,40.57040,1.000000E+01,4.251855E-01
22.96189,40.57040,1.000000E+01,4.258183E-01
22.96427,40.57040,1.000000E+01,4.264235E-01
22.96664,40.57040,1.000000E+01,4.269956E-01
22.96902,40.57040,1.000000E+01,4.275385E-01
22.97140,40.57040,1.000000E+01,4.280441E-01
22.97378,40.57040,1.000000E+01,4.285100E-01
22.97615,40.57040,1.000000E+01,4.289358E-01
22.97853,40.57040,1.000000E+01,4.293224E-01
22.98091,40.57040,1.000000E+01,4.296697E-01
22.98328,40.57040,1.000000E+01,4.299825E-01
22.98566,40.57040,1.000000E+01,4.302697E-01
22.98804,40.57040,1.000000E+01,4.305265E-01
22.99041,40.57040,1.000000E+01,4.307573E-01
22.99279,40.57040,1.000000E+01,4.309701E-01
22.99517,40.57040,1.000000E+01,4.311684E-01
22.99755,40.57040,1.000000E+01,4.313603E-01
22.99992,40.57040,1.000000E+01,4.315394E-01
23.00230,40.57040,1.000000E+01,4.317174E-01
22.89771,40.57263,1.000000E+01,4.127853E-01
22.90009,40.57263,1.000000E+01,4.129599E-01
22.90246,40.57263,1.000000E+01,4.131447E-01
22.90484,40.57263,1.000000E+01,4.133477E-01
22.90722,40.57263,1.000000E+01,4.135720E-01
22.90960,40.57263,1.000000E+01,4.138277E-01
22.91197,40.57263,1.000000E+01,4.141078E-01
22.91435,40.57263,1.000000E+01,4.144224E-01
22.91673,40.57263,1.000000E+01,4.147729E-01
22.91910,40.57263,1.000000E+01,4.151591E-01
22.92148,40.57263,1.000000E+01,4.155869E-01
22.92386,40.57263,1.000000E+01,4.160548E-01
22.92623,40.57263,1.000000E+01,4.165597E-01
22.92861,40.57263,1.000000E+01,4.171045E-01
22.93099,40.57263,1.000000E+01,4.176840E-01
22.93337,40.57263,1.000000E+01,4.182957E-01
22.93574,40.57263,1.000000E+01,4.189343E-01
22.93812,40.57263,1.000000E+01,4.196001E-01
22.94050,40.57263,1.000000E+01,4.202846E-01
22.94287,40.57263,1.000000E+01,4.209868E-01
22.94525,40.57263,1.000000E+01,4.216938E-01
22.94763,40.57263,1.000000E+01,4.224115E-01
22.95000,40.57263,1.000000E+01,4.231185E-01
22.95238,40.57263,1.000000E+01,4.238207E-01
22.95476,40.57263,1.000000E+01,4.245101E-01
22.95714,40.57263,1.000000E+01,4.251871E-01
22.95951,40.57263,1.000000E+01,4.258447E-01
22.96189,40.57263,1.000000E+01,4.264863E-01
22.96427,40.57263,1.000000E+01,4.271004E-01
22.96664,40.57263,1.000000E+01,4.276816E-01
22.96902,40.57263,1.000000E+01,4.282311E-01
22.97140,40.57263,1.000000E+01,4.287452E-01
22.97378,40.57263,1.000000E+01,4.292203E-01
22.97615,40.57263,1.000000E+01,4.296531E-01
22.97853,40.57263,1.000000E+01,4.300469E-01
22.98091,40.57263,1.000000E+01,4.304019E-01
22.98328,40.57263,1.000000E+01,4.307221E-01
22.98566,40.57263,1.000000E+01,4.310110E-01
22.98804,40.57263,1.000000E+01,4.312720E-01
22.99041,40.57263,1.000000E+01,4.315074E-01
22.99279,40.57263,1.000000E+01,4.317250E-01
22.99517,40.57263,1.000000E+01,4.319271E-01
22.99755,40.57263,1.000000E+01,4.321177E-01
22.99992,40.57263,1.000000E+01,4.323067E-01
23.00230,40.57263,1.000000E+01,4.324885E-01
22.89771,40.57486,1.000000E+01,4.133207E-01
22.90009,40.57486,1.000000E+01,4.134964E-01
22.90246,40.57486,1.000000E+01,4.136826E-01
22.90484,40.57486,1.000000E+01,4.138868E-01
22.90722,40.57486,1.000000E+01,4.141191E-01
22.90960,40.57486,1.000000E+01,4.143743E-01
22.91197,40.57486,1.000000E+01,4.146601E-01
22.91435,40.57486,1.000000E+01,4.149821E-01
22.91673,40.57486,1.000000E+01,4.153410E-01
22.91910,40.57486,1.000000E+01,4.157371E-01
22.92148,40.57486,1.000000E+01,4.161755E-01
22.92386,40.57486,1.000000E+01,4.166556E-01
22.92623,40.57486,1.000000E+01,4.171741E-01
22.92861,40.57486,1.000000E+01,4.177334E-01
22.93099,40.57486,1.000000E+01,4.183286E-01
22.93337,40.57486,1.000000E+01,4.189570E-01
22.93574,40.57486,1.000000E+01,4.196126E-01
22.93812,40.57486,1.000000E+01,4.202963E-01
