lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.89771,40.56594,7.538608E-01,4.120455E-01,1.867379E-01
22.90009,40.56594,7.540689E-01,4.121910E-01,1.868370E-01
22.90246,40.56594,7.543199E-01,4.123453E-01,1.869338E-01
22.90484,40.56594,7.546327E-01,4.125168E-01,1.870369E-01
22.90722,40.56594,7.550146E-01,4.127092E-01,1.871435E-01
22.90960,40.56594,7.554764E-01,4.129289E-01,1.872565E-01
22.91197,40.56594,7.560332E-01,4.131781E-01,1.873735E-01
22.91435,40.56594,7.566931E-01,4.134620E-01,1.874966E-01
22.91673,40.56594,7.574571E-01,4.137863E-01,1.876366E-01
22.91910,40.56594,7.583320E-01,4.141427E-01,1.877719E-01
22.92148,40.56594,7.593310E-01,4.145411E-01,1.879144E-01
22.92386,40.56594,7.604482E-01,4.149804E-01,1.880639E-01
22.92623,40.56594,7.616703E-01,4.154575E-01,1.882196E-01
22.92861,40.56594,7.629963E-01,4.159744E-01,1.883828E-01
22.93099,40.56594,7.644189E-01,4.165279E-01,1.885551E-01
22.93337,40.56594,7.659296E-01,4.171141E-01,1.887313E-01
22.93574,40.56594,7.675052E-01,4.177280E-01,1.889128E-01
22.93812,40.56594,7.691439E-01,4.183699E-01,1.891005E-01
22.94050,40.56594,7.708355E-01,4.190384E-01,1.893137E-01
22.94287,40.56594,7.725388E-01,4.197119E-01,1.895092E-01
22.94525,40.56594,7.742585E-01,4.203983E-01,1.897086E-01
22.94763,40.56594,7.759660E-01,4.210949E-01,1.899197E-01
22.95000,40.56594,7.776462E-01,4.217828E-01,1.901221E-01
22.95238,40.56594,7.792895E-01,4.224672E-01,1.903258E-01
22.95476,40.56594,7.808661E-01,4.231411E-01,1.905285E-01
22.95714,40.56594,7.823788E-01,4.238009E-01,1.907297E-01
22.95951,40.56594,7.838268E-01,4.244402E-01,1.909282E-01
22.96189,40.56594,7.852084E-01,4.250600E-01,1.911230E-01
22.96427,40.56594,7.865031E-01,4.256539E-01,1.913155E-01
22.96664,40.56594,7.876994E-01,4.262134E-01,1.915031E-01
22.96902,40.56594,7.888020E-01,4.267391E-01,1.916868E-01
22.97140,40.56594,7.897906E-01,4.272262E-01,1.918664E-01
22.97378,40.56594,7.906614E-01,4.276729E-01,1.920389E-01
22.97615,40.56594,7.914160E-01,4.280766E-01,1.922055E-01
22.97853,40.56594,7.920542E-01,4.284410E-01,1.923675E-01
22.98091,40.56594,7.925797E-01,4.287693E-01,1.925220E-01
22.98328,40.56594,7.930009E-01,4.290617E-01,1.926722E-01
22.98566,40.56594,7.933254E-01,4.293229E-01,1.928181E-01
22.98804,40.56594,7.935614E-01,4.295551E-01,1.929573E-01
22.99041,40.56594,7.937161E-01,4.297639E-01,1.930940E-01
22.99279,40.56594,7.938131E-01,4.299527E-01,1.932279E-01
22.99517,40.56594,7.938725E-01,4.301285E-01,1.933670E-01
22.99755,40.56594,7.939025E-01,4.302977E-01,1.935068E-01
22.99992,40.56594,7.939101E-01,4.304550E-01,1.936367E-01
23.00230,40.56594,7.939149E-01,4.306111E-01,1.937678E-01
22.89771,40.56817,7.542002E-01,4.121470E-01,1.867490E-01
22.90009,40.56817,7.544708E-01,4.123037E-01,1.868414E-01
22.90246,40.56817,7.547852E-01,4.124727E-01,1.869450E-01
22.90484,40.56817,7.551590E-01,4.126594E-01,1.870512E-01
22.90722,40.56817,7.556003E-01,4.128671E-01,1.871608E-01
22.90960,40.56817,7.561185E-01,4.130998E-01,1.872748E-01
22.91197,40.56817,7.567257E-01,4.133616E-01,1.873933E-01
22.91435,40.56817,7.574379E-01,4.136623E-01,1.875281E-01
22.91673,40.56817,7.582531E-01,4.139934E-01,1.876584E-01
22.91910,40.56817,7.591798E-01,4.143597E-01,1.877947E-01
22.92148,40.56817,7.602251E-01,4.147674E-01,1.879381E-01
22.92386,40.56817,7.613853E-01,4.152145E-01,1.880882E-01
22.92623,40.56817,7.626490E-01,4.156986E-01,1.882446E-01
22.92861,40.56817,7.640181E-01,4.162222E-01,1.884094E-01
22.93099,40.56817,7.654809E-01,4.167808E-01,1.885797E-01
22.93337,40.56817,7.670251E-01,4.173715E-01,1.887565E-01
22.93574,40.56817,7.686280E-01,4.179887E-01,1.889384E-01
22.93812,40.56817,7.702912E-01,4.186336E-01,1.891274E-01
22.94050,40.56817,7.719956E-01,4.193044E-01,1.893398E-01
22.94287,40.56817,7.737140E-01,4.199802E-01,1.895356E-01
22.94525,40.56817,7.754447E-01,4.206679E-01,1.897353E-01
