lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.89771,40.56594,0.00000,9.353257E-01,9.107121E-01,8.769318E-01,8.331463E-01,7.793475E-01,7.162161E-01,6.450191E-01,5.674516E-01,4.859352E-01,4.038456E-01,3.249761E-01,2.521275E-01,1.854974E-01,1.341985E-01,9.268035E-02,6.327649E-02,4.185604E-02,2.812607E-02,1.723500E-02,1.046504E-02,6.149212E-03,3.389266E-03,1.740504E-03,7.841836E-04,3.057269E-04,1.106931E-04,4.221185E-05,1.125266E-05,2.242136E-06,4.168022E-07
22.90009,40.56594,0.00000,9.353716E-01,9.107820E-01,8.770351E-01,8.332908E-01,7.795401E-01,7.164564E-01,6.453007E-01,5.677596E-01,4.862477E-01,4.041403E-01,3.252355E-01,2.521804E-01,1.855581E-01,1.342561E-01,9.273461E-02,6.332003E-02,4.190124E-02,2.815443E-02,1.724670E-02,1.046817E-02,6.147207E-03,3.387959E-03,1.742780E-03,7.848936E-04,3.058320E-04,1.113185E-04,4.252208E-05,1.116693E-05,2.206776E-06,4.168022E-07
22.90246,40.56594,0.00000,9.355353E-01,9.110140E-01,8.773617E-01,8.337383E-01,7.801296E-01,7.171974E-01,6.461812E-01,5.687351E-01,4.872438E-01,4.050640E-01,3.260089E-01,2.521351E-01,1.855258E-01,1.342383E-01,9.272576E-02,6.332233E-02,4.194643E-02,2.818291E-02,1.725868E-02,1.047224E-02,6.145543E-03,3.387525E-03,1.745056E-03,7.855840E-04,3.059371E-04,1.119961E-04,4.285747E-05,1.109033E-05,2.176007E-06,4.168022E-07
22.90484,40.56594,0.00000,9.355419E-01,9.110300E-01,8.773904E-01,8.337843E-01,7.801974E-01,7.172887E-01,6.462982E-01,5.688791E-01,4.874099E-01,4.052425E-01,3.261883E-01,2.521883E-01,1.855863E-01,1.342959E-01,9.277998E-02,6.336576E-02,4.199222E-02,2.821171E-02,1.727101E-02,1.047617E-02,6.144339E-03,3.386943E-03,1.747397E-03,7.862292E-04,3.060403E-04,1.127868E-04,4.322761E-05,1.101413E-05,2.180390E-06,4.168022E-07
22.90722,40.56594,0.00000,9.355464E-01,9.110432E-01,8.774165E-01,8.338267E-01,7.802593E-01,7.173733E-01,6.464076E-01,5.690144E-01,4.875654E-01,4.054120E-01,3.263612E-01,2.522413E-01,1.856469E-01,1.343527E-01,9.283415E-02,6.340910E-02,4.203825E-02,2.824074E-02,1.728376E-02,1.048072E-02,6.143732E-03,3.386859E-03,1.748698E-03,7.869742E-04,3.061607E-04,1.136930E-04,4.326490E-05,1.094104E-05,2.145194E-06,4.168022E-07
22.90960,40.56594,0.00000,9.355657E-01,9.110768E-01,8.774711E-01,8.339098E-01,7.803797E-01,7.175410E-01,6.466273E-01,5.692836E-01,4.878694E-01,4.057216E-01,3.266494E-01,2.522942E-01,1.857073E-01,1.344105E-01,9.288806E-02,6.345224E-02,4.208451E-02,2.827011E-02,1.729690E-02,1.048611E-02,6.143850E-03,3.387348E-03,1.748772E-03,7.878066E-04,3.063124E-04,1.146863E-04,4.315390E-05,1.087140E-05,2.116862E-06,4.183804E-07
22.91197,40.56594,0.00000,9.355634E-01,9.110807E-01,8.774835E-01,8.339342E-01,7.804186E-01,7.175973E-01,6.467049E-01,5.693852E-01,4.879938E-01,4.058656E-01,3.268022E-01,2.523468E-01,1.857674E-01,1.344662E-01,9.294151E-02,6.349494E-02,4.212912E-02,2.829974E-02,1.731063E-02,1.049214E-02,6.144819E-03,3.388486E-03,1.749326E-03,7.886881E-04,3.065027E-04,1.157547E-04,4.305147E-05,1.080465E-05,2.089462E-06,4.201255E-07
22.91435,40.56594,0.00000,9.355658E-01,9.110911E-01,8.775055E-01,8.339711E-01,7.804733E-01,7.176732E-01,6.468037E-01,5.695077E-01,4.881374E-01,4.060229E-01,3.269641E-01,2.523996E-01,1.858822E-01,1.345223E-01,9.299497E-02,6.353771E-02,4.217033E-02,2.832968E-02,1.732501E-02,1.049902E-02,6.146663E-03,3.390372E-03,1.750485E-03,7.896631E-04,3.067774E-04,1.169103E-04,4.297299E-05,1.074976E-05,2.144520E-06,4.220135E-07
22.91673,40.56594,0.00000,9.355723E-01,9.111069E-01,8.775350E-01,8.340181E-01,7.805410E-01,7.177641E-01,6.469195E-01,5.696484E-01,4.882986E-01,4.061965E-01,3.271390E-01,2.525168E-01,1.860238E-01,1.346312E-01,9.309010E-02,6.360883E-02,4.221184E-02,2.835988E-02,1.733998E-02,1.050672E-02,6.149433E-03,3.393119E-03,1.752199E-03,7.907801E-04,3.071344E-04,1.181376E-04,4.291878E-05,1.070326E-05,2.202596E-06,4.240328E-07
22.91910,40.56594,0.00000,9.355854E-01,9.111322E-01,8.775777E-01,8.340827E-01,7.806311E-01,7.178836E-01,6.470680E-01,5.698231E-01,4.884931E-01,4.063973E-01,3.273353E-01,2.525694E-01,1.861707E-01,1.346877E-01,9.314303E-02,6.365111E-02,4.225327E-02,2.839020E-02,1.735543E-02,1.051529E-02,6.153125E-03,3.396646E-03,1.754495E-03,7.919848E-04,3.075581E-04,1.194578E-04,4.288544E-05,1.067664E-05,2.261890E-06,4.261650E-07
22.92148,40.56594,0.00000,9.355909E-01,9.111466E-01,8.776053E-01,8.341274E-01,7.806963E-01,7.179725E-01,6.471816E-01,5.699624E-01,4.886552E-01,4.065731E-01,3.275143E-01,2.526222E-01,1.863146E-01,1.347440E-01,9.319595E-02,6.369335E-02,4.229524E-02,2.842089E-02,1.737155E-02,1.052478E-02,6.157804E-03,3.401106E-03,1.757390E-03,7.933509E-04,3.080986E-04,1.208485E-04,4.289671E-05,1.066233E-05,2.322414E-06,4.284130E-07
22.92386,40.56594,0.00000,9.355927E-01,9.111563E-01,8.776264E-01,8.341635E-01,7.807505E-01,7.180488E-01,6.472830E-01,5.700908E-01,4.888077E-01,4.067420E-01,3.276889E-01,2.526749E-01,1.864584E-01,1.347994E-01,9.324857E-02,6.373533E-02,4.233750E-02,2.845192E-02,1.738825E-02,1.053519E-02,6.163454E-03,3.406481E-03,1.760869E-03,7.949531E-04,3.087302E-04,1.223040E-04,4.293709E-05,1.065955E-05,2.383338E-06,4.307464E-07
