lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.89771,40.56594,0.00000,4.205945E-01,3.945225E-01,3.687118E-01,3.432842E-01,3.158971E-01,2.891669E-01,2.634844E-01,2.389686E-01,2.157142E-01,1.937885E-01,1.749852E-01,1.576441E-01,1.411399E-01,1.247536E-01,1.097428E-01,9.607664E-02,8.385260E-02,7.332654E-02,6.335376E-02,5.446955E-02,4.661266E-02,4.011613E-02,3.439230E-02,2.937246E-02,2.498285E-02,2.118827E-02,1.789524E-02,1.505747E-02,1.247966E-02,1.024924E-02
22.90009,40.56594,0.00000,4.209763E-01,3.948992E-01,3.690803E-01,3.435917E-01,3.159292E-01,2.892019E-01,2.635213E-01,2.390071E-01,2.157538E-01,1.938287E-01,1.751658E-01,1.578068E-01,1.411776E-01,1.247902E-01,1.097781E-01,9.611042E-02,8.385035E-02,7.335492E-02,6.338011E-02,5.449375E-02,4.665791E-02,4.015376E-02,3.442353E-02,2.939872E-02,2.500120E-02,2.120655E-02,1.791094E-02,1.507103E-02,1.248790E-02,1.025643E-02
22.90246,40.56594,0.00000,4.223851E-01,3.963316E-01,3.705279E-01,3.436075E-01,3.159500E-01,2.892242E-01,2.635449E-01,2.390303E-01,2.157752E-01,1.950576E-01,1.764915E-01,1.589845E-01,1.411900E-01,1.248000E-01,1.097858E-01,9.611575E-02,8.386897E-02,7.336111E-02,6.338501E-02,5.449843E-02,4.681189E-02,4.027602E-02,3.451985E-02,2.947380E-02,2.507376E-02,2.125074E-02,1.794485E-02,1.509691E-02,1.249146E-02,1.025987E-02
22.90484,40.56594,0.00000,4.225025E-01,3.964498E-01,3.706442E-01,3.436368E-01,3.159819E-01,2.892589E-01,2.635814E-01,2.390683E-01,2.158146E-01,1.951486E-01,1.765776E-01,1.590225E-01,1.412274E-01,1.248364E-01,1.098209E-01,9.614931E-02,8.388760E-02,7.338936E-02,6.341141E-02,5.452245E-02,4.684782E-02,4.030726E-02,3.454718E-02,2.949798E-02,2.509482E-02,2.126898E-02,1.796108E-02,1.511110E-02,1.249966E-02,1.026701E-02
22.90722,40.56594,0.00000,4.226075E-01,3.965537E-01,3.707465E-01,3.436659E-01,3.160135E-01,2.892932E-01,2.636174E-01,2.391059E-01,2.158536E-01,1.952325E-01,1.766564E-01,1.590604E-01,1.412645E-01,1.248726E-01,1.098558E-01,9.618274E-02,8.390591E-02,7.341757E-02,6.343739E-02,5.454646E-02,4.688243E-02,4.033754E-02,3.457389E-02,2.952173E-02,2.511585E-02,2.128729E-02,1.797751E-02,1.512556E-02,1.250787E-02,1.027413E-02
22.90960,40.56594,0.00000,4.229330E-01,3.968917E-01,3.710962E-01,3.436946E-01,3.160451E-01,2.893271E-01,2.636533E-01,2.391435E-01,2.158925E-01,1.954364E-01,1.768468E-01,1.590980E-01,1.413015E-01,1.249088E-01,1.098906E-01,9.621616E-02,8.392429E-02,7.344578E-02,6.346371E-02,5.457037E-02,4.693811E-02,4.038381E-02,3.461252E-02,2.955422E-02,2.514073E-02,2.131004E-02,1.799691E-02,1.514203E-02,1.251610E-02,1.028127E-02
22.91197,40.56594,0.00000,4.229875E-01,3.969458E-01,3.711500E-01,3.437231E-01,3.160760E-01,2.893606E-01,2.636889E-01,2.391805E-01,2.159309E-01,1.954958E-01,1.769034E-01,1.591353E-01,1.413381E-01,1.249445E-01,1.099251E-01,9.624914E-02,8.394249E-02,7.347399E-02,6.348944E-02,5.459419E-02,4.696953E-02,4.041197E-02,3.463772E-02,2.957703E-02,2.515802E-02,2.132837E-02,1.801355E-02,1.515699E-02,1.252439E-02,1.028844E-02
22.91435,40.56594,0.00000,4.230771E-01,3.970343E-01,3.712362E-01,3.437516E-01,3.161070E-01,2.893942E-01,2.637240E-01,2.392176E-01,2.159692E-01,1.955702E-01,1.769729E-01,1.591723E-01,1.413746E-01,1.249802E-01,1.099595E-01,9.628233E-02,8.396031E-02,7.350203E-02,6.351548E-02,5.461814E-02,4.700188E-02,4.044120E-02,3.466395E-02,2.960072E-02,2.517696E-02,2.134747E-02,1.803101E-02,1.516826E-02,1.253277E-02,1.029570E-02
22.91673,40.56594,0.00000,4.231956E-01,3.971520E-01,3.713527E-01,3.438074E-01,3.161640E-01,2.894535E-01,2.637849E-01,2.392800E-01,2.160332E-01,1.956571E-01,1.770544E-01,1.592354E-01,1.414369E-01,1.250414E-01,1.100184E-01,9.633929E-02,8.399693E-02,7.355109E-02,6.356099E-02,5.465941E-02,4.703819E-02,4.047376E-02,3.469306E-02,2.962690E-02,2.519752E-02,2.136845E-02,1.805005E-02,1.518326E-02,1.254565E-02,1.030671E-02
22.91910,40.56594,0.00000,4.233698E-01,3.973253E-01,3.715236E-01,3.438354E-01,3.161946E-01,2.894864E-01,2.638196E-01,2.393162E-01,2.160710E-01,1.957733E-01,1.771622E-01,1.592720E-01,1.414730E-01,1.250767E-01,1.100526E-01,9.637216E-02,8.401467E-02,7.357928E-02,6.358710E-02,5.468340E-02,4.707849E-02,4.050970E-02,3.472504E-02,2.965535E-02,2.521963E-02,2.139116E-02,1.807055E-02,1.519310E-02,1.255426E-02,1.031421E-02
