lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.89771,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.145285E-01,3.731734E-01,1.738291E-01
22.90009,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.146270E-01,3.733540E-01,1.738275E-01
22.90246,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.147241E-01,3.735339E-01,1.738329E-01
22.90484,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.148168E-01,3.737181E-01,1.738414E-01
22.90722,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.149244E-01,3.738242E-01,1.738575E-01
22.90960,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.150522E-01,3.738383E-01,1.738832E-01
22.91197,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.152008E-01,3.738895E-01,1.739187E-01
22.91435,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.153945E-01,3.739875E-01,1.739650E-01
22.91673,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.156352E-01,3.741292E-01,1.740225E-01
22.91910,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.159123E-01,3.743158E-01,1.740912E-01
22.92148,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.162536E-01,3.745493E-01,1.741721E-01
22.92386,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.166524E-01,3.748292E-01,1.742649E-01
22.92623,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.171044E-01,3.751530E-01,1.743690E-01
22.92861,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.176118E-01,3.755203E-01,1.744847E-01
22.93099,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.181741E-01,3.759308E-01,1.746150E-01
22.93337,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.188122E-01,3.763761E-01,1.747520E-01
22.93574,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.195052E-01,3.768541E-01,1.748984E-01
22.93812,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.202620E-01,3.773618E-01,1.750539E-01
22.94050,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.210843E-01,3.778921E-01,1.752152E-01
22.94287,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.219469E-01,3.784310E-01,1.753806E-01
22.94525,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.228625E-01,3.789768E-01,1.755499E-01
22.94763,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.238270E-01,3.795100E-01,1.757405E-01
22.95000,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.248360E-01,3.800122E-01,1.759118E-01
22.95238,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.258892E-01,3.805270E-01,1.760825E-01
22.95476,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.269653E-01,3.810503E-01,1.762505E-01
22.95714,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.280738E-01,3.815786E-01,1.764138E-01
22.95951,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.291882E-01,3.820583E-01,1.765711E-01
22.96189,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.303035E-01,3.824944E-01,1.767211E-01
22.96427,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.314147E-01,3.829011E-01,1.768646E-01
22.96664,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.324990E-01,3.832726E-01,1.770001E-01
22.96902,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.335600E-01,3.836039E-01,1.771280E-01
22.97140,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.345917E-01,3.838933E-01,1.772481E-01
22.97378,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.355863E-01,3.841372E-01,1.773583E-01
22.97615,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.365440E-01,3.843366E-01,1.774607E-01
22.97853,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.374414E-01,3.845004E-01,1.775571E-01
22.98091,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.382666E-01,3.846276E-01,1.776463E-01
22.98328,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.390088E-01,3.847182E-01,1.777293E-01
22.98566,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.396254E-01,3.847526E-01,1.778080E-01
22.98804,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.400840E-01,3.847009E-01,1.778836E-01
22.99041,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.404607E-01,3.846345E-01,1.779573E-01
22.99279,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.407666E-01,3.845594E-01,1.780311E-01
22.99517,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.410081E-01,3.844928E-01,1.781346E-01
22.99755,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.411865E-01,3.844228E-01,1.782312E-01
22.99992,40.56594,1.000000E+01,1.000000E+01,1.000000E+01,6.412923E-01,3.843707E-01,1.783173E-01
