sids,lon,lat,depth,vs30,vs30measured
0,22.89771,40.56594,0.00000,3.48845E+02,0
1,22.90009,40.56594,0.00000,3.48845E+02,0
2,22.90246,40.56594,0.00000,3.48845E+02,0
3,22.90484,40.56594,0.00000,3.48845E+02,0
4,22.90722,40.56594,0.00000,3.48845E+02,0
5,22.90960,40.56594,0.00000,3.48845E+02,0
6,22.91197,40.56594,0.00000,3.48845E+02,0
7,22.91435,40.56594,0.00000,3.48845E+02,0
8,22.91673,40.56594,0.00000,3.48845E+02,0
9,22.91910,40.56594,0.00000,3.48845E+02,0
10,22.92148,40.56594,0.00000,3.48845E+02,0
11,22.92386,40.56594,0.00000,3.48845E+02,0
12,22.92623,40.56594,0.00000,3.48845E+02,0
13,22.92861,40.56594,0.00000,3.48845E+02,0
14,22.93099,40.56594,0.00000,3.48845E+02,0
15,22.93337,40.56594,0.00000,3.48845E+02,0
16,22.93574,40.56594,0.00000,3.48845E+02,0
17,22.93812,40.56594,0.00000,3.48845E+02,0
18,22.94050,40.56594,0.00000,3.48845E+02,0
19,22.94287,40.56594,0.00000,3.48845E+02,0
20,22.94525,40.56594,0.00000,3.48845E+02,0
21,22.94763,40.56594,0.00000,3.48845E+02,0
22,22.95000,40.56594,0.00000,3.48845E+02,0
23,22.95238,40.56594,0.00000,3.48845E+02,0
24,22.95476,40.56594,0.00000,3.48845E+02,0
25,22.95714,40.56594,0.00000,3.48845E+02,0
26,22.95951,40.56594,0.00000,3.48845E+02,0
27,22.96189,40.56594,0.00000,3.48845E+02,0
28,22.96427,40.56594,0.00000,3.48845E+02,0
29,22.96664,40.56594,0.00000,3.48845E+02,0
30,22.96902,40.56594,0.00000,3.48845E+02,0
31,22.97140,40.56594,0.00000,3.48845E+02,0
32,22.97378,40.56594,0.00000,3.48845E+02,0
33,22.97615,40.56594,0.00000,3.48845E+02,0
34,22.97853,40.56594,0.00000,3.48845E+02,0
35,22.98091,40.56594,0.00000,3.48845E+02,0
36,22.98328,40.56594,0.00000,3.48845E+02,0
37,22.98566,40.56594,0.00000,3.48845E+02,0
38,22.98804,40.56594,0.00000,3.48845E+02,0
39,22.99041,40.56594,0.00000,3.48845E+02,0
40,22.99279,40.56594,0.00000,3.48845E+02,0
41,22.99517,40.56594,0.00000,3.48845E+02,0
42,22.99755,40.56594,0.00000,3.48845E+02,0
43,22.99992,40.56594,0.00000,3.48845E+02,0
44,23.00230,40.56594,0.00000,3.48845E+02,0
45,22.89771,40.56817,0.00000,3.48845E+02,0
46,22.90009,40.56817,0.00000,3.48845E+02,0
47,22.90246,40.56817,0.00000,3.48845E+02,0
48,22.90484,40.56817,0.00000,3.48845E+02,0
49,22.90722,40.56817,0.00000,3.48845E+02,0
50,22.90960,40.56817,0.00000,3.48845E+02,0
51,22.91197,40.56817,0.00000,3.48845E+02,0
52,22.91435,40.56817,0.00000,3.48845E+02,0
53,22.91673,40.56817,0.00000,3.48845E+02,0
54,22.91910,40.56817,0.00000,3.48845E+02,0
55,22.92148,40.56817,0.00000,3.48845E+02,0
56,22.92386,40.56817,0.00000,3.48845E+02,0
57,22.92623,40.56817,0.00000,3.48845E+02,0
58,22.92861,40.56817,0.00000,3.48845E+02,0
59,22.93099,40.56817,0.00000,3.48845E+02,0
60,22.93337,40.56817,0.00000,3.48845E+02,0
61,22.93574,40.56817,0.00000,3.48845E+02,0
62,22.93812,40.56817,0.00000,3.48845E+02,0
63,22.94050,40.56817,0.00000,3.48845E+02,0
64,22.94287,40.56817,0.00000,3.48845E+02,0
65,22.94525,40.56817,0.00000,3.48845E+02,0
66,22.94763,40.56817,0.00000,3.48845E+02,0
67,22.95000,40.56817,0.00000,3.48845E+02,0
68,22.95238,40.56817,0.00000,3.48845E+02,0
69,22.95476,40.56817,0.00000,3.48845E+02,0
70,22.95714,40.56817,0.00000,3.48845E+02,0
71,22.95951,40.56817,0.00000,3.48845E+02,0
72,22.96189,40.56817,0.00000,3.48845E+02,0
73,22.96427,40.56817,0.00000,3.48845E+02,0
74,22.96664,40.56817,0.00000,3.48845E+02,0
75,22.96902,40.56817,0.00000,3.48845E+02,0
76,22.97140,40.56817,0.00000,3.48845E+02,0
77,22.97378,40.56817,0.00000,3.48845E+02,0
78,22.97615,40.56817,0.00000,3.48845E+02,0
79,22.97853,40.56817,0.00000,3.48845E+02,0
80,22.98091,40.56817,0.00000,3.48845E+02,0
81,22.98328,40.56817,0.00000,3.48845E+02,0
82,22.98566,40.56817,0.00000,3.48845E+02,0
83,22.98804,40.56817,0.00000,3.48845E+02,0
84,22.99041,40.56817,0.00000,3.48845E+02,0
85,22.99279,40.56817,0.00000,3.48845E+02,0
86,22.99517,40.56817,0.00000,3.48845E+02,0
87,22.99755,40.56817,0.00000,3.48845E+02,0
88,22.99992,40.56817,0.00000,3.48845E+02,0
89,23.00230,40.56817,0.00000,3.48845E+02,0
90,22.89771,40.57040,0.00000,3.48845E+02,0
91,22.90009,40.57040,0.00000,3.48845E+02,0
92,22.90246,40.57040,0.00000,3.48845E+02,0
93,22.90484,40.57040,0.00000,3.48845E+02,0
94,22.90722,40.57040,0.00000,3.48845E+02,0
95,22.90960,40.57040,0.00000,3.48845E+02,0
96,22.91197,40.57040,0.00000,3.48845E+02,0
97,22.91435,40.57040,0.00000,3.48845E+02,0
98,22.91673,40.57040,0.00000,3.48845E+02,0
99,22.91910,40.57040,0.00000,3.48845E+02,0
100,22.92148,40.57040,0.00000,3.48845E+02,0
101,22.92386,40.57040,0.00000,3.48845E+02,0
102,22.92623,40.57040,0.00000,3.48845E+02,0
103,22.92861,40.57040,0.00000,3.48845E+02,0
104,22.93099,40.57040,0.00000,3.48845E+02,0
105,22.93337,40.57040,0.00000,3.48845E+02,0
106,22.93574,40.57040,0.00000,3.48845E+02,0
107,22.93812,40.57040,0.00000,3.48845E+02,0
108,22.94050,40.57040,0.00000,3.48845E+02,0
109,22.94287,40.57040,0.00000,3.48845E+02,0
110,22.94525,40.57040,0.00000,3.48845E+02,0
111,22.94763,40.57040,0.00000,3.48845E+02,0
112,22.95000,40.57040,0.00000,3.48845E+02,0
113,22.95238,40.57040,0.00000,3.48845E+02,0
114,22.95476,40.57040,0.00000,3.48845E+02,0
115,22.95714,40.57040,0.00000,3.48845E+02,0
116,22.95951,40.57040,0.00000,3.48845E+02,0
117,22.96189,40.57040,0.00000,3.48845E+02,0
118,22.96427,40.57040,0.00000,3.48845E+02,0
119,22.96664,40.57040,0.00000,3.48845E+02,0
120,22.96902,40.57040,0.00000,3.48845E+02,0
121,22.97140,40.57040,0.00000,3.48845E+02,0
122,22.97378,40.57040,0.00000,3.48845E+02,0
123,22.97615,40.57040,0.00000,3.48845E+02,0
