lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.93400,40.57880,0.00000,9.270467E-01,8.992004E-01,8.620509E-01,8.146305E-01,7.567162E-01,6.889976E-01,6.131850E-01,5.319780E-01,4.488690E-01,3.677523E-01,2.922991E-01,2.253784E-01,1.686801E-01,1.226523E-01,8.672217E-02,5.965232E-02,3.991289E-02,2.595662E-02,1.637935E-02,1.000534E-02,5.897356E-03,3.340940E-03,1.809981E-03,9.321545E-04,4.525321E-04,2.051975E-04,8.607659E-05,3.296998E-05,1.127970E-05,3.391441E-06
22.93569,40.57880,0.00000,9.266687E-01,8.988348E-01,8.617076E-01,8.143206E-01,7.564505E-01,6.887847E-01,6.130313E-01,5.318828E-01,4.488276E-01,3.677543E-01,2.923311E-01,2.254271E-01,1.687342E-01,1.227039E-01,8.676683E-02,5.968827E-02,3.994061E-02,2.597733E-02,1.639474E-02,1.001680E-02,5.905819E-03,3.347140E-03,1.814394E-03,9.351789E-04,4.544927E-04,2.063941E-04,8.674328E-05,3.330195E-05,1.143198E-05,3.452774E-06
22.93739,40.57880,0.00000,9.269596E-01,8.991668E-01,8.620767E-01,8.147168E-01,7.568573E-01,6.891820E-01,6.133984E-01,5.322039E-01,4.490940E-01,3.679652E-01,2.924930E-01,2.255494E-01,1.688261E-01,1.227731E-01,8.681884E-02,5.972715E-02,3.996946E-02,2.599855E-02,1.641044E-02,1.002851E-02,5.914515E-03,3.353534E-03,1.818963E-03,9.382968E-04,4.565060E-04,2.076349E-04,8.742796E-05,3.363771E-05,1.158538E-05,3.515150E-06
22.93909,40.57880,0.00000,9.269583E-01,8.991678E-01,8.620812E-01,8.147261E-01,7.568733E-01,6.892068E-01,6.134338E-01,5.322508E-01,4.491520E-01,3.680315E-01,2.925635E-01,2.256193E-01,1.688913E-01,1.228298E-01,8.686572E-02,5.976414E-02,3.999773E-02,2.601968E-02,1.642625E-02,1.004038E-02,5.923379E-03,3.360069E-03,1.823638E-03,9.414760E-04,4.585551E-04,2.088914E-04,8.812159E-05,3.397741E-05,1.173839E-05,3.576492E-06
22.94079,40.57880,0.00000,9.269475E-01,8.991559E-01,8.620687E-01,8.147137E-01,7.568624E-01,6.892001E-01,6.134340E-01,5.322612E-01,4.491748E-01,3.680668E-01,2.926091E-01,2.256711E-01,1.689438E-01,1.228793E-01,8.690869E-02,5.979925E-02,4.002524E-02,2.604064E-02,1.644211E-02,1.005238E-02,5.932382E-03,3.366722E-03,1.828401E-03,9.447047E-04,4.606241E-04,2.101604E-04,8.881441E-05,3.431477E-05,1.189046E-05,3.636388E-06
22.94248,40.57880,0.00000,9.271067E-01,8.993003E-01,8.621898E-01,8.147966E-01,7.568873E-01,6.891450E-01,6.132810E-01,5.320027E-01,4.488185E-01,3.676361E-01,2.921413E-01,2.252050E-01,1.685137E-01,1.225077E-01,8.660638E-02,5.956623E-02,3.985408E-02,2.592055E-02,1.636177E-02,1.000111E-02,5.901287E-03,3.348902E-03,1.818807E-03,9.398782E-04,4.584030E-04,2.092765E-04,8.850152E-05,3.421907E-05,1.187163E-05,3.636517E-06
22.94418,40.57880,0.00000,9.271091E-01,8.993057E-01,8.621991E-01,8.148114E-01,7.569091E-01,6.891757E-01,6.133221E-01,5.320550E-01,4.488809E-01,3.677062E-01,2.922144E-01,2.252768E-01,1.685796E-01,1.225650E-01,8.665363E-02,5.960345E-02,3.988257E-02,2.594198E-02,1.637793E-02,1.001334E-02,5.910491E-03,3.355718E-03,1.823657E-03,9.431465E-04,4.604768E-04,2.105327E-04,8.917467E-05,3.454080E-05,1.201772E-05,3.691050E-06
22.94588,40.57880,0.00000,9.271107E-01,8.993102E-01,8.622073E-01,8.148247E-01,7.569289E-01,6.892041E-01,6.133605E-01,5.321043E-01,4.489407E-01,3.677737E-01,2.922859E-01,2.253473E-01,1.686449E-01,1.226221E-01,8.670067E-02,5.964071E-02,3.991113E-02,2.596348E-02,1.639419E-02,1.002565E-02,5.919765E-03,3.362588E-03,1.828533E-03,9.464197E-04,4.625604E-04,2.117720E-04,8.983486E-05,3.485380E-05,1.215830E-05,3.742359E-06
22.94757,40.57880,0.00000,9.271972E-01,8.994064E-01,8.623146E-01,8.149441E-01,7.570618E-01,6.893506E-01,6.135198E-01,5.322738E-01,4.491146E-01,3.679442E-01,2.924441E-01,2.254858E-01,1.687590E-01,1.227108E-01,8.676647E-02,5.968774E-02,3.994427E-02,2.598689E-02,1.641112E-02,1.003816E-02,5.929078E-03,3.369452E-03,1.833391E-03,9.496589E-04,4.646196E-04,2.129778E-04,9.047334E-05,3.515421E-05,1.229122E-05,3.790011E-06
22.94927,40.57880,0.00000,9.272117E-01,8.994278E-01,8.623452E-01,8.149859E-01,7.571161E-01,6.894183E-01,6.136004E-01,5.323647E-01,4.492121E-01,3.680432E-01,2.925390E-01,2.255722E-01,1.688340E-01,1.227732E-01,8.681623E-02,5.972622E-02,3.997340E-02,2.600872E-02,1.642759E-02,1.005061E-02,5.938427E-03,3.376350E-03,1.838267E-03,9.528858E-04,4.666742E-04,2.141580E-04,9.109153E-05,3.544120E-05,1.241644E-05,3.833710E-06
22.95097,40.57880,0.00000,9.276190E-01,8.999919E-01,8.630905E-01,8.159274E-01,7.582572E-01,6.907461E-01,6.150849E-01,5.339561E-01,4.508430E-01,3.696354E-01,2.940184E-01,2.268801E-01,1.699363E-01,1.236622E-01,8.750488E-02,6.024047E-02,4.034505E-02,2.626948E-02,1.660557E-02,1.016887E-02,6.014808E-03,3.424207E-03,1.867214E-03,9.696150E-04,4.759138E-04,2.189365E-04,9.338394E-05,3.644672E-05,1.282005E-05,3.973090E-06
22.95266,40.57880,0.00000,9.276240E-01,9.000008E-01,8.631047E-01,8.159486E-01,7.582868E-01,6.907861E-01,6.151366E-01,5.340190E-01,4.509155E-01,3.697137E-01,2.940981E-01,2.269563E-01,1.700051E-01,1.237212E-01,8.755312E-02,6.027839E-02,4.037407E-02,2.629138E-02,1.662210E-02,1.018133E-02,6.024129E-03,3.431024E-03,1.871991E-03,9.727315E-04,4.778679E-04,2.200298E-04,9.394476E-05,3.670182E-05,1.292520E-05,4.006858E-06
22.95436,40.57880,0.00000,9.276300E-01,9.000109E-01,8.631202E-01,8.159712E-01,7.583175E-01,6.908265E-01,6.151871E-01,5.340797E-01,4.509848E-01,3.697886E-01,2.941745E-01,2.270301E-01,1.700726E-01,1.237796E-01,8.760124E-02,6.031644E-02,4.040327E-02,2.631346E-02,1.663875E-02,1.019386E-02,6.033457E-03,3.437808E-03,1.876707E-03,9.757844E-04,4.797610E-04,2.210706E-04,9.446888E-05,3.693532E-05,1.301780E-05,4.034903E-06
22.95606,40.57880,0.00000,9.276490E-01,9.000386E-01,8.631594E-01,8.160238E-01,7.583855E-01,6.909096E-01,6.152838E-01,5.341857E-01,4.510942E-01,3.698952E-01,2.942732E-01,2.271176E-01,1.701471E-01,1.238413E-01,8.765060E-02,6.035489E-02,4.043264E-02,2.633559E-02,1.665540E-02,1.020634E-02,6.042724E-03,3.444528E-03,1.881352E-03,9.787871E-04,4.816067E-04,2.220817E-04,9.497526E-05,3.715950E-05,1.310545E-05,4.061079E-06
