lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.93400,40.57880,0.00000,3.733182E-01,3.469300E-01,3.211844E-01,2.961907E-01,2.720482E-01,2.488510E-01,2.266821E-01,2.056132E-01,1.857003E-01,1.669857E-01,1.494972E-01,1.332489E-01,1.182404E-01,1.044567E-01,9.186895E-02,8.043855E-02,7.011989E-02,6.085456E-02,5.258285E-02,4.523565E-02,3.874496E-02,3.304245E-02,2.805738E-02,2.372019E-02,1.996676E-02,1.673432E-02,1.396333E-02,1.159921E-02,9.592340E-03,7.896901E-03
22.93569,40.57880,0.00000,3.731823E-01,3.468134E-01,3.210860E-01,2.961091E-01,2.719819E-01,2.487984E-01,2.266419E-01,2.055837E-01,1.856802E-01,1.669734E-01,1.494916E-01,1.332487E-01,1.182446E-01,1.044643E-01,9.187928E-02,8.045090E-02,7.013360E-02,6.086908E-02,5.259775E-02,4.525072E-02,3.875988E-02,3.305700E-02,2.807135E-02,2.373357E-02,1.997938E-02,1.674612E-02,1.397432E-02,1.160937E-02,9.601617E-03,7.905390E-03
22.93739,40.57880,0.00000,3.736641E-01,3.472631E-01,3.215027E-01,2.964925E-01,2.723323E-01,2.491167E-01,2.269290E-01,2.058411E-01,1.859096E-01,1.671766E-01,1.496707E-01,1.334058E-01,1.183817E-01,1.045834E-01,9.198245E-02,8.053997E-02,7.021043E-02,6.093510E-02,5.265447E-02,4.529942E-02,3.880167E-02,3.309290E-02,2.810215E-02,2.376015E-02,2.000228E-02,1.676586E-02,1.399139E-02,1.162417E-02,9.614412E-03,7.916515E-03
22.93909,40.57880,0.00000,3.737127E-01,3.473125E-01,3.215523E-01,2.965420E-01,2.723813E-01,2.491651E-01,2.269763E-01,2.058871E-01,1.859540E-01,1.672192E-01,1.497113E-01,1.334443E-01,1.184182E-01,1.046178E-01,9.201464E-02,8.057013E-02,7.023861E-02,6.096126E-02,5.267874E-02,4.532194E-02,3.882252E-02,3.311210E-02,2.811979E-02,2.377642E-02,2.001717E-02,1.677942E-02,1.400375E-02,1.163541E-02,9.624548E-03,7.925654E-03
22.94079,40.57880,0.00000,3.737030E-01,3.473028E-01,3.215430E-01,2.965329E-01,2.723725E-01,2.491566E-01,2.269682E-01,2.058794E-01,1.859470E-01,1.672128E-01,1.497056E-01,1.334396E-01,1.184145E-01,1.046150E-01,9.201293E-02,8.056953E-02,7.023918E-02,6.096289E-02,5.268138E-02,4.532560E-02,3.882706E-02,3.311741E-02,2.812563E-02,2.378283E-02,2.002389E-02,1.678631E-02,1.401071E-02,1.164234E-02,9.631311E-03,7.932145E-03
22.94248,40.57880,0.00000,3.711398E-01,3.447766E-01,3.190635E-01,2.941104E-01,2.700174E-01,2.468787E-01,2.247769E-01,2.037836E-01,1.839535E-01,1.653278E-01,1.479342E-01,1.317847E-01,1.168784E-01,1.031971E-01,9.071201E-02,7.938336E-02,6.916361E-02,5.999341E-02,5.181232E-02,4.455064E-02,3.813997E-02,3.251133E-02,2.759335E-02,2.331799E-02,1.961987E-02,1.643687E-02,1.370988E-02,1.138459E-02,9.411627E-03,7.745716E-03
22.94418,40.57880,0.00000,3.711930E-01,3.448302E-01,3.191172E-01,2.941636E-01,2.700699E-01,2.469302E-01,2.248271E-01,2.038321E-01,1.840001E-01,1.653723E-01,1.479765E-01,1.318248E-01,1.169161E-01,1.032326E-01,9.074517E-02,7.941438E-02,6.919257E-02,6.002028E-02,5.183725E-02,4.457380E-02,3.816136E-02,3.253108E-02,2.761146E-02,2.333469E-02,1.963516E-02,1.645079E-02,1.372255E-02,1.139611E-02,9.422029E-03,7.755037E-03
22.94588,40.57880,0.00000,3.712418E-01,3.448794E-01,3.191664E-01,2.942125E-01,2.701181E-01,2.469775E-01,2.248731E-01,2.038766E-01,1.840429E-01,1.654132E-01,1.480155E-01,1.318618E-01,1.169511E-01,1.032655E-01,9.077618E-02,7.944349E-02,6.921988E-02,6.004577E-02,5.186103E-02,4.459598E-02,3.818199E-02,3.255023E-02,2.762909E-02,2.335102E-02,1.965019E-02,1.646452E-02,1.373508E-02,1.140755E-02,9.432396E-03,7.764331E-03
22.94757,40.57880,0.00000,3.714655E-01,3.451035E-01,3.193899E-01,2.944345E-01,2.703376E-01,2.471937E-01,2.250851E-01,2.040835E-01,1.842439E-01,1.656074E-01,1.482021E-01,1.320404E-01,1.171209E-01,1.034261E-01,9.092718E-02,7.958470E-02,6.935109E-02,6.016685E-02,5.197202E-02,4.469708E-02,3.827339E-02,3.263225E-02,2.770207E-02,2.341552E-02,1.970674E-02,1.651364E-02,1.377743E-02,1.144382E-02,9.463192E-03,7.790232E-03
22.94927,40.57880,0.00000,3.715844E-01,3.452222E-01,3.195075E-01,2.945502E-01,2.704506E-01,2.473032E-01,2.251904E-01,2.041839E-01,1.843391E-01,1.656970E-01,1.482858E-01,1.321180E-01,1.171926E-01,1.034918E-01,9.098706E-02,7.963904E-02,6.940021E-02,6.021103E-02,5.201159E-02,4.473248E-02,3.830498E-02,3.266036E-02,2.772695E-02,2.343763E-02,1.972636E-02,1.653094E-02,1.379270E-02,1.145733E-02,9.475118E-03,7.800670E-03
