lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.93400,40.57880,0.00000,9.288755E-01,8.993736E-01,8.627530E-01,8.149574E-01,7.563271E-01,6.878778E-01,6.115300E-01,5.288914E-01,4.477004E-01,3.649881E-01,2.891104E-01,2.200507E-01,1.625141E-01,1.150472E-01,8.033442E-02,5.450824E-02,3.582694E-02,2.358745E-02,1.490334E-02,9.031978E-03,5.292795E-03,2.959303E-03,1.498926E-03,6.390025E-04,2.432727E-04,8.050291E-05,2.408395E-05,5.360676E-06,9.593145E-07,2.124103E-08
22.93569,40.57880,0.00000,9.288790E-01,8.962972E-01,8.604417E-01,8.149887E-01,7.563745E-01,6.879407E-01,6.116116E-01,5.289962E-01,4.478198E-01,3.651080E-01,2.892300E-01,2.200892E-01,1.625531E-01,1.150859E-01,8.036691E-02,5.453468E-02,3.585566E-02,2.360624E-02,1.491634E-02,9.041553E-03,5.299433E-03,2.964503E-03,1.502195E-03,6.406424E-04,2.440037E-04,8.079031E-05,2.442469E-05,5.513470E-06,9.885064E-07,2.147078E-08
22.93739,40.57880,0.00000,9.288824E-01,8.963077E-01,8.604275E-01,8.150211E-01,7.564214E-01,6.880048E-01,6.116935E-01,5.291013E-01,4.479403E-01,3.652281E-01,2.893502E-01,2.202066E-01,1.626389E-01,1.151394E-01,8.040967E-02,5.456650E-02,3.588491E-02,2.362543E-02,1.492968E-02,9.051489E-03,5.306421E-03,2.969990E-03,1.505612E-03,6.424054E-04,2.447876E-04,8.110332E-05,2.485501E-05,5.669138E-06,1.016381E-06,2.170023E-08
22.93909,40.57880,0.00000,9.288859E-01,8.963177E-01,8.604131E-01,8.150525E-01,7.564675E-01,6.880683E-01,6.117752E-01,5.292060E-01,4.480597E-01,3.653479E-01,2.894704E-01,2.202456E-01,1.626782E-01,1.151781E-01,8.044211E-02,5.459278E-02,3.591450E-02,2.364483E-02,1.494333E-02,9.061690E-03,5.313692E-03,2.975700E-03,1.509158E-03,6.442558E-04,2.456192E-04,8.172091E-05,2.520131E-05,5.799282E-06,1.046894E-06,2.250142E-08
22.94079,40.57880,0.00000,9.288758E-01,8.963134E-01,8.603985E-01,8.150449E-01,7.564638E-01,6.880683E-01,6.117805E-01,5.292056E-01,4.480804E-01,3.653826E-01,2.895164E-01,2.202846E-01,1.627180E-01,1.152166E-01,8.047443E-02,5.461925E-02,3.594429E-02,2.366445E-02,1.495713E-02,9.072092E-03,5.321174E-03,2.981583E-03,1.512851E-03,6.461854E-04,2.465091E-04,8.277750E-05,2.535238E-05,5.865503E-06,1.076418E-06,2.456241E-08
22.94248,40.57880,0.00000,9.286770E-01,8.990278E-01,8.624165E-01,8.145374E-01,7.558197E-01,6.872936E-01,6.109089E-01,5.283567E-01,4.471871E-01,3.645196E-01,2.887459E-01,2.197693E-01,1.622745E-01,1.148161E-01,8.017220E-02,5.438532E-02,3.579342E-02,2.355702E-02,1.488118E-02,9.024136E-03,5.292123E-03,2.965264E-03,1.501600E-03,6.409473E-04,2.443420E-04,8.277642E-05,2.508308E-05,5.812094E-06,1.079049E-06,2.139326E-08
22.94418,40.57880,0.00000,9.286803E-01,8.990255E-01,8.624351E-01,8.145676E-01,7.558658E-01,6.873564E-01,6.109893E-01,5.284165E-01,4.473057E-01,3.646393E-01,2.888658E-01,2.198111E-01,1.623151E-01,1.148551E-01,8.020451E-02,5.441159E-02,3.582362E-02,2.357708E-02,1.489544E-02,9.034907E-03,5.299902E-03,2.971446E-03,1.505502E-03,6.430213E-04,2.453960E-04,8.373844E-05,2.526956E-05,5.888412E-06,1.103355E-06,2.311698E-08
22.94588,40.57880,0.00000,9.286820E-01,8.990229E-01,8.624523E-01,8.145969E-01,7.559084E-01,6.874146E-01,6.110657E-01,5.285085E-01,4.474135E-01,3.647546E-01,2.889829E-01,2.198527E-01,1.623557E-01,1.148939E-01,8.023661E-02,5.443777E-02,3.585409E-02,2.359737E-02,1.490985E-02,9.045793E-03,5.307765E-03,2.977680E-03,1.509508E-03,6.451728E-04,2.464920E-04,8.464942E-05,2.547306E-05,5.968589E-06,1.127060E-06,2.458147E-08
22.94757,40.57880,0.00000,9.287230E-01,8.994842E-01,8.625109E-01,8.146817E-01,7.560250E-01,6.875671E-01,6.112562E-01,5.289006E-01,4.478362E-01,3.650169E-01,2.892366E-01,2.198941E-01,1.623956E-01,1.150120E-01,8.026844E-02,5.446364E-02,3.588710E-02,2.361809E-02,1.492495E-02,9.056773E-03,5.315606E-03,2.983879E-03,1.513572E-03,6.473830E-04,2.476225E-04,8.548677E-05,2.569890E-05,6.051582E-06,1.147169E-06,2.575758E-08
22.94927,40.57880,0.00000,9.287494E-01,8.995175E-01,8.625618E-01,8.147562E-01,7.561266E-01,6.876988E-01,6.114160E-01,5.291232E-01,4.480629E-01,3.652067E-01,2.894114E-01,2.199357E-01,1.624354E-01,1.150978E-01,8.030029E-02,5.448968E-02,3.591841E-02,2.363892E-02,1.493963E-02,9.067770E-03,5.323465E-03,2.990073E-03,1.517761E-03,6.496637E-04,2.487937E-04,8.625402E-05,2.593324E-05,6.138590E-06,1.163675E-06,2.664097E-08
22.95097,40.57880,0.00000,9.292034E-01,9.001791E-01,8.634493E-01,8.158825E-01,7.574834E-01,6.892582E-01,6.131285E-01,5.308805E-01,4.498537E-01,3.669592E-01,2.910144E-01,2.213441E-01,1.635850E-01,1.159704E-01,8.098210E-02,5.500934E-02,3.624558E-02,2.386935E-02,1.510326E-02,9.175980E-03,5.392238E-03,3.033446E-03,1.547369E-03,6.641970E-04,2.553114E-04,8.868663E-05,2.693298E-05,6.445525E-06,1.222360E-06,3.704097E-08
22.95266,40.57880,0.00000,9.292119E-01,9.001924E-01,8.634735E-01,8.159202E-01,7.575389E-01,6.893324E-01,6.132242E-01,5.310230E-01,4.500089E-01,3.670939E-01,2.911473E-01,2.213849E-01,1.636247E-01,1.160514E-01,8.101368E-02,5.503508E-02,3.627746E-02,2.389069E-02,1.511807E-02,9.186906E-03,5.399917E-03,3.039393E-03,1.551773E-03,6.665839E-04,2.565577E-04,8.928691E-05,2.718145E-05,6.548153E-06,1.231826E-06,3.701016E-08
22.95436,40.57880,0.00000,9.292216E-01,9.002081E-01,8.635010E-01,8.159631E-01,7.575996E-01,6.894125E-01,6.133238E-01,5.311559E-01,4.501507E-01,3.672264E-01,2.912760E-01,2.214262E-01,1.636644E-01,1.161309E-01,8.104526E-02,5.506078E-02,3.630989E-02,2.391234E-02,1.513307E-02,9.197810E-03,5.407528E-03,3.045179E-03,1.556249E-03,6.690346E-04,2.578428E-04,8.979228E-05,2.743502E-05,6.652974E-06,1.236374E-06,3.607923E-08
22.95606,40.57880,0.00000,9.292538E-01,9.002470E-01,8.635601E-01,8.160485E-01,7.577156E-01,6.895608E-01,6.135026E-01,5.314807E-01,4.504625E-01,3.674251E-01,2.914526E-01,2.214672E-01,1.637044E-01,1.162109E-01,8.107673E-02,5.508642E-02,3.634258E-02,2.393433E-02,1.514810E-02,9.208584E-03,5.414939E-03,3.050735E-03,1.560754E-03,6.715709E-04,2.591468E-04,9.026474E-05,2.769100E-05,6.758748E-06,1.239620E-06,3.506005E-08
22.95775,40.57880,0.00000,9.292594E-01,9.002581E-01,8.635811E-01,8.160821E-01,7.577648E-01,6.896275E-01,6.135871E-01,5.315933E-01,4.505868E-01,3.675461E-01,2.915737E-01,2.215079E-01,1.637440E-01,1.162905E-01,8.110795E-02,5.511168E-02,3.637542E-02,2.395635E-02,1.516303E-02,9.219165E-03,5.422123E-03,3.055998E-03,1.565247E-03,6.741182E-04,2.604770E-04,9.071639E-05,2.794943E-05,6.836998E-06,1.242127E-06,3.403451E-08
22.95945,40.57880,0.00000,9.405577E-01,9.170088E-01,8.859932E-01,8.448040E-01,7.926689E-01,7.300277E-01,6.582624E-01,5.796576E-01,4.974697E-01,4.164085E-01,3.345579E-01,2.618875E-01,1.961180E-01,1.420191E-01,1.005932E-01,6.916551E-02,4.618540E-02,3.051108E-02,1.989358E-02,1.234435E-02,7.401984E-03,4.282214E-03,2.365002E-03,1.111652E-03,4.593006E-04,1.682918E-04,5.744550E-05,1.545262E-05,3.399598E-06,5.198627E-07
22.96115,40.57880,0.00000,9.405574E-01,9.170035E-01,8.860049E-01,8.448257E-01,7.927034E-01,7.300772E-01,6.583291E-01,5.797416E-01,4.975768E-01,4.165289E-01,3.346765E-01,2.619255E-01,1.962287E-01,1.420575E-01,1.006281E-01,6.919634E-02,4.622634E-02,3.053932E-02,1.991245E-02,1.235706E-02,7.410389E-03,4.288054E-03,2.369129E-03,1.115198E-03,4.612945E-04,1.692588E-04,5.792613E-05,1.551887E-05,3.424129E-06,5.169769E-07
22.96285,40.57880,0.00000,9.405835E-01,9.169981E-01,8.860537E-01,8.448983E-01,7.928052E-01,7.302119E-01,6.584973E-01,5.799387E-01,4.979063E-01,4.168326E-01,3.348749E-01,2.619635E-01,1.963704E-01,1.420962E-01,1.006630E-01,6.922701E-02,4.626782E-02,3.056787E-02,1.993144E-02,1.236971E-02,7.418529E-03,4.293529E-03,2.372904E-03,1.118738E-03,4.632730E-04,1.702249E-04,5.840392E-05,1.565728E-05,3.486385E-06,5.140767E-07
22.96454,40.57880,0.00000,9.405833E-01,9.169925E-01,8.860649E-01,8.449196E-01,7.928388E-01,7.302609E-01,6.585638E-01,5.800219E-01,4.980128E-01,4.169522E-01,3.349926E-01,2.620014E-01,1.964808E-01,1.421336E-01,1.006976E-01,6.925737E-02,4.630946E-02,3.059652E-02,1.995047E-02,1.238218E-02,7.426311E-03,4.298618E-03,2.376305E-03,1.122246E-03,4.652453E-04,1.711791E-04,5.888092E-05,1.583768E-05,3.547149E-06,5.111797E-07
22.96624,40.57880,0.00000,9.405829E-01,9.169869E-01,8.860759E-01,8.449405E-01,7.928733E-01,7.303107E-01,6.586288E-01,5.801047E-01,4.981192E-01,4.170721E-01,3.351111E-01,2.620391E-01,1.965919E-01,1.421720E-01,1.007321E-01,6.928783E-02,4.635190E-02,3.062573E-02,1.996969E-02,1.239450E-02,7.433858E-03,4.303400E-03,2.379335E-03,1.125722E-03,4.672371E-04,1.721512E-04,5.935340E-05,1.602206E-05,3.609834E-06,5.082521E-07
22.96794,40.57880,0.00000,9.402844E-01,9.164307E-01,8.854792E-01,8.441712E-01,7.919320E-01,7.292156E-01,6.574139E-01,5.788134E-01,4.968519E-01,4.158290E-01,3.339310E-01,2.608320E-01,1.957558E-01,1.413921E-01,1.001330E-01,6.882904E-02,4.609890E-02,3.044316E-02,1.983703E-02,1.230323E-02,7.375125E-03,4.266536E-03,2.357114E-03,1.113380E-03,4.618487E-04,1.699916E-04,5.861417E-05,1.579905E-05,3.566817E-06,4.862317E-07
22.96963,40.57880,0.00000,9.402837E-01,9.164348E-01,8.854900E-01,8.441920E-01,7.919658E-01,7.292643E-01,6.574786E-01,5.788947E-01,4.969575E-01,4.159476E-01,3.340483E-01,2.608695E-01,1.958665E-01,1.414897E-01,1.001782E-01,6.885898E-02,4.614164E-02,3.047263E-02,1.985617E-02,1.231512E-02,7.381958E-03,4.270471E-03,2.359307E-03,1.116700E-03,4.637176E-04,1.708967E-04,5.906702E-05,1.596947E-05,3.577240E-06,4.833517E-07
