lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.93400,40.57880,0.00000,3.802158E-01,3.517756E-01,3.236473E-01,2.964027E-01,2.701711E-01,2.450775E-01,2.213570E-01,2.011363E-01,1.819938E-01,1.628363E-01,1.445263E-01,1.276538E-01,1.121927E-01,9.812613E-02,8.581780E-02,7.474462E-02,6.448618E-02,5.565287E-02,4.804790E-02,4.132464E-02,3.541214E-02,3.015175E-02,2.572225E-02,2.181856E-02,1.821059E-02,1.508126E-02,1.241630E-02,1.016018E-02,8.548462E-03,7.110087E-03
22.93569,40.57880,0.00000,3.802992E-01,3.517925E-01,3.236662E-01,2.964234E-01,2.701934E-01,2.451012E-01,2.214298E-01,2.012056E-01,1.820597E-01,1.628610E-01,1.445510E-01,1.276783E-01,1.122166E-01,9.814955E-02,8.542749E-02,7.476521E-02,6.450557E-02,5.568746E-02,4.807955E-02,4.135371E-02,3.543857E-02,3.017389E-02,2.574231E-02,2.183951E-02,1.821977E-02,1.508943E-02,1.242351E-02,1.017329E-02,8.562351E-03,7.114402E-03
22.93739,40.57880,0.00000,3.803828E-01,3.526895E-01,3.244751E-01,2.971453E-01,2.708318E-01,2.456601E-01,2.217469E-01,2.012753E-01,1.821255E-01,1.631995E-01,1.448381E-01,1.279200E-01,1.124186E-01,9.831759E-02,8.556607E-02,7.478019E-02,6.461715E-02,5.572245E-02,4.811169E-02,4.138330E-02,3.546613E-02,3.019650E-02,2.576281E-02,2.186093E-02,1.824907E-02,1.511316E-02,1.244262E-02,1.018888E-02,8.576596E-03,7.131110E-03
22.93909,40.57880,0.00000,3.804666E-01,3.527077E-01,3.244951E-01,2.971670E-01,2.708551E-01,2.456845E-01,2.217725E-01,2.013455E-01,1.821916E-01,1.632248E-01,1.448634E-01,1.279448E-01,1.124428E-01,9.834125E-02,8.558893E-02,7.479174E-02,6.463703E-02,5.575772E-02,4.814404E-02,4.141314E-02,3.549368E-02,3.021940E-02,2.578358E-02,2.188264E-02,1.825854E-02,1.512163E-02,1.245008E-02,1.020469E-02,8.591080E-03,7.135595E-03
22.94079,40.57880,0.00000,3.803811E-01,3.527256E-01,3.245150E-01,2.971885E-01,2.708782E-01,2.457089E-01,2.217978E-01,2.012115E-01,1.820601E-01,1.632499E-01,1.448883E-01,1.279696E-01,1.124669E-01,9.836486E-02,8.561172E-02,7.480314E-02,6.465673E-02,5.576357E-02,4.815183E-02,4.142265E-02,3.550481E-02,3.020941E-02,2.577689E-02,2.189643E-02,1.826812E-02,1.513019E-02,1.245762E-02,1.022042E-02,8.605592E-03,7.140128E-03
22.94248,40.57880,0.00000,3.767695E-01,3.501323E-01,3.219946E-01,2.947514E-01,2.685308E-01,2.434619E-01,2.196542E-01,1.984861E-01,1.794871E-01,1.614249E-01,1.431896E-01,1.263950E-01,1.110163E-01,9.703664E-02,8.486072E-02,7.388532E-02,6.370825E-02,5.465561E-02,4.717159E-02,4.055925E-02,3.474916E-02,2.956227E-02,2.521176E-02,2.140259E-02,1.792375E-02,1.483300E-02,1.220223E-02,9.988347E-03,8.407798E-03,7.005393E-03
22.94418,40.57880,0.00000,3.768536E-01,3.501599E-01,3.220232E-01,2.947813E-01,2.685615E-01,2.434931E-01,2.196857E-01,1.985564E-01,1.795534E-01,1.614540E-01,1.432181E-01,1.264227E-01,1.110430E-01,9.706246E-02,8.487435E-02,7.390729E-02,6.372926E-02,5.469093E-02,4.720415E-02,4.058949E-02,3.477703E-02,2.958564E-02,2.523286E-02,2.142462E-02,1.793369E-02,1.484183E-02,1.221003E-02,1.000448E-02,8.422598E-03,7.010137E-03
22.94588,40.57880,0.00000,3.769198E-01,3.501872E-01,3.220517E-01,2.948111E-01,2.685920E-01,2.435240E-01,2.197170E-01,1.986167E-01,1.796103E-01,1.614830E-01,1.432464E-01,1.264503E-01,1.110696E-01,9.708823E-02,8.488812E-02,7.392959E-02,6.375024E-02,5.472352E-02,4.723437E-02,4.061786E-02,3.480349E-02,2.960837E-02,2.525355E-02,2.144607E-02,1.794374E-02,1.485073E-02,1.221789E-02,1.002067E-02,8.437470E-03,7.014895E-03
22.94757,40.57880,0.00000,3.774259E-01,3.502142E-01,3.220799E-01,2.948405E-01,2.686221E-01,2.435546E-01,2.197477E-01,1.989504E-01,1.799374E-01,1.615117E-01,1.432744E-01,1.264777E-01,1.110960E-01,9.711369E-02,8.504638E-02,7.395158E-02,6.377111E-02,5.499823E-02,4.748479E-02,4.084437E-02,3.494172E-02,2.971622E-02,2.534823E-02,2.154325E-02,1.795379E-02,1.485964E-02,1.222577E-02,1.005031E-02,8.462007E-03,7.019671E-03
22.94927,40.57880,0.00000,3.777063E-01,3.502415E-01,3.221083E-01,2.948699E-01,2.686522E-01,2.435853E-01,2.197789E-01,1.991421E-01,1.801165E-01,1.615404E-01,1.433025E-01,1.265051E-01,1.111223E-01,9.713931E-02,8.506039E-02,7.397392E-02,6.379191E-02,5.507033E-02,4.754760E-02,4.089924E-02,3.495797E-02,2.975013E-02,2.537753E-02,2.156895E-02,1.796399E-02,1.486867E-02,1.223377E-02,1.006685E-02,8.477161E-03,7.024501E-03
