lon,lat,PGV,PGA
22.93400,40.57880,9.360172E+00,1.599146E-01
22.93569,40.57880,9.366737E+00,1.600137E-01
22.93739,40.57880,9.376773E+00,1.601170E-01
22.93909,40.57880,9.383495E+00,1.602234E-01
22.94079,40.57880,9.390163E+00,1.603323E-01
22.94248,40.57880,9.275989E+00,1.598517E-01
22.94418,40.57880,9.283635E+00,1.599645E-01
22.94588,40.57880,9.291218E+00,1.600787E-01
22.94757,40.57880,9.302848E+00,1.601935E-01
22.94927,40.57880,9.310308E+00,1.603086E-01
22.95097,40.57880,9.565120E+00,1.614061E-01
22.95266,40.57880,9.573169E+00,1.615200E-01
22.95436,40.57880,9.581128E+00,1.616336E-01
22.95606,40.57880,9.588765E+00,1.617453E-01
22.95775,40.57880,9.596338E+00,1.618546E-01
22.95945,40.57880,1.000000E+01,1.926641E-01
22.96115,40.57880,1.000000E+01,1.927906E-01
22.96285,40.57880,1.000000E+01,1.929136E-01
22.96454,40.57880,1.000000E+01,1.930316E-01
22.96624,40.57880,1.000000E+01,1.931463E-01
22.96794,40.57880,1.000000E+01,1.922591E-01
22.96963,40.57880,1.000000E+01,1.923642E-01
22.97133,40.57880,1.000000E+01,1.924655E-01
22.97303,40.57880,1.000000E+01,1.925628E-01
22.93400,40.58123,9.370561E+00,1.602392E-01
22.93569,40.58123,9.372315E+00,1.603414E-01
22.93739,40.58123,9.382113E+00,1.604477E-01
22.93909,40.58123,9.388611E+00,1.605562E-01
22.94079,40.58123,9.395177E+00,1.606687E-01
22.94248,40.58123,9.289602E+00,1.601913E-01
22.94418,40.58123,9.297108E+00,1.603078E-01
22.94588,40.58123,9.304553E+00,1.604255E-01
22.94757,40.58123,9.311872E+00,1.605432E-01
22.94927,40.58123,9.323102E+00,1.606626E-01
22.95097,40.58123,9.581667E+00,1.617665E-01
22.95266,40.58123,9.587797E+00,1.618839E-01
22.95436,40.58123,9.593852E+00,1.620007E-01
22.95606,40.58123,9.599814E+00,1.621155E-01
22.95775,40.58123,9.605614E+00,1.622282E-01
22.95945,40.58123,1.000000E+01,1.931119E-01
22.96115,40.58123,1.000000E+01,1.932411E-01
22.96285,40.58123,1.000000E+01,1.933662E-01
22.96454,40.58123,1.000000E+01,1.934865E-01
22.96624,40.58123,1.000000E+01,1.936025E-01
22.96794,40.58123,1.000000E+01,1.927147E-01
22.96963,40.58123,1.000000E+01,1.928202E-01
22.97133,40.58123,1.000000E+01,1.929222E-01
22.97303,40.58123,1.000000E+01,1.930194E-01
22.93400,40.58366,9.547701E+00,1.612911E-01
22.93569,40.58366,9.553373E+00,1.613959E-01
22.93739,40.58366,9.564333E+00,1.615067E-01
22.93909,40.58366,9.570071E+00,1.616209E-01
22.94079,40.58366,9.575864E+00,1.617379E-01
22.94248,40.58366,9.546455E+00,1.617208E-01
22.94418,40.58366,9.601339E+00,1.618427E-01
22.94588,40.58366,9.609900E+00,1.619658E-01
22.94757,40.58366,9.617489E+00,1.620888E-01
22.94927,40.58366,9.625977E+00,1.622137E-01
22.95097,40.58366,1.000000E+01,1.766250E-01
22.95266,40.58366,1.000000E+01,1.767580E-01
22.95436,40.58366,1.000000E+01,1.768908E-01
22.95606,40.58366,1.000000E+01,1.770218E-01
22.95775,40.58366,1.000000E+01,1.771492E-01
22.95945,40.58366,1.000000E+01,1.761556E-01
22.96115,40.58366,1.000000E+01,1.762760E-01
22.96285,40.58366,1.000000E+01,1.763926E-01
22.96454,40.58366,1.000000E+01,1.765043E-01
22.96624,40.58366,1.000000E+01,1.766121E-01
22.96794,40.58366,1.000000E+01,1.775858E-01
22.96963,40.58366,1.000000E+01,1.776838E-01
22.97133,40.58366,1.000000E+01,1.777775E-01
22.97303,40.58366,1.000000E+01,1.778663E-01
22.93400,40.58609,9.554344E+00,1.616950E-01
22.93569,40.58609,9.559904E+00,1.618051E-01
22.93739,40.58609,9.570627E+00,1.619202E-01
22.93909,40.58609,9.576318E+00,1.620391E-01
22.94079,40.58609,9.582025E+00,1.621613E-01
22.94248,40.58609,9.553506E+00,1.621489E-01
22.94418,40.58609,9.611201E+00,1.622759E-01
22.94588,40.58609,9.617244E+00,1.624043E-01
22.94757,40.58609,9.623198E+00,1.625328E-01
22.94927,40.58609,9.631416E+00,1.626626E-01
22.95097,40.58609,1.000000E+01,1.771241E-01
22.95266,40.58609,1.000000E+01,1.772626E-01
22.95436,40.58609,1.000000E+01,1.774001E-01
22.95606,40.58609,1.000000E+01,1.775360E-01
22.95775,40.58609,1.000000E+01,1.776680E-01
22.95945,40.58609,1.000000E+01,1.766751E-01
22.96115,40.58609,1.000000E+01,1.767993E-01
22.96285,40.58609,1.000000E+01,1.769195E-01
22.96454,40.58609,1.000000E+01,1.770338E-01
22.96624,40.58609,1.000000E+01,1.771436E-01
22.96794,40.58609,1.000000E+01,1.781214E-01
22.96963,40.58609,1.000000E+01,1.782202E-01
22.97133,40.58609,1.000000E+01,1.783143E-01
22.97303,40.58609,1.000000E+01,1.784027E-01
22.93400,40.58853,9.561135E+00,1.621337E-01
22.93569,40.58853,9.566560E+00,1.622487E-01
22.93739,40.58853,9.577147E+00,1.623690E-01
22.93909,40.58853,9.582765E+00,1.624937E-01
22.94079,40.58853,9.588380E+00,1.626216E-01
22.94248,40.58853,9.560742E+00,1.626144E-01
22.94418,40.58853,9.617377E+00,1.627472E-01
22.94588,40.58853,9.623302E+00,1.628816E-01
22.94757,40.58853,9.629089E+00,1.630156E-01
22.94927,40.58853,9.637049E+00,1.631514E-01
22.95097,40.58853,1.000000E+01,1.776677E-01
22.95266,40.58853,1.000000E+01,1.778124E-01
22.95436,40.58853,1.000000E+01,1.779554E-01
22.95606,40.58853,1.000000E+01,1.780961E-01
22.95775,40.58853,1.000000E+01,1.782335E-01
22.95945,40.58853,1.000000E+01,1.772416E-01
22.96115,40.58853,1.000000E+01,1.773702E-01
22.96285,40.58853,1.000000E+01,1.774939E-01
22.96454,40.58853,1.000000E+01,1.776113E-01
22.96624,40.58853,1.000000E+01,1.777236E-01
22.96794,40.58853,1.000000E+01,1.787056E-01
22.96963,40.58853,1.000000E+01,1.788055E-01
22.97133,40.58853,1.000000E+01,1.788997E-01
22.97303,40.58853,1.000000E+01,1.789880E-01
22.93400,40.59096,9.567855E+00,1.625967E-01
22.93569,40.59096,9.573238E+00,1.627168E-01
22.93739,40.59096,9.583663E+00,1.628428E-01
22.93909,40.59096,9.589192E+00,1.629732E-01
22.94079,40.59096,9.594680E+00,1.631074E-01
22.94248,40.59096,9.567899E+00,1.631061E-01
22.94418,40.59096,9.573572E+00,1.632454E-01
22.94588,40.59096,9.629327E+00,1.633864E-01
22.94757,40.59096,9.635056E+00,1.635269E-01
22.94927,40.59096,9.640749E+00,1.636681E-01
22.95097,40.59096,1.000000E+01,1.782428E-01
22.95266,40.59096,1.000000E+01,1.783939E-01
22.95436,40.59096,1.000000E+01,1.785438E-01
22.95606,40.59096,1.000000E+01,1.786905E-01
22.95775,40.59096,1.000000E+01,1.788328E-01
22.95945,40.59096,1.000000E+01,1.778423E-01
22.96115,40.59096,1.000000E+01,1.779755E-01
22.96285,40.59096,1.000000E+01,1.781031E-01
22.96454,40.59096,1.000000E+01,1.782236E-01
22.96624,40.59096,1.000000E+01,1.783384E-01
22.96794,40.59096,1.000000E+01,1.793251E-01
22.96963,40.59096,1.000000E+01,1.794261E-01
22.97133,40.59096,1.000000E+01,1.795207E-01
22.97303,40.59096,1.000000E+01,1.796085E-01
22.94248,40.59339,9.563077E+00,1.635642E-01
22.94418,40.59339,9.568728E+00,1.637106E-01
22.94588,40.59339,9.622231E+00,1.638586E-01
22.94757,40.59339,9.627924E+00,1.640062E-01
22.94927,40.59339,9.633594E+00,1.641547E-01
22.95097,40.59339,1.000000E+01,1.832435E-01
22.95266,40.59339,1.000000E+01,1.834055E-01
22.95436,40.59339,1.000000E+01,1.835656E-01
22.95606,40.59339,1.000000E+01,1.837230E-01
22.95775,40.59339,1.000000E+01,1.838749E-01
22.95945,40.59339,1.000000E+01,1.835597E-01
22.96115,40.59339,1.000000E+01,1.837008E-01
22.96285,40.59339,1.000000E+01,1.838357E-01
22.96454,40.59339,1.000000E+01,1.839629E-01
22.96624,40.59339,1.000000E+01,1.840835E-01
22.96794,40.59339,1.000000E+01,1.779180E-01
22.96963,40.59339,1.000000E+01,1.780189E-01
22.97133,40.59339,1.000000E+01,1.781129E-01
22.97303,40.59339,1.000000E+01,1.781985E-01
22.94248,40.59582,9.540009E+00,1.640866E-01
22.94418,40.59582,9.542853E+00,1.642405E-01
22.94588,40.59582,9.628398E+00,1.643962E-01
22.94757,40.59582,9.633357E+00,1.645514E-01
22.94927,40.59582,9.637938E+00,1.647073E-01
22.95097,40.59582,1.000000E+01,1.838709E-01
22.95266,40.59582,1.000000E+01,1.840406E-01
22.95436,40.59582,1.000000E+01,1.842081E-01
22.95606,40.59582,1.000000E+01,1.843714E-01
22.95775,40.59582,1.000000E+01,1.845297E-01
22.95945,40.59582,1.000000E+01,1.842189E-01
22.96115,40.59582,1.000000E+01,1.843653E-01
22.96285,40.59582,1.000000E+01,1.845045E-01
22.96454,40.59582,1.000000E+01,1.846354E-01
22.96624,40.59582,1.000000E+01,1.847588E-01
22.96794,40.59582,1.000000E+01,1.785751E-01
22.96963,40.59582,1.000000E+01,1.786771E-01
22.97133,40.59582,1.000000E+01,1.787707E-01
22.97303,40.59582,1.000000E+01,1.788565E-01
22.94248,40.59826,9.535074E+00,1.646130E-01
22.94418,40.59826,9.537888E+00,1.647746E-01
22.94588,40.59826,9.606677E+00,1.649379E-01
22.94757,40.59826,9.610514E+00,1.651010E-01
22.94927,40.59826,9.613468E+00,1.652649E-01
22.95097,40.59826,1.000000E+01,1.845028E-01
22.95266,40.59826,1.000000E+01,1.846804E-01
22.95436,40.59826,1.000000E+01,1.848554E-01
22.95606,40.59826,1.000000E+01,1.850260E-01
22.95775,40.59826,1.000000E+01,1.851899E-01
22.95945,40.59826,1.000000E+01,1.848838E-01
22.96115,40.59826,1.000000E+01,1.850354E-01
22.96285,40.59826,1.000000E+01,1.851794E-01
22.96454,40.59826,1.000000E+01,1.853140E-01
22.96624,40.59826,1.000000E+01,1.854403E-01
22.96794,40.59826,1.000000E+01,1.792388E-01
22.96963,40.59826,1.000000E+01,1.793420E-01
22.97133,40.59826,1.000000E+01,1.794366E-01
22.97303,40.59826,1.000000E+01,1.795217E-01
22.95097,40.60069,9.580220E+00,1.658500E-01
22.95266,40.60069,9.583168E+00,1.660179E-01
22.95436,40.60069,9.586135E+00,1.661826E-01
22.95606,40.60069,9.591117E+00,1.663429E-01
22.95775,40.60069,9.596103E+00,1.664976E-01
22.95945,40.60069,1.000000E+01,1.891894E-01
22.96115,40.60069,1.000000E+01,1.893491E-01
22.96285,40.60069,1.000000E+01,1.895075E-01
22.96454,40.60069,1.000000E+01,1.896560E-01
22.96624,40.60069,1.000000E+01,1.897941E-01
22.96794,40.60069,1.000000E+01,1.850920E-01
22.96963,40.60069,1.000000E+01,1.851994E-01
22.97133,40.60069,1.000000E+01,1.853012E-01
22.97303,40.60069,1.000000E+01,1.853931E-01
22.95097,40.60312,9.580383E+00,1.663850E-01
22.95266,40.60312,9.586586E+00,1.665606E-01
22.95436,40.60312,9.589272E+00,1.667329E-01
