lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.93400,40.57880,1.000000E+01,1.000000E+01,9.360172E+00,5.736278E-01,3.503111E-01,1.599146E-01
22.93569,40.57880,1.000000E+01,1.000000E+01,9.366737E+00,5.741227E-01,3.506377E-01,1.600137E-01
22.93739,40.57880,1.000000E+01,1.000000E+01,9.376773E+00,5.746534E-01,3.509794E-01,1.601170E-01
22.93909,40.57880,1.000000E+01,1.000000E+01,9.383495E+00,5.752131E-01,3.513342E-01,1.602234E-01
22.94079,40.57880,1.000000E+01,1.000000E+01,9.390163E+00,5.758043E-01,3.517032E-01,1.603323E-01
22.94248,40.57880,1.000000E+01,1.000000E+01,9.275989E+00,5.742869E-01,3.505921E-01,1.598517E-01
22.94418,40.57880,1.000000E+01,1.000000E+01,9.283635E+00,5.749590E-01,3.509814E-01,1.599645E-01
22.94588,40.57880,1.000000E+01,1.000000E+01,9.291218E+00,5.756568E-01,3.513802E-01,1.600787E-01
22.94757,40.57880,1.000000E+01,1.000000E+01,9.302848E+00,5.763749E-01,3.517839E-01,1.601935E-01
22.94927,40.57880,1.000000E+01,1.000000E+01,9.310308E+00,5.771174E-01,3.521987E-01,1.603086E-01
22.95097,40.57880,1.000000E+01,1.000000E+01,9.565120E+00,5.814818E-01,3.551344E-01,1.614061E-01
22.95266,40.57880,1.000000E+01,1.000000E+01,9.573169E+00,5.822619E-01,3.555692E-01,1.615200E-01
22.95436,40.57880,1.000000E+01,1.000000E+01,9.581128E+00,5.830647E-01,3.560102E-01,1.616336E-01
22.95606,40.57880,1.000000E+01,1.000000E+01,9.588765E+00,5.838853E-01,3.564532E-01,1.617453E-01
22.95775,40.57880,1.000000E+01,1.000000E+01,9.596338E+00,5.847170E-01,3.568943E-01,1.618546E-01
22.95945,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,6.976765E-01,4.218923E-01,1.926641E-01
22.96115,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,6.986216E-01,4.222969E-01,1.927906E-01
22.96285,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,6.995601E-01,4.226886E-01,1.929136E-01
22.96454,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.004937E-01,4.230649E-01,1.930316E-01
22.96624,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.014377E-01,4.234262E-01,1.931463E-01
22.96794,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,6.989664E-01,4.217092E-01,1.922591E-01
22.96963,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,6.998538E-01,4.220257E-01,1.923642E-01
22.97133,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.007231E-01,4.223245E-01,1.924655E-01
