lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.93400,40.57880,5.736278E-01,3.503111E-01,1.599146E-01
22.93569,40.57880,5.741227E-01,3.506377E-01,1.600137E-01
22.93739,40.57880,5.746534E-01,3.509794E-01,1.601170E-01
22.93909,40.57880,5.752131E-01,3.513342E-01,1.602234E-01
22.94079,40.57880,5.758043E-01,3.517032E-01,1.603323E-01
22.94248,40.57880,5.742869E-01,3.505921E-01,1.598517E-01
22.94418,40.57880,5.749590E-01,3.509814E-01,1.599645E-01
22.94588,40.57880,5.756568E-01,3.513802E-01,1.600787E-01
22.94757,40.57880,5.763749E-01,3.517839E-01,1.601935E-01
22.94927,40.57880,5.771174E-01,3.521987E-01,1.603086E-01
22.95097,40.57880,5.814818E-01,3.551344E-01,1.614061E-01
22.95266,40.57880,5.822619E-01,3.555692E-01,1.615200E-01
22.95436,40.57880,5.830647E-01,3.560102E-01,1.616336E-01
22.95606,40.57880,5.838853E-01,3.564532E-01,1.617453E-01
22.95775,40.57880,5.847170E-01,3.568943E-01,1.618546E-01
22.95945,40.57880,6.976765E-01,4.218923E-01,1.926641E-01
22.96115,40.57880,6.986216E-01,4.222969E-01,1.927906E-01
22.96285,40.57880,6.995601E-01,4.226886E-01,1.929136E-01
22.96454,40.57880,7.004937E-01,4.230649E-01,1.930316E-01
22.96624,40.57880,7.014377E-01,4.234262E-01,1.931463E-01
22.96794,40.57880,6.989664E-01,4.217092E-01,1.922591E-01
22.96963,40.57880,6.998538E-01,4.220257E-01,1.923642E-01
22.97133,40.57880,7.007231E-01,4.223245E-01,1.924655E-01
22.97303,40.57880,7.015657E-01,4.226028E-01,1.925628E-01
22.93400,40.58123,5.730351E-01,3.501844E-01,1.602392E-01
22.93569,40.58123,5.735278E-01,3.505101E-01,1.603414E-01
22.93739,40.58123,5.740543E-01,3.508513E-01,1.604477E-01
22.93909,40.58123,5.746096E-01,3.512047E-01,1.605562E-01
22.94079,40.58123,5.751991E-01,3.515716E-01,1.606687E-01
22.94248,40.58123,5.736834E-01,3.504800E-01,1.601913E-01
22.94418,40.58123,5.743458E-01,3.508686E-01,1.603078E-01
22.94588,40.58123,5.750417E-01,3.512655E-01,1.604255E-01
22.94757,40.58123,5.757567E-01,3.516668E-01,1.605432E-01
22.94927,40.58123,5.764953E-01,3.520764E-01,1.606626E-01
22.95097,40.58123,5.808493E-01,3.549657E-01,1.617665E-01
22.95266,40.58123,5.816204E-01,3.553904E-01,1.618839E-01
22.95436,40.58123,5.824122E-01,3.558199E-01,1.620007E-01
22.95606,40.58123,5.832185E-01,3.562547E-01,1.621155E-01
22.95775,40.58123,5.840417E-01,3.566877E-01,1.622282E-01
22.95945,40.58123,6.968884E-01,4.225998E-01,1.931119E-01
22.96115,40.58123,6.978247E-01,4.230066E-01,1.932411E-01
22.96285,40.58123,6.987543E-01,4.233986E-01,1.933662E-01
22.96454,40.58123,6.996745E-01,4.237729E-01,1.934865E-01
22.96624,40.58123,7.005980E-01,4.241316E-01,1.936025E-01
22.96794,40.58123,6.981179E-01,4.224466E-01,1.927147E-01
22.96963,40.58123,6.989988E-01,4.227600E-01,1.928202E-01
22.97133,40.58123,6.998606E-01,4.230551E-01,1.929222E-01
22.97303,40.58123,7.006938E-01,4.233288E-01,1.930194E-01
22.93400,40.58366,5.748571E-01,3.517606E-01,1.612911E-01
22.93569,40.58366,5.753503E-01,3.520853E-01,1.613959E-01
22.93739,40.58366,5.758758E-01,3.524269E-01,1.615067E-01
22.93909,40.58366,5.764331E-01,3.527806E-01,1.616209E-01
22.94079,40.58366,5.770283E-01,3.531474E-01,1.617379E-01
22.94248,40.58366,5.771652E-01,3.531892E-01,1.617208E-01
22.94418,40.58366,5.778316E-01,3.535768E-01,1.618427E-01
22.94588,40.58366,5.785303E-01,3.539727E-01,1.619658E-01
22.94757,40.58366,5.792446E-01,3.543734E-01,1.620888E-01
22.94927,40.58366,5.799809E-01,3.547826E-01,1.622137E-01
22.95097,40.58366,6.332490E-01,3.872388E-01,1.766250E-01
22.95266,40.58366,6.341467E-01,3.876219E-01,1.767580E-01
22.95436,40.58366,6.350747E-01,3.880127E-01,1.768908E-01
22.95606,40.58366,6.360124E-01,3.884124E-01,1.770218E-01
22.95775,40.58366,6.369478E-01,3.888117E-01,1.771492E-01
22.95945,40.58366,6.336994E-01,3.868496E-01,1.761556E-01
22.96115,40.58366,6.346274E-01,3.872469E-01,1.762760E-01
22.96285,40.58366,6.355516E-01,3.876423E-01,1.763926E-01
22.96454,40.58366,6.364643E-01,3.880337E-01,1.765043E-01
22.96624,40.58366,6.373707E-01,3.884221E-01,1.766121E-01
22.96794,40.58366,6.415418E-01,3.906510E-01,1.775858E-01
22.96963,40.58366,6.424216E-01,3.910275E-01,1.776838E-01
22.97133,40.58366,6.432859E-01,3.913979E-01,1.777775E-01
22.97303,40.58366,6.441197E-01,3.917613E-01,1.778663E-01
22.93400,40.58609,5.741671E-01,3.516611E-01,1.616950E-01
22.93569,40.58609,5.746579E-01,3.519821E-01,1.618051E-01
22.93739,40.58609,5.751851E-01,3.523175E-01,1.619202E-01
22.93909,40.58609,5.757430E-01,3.526646E-01,1.620391E-01
22.94079,40.58609,5.763415E-01,3.530259E-01,1.621613E-01
22.94248,40.58609,5.764724E-01,3.530683E-01,1.621489E-01
22.94418,40.58609,5.771207E-01,3.534491E-01,1.622759E-01
22.94588,40.58609,5.778037E-01,3.538376E-01,1.624043E-01
22.94757,40.58609,5.785049E-01,3.542298E-01,1.625328E-01
22.94927,40.58609,5.792300E-01,3.546293E-01,1.626626E-01
22.95097,40.58609,6.323773E-01,3.868829E-01,1.771241E-01
22.95266,40.58609,6.332669E-01,3.872631E-01,1.772626E-01
22.95436,40.58609,6.341736E-01,3.876502E-01,1.774001E-01
22.95606,40.58609,6.350864E-01,3.880417E-01,1.775360E-01
22.95775,40.58609,6.360031E-01,3.884336E-01,1.776680E-01
22.95945,40.58609,6.327520E-01,3.864718E-01,1.766751E-01
22.96115,40.58609,6.336678E-01,3.868636E-01,1.767993E-01
22.96285,40.58609,6.345812E-01,3.872542E-01,1.769195E-01
22.96454,40.58609,6.354797E-01,3.876401E-01,1.770338E-01
22.96624,40.58609,6.363759E-01,3.880235E-01,1.771436E-01
22.96794,40.58609,6.405250E-01,3.902460E-01,1.781214E-01
22.96963,40.58609,6.413862E-01,3.906172E-01,1.782202E-01
22.97133,40.58609,6.422354E-01,3.909820E-01,1.783143E-01
22.97303,40.58609,6.430545E-01,3.913414E-01,1.784027E-01
22.93400,40.58853,5.734602E-01,3.515701E-01,1.621337E-01
22.93569,40.58853,5.739475E-01,3.518883E-01,1.622487E-01
22.93739,40.58853,5.744687E-01,3.522206E-01,1.623690E-01
22.93909,40.58853,5.750239E-01,3.525639E-01,1.624937E-01
22.94079,40.58853,5.756111E-01,3.529194E-01,1.626216E-01
22.94248,40.58853,5.757339E-01,3.529595E-01,1.626144E-01
22.94418,40.58853,5.763742E-01,3.533320E-01,1.627472E-01
22.94588,40.58853,5.771867E-01,3.537131E-01,1.628816E-01
22.94757,40.58853,5.785232E-01,3.540989E-01,1.630156E-01
22.94927,40.58853,5.798257E-01,3.544912E-01,1.631514E-01
22.95097,40.58853,6.314613E-01,3.865138E-01,1.776677E-01
22.95266,40.58853,6.323376E-01,3.868904E-01,1.778124E-01
22.95436,40.58853,6.332288E-01,3.872735E-01,1.779554E-01
22.95606,40.58853,6.341273E-01,3.876596E-01,1.780961E-01
22.95775,40.58853,6.350253E-01,3.880476E-01,1.782335E-01
22.95945,40.58853,6.317654E-01,3.860815E-01,1.772416E-01
22.96115,40.58853,6.326655E-01,3.864681E-01,1.773702E-01
22.96285,40.58853,6.335601E-01,3.868546E-01,1.774939E-01
22.96454,40.58853,6.344388E-01,3.872357E-01,1.776113E-01
22.96624,40.58853,6.353222E-01,3.876156E-01,1.777236E-01
22.96794,40.58853,6.394405E-01,3.898298E-01,1.787056E-01
22.96963,40.58853,6.402813E-01,3.901962E-01,1.788055E-01
22.97133,40.58853,6.411123E-01,3.905573E-01,1.788997E-01
22.97303,40.58853,6.419148E-01,3.909107E-01,1.789880E-01
22.93400,40.59096,5.727330E-01,3.514878E-01,1.625967E-01
22.93569,40.59096,5.732191E-01,3.518036E-01,1.627168E-01
22.93739,40.59096,5.737404E-01,3.521324E-01,1.628428E-01
22.93909,40.59096,5.747412E-01,3.524722E-01,1.629732E-01
22.94079,40.59096,5.763189E-01,3.528225E-01,1.631074E-01
22.94248,40.59096,5.774444E-01,3.528631E-01,1.631061E-01
22.94418,40.59096,5.790237E-01,3.532301E-01,1.632454E-01
22.94588,40.59096,5.805871E-01,3.536032E-01,1.633864E-01
22.94757,40.59096,5.815119E-01,3.539796E-01,1.635269E-01
22.94927,40.59096,5.822693E-01,3.543631E-01,1.636681E-01
22.95097,40.59096,6.314015E-01,3.861416E-01,1.782428E-01
22.95266,40.59096,6.330667E-01,3.865133E-01,1.783939E-01
22.95436,40.59096,6.346416E-01,3.868917E-01,1.785438E-01
22.95606,40.59096,6.361503E-01,3.872726E-01,1.786905E-01
22.95775,40.59096,6.375958E-01,3.876553E-01,1.788328E-01
22.95945,40.59096,6.354551E-01,3.856882E-01,1.778423E-01
22.96115,40.59096,6.367489E-01,3.860695E-01,1.779755E-01
22.96285,40.59096,6.379548E-01,3.864495E-01,1.781031E-01
22.96454,40.59096,6.390584E-01,3.868258E-01,1.782236E-01
22.96624,40.59096,6.400672E-01,3.872010E-01,1.783384E-01
22.96794,40.59096,6.437402E-01,3.894067E-01,1.793251E-01
22.96963,40.59096,6.445270E-01,3.897690E-01,1.794261E-01
22.97133,40.59096,6.452035E-01,3.901249E-01,1.795207E-01
22.97303,40.59096,6.457641E-01,3.904718E-01,1.796085E-01
22.94248,40.59339,5.783806E-01,3.526573E-01,1.635642E-01
22.94418,40.59339,5.790500E-01,3.530201E-01,1.637106E-01
22.94588,40.59339,5.797476E-01,3.533887E-01,1.638586E-01
22.94757,40.59339,5.804679E-01,3.537596E-01,1.640062E-01
