sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
0,22.93400,40.57880,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
1,22.93569,40.57880,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
2,22.93739,40.57880,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
3,22.93909,40.57880,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
4,22.94079,40.57880,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
5,22.94248,40.57880,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
6,22.94418,40.57880,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
7,22.94588,40.57880,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
8,22.94757,40.57880,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
9,22.94927,40.57880,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
10,22.95097,40.57880,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
11,22.95266,40.57880,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
12,22.95436,40.57880,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
13,22.95606,40.57880,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
14,22.95775,40.57880,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
15,22.95945,40.57880,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
16,22.96115,40.57880,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
17,22.96285,40.57880,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
18,22.96454,40.57880,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
19,22.96624,40.57880,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
20,22.96794,40.57880,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
21,22.96963,40.57880,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
22,22.97133,40.57880,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
23,22.97303,40.57880,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
24,22.93400,40.58123,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
25,22.93569,40.58123,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
26,22.93739,40.58123,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
27,22.93909,40.58123,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
28,22.94079,40.58123,0.00000,UNKNOWN,2,2.41845E-02,5.47774E+02,-1.50000E+02,0
29,22.94248,40.58123,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
30,22.94418,40.58123,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
31,22.94588,40.58123,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
32,22.94757,40.58123,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
33,22.94927,40.58123,0.00000,UNKNOWN,2,2.80341E-02,4.49078E+02,-1.50000E+02,0
34,22.95097,40.58123,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
35,22.95266,40.58123,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
36,22.95436,40.58123,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
37,22.95606,40.58123,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
38,22.95775,40.58123,0.00000,UNKNOWN,2,2.19443E-02,3.87964E+02,-1.50000E+02,0
39,22.95945,40.58123,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
40,22.96115,40.58123,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
41,22.96285,40.58123,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
42,22.96454,40.58123,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
43,22.96624,40.58123,0.00000,CENOZOIC,2,1.06393E-02,3.60769E+02,-1.50000E+02,0
44,22.96794,40.58123,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
45,22.96963,40.58123,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
46,22.97133,40.58123,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
47,22.97303,40.58123,0.00000,CENOZOIC,2,1.11031E-02,3.58301E+02,-1.50000E+02,0
48,22.93400,40.58366,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
49,22.93569,40.58366,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
50,22.93739,40.58366,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
51,22.93909,40.58366,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
52,22.94079,40.58366,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
53,22.94248,40.58366,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
54,22.94418,40.58366,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
55,22.94588,40.58366,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
56,22.94757,40.58366,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
57,22.94927,40.58366,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
58,22.95097,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
59,22.95266,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
60,22.95436,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
61,22.95606,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
62,22.95775,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
63,22.95945,40.58366,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
64,22.96115,40.58366,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
