lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.93400,40.57880,0.00000,9.256378E-01,8.972309E-01,8.594792E-01,8.114488E-01,7.529415E-01,6.847126E-01,6.085196E-01,5.271162E-01,4.440082E-01,3.630051E-01,2.877032E-01,2.209396E-01,1.644125E-01,1.186223E-01,8.304340E-02,5.643547E-02,3.723506E-02,2.383842E-02,1.478952E-02,8.874272E-03,5.137202E-03,2.860282E-03,1.526366E-03,7.765234E-04,3.745971E-04,1.699849E-04,7.199734E-05,2.809592E-05,9.872449E-06,3.087551E-06
22.93569,40.57880,0.00000,9.252745E-01,8.968779E-01,8.591447E-01,8.111425E-01,7.526739E-01,6.844929E-01,6.083541E-01,5.270067E-01,4.439508E-01,3.629911E-01,2.877209E-01,2.209764E-01,1.644574E-01,1.186669E-01,8.308257E-02,5.646737E-02,3.725975E-02,2.385703E-02,1.480353E-02,8.884789E-03,5.145052E-03,2.866011E-03,1.530384E-03,7.792295E-04,3.763274E-04,1.710151E-04,7.256680E-05,2.838222E-05,1.000538E-05,3.141898E-06
22.93739,40.57880,0.00000,9.255539E-01,8.971989E-01,8.595058E-01,8.115367E-01,7.530876E-01,6.849079E-01,6.087505E-01,5.273665E-01,4.442607E-01,3.632457E-01,2.879210E-01,2.211278E-01,1.645688E-01,1.187471E-01,8.313948E-02,5.650735E-02,3.728788E-02,2.387709E-02,1.481821E-02,8.895681E-03,5.153188E-03,2.871942E-03,1.534539E-03,7.820278E-04,3.781000E-04,1.720677E-04,7.314519E-05,2.866853E-05,1.013948E-05,3.195676E-06
22.93909,40.57880,0.00000,9.255535E-01,8.972010E-01,8.595116E-01,8.115475E-01,7.531048E-01,6.849341E-01,6.087875E-01,5.274144E-01,4.443192E-01,3.633119E-01,2.879903E-01,2.211957E-01,1.646311E-01,1.188007E-01,8.318311E-02,5.654136E-02,3.731355E-02,2.389633E-02,1.483271E-02,8.906660E-03,5.161464E-03,2.878003E-03,1.538791E-03,7.848790E-04,3.798939E-04,1.731333E-04,7.372440E-05,2.895107E-05,1.027173E-05,3.247808E-06
22.94079,40.57880,0.00000,9.255436E-01,8.971902E-01,8.595002E-01,8.115364E-01,7.530959E-01,6.849295E-01,6.087899E-01,5.274266E-01,4.443424E-01,3.633456E-01,2.880323E-01,2.212421E-01,1.646777E-01,1.188437E-01,8.322018E-02,5.657163E-02,3.733736E-02,2.391470E-02,1.484697E-02,8.917629E-03,5.169831E-03,2.884182E-03,1.543116E-03,7.877652E-04,3.817116E-04,1.742016E-04,7.429841E-05,2.923035E-05,1.040102E-05,3.298066E-06
22.94248,40.57880,0.00000,9.325523E-01,9.067032E-01,8.718969E-01,8.270165E-01,7.716179E-01,7.061505E-01,6.320673E-01,5.518528E-01,4.688121E-01,3.867285E-01,3.093435E-01,2.397666E-01,1.800576E-01,1.310753E-01,9.256264E-02,6.344672E-02,4.222768E-02,2.728078E-02,1.709154E-02,1.036679E-02,6.074498E-03,3.428969E-03,1.858543E-03,9.628159E-04,4.743765E-04,2.206555E-04,9.623373E-05,3.882912E-05,1.430378E-05,4.702535E-06
22.94418,40.57880,0.00000,9.325548E-01,9.067085E-01,8.719059E-01,8.270304E-01,7.716383E-01,7.061793E-01,6.321062E-01,5.519025E-01,4.688723E-01,3.867965E-01,3.094153E-01,2.398375E-01,1.801234E-01,1.311326E-01,9.260985E-02,6.348386E-02,4.225591E-02,2.730208E-02,1.710764E-02,1.037913E-02,6.083864E-03,3.435922E-03,1.863480E-03,9.661445E-04,4.764750E-04,2.218951E-04,9.691124E-05,3.916781E-05,1.445790E-05,4.764485E-06
22.94588,40.57880,0.00000,9.325566E-01,9.067128E-01,8.719135E-01,8.270428E-01,7.716569E-01,7.062060E-01,6.321426E-01,5.519496E-01,4.689296E-01,3.868621E-01,3.094850E-01,2.399068E-01,1.801881E-01,1.311893E-01,9.265669E-02,6.352077E-02,4.228414E-02,2.732344E-02,1.712383E-02,1.039155E-02,6.093320E-03,3.442922E-03,1.868440E-03,9.694817E-04,4.785687E-04,2.231258E-04,9.757205E-05,3.949476E-05,1.460475E-05,4.822698E-06
22.94757,40.57880,0.00000,9.326391E-01,9.068050E-01,8.720171E-01,8.271590E-01,7.717867E-01,7.063502E-01,6.323004E-01,5.521182E-01,4.691050E-01,3.870367E-01,3.096510E-01,2.400562E-01,1.803149E-01,1.312908E-01,9.273367E-02,6.357641E-02,4.232306E-02,2.735047E-02,1.714278E-02,1.040521E-02,6.103255E-03,3.450100E-03,1.873428E-03,9.728142E-04,4.806314E-04,2.243254E-04,9.820938E-05,3.980597E-05,1.474374E-05,4.876043E-06
22.94927,40.57880,0.00000,9.326528E-01,9.068252E-01,8.720456E-01,8.271978E-01,7.718373E-01,7.064141E-01,6.323774E-01,5.522072E-01,4.692023E-01,3.871378E-01,3.097497E-01,2.401477E-01,1.803950E-01,1.313575E-01,9.278650E-02,6.361663E-02,4.235303E-02,2.737269E-02,1.715942E-02,1.041790E-02,6.112830E-03,3.457158E-03,1.878375E-03,9.761243E-04,4.826759E-04,2.255049E-04,9.882676E-05,4.010216E-05,1.487444E-05,4.924525E-06
