lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.93400,40.57880,0.00000,3.573538E-01,3.315452E-01,3.064542E-01,2.821780E-01,2.588079E-01,2.364279E-01,2.151058E-01,1.949030E-01,1.758613E-01,1.580108E-01,1.413689E-01,1.259393E-01,1.117140E-01,9.866903E-02,8.677128E-02,7.597929E-02,6.624481E-02,5.750881E-02,4.971200E-02,4.278829E-02,3.667216E-02,3.129761E-02,2.659759E-02,2.250672E-02,1.896519E-02,1.591291E-02,1.329403E-02,1.105853E-02,9.159310E-03,7.552504E-03
22.93569,40.57880,0.00000,3.572264E-01,3.314363E-01,3.063623E-01,2.821018E-01,2.587461E-01,2.363789E-01,2.150682E-01,1.948754E-01,1.758422E-01,1.579989E-01,1.413632E-01,1.259387E-01,1.117174E-01,9.867575E-02,8.678044E-02,7.599042E-02,6.625724E-02,5.752207E-02,4.972574E-02,4.280224E-02,3.668598E-02,3.131111E-02,2.661069E-02,2.251922E-02,1.897699E-02,1.592399E-02,1.330436E-02,1.106804E-02,9.168060E-03,7.560495E-03
22.93739,40.57880,0.00000,3.576950E-01,3.318727E-01,3.067660E-01,2.824727E-01,2.590847E-01,2.366861E-01,2.153452E-01,1.951235E-01,1.760634E-01,1.581948E-01,1.415360E-01,1.260904E-01,1.118498E-01,9.879105E-02,8.688039E-02,7.607689E-02,6.633187E-02,5.758629E-02,4.978102E-02,4.284979E-02,3.672683E-02,3.134616E-02,2.664090E-02,2.254521E-02,1.899935E-02,1.594329E-02,1.332103E-02,1.108240E-02,9.180503E-03,7.571274E-03
22.93909,40.57880,0.00000,3.577439E-01,3.319220E-01,3.068154E-01,2.825217E-01,2.591330E-01,2.367334E-01,2.153912E-01,1.951679E-01,1.761061E-01,1.582356E-01,1.415748E-01,1.261272E-01,1.118845E-01,9.882364E-02,8.691094E-02,7.610551E-02,6.635854E-02,5.761112E-02,4.980409E-02,4.287124E-02,3.674667E-02,3.136441E-02,2.665778E-02,2.256070E-02,1.901350E-02,1.595621E-02,1.333281E-02,1.109307E-02,9.190123E-03,7.579941E-03
22.94079,40.57880,0.00000,3.577350E-01,3.319132E-01,3.068064E-01,2.825130E-01,2.591245E-01,2.367252E-01,2.153832E-01,1.951604E-01,1.760991E-01,1.582291E-01,1.415691E-01,1.261223E-01,1.118805E-01,9.882060E-02,8.690897E-02,7.610472E-02,6.635885E-02,5.761244E-02,4.980647E-02,4.287462E-02,3.675086E-02,3.136925E-02,2.666324E-02,2.256661E-02,1.901968E-02,1.596257E-02,1.333926E-02,1.109944E-02,9.196319E-03,7.585927E-03
22.94248,40.57880,0.00000,3.852644E-01,3.587963E-01,3.329293E-01,3.077729E-01,2.834259E-01,2.599812E-01,2.375241E-01,2.161235E-01,1.958422E-01,1.767230E-01,1.587967E-01,1.420826E-01,1.265841E-01,1.122933E-01,9.918770E-02,8.723339E-02,7.639005E-02,6.660824E-02,5.782916E-02,4.999376E-02,4.303548E-02,3.688825E-02,3.148582E-02,2.676155E-02,2.264894E-02,1.908824E-02,1.601925E-02,1.338583E-02,1.113747E-02,9.227118E-03
22.94418,40.57880,0.00000,3.853171E-01,3.588496E-01,3.329829E-01,3.078262E-01,2.834786E-01,2.600330E-01,2.375745E-01,2.161724E-01,1.958892E-01,1.767680E-01,1.588396E-01,1.421233E-01,1.266226E-01,1.123295E-01,9.922172E-02,8.726519E-02,7.641983E-02,6.663599E-02,5.785499E-02,5.001776E-02,4.305778E-02,3.690888E-02,3.150481E-02,2.677908E-02,2.266506E-02,1.910299E-02,1.603267E-02,1.339807E-02,1.114856E-02,9.237096E-03
22.94588,40.57880,0.00000,3.853657E-01,3.588986E-01,3.330321E-01,3.078751E-01,2.835270E-01,2.600805E-01,2.376208E-01,2.162173E-01,1.959324E-01,1.768095E-01,1.588791E-01,1.421609E-01,1.266582E-01,1.123631E-01,9.925334E-02,8.729495E-02,7.644776E-02,6.666211E-02,5.787943E-02,5.004060E-02,4.307917E-02,3.692875E-02,3.152319E-02,2.679613E-02,2.268082E-02,1.911745E-02,1.604588E-02,1.341016E-02,1.115956E-02,9.247006E-03
22.94757,40.57880,0.00000,3.855889E-01,3.591223E-01,3.332553E-01,3.080971E-01,2.837468E-01,2.602975E-01,2.378340E-01,2.164258E-01,1.961353E-01,1.770061E-01,1.590686E-01,1.423427E-01,1.268318E-01,1.125278E-01,9.940895E-02,8.744109E-02,7.658428E-02,6.678885E-02,5.799633E-02,5.014779E-02,4.317685E-02,3.701713E-02,3.160251E-02,2.686691E-02,2.274350E-02,1.917250E-02,1.609383E-02,1.345168E-02,1.119523E-02,9.277378E-03
22.94927,40.57880,0.00000,3.857068E-01,3.592406E-01,3.333729E-01,3.082134E-01,2.838608E-01,2.604083E-01,2.379410E-01,2.165285E-01,1.962330E-01,1.770986E-01,1.591554E-01,1.424237E-01,1.269069E-01,1.125971E-01,9.947240E-02,8.749900E-02,7.663692E-02,6.683648E-02,5.803924E-02,5.018634E-02,4.321143E-02,3.704800E-02,3.162998E-02,2.689135E-02,2.276523E-02,1.919173E-02,1.611079E-02,1.346670E-02,1.120848E-02,9.288981E-03
22.95097,40.57880,0.00000,4.054116E-01,3.785891E-01,3.522830E-01,3.266056E-01,3.016632E-01,2.775524E-01,2.543647E-01,2.321815E-01,2.110690E-01,1.910857E-01,1.722716E-01,1.546534E-01,1.382486E-01,1.230559E-01,1.090647E-01,9.624956E-02,8.457477E-02,7.399825E-02,6.446797E-02,5.592440E-02,4.830847E-02,4.155182E-02,3.558916E-02,3.035415E-02,2.578063E-02,2.180341E-02,1.836275E-02,1.539955E-02,1.285938E-02,1.069248E-02
22.95266,40.57880,0.00000,4.054829E-01,3.786615E-01,3.523564E-01,3.266791E-01,3.017363E-01,2.776245E-01,2.544353E-01,2.322501E-01,2.111352E-01,1.911491E-01,1.723319E-01,1.547103E-01,1.383022E-01,1.231059E-01,1.091111E-01,9.629250E-02,8.461435E-02,7.403465E-02,6.450129E-02,5.595484E-02,4.833625E-02,4.157718E-02,3.561220E-02,3.037502E-02,2.579956E-02,2.182059E-02,1.837821E-02,1.541344E-02,1.287191E-02,1.070373E-02
22.95436,40.57880,0.00000,4.055521E-01,3.787312E-01,3.524259E-01,3.267480E-01,3.018039E-01,2.776905E-01,2.544992E-01,2.323115E-01,2.111940E-01,1.912049E-01,1.723845E-01,1.547597E-01,1.383484E-01,1.231490E-01,1.091512E-01,9.632960E-02,8.464870E-02,7.406643E-02,6.453060E-02,5.598184E-02,4.836115E-02,4.160015E-02,3.563328E-02,3.039433E-02,2.581722E-02,2.183681E-02,1.839292E-02,1.542677E-02,1.288403E-02,1.071468E-02
22.95606,40.57880,0.00000,4.056999E-01,3.788796E-01,3.525739E-01,3.268941E-01,3.019469E-01,2.778291E-01,2.546324E-01,2.324384E-01,2.113136E-01,1.913166E-01,1.724878E-01,1.548546E-01,1.384347E-01,1.232269E-01,1.092210E-01,9.639171E-02,8.470377E-02,7.411502E-02,6.457333E-02,5.601938E-02,4.839409E-02,4.162912E-02,3.565872E-02,3.041674E-02,2.583696E-02,2.185435E-02,1.840842E-02,1.544049E-02,1.289629E-02,1.072559E-02
22.95775,40.57880,0.00000,4.057573E-01,3.789376E-01,3.526323E-01,3.269522E-01,3.020043E-01,2.778856E-01,2.546875E-01,2.324916E-01,2.113649E-01,1.913656E-01,1.725347E-01,1.548988E-01,1.384766E-01,1.232662E-01,1.092579E-01,9.642615E-02,8.473591E-02,7.414495E-02,6.460118E-02,5.604522E-02,4.841797E-02,4.165129E-02,3.567911E-02,3.043551E-02,2.585416E-02,2.187018E-02,1.842280E-02,1.545351E-02,1.290814E-02,1.073630E-02
22.95945,40.57880,0.00000,4.159177E-01,3.889375E-01,3.624275E-01,3.365011E-01,3.112684E-01,2.868293E-01,2.632770E-01,2.406978E-01,2.191632E-01,1.987364E-01,1.794640E-01,1.613779E-01,1.444999E-01,1.288362E-01,1.143794E-01,1.011104E-01,8.899682E-02,7.799944E-02,6.807005E-02,5.915036E-02,5.118227E-02,4.410087E-02,3.783841E-02,3.232916E-02,2.750726E-02,2.330605E-02,1.966424E-02,1.652187E-02,1.382326E-02,1.151666E-02
22.96115,40.57880,0.00000,4.159685E-01,3.889895E-01,3.624803E-01,3.365544E-01,3.113216E-01,2.868821E-01,2.633291E-01,2.407488E-01,2.192129E-01,1.987842E-01,1.795099E-01,1.614218E-01,1.445416E-01,1.288757E-01,1.144166E-01,1.011453E-01,8.902956E-02,7.803000E-02,6.809855E-02,5.917678E-02,5.120680E-02,4.412356E-02,3.785937E-02,3.234843E-02,2.752486E-02,2.332224E-02,1.967898E-02,1.653525E-02,1.383538E-02,1.152766E-02
22.96285,40.57880,0.00000,4.161213E-01,3.891435E-01,3.626344E-01,3.367071E-01,3.114718E-01,2.870284E-01,2.634704E-01,2.408840E-01,2.193411E-01,1.989046E-01,1.796220E-01,1.615252E-01,1.446362E-01,1.289617E-01,1.144940E-01,1.012147E-01,8.909129E-02,7.808465E-02,6.814684E-02,5.921914E-02,5.124401E-02,4.415620E-02,3.788798E-02,3.237351E-02,2.754677E-02,2.334154E-02,1.969594E-02,1.655015E-02,1.384851E-02,1.153929E-02
22.96454,40.57880,0.00000,4.161717E-01,3.891950E-01,3.626868E-01,3.367600E-01,3.115246E-01,2.870809E-01,2.635221E-01,2.409348E-01,2.193904E-01,1.989523E-01,1.796679E-01,1.615689E-01,1.446779E-01,1.290011E-01,1.145312E-01,1.012495E-01,8.912392E-02,7.811508E-02,6.817518E-02,5.924536E-02,5.126828E-02,4.417859E-02,3.790861E-02,3.239246E-02,2.756401E-02,2.335735E-02,1.971030E-02,1.656315E-02,1.386028E-02,1.154991E-02
