lon,lat,PGV,PGA
22.93400,40.57880,9.696433E+00,1.581352E-01
22.93569,40.57880,9.701771E+00,1.582437E-01
22.93739,40.57880,9.709078E+00,1.583562E-01
22.93909,40.57880,9.714892E+00,1.584699E-01
22.94079,40.57880,9.718841E+00,1.585840E-01
22.94248,40.57880,1.000000E+01,1.727745E-01
22.94418,40.57880,1.000000E+01,1.729065E-01
22.94588,40.57880,1.000000E+01,1.730397E-01
22.94757,40.57880,1.000000E+01,1.731826E-01
22.94927,40.57880,1.000000E+01,1.733182E-01
22.95097,40.57880,1.000000E+01,1.835898E-01
22.95266,40.57880,1.000000E+01,1.837335E-01
22.95436,40.57880,1.000000E+01,1.838772E-01
22.95606,40.57880,1.000000E+01,1.840205E-01
22.95775,40.57880,1.000000E+01,1.841620E-01
22.95945,40.57880,1.000000E+01,1.892217E-01
22.96115,40.57880,1.000000E+01,1.893653E-01
22.96285,40.57880,1.000000E+01,1.895075E-01
22.96454,40.57880,1.000000E+01,1.896463E-01
22.96624,40.57880,1.000000E+01,1.897836E-01
22.96794,40.57880,1.000000E+01,1.903791E-01
22.96963,40.57880,1.000000E+01,1.905109E-01
22.97133,40.57880,1.000000E+01,1.906405E-01
22.97303,40.57880,1.000000E+01,1.907675E-01
22.93400,40.58123,9.700933E+00,1.582665E-01
22.93569,40.58123,9.703613E+00,1.583755E-01
22.93739,40.58123,9.711029E+00,1.584899E-01
22.93909,40.58123,9.715372E+00,1.586035E-01
22.94079,40.58123,9.721375E+00,1.587210E-01
22.94248,40.58123,1.000000E+01,1.729306E-01
22.94418,40.58123,1.000000E+01,1.730650E-01
22.94588,40.58123,1.000000E+01,1.732005E-01
22.94757,40.58123,1.000000E+01,1.733363E-01
22.94927,40.58123,1.000000E+01,1.734835E-01
22.95097,40.58123,1.000000E+01,1.837706E-01
22.95266,40.58123,1.000000E+01,1.839164E-01
22.95436,40.58123,1.000000E+01,1.840621E-01
22.95606,40.58123,1.000000E+01,1.842077E-01
22.95775,40.58123,1.000000E+01,1.843511E-01
22.95945,40.58123,1.000000E+01,1.894178E-01
22.96115,40.58123,1.000000E+01,1.895631E-01
22.96285,40.58123,1.000000E+01,1.897068E-01
22.96454,40.58123,1.000000E+01,1.898470E-01
22.96624,40.58123,1.000000E+01,1.899854E-01
22.96794,40.58123,1.000000E+01,1.905823E-01
22.96963,40.58123,1.000000E+01,1.907133E-01
22.97133,40.58123,1.000000E+01,1.908437E-01
22.97303,40.58123,1.000000E+01,1.909712E-01
22.93400,40.58366,9.703399E+00,1.584136E-01
22.93569,40.58366,9.708185E+00,1.585238E-01
22.93739,40.58366,9.715719E+00,1.586405E-01
22.93909,40.58366,9.719962E+00,1.587571E-01
22.94079,40.58366,9.726098E+00,1.588769E-01
22.94248,40.58366,1.000000E+01,1.745394E-01
22.94418,40.58366,1.000000E+01,1.746955E-01
22.94588,40.58366,1.000000E+01,1.748351E-01
22.94757,40.58366,1.000000E+01,1.749749E-01
22.94927,40.58366,1.000000E+01,1.751256E-01
22.95097,40.58366,1.000000E+01,1.866051E-01
22.95266,40.58366,1.000000E+01,1.867560E-01
22.95436,40.58366,1.000000E+01,1.869065E-01
22.95606,40.58366,1.000000E+01,1.870568E-01
22.95775,40.58366,1.000000E+01,1.872046E-01
22.95945,40.58366,1.000000E+01,1.900179E-01
22.96115,40.58366,1.000000E+01,1.901656E-01
22.96285,40.58366,1.000000E+01,1.903095E-01
22.96454,40.58366,1.000000E+01,1.904518E-01
22.96624,40.58366,1.000000E+01,1.905917E-01
22.96794,40.58366,1.000000E+01,1.888158E-01
22.96963,40.58366,1.000000E+01,1.889476E-01
22.97133,40.58366,1.000000E+01,1.890768E-01
22.97303,40.58366,1.000000E+01,1.892031E-01
22.93400,40.58609,9.708435E+00,1.585755E-01
22.93569,40.58609,9.714407E+00,1.586904E-01
22.93739,40.58609,9.720276E+00,1.588082E-01
22.93909,40.58609,9.726477E+00,1.589286E-01
22.94079,40.58609,9.732766E+00,1.590512E-01
22.94248,40.58609,1.000000E+01,1.747393E-01
22.94418,40.58609,1.000000E+01,1.748984E-01
22.94588,40.58609,1.000000E+01,1.750411E-01
22.94757,40.58609,1.000000E+01,1.751840E-01
22.94927,40.58609,1.000000E+01,1.753377E-01
22.95097,40.58609,1.000000E+01,1.868353E-01
22.95266,40.58609,1.000000E+01,1.869886E-01
22.95436,40.58609,1.000000E+01,1.871424E-01
22.95606,40.58609,1.000000E+01,1.872938E-01
22.95775,40.58609,1.000000E+01,1.874446E-01
22.95945,40.58609,1.000000E+01,1.902635E-01
22.96115,40.58609,1.000000E+01,1.904133E-01
22.96285,40.58609,1.000000E+01,1.905604E-01
22.96454,40.58609,1.000000E+01,1.907046E-01
22.96624,40.58609,1.000000E+01,1.908460E-01
22.96794,40.58609,1.000000E+01,1.890687E-01
22.96963,40.58609,1.000000E+01,1.892012E-01
22.97133,40.58609,1.000000E+01,1.893310E-01
22.97303,40.58609,1.000000E+01,1.894574E-01
22.93400,40.58853,9.715159E+00,1.587538E-01
22.93569,40.58853,9.719446E+00,1.588699E-01
22.93739,40.58853,9.727284E+00,1.589916E-01
22.93909,40.58853,9.733532E+00,1.591148E-01
22.94079,40.58853,9.740020E+00,1.592404E-01
22.94248,40.58853,1.000000E+01,1.749561E-01
22.94418,40.58853,1.000000E+01,1.751188E-01
22.94588,40.58853,1.000000E+01,1.752651E-01
22.94757,40.58853,1.000000E+01,1.754101E-01
22.94927,40.58853,1.000000E+01,1.755671E-01
22.95097,40.58853,1.000000E+01,1.870839E-01
22.95266,40.58853,1.000000E+01,1.872406E-01
22.95436,40.58853,1.000000E+01,1.873978E-01
22.95606,40.58853,1.000000E+01,1.875536E-01
22.95775,40.58853,1.000000E+01,1.877075E-01
22.95945,40.58853,1.000000E+01,1.905329E-01
22.96115,40.58853,1.000000E+01,1.906850E-01
22.96285,40.58853,1.000000E+01,1.908342E-01
22.96454,40.58853,1.000000E+01,1.909796E-01
22.96624,40.58853,1.000000E+01,1.911229E-01
22.96794,40.58853,1.000000E+01,1.893442E-01
22.96963,40.58853,1.000000E+01,1.894774E-01
22.97133,40.58853,1.000000E+01,1.896079E-01
22.97303,40.58853,1.000000E+01,1.897346E-01
22.93400,40.59096,9.717218E+00,1.589372E-01
22.93569,40.59096,9.727739E+00,1.590613E-01
22.93739,40.59096,9.734670E+00,1.591854E-01
22.93909,40.59096,9.741228E+00,1.593117E-01
22.94079,40.59096,9.746323E+00,1.594391E-01
22.94248,40.59096,1.000000E+01,1.751843E-01
22.94418,40.59096,1.000000E+01,1.753342E-01
22.94588,40.59096,1.000000E+01,1.755007E-01
22.94757,40.59096,1.000000E+01,1.756507E-01
22.94927,40.59096,1.000000E+01,1.758021E-01
22.95097,40.59096,1.000000E+01,1.873487E-01
22.95266,40.59096,1.000000E+01,1.875093E-01
22.95436,40.59096,1.000000E+01,1.876700E-01
22.95606,40.59096,1.000000E+01,1.878290E-01
22.95775,40.59096,1.000000E+01,1.879852E-01
22.95945,40.59096,1.000000E+01,1.908180E-01
22.96115,40.59096,1.000000E+01,1.909726E-01
22.96285,40.59096,1.000000E+01,1.911241E-01
22.96454,40.59096,1.000000E+01,1.912714E-01
22.96624,40.59096,1.000000E+01,1.914163E-01
22.96794,40.59096,1.000000E+01,1.896362E-01
22.96963,40.59096,1.000000E+01,1.897703E-01
22.97133,40.59096,1.000000E+01,1.899013E-01
22.97303,40.59096,1.000000E+01,1.900280E-01
22.94248,40.59339,1.000000E+01,1.691523E-01
22.94418,40.59339,1.000000E+01,1.692983E-01
22.94588,40.59339,1.000000E+01,1.694626E-01
22.94757,40.59339,1.000000E+01,1.696099E-01
22.94927,40.59339,1.000000E+01,1.697585E-01
22.95097,40.59339,1.000000E+01,1.894304E-01
22.95266,40.59339,1.000000E+01,1.895974E-01
22.95436,40.59339,1.000000E+01,1.897637E-01
22.95606,40.59339,1.000000E+01,1.899279E-01
22.95775,40.59339,1.000000E+01,1.900891E-01
22.95945,40.59339,1.000000E+01,1.892802E-01
22.96115,40.59339,1.000000E+01,1.894358E-01
22.96285,40.59339,1.000000E+01,1.895882E-01
22.96454,40.59339,1.000000E+01,1.897359E-01
22.96624,40.59339,1.000000E+01,1.898809E-01
22.96794,40.59339,1.000000E+01,1.867035E-01
22.96963,40.59339,1.000000E+01,1.868360E-01
22.97133,40.59339,1.000000E+01,1.869647E-01
22.97303,40.59339,1.000000E+01,1.870890E-01
22.94248,40.59582,1.000000E+01,1.693763E-01
22.94418,40.59582,1.000000E+01,1.695268E-01
22.94588,40.59582,1.000000E+01,1.697008E-01
22.94757,40.59582,1.000000E+01,1.698558E-01
22.94927,40.59582,1.000000E+01,1.700081E-01
22.95097,40.59582,1.000000E+01,1.897162E-01
22.95266,40.59582,1.000000E+01,1.898873E-01
22.95436,40.59582,1.000000E+01,1.900572E-01
22.95606,40.59582,1.000000E+01,1.902255E-01
22.95775,40.59582,1.000000E+01,1.903901E-01
22.95945,40.59582,1.000000E+01,1.895828E-01
22.96115,40.59582,1.000000E+01,1.897413E-01
22.96285,40.59582,1.000000E+01,1.898961E-01
22.96454,40.59582,1.000000E+01,1.900459E-01
22.96624,40.59582,1.000000E+01,1.901924E-01
22.96794,40.59582,1.000000E+01,1.870115E-01
22.96963,40.59582,1.000000E+01,1.871447E-01
22.97133,40.59582,1.000000E+01,1.872741E-01
22.97303,40.59582,1.000000E+01,1.873984E-01
22.94248,40.59826,1.000000E+01,1.696126E-01
22.94418,40.59826,1.000000E+01,1.697666E-01
22.94588,40.59826,1.000000E+01,1.699392E-01
22.94757,40.59826,1.000000E+01,1.700946E-01
22.94927,40.59826,1.000000E+01,1.702508E-01
22.95097,40.59826,1.000000E+01,1.899944E-01
22.95266,40.59826,1.000000E+01,1.901759E-01
22.95436,40.59826,1.000000E+01,1.903540E-01
22.95606,40.59826,1.000000E+01,1.905260E-01
22.95775,40.59826,1.000000E+01,1.906943E-01
22.95945,40.59826,1.000000E+01,1.898884E-01
22.96115,40.59826,1.000000E+01,1.900503E-01
22.96285,40.59826,1.000000E+01,1.902074E-01
22.96454,40.59826,1.000000E+01,1.903594E-01
22.96624,40.59826,1.000000E+01,1.905075E-01
22.96794,40.59826,1.000000E+01,1.873227E-01
22.96963,40.59826,1.000000E+01,1.874570E-01
22.97133,40.59826,1.000000E+01,1.875869E-01
22.97303,40.59826,1.000000E+01,1.877114E-01
22.95097,40.60069,1.000000E+01,1.925513E-01
22.95266,40.60069,1.000000E+01,1.927434E-01
22.95436,40.60069,1.000000E+01,1.929235E-01
22.95606,40.60069,1.000000E+01,1.931015E-01
22.95775,40.60069,1.000000E+01,1.932758E-01
22.95945,40.60069,1.000000E+01,1.915178E-01
22.96115,40.60069,1.000000E+01,1.916879E-01
22.96285,40.60069,1.000000E+01,1.918490E-01
22.96454,40.60069,1.000000E+01,1.920041E-01
22.96624,40.60069,1.000000E+01,1.921549E-01
22.96794,40.60069,1.000000E+01,1.885926E-01
22.96963,40.60069,1.000000E+01,1.887289E-01
22.97133,40.60069,1.000000E+01,1.888601E-01
22.97303,40.60069,1.000000E+01,1.889854E-01
22.95097,40.60312,1.000000E+01,1.928294E-01
22.95266,40.60312,1.000000E+01,1.930251E-01
22.95436,40.60312,1.000000E+01,1.932098E-01
22.95606,40.60312,1.000000E+01,1.933915E-01
22.95775,40.60312,1.000000E+01,1.935688E-01
22.95945,40.60312,1.000000E+01,1.918050E-01
22.96115,40.60312,1.000000E+01,1.919734E-01
22.96285,40.60312,1.000000E+01,1.921371E-01
22.96454,40.60312,1.000000E+01,1.922949E-01
22.96624,40.60312,1.000000E+01,1.924537E-01
22.96794,40.60312,1.000000E+01,1.888918E-01
22.96963,40.60312,1.000000E+01,1.890291E-01
22.97133,40.60312,1.000000E+01,1.891606E-01
22.97303,40.60312,1.000000E+01,1.892859E-01
22.95097,40.60555,1.000000E+01,1.930932E-01
22.95266,40.60555,1.000000E+01,1.932927E-01
22.95436,40.60555,1.000000E+01,1.934813E-01
22.95606,40.60555,1.000000E+01,1.936663E-01
22.95775,40.60555,1.000000E+01,1.938470E-01
22.95945,40.60555,1.000000E+01,1.920840E-01
22.96115,40.60555,1.000000E+01,1.922549E-01
22.96285,40.60555,1.000000E+01,1.924210E-01
22.96454,40.60555,1.000000E+01,1.925802E-01
22.96624,40.60555,1.000000E+01,1.927344E-01
22.96794,40.60555,1.000000E+01,1.891649E-01
22.96963,40.60555,1.000000E+01,1.893027E-01
22.97133,40.60555,1.000000E+01,1.894356E-01
22.97303,40.60555,1.000000E+01,1.895669E-01
22.95097,40.60799,1.000000E+01,1.933376E-01
22.95266,40.60799,1.000000E+01,1.935408E-01
22.95436,40.60799,1.000000E+01,1.937329E-01
22.95606,40.60799,1.000000E+01,1.939213E-01
22.95775,40.60799,1.000000E+01,1.941051E-01
22.95945,40.60799,1.000000E+01,1.923427E-01
22.96115,40.60799,1.000000E+01,1.925161E-01
22.96285,40.60799,1.000000E+01,1.926844E-01
22.96454,40.60799,1.000000E+01,1.928455E-01
22.96624,40.60799,1.000000E+01,1.930013E-01
22.96794,40.60799,1.000000E+01,1.894284E-01
22.96963,40.60799,1.000000E+01,1.895670E-01
22.97133,40.60799,1.000000E+01,1.896997E-01
22.97303,40.60799,1.000000E+01,1.898252E-01
22.95097,40.61042,1.000000E+01,1.916244E-01
22.95266,40.61042,1.000000E+01,1.918186E-01
22.95436,40.61042,1.000000E+01,1.920216E-01
22.95606,40.61042,1.000000E+01,1.922118E-01
22.95775,40.61042,1.000000E+01,1.923964E-01
22.95945,40.61042,1.000000E+01,1.869885E-01
22.96115,40.61042,1.000000E+01,1.871587E-01
22.96285,40.61042,1.000000E+01,1.873235E-01
22.96454,40.61042,1.000000E+01,1.874819E-01
22.96624,40.61042,1.000000E+01,1.876342E-01
22.96794,40.61042,1.000000E+01,1.823046E-01
22.96963,40.61042,1.000000E+01,1.824380E-01
22.97133,40.61042,1.000000E+01,1.825654E-01
22.97303,40.61042,1.000000E+01,1.826852E-01
22.95097,40.61285,1.000000E+01,1.918105E-01
22.95266,40.61285,1.000000E+01,1.920075E-01
22.95436,40.61285,1.000000E+01,1.922136E-01
22.95606,40.61285,1.000000E+01,1.924062E-01
22.95775,40.61285,1.000000E+01,1.925930E-01
22.95945,40.61285,1.000000E+01,1.871823E-01
22.96115,40.61285,1.000000E+01,1.873544E-01
22.96285,40.61285,1.000000E+01,1.875208E-01
22.96454,40.61285,1.000000E+01,1.876805E-01
22.96624,40.61285,1.000000E+01,1.878341E-01
22.96794,40.61285,1.000000E+01,1.824999E-01
22.96963,40.61285,1.000000E+01,1.826339E-01
22.97133,40.61285,1.000000E+01,1.827614E-01
22.97303,40.61285,1.000000E+01,1.828819E-01
22.95097,40.61528,1.000000E+01,1.919628E-01
22.95266,40.61528,1.000000E+01,1.921621E-01
22.95436,40.61528,1.000000E+01,1.923704E-01
22.95606,40.61528,1.000000E+01,1.925651E-01
22.95775,40.61528,1.000000E+01,1.927538E-01
22.95945,40.61528,1.000000E+01,1.873406E-01
22.96115,40.61528,1.000000E+01,1.875143E-01
22.96285,40.61528,1.000000E+01,1.876821E-01
22.96454,40.61528,1.000000E+01,1.878425E-01
22.96624,40.61528,1.000000E+01,1.879974E-01
22.96794,40.61528,1.000000E+01,1.826597E-01
22.96963,40.61528,1.000000E+01,1.827944E-01
22.97133,40.61528,1.000000E+01,1.829224E-01
22.97303,40.61528,1.000000E+01,1.830439E-01
22.94248,40.61772,1.000000E+01,1.712231E-01
22.94418,40.61772,1.000000E+01,1.714031E-01
22.94588,40.61772,1.000000E+01,1.715846E-01
22.94757,40.61772,1.000000E+01,1.717659E-01
22.94927,40.61772,1.000000E+01,1.719483E-01
22.95097,40.61772,1.000000E+01,1.872908E-01
22.95266,40.61772,1.000000E+01,1.874869E-01
22.95436,40.61772,1.000000E+01,1.876914E-01
22.95606,40.61772,1.000000E+01,1.878829E-01
22.95775,40.61772,1.000000E+01,1.880679E-01
22.95945,40.61772,1.000000E+01,1.777915E-01
22.96115,40.61772,1.000000E+01,1.779570E-01
22.96285,40.61772,1.000000E+01,1.781168E-01
22.96454,40.61772,1.000000E+01,1.782695E-01
22.96624,40.61772,1.000000E+01,1.784170E-01
22.96794,40.61772,1.000000E+01,1.691011E-01
22.96963,40.61772,1.000000E+01,1.692250E-01
22.97133,40.61772,1.000000E+01,1.693428E-01
22.97303,40.61772,1.000000E+01,1.694542E-01
22.94248,40.62015,1.000000E+01,1.712868E-01
22.94418,40.62015,1.000000E+01,1.714676E-01
22.94588,40.62015,1.000000E+01,1.716501E-01
22.94757,40.62015,1.000000E+01,1.718324E-01
22.94927,40.62015,1.000000E+01,1.720158E-01
22.95097,40.62015,1.000000E+01,1.873655E-01
22.95266,40.62015,1.000000E+01,1.875625E-01
22.95436,40.62015,1.000000E+01,1.877580E-01
22.95606,40.62015,1.000000E+01,1.879599E-01
22.95775,40.62015,1.000000E+01,1.881466E-01
22.95945,40.62015,1.000000E+01,1.778665E-01
22.96115,40.62015,1.000000E+01,1.780329E-01
22.96285,40.62015,1.000000E+01,1.781933E-01
22.96454,40.62015,1.000000E+01,1.783465E-01
22.96624,40.62015,1.000000E+01,1.784944E-01
22.96794,40.62015,1.000000E+01,1.691744E-01
22.96963,40.62015,1.000000E+01,1.692987E-01
22.97133,40.62015,1.000000E+01,1.694175E-01
22.97303,40.62015,1.000000E+01,1.695295E-01
22.94248,40.62258,1.000000E+01,1.713181E-01
22.94418,40.62258,1.000000E+01,1.714990E-01
22.94588,40.62258,1.000000E+01,1.716817E-01
22.94757,40.62258,1.000000E+01,1.718642E-01
22.94927,40.62258,1.000000E+01,1.720479E-01
22.95097,40.62258,1.000000E+01,1.873826E-01
22.95266,40.62258,1.000000E+01,1.875984E-01
22.95436,40.62258,1.000000E+01,1.877941E-01
22.95606,40.62258,1.000000E+01,1.879963E-01
22.95775,40.62258,1.000000E+01,1.881834E-01
22.95945,40.62258,1.000000E+01,1.779018E-01
22.96115,40.62258,1.000000E+01,1.780685E-01
22.96285,40.62258,1.000000E+01,1.782292E-01
22.96454,40.62258,1.000000E+01,1.783828E-01
22.96624,40.62258,1.000000E+01,1.785307E-01
22.96794,40.62258,1.000000E+01,1.692089E-01
22.96963,40.62258,1.000000E+01,1.693342E-01
22.97133,40.62258,1.000000E+01,1.694537E-01
22.97303,40.62258,1.000000E+01,1.695649E-01
22.93400,40.62502,1.000000E+01,1.694118E-01
22.93569,40.62502,1.000000E+01,1.695713E-01
22.93739,40.62502,1.000000E+01,1.697365E-01
22.93909,40.62502,1.000000E+01,1.699063E-01
22.94079,40.62502,1.000000E+01,1.700799E-01
22.94248,40.62502,1.000000E+01,1.736271E-01
22.94418,40.62502,1.000000E+01,1.738105E-01
22.94588,40.62502,1.000000E+01,1.739955E-01
22.94757,40.62502,1.000000E+01,1.741804E-01
22.94927,40.62502,1.000000E+01,1.743666E-01
22.95097,40.62502,1.000000E+01,1.748540E-01
22.95266,40.62502,1.000000E+01,1.750542E-01
22.95436,40.62502,1.000000E+01,1.752357E-01
22.95606,40.62502,1.000000E+01,1.754236E-01
22.95775,40.62502,1.000000E+01,1.755977E-01
22.95945,40.62502,9.926191E+00,1.629963E-01
22.96115,40.62502,9.934388E+00,1.631469E-01
22.96285,40.62502,9.942085E+00,1.632922E-01
22.96454,40.62502,9.949327E+00,1.634311E-01
22.96624,40.62502,9.956184E+00,1.635649E-01
22.96794,40.62502,9.338487E+00,1.542070E-01
22.96963,40.62502,9.344001E+00,1.543198E-01
22.97133,40.62502,9.349175E+00,1.544273E-01
22.97303,40.62502,9.352563E+00,1.545275E-01
22.93400,40.62745,1.000000E+01,1.693841E-01
