lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.93400,40.57880,6.516128E-01,3.519634E-01,1.581352E-01
22.93569,40.57880,6.528243E-01,3.523909E-01,1.582437E-01
22.93739,40.57880,6.540665E-01,3.528334E-01,1.583562E-01
22.93909,40.57880,6.553247E-01,3.532864E-01,1.584699E-01
22.94079,40.57880,6.565998E-01,3.537477E-01,1.585840E-01
22.94248,40.57880,7.157206E-01,3.857831E-01,1.727745E-01
22.94418,40.57880,7.170363E-01,3.862737E-01,1.729065E-01
22.94588,40.57880,7.183474E-01,3.867668E-01,1.730397E-01
22.94757,40.57880,7.196353E-01,3.872623E-01,1.731826E-01
22.94927,40.57880,7.209089E-01,3.877543E-01,1.733182E-01
22.95097,40.57880,7.635932E-01,4.104263E-01,1.835898E-01
22.95266,40.57880,7.648717E-01,4.109403E-01,1.837335E-01
22.95436,40.57880,7.661061E-01,4.114472E-01,1.838772E-01
22.95606,40.57880,7.673123E-01,4.119462E-01,1.840205E-01
22.95775,40.57880,7.684782E-01,4.124342E-01,1.841620E-01
22.95945,40.57880,7.898602E-01,4.237096E-01,1.892217E-01
22.96115,40.57880,7.909945E-01,4.241920E-01,1.893653E-01
22.96285,40.57880,7.920786E-01,4.246588E-01,1.895075E-01
22.96454,40.57880,7.931027E-01,4.251072E-01,1.896463E-01
22.96624,40.57880,7.940786E-01,4.255401E-01,1.897836E-01
22.96794,40.57880,7.969048E-01,4.269673E-01,1.903791E-01
22.96963,40.57880,7.977625E-01,4.273602E-01,1.905109E-01
22.97133,40.57880,7.985619E-01,4.277340E-01,1.906405E-01
22.97303,40.57880,7.992970E-01,4.280862E-01,1.907675E-01
22.93400,40.58123,6.547196E-01,3.529105E-01,1.582665E-01
22.93569,40.58123,6.560167E-01,3.533578E-01,1.583755E-01
22.93739,40.58123,6.573467E-01,3.538213E-01,1.584899E-01
22.93909,40.58123,6.586957E-01,3.542956E-01,1.586035E-01
22.94079,40.58123,6.600552E-01,3.547794E-01,1.587210E-01
22.94248,40.58123,7.193792E-01,3.868758E-01,1.729306E-01
22.94418,40.58123,7.207940E-01,3.873906E-01,1.730650E-01
22.94588,40.58123,7.221992E-01,3.879077E-01,1.732005E-01
22.94757,40.58123,7.235799E-01,3.884221E-01,1.733363E-01
22.94927,40.58123,7.249425E-01,3.889419E-01,1.734835E-01
22.95097,40.58123,7.680138E-01,4.117312E-01,1.837706E-01
22.95266,40.58123,7.693796E-01,4.122680E-01,1.839164E-01
22.95436,40.58123,7.706969E-01,4.127969E-01,1.840621E-01
22.95606,40.58123,7.719792E-01,4.133177E-01,1.842077E-01
22.95775,40.58123,7.732180E-01,4.138253E-01,1.843511E-01
22.95945,40.58123,7.948306E-01,4.251662E-01,1.894178E-01
22.96115,40.58123,7.960263E-01,4.256646E-01,1.895631E-01
22.96285,40.58123,7.971633E-01,4.261464E-01,1.897068E-01
22.96454,40.58123,7.982385E-01,4.266065E-01,1.898470E-01
22.96624,40.58123,7.992608E-01,4.270502E-01,1.899854E-01
22.96794,40.58123,8.021379E-01,4.284908E-01,1.905823E-01
22.96963,40.58123,8.030235E-01,4.288899E-01,1.907133E-01
22.97133,40.58123,8.038398E-01,4.292690E-01,1.908437E-01
22.97303,40.58123,8.045824E-01,4.296253E-01,1.909712E-01
22.93400,40.58366,6.581497E-01,3.539723E-01,1.584136E-01
22.93569,40.58366,6.595389E-01,3.544412E-01,1.585238E-01
22.93739,40.58366,6.609665E-01,3.549296E-01,1.586405E-01
22.93909,40.58366,6.624173E-01,3.554295E-01,1.587571E-01
22.94079,40.58366,6.638849E-01,3.559395E-01,1.588769E-01
