lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.93400,40.57880,0.00000,9.213839E-01,8.914829E-01,8.519030E-01,8.023372E-01,7.432394E-01,6.756628E-01,6.010405E-01,5.213872E-01,4.395845E-01,3.591707E-01,2.818683E-01,2.104708E-01,1.543003E-01,1.081649E-01,7.486709E-02,4.950761E-02,3.366935E-02,2.127956E-02,1.321946E-02,7.792129E-03,4.463790E-03,2.385604E-03,1.132646E-03,4.577602E-04,2.067514E-04,6.980220E-05,2.231458E-05,6.336380E-06,1.455042E-06,6.998892E-08
22.93569,40.57880,0.00000,9.213898E-01,8.914973E-01,8.519278E-01,8.023749E-01,7.432921E-01,6.757331E-01,6.011282E-01,5.214925E-01,4.397030E-01,3.592960E-01,2.819009E-01,2.105105E-01,1.543390E-01,1.082026E-01,7.489803E-02,4.954845E-02,3.369565E-02,2.129639E-02,1.323126E-02,7.800466E-03,4.470300E-03,2.391422E-03,1.135019E-03,4.588870E-04,2.075393E-04,7.004820E-05,2.271382E-05,6.501481E-06,1.496896E-06,7.100431E-08
22.93739,40.57880,0.00000,9.213964E-01,8.915116E-01,8.519527E-01,8.024130E-01,7.433453E-01,6.758028E-01,6.012164E-01,5.215985E-01,4.398223E-01,3.594221E-01,2.821284E-01,2.106500E-01,1.544404E-01,1.082624E-01,7.494400E-02,4.958987E-02,3.372224E-02,2.131360E-02,1.324342E-02,7.809171E-03,4.477244E-03,2.397493E-03,1.137510E-03,4.600866E-04,2.082001E-04,7.031690E-05,2.310375E-05,6.663501E-06,1.536812E-06,7.198864E-08
22.93909,40.57880,0.00000,9.214025E-01,8.915257E-01,8.519776E-01,8.024507E-01,7.433974E-01,6.758723E-01,6.013036E-01,5.217024E-01,4.399409E-01,3.595481E-01,2.821618E-01,2.106901E-01,1.544801E-01,1.083001E-01,7.497489E-02,4.963167E-02,3.374910E-02,2.133110E-02,1.325588E-02,7.818162E-03,4.484476E-03,2.403725E-03,1.140096E-03,4.613677E-04,2.088991E-04,7.061906E-05,2.347870E-05,6.817954E-06,1.574052E-06,7.292482E-08
22.94079,40.57880,0.00000,9.213839E-01,8.915056E-01,8.519564E-01,8.024273E-01,7.433736E-01,6.758500E-01,6.012871E-01,5.216991E-01,4.399554E-01,3.595833E-01,2.821949E-01,2.107299E-01,1.545191E-01,1.083377E-01,7.500561E-02,4.967354E-02,3.377596E-02,2.134867E-02,1.326854E-02,7.827375E-03,4.491946E-03,2.409982E-03,1.142796E-03,4.627060E-04,2.096399E-04,7.094843E-05,2.383539E-05,6.964274E-06,1.608137E-06,7.380183E-08
22.94248,40.57880,0.00000,9.283766E-01,9.011275E-01,8.644391E-01,8.177484E-01,7.613153E-01,6.960487E-01,6.232939E-01,5.449157E-01,4.634588E-01,3.822981E-01,3.052796E-01,2.302832E-01,1.703236E-01,1.205013E-01,8.404491E-02,5.583725E-02,3.784176E-02,2.434132E-02,1.524486E-02,9.107294E-03,5.297603E-03,2.904645E-03,1.414707E-03,6.067713E-04,2.719586E-04,9.870590E-05,3.304537E-05,1.034907E-05,2.527710E-06,3.244722E-07
22.94418,40.57880,0.00000,9.283804E-01,9.011385E-01,8.644597E-01,8.177813E-01,7.613623E-01,6.961123E-01,6.233744E-01,5.450141E-01,4.635731E-01,3.824229E-01,3.054044E-01,2.303252E-01,1.703646E-01,1.205406E-01,8.410799E-02,5.586373E-02,3.787093E-02,2.435609E-02,1.525884E-02,9.117658E-03,5.305797E-03,2.911961E-03,1.419425E-03,6.085638E-04,2.743340E-04,9.918356E-05,3.343956E-05,1.051569E-05,2.574945E-06,3.365056E-07
22.94588,40.57880,0.00000,9.283822E-01,9.011465E-01,8.644763E-01,8.178087E-01,7.614026E-01,6.961673E-01,6.234455E-01,5.451022E-01,4.636759E-01,3.825369E-01,3.054878E-01,2.303673E-01,1.704058E-01,1.205799E-01,8.417109E-02,5.589004E-02,3.790040E-02,2.437097E-02,1.527304E-02,9.128103E-03,5.314133E-03,2.919303E-03,1.424134E-03,6.104073E-04,2.766259E-04,9.968325E-05,3.379982E-05,1.066789E-05,2.617100E-06,3.465453E-07
22.94757,40.57880,0.00000,9.284348E-01,9.012248E-01,8.645896E-01,8.179656E-01,7.616118E-01,6.964358E-01,6.237738E-01,5.454844E-01,4.640984E-01,3.829708E-01,3.055239E-01,2.304090E-01,1.704467E-01,1.206189E-01,8.425818E-02,5.591610E-02,3.793706E-02,2.438578E-02,1.528796E-02,9.138769E-03,5.322452E-03,2.926983E-03,1.428820E-03,6.122931E-04,2.787820E-04,1.001990E-04,3.412112E-05,1.080214E-05,2.653912E-06,3.543923E-07
22.94927,40.57880,0.00000,9.284673E-01,9.012755E-01,8.646637E-01,8.180693E-01,7.617479E-01,6.966066E-01,6.239755E-01,5.457087E-01,4.643310E-01,3.831975E-01,3.055597E-01,2.304508E-01,1.704872E-01,1.206579E-01,8.429038E-02,5.594219E-02,3.796767E-02,2.440067E-02,1.530247E-02,9.149457E-03,5.330851E-03,2.934246E-03,1.433406E-03,6.142437E-04,2.808155E-04,1.007340E-04,3.440551E-05,1.091932E-05,2.684035E-06,3.600129E-07
