lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.93400,40.57880,0.00000,3.632261E-01,3.350598E-01,3.077260E-01,2.813624E-01,2.560721E-01,2.319795E-01,2.101307E-01,1.907531E-01,1.724350E-01,1.536876E-01,1.363376E-01,1.203806E-01,1.057824E-01,9.252017E-02,8.071345E-02,7.047708E-02,6.082969E-02,5.265487E-02,4.546902E-02,3.911653E-02,3.352814E-02,2.851583E-02,2.433500E-02,2.066954E-02,1.733969E-02,1.438779E-02,1.187131E-02,9.738333E-03,8.071627E-03,6.776360E-03
22.93569,40.57880,0.00000,3.632424E-01,3.350783E-01,3.077461E-01,2.813843E-01,2.560953E-01,2.320040E-01,2.102003E-01,1.908194E-01,1.724595E-01,1.537118E-01,1.363617E-01,1.204043E-01,1.058054E-01,9.254260E-02,8.055978E-02,7.029818E-02,6.084817E-02,5.268773E-02,4.549929E-02,3.914456E-02,3.355388E-02,2.853701E-02,2.435445E-02,2.068984E-02,1.734823E-02,1.439531E-02,1.187797E-02,9.744162E-03,8.084936E-03,6.788631E-03
22.93739,40.57880,0.00000,3.641915E-01,3.359412E-01,3.085232E-01,2.820779E-01,2.567087E-01,2.325416E-01,2.102712E-01,1.908856E-01,1.725812E-01,1.540402E-01,1.366412E-01,1.206405E-01,1.060035E-01,9.270812E-02,8.069694E-02,7.030912E-02,6.095825E-02,5.272100E-02,4.552994E-02,3.917302E-02,3.358008E-02,2.855855E-02,2.437440E-02,2.071056E-02,1.737735E-02,1.441885E-02,1.189697E-02,9.759411E-03,8.098532E-03,6.801192E-03
22.93909,40.57880,0.00000,3.642092E-01,3.359606E-01,3.085446E-01,2.821008E-01,2.567327E-01,2.325666E-01,2.103419E-01,1.909524E-01,1.726441E-01,1.540649E-01,1.366657E-01,1.206645E-01,1.060269E-01,9.273087E-02,8.071887E-02,7.031967E-02,6.097695E-02,5.275450E-02,4.556090E-02,3.920175E-02,3.360659E-02,2.858039E-02,2.439463E-02,2.073156E-02,1.738621E-02,1.442664E-02,1.190389E-02,9.765452E-03,8.112376E-03,6.813912E-03
22.94079,40.57880,0.00000,3.642264E-01,3.359799E-01,3.085655E-01,2.821234E-01,2.567565E-01,2.325916E-01,2.102085E-01,1.908211E-01,1.725153E-01,1.540896E-01,1.366902E-01,1.206885E-01,1.060501E-01,9.275361E-02,8.074065E-02,7.033055E-02,6.099554E-02,5.275970E-02,4.556813E-02,3.921079E-02,3.361698E-02,2.857075E-02,2.438844E-02,2.073889E-02,1.739517E-02,1.443455E-02,1.191090E-02,9.771570E-03,8.126157E-03,6.826010E-03
22.94248,40.57880,0.00000,3.900512E-01,3.644105E-01,3.372622E-01,3.098060E-01,2.833129E-01,2.578863E-01,2.336553E-01,2.106934E-01,1.907742E-01,1.724706E-01,1.548360E-01,1.373680E-01,1.212979E-01,1.065931E-01,9.323298E-02,8.125788E-02,7.107694E-02,6.135458E-02,5.274645E-02,4.555715E-02,3.920197E-02,3.361074E-02,2.858883E-02,2.438390E-02,2.073536E-02,1.750817E-02,1.452832E-02,1.198784E-02,9.833893E-03,8.129810E-03
22.94418,40.57880,0.00000,3.901345E-01,3.644938E-01,3.372904E-01,3.098355E-01,2.833432E-01,2.579171E-01,2.336867E-01,2.107244E-01,1.908413E-01,1.725340E-01,1.548646E-01,1.373959E-01,1.213248E-01,1.066190E-01,9.325799E-02,8.127102E-02,7.109854E-02,6.137470E-02,5.278057E-02,4.558880E-02,3.923133E-02,3.363789E-02,2.860292E-02,2.440467E-02,2.075458E-02,1.751762E-02,1.453668E-02,1.199525E-02,9.840341E-03,8.144122E-03
22.94588,40.57880,0.00000,3.902016E-01,3.645601E-01,3.373186E-01,3.098647E-01,2.833735E-01,2.579478E-01,2.337176E-01,2.107555E-01,1.908994E-01,1.725888E-01,1.548929E-01,1.374236E-01,1.213517E-01,1.066448E-01,9.328285E-02,8.128414E-02,7.112002E-02,6.139464E-02,5.281176E-02,4.561798E-02,3.925882E-02,3.366357E-02,2.861710E-02,2.442498E-02,2.077346E-02,1.752715E-02,1.454511E-02,1.200272E-02,9.846858E-03,8.158559E-03
22.94757,40.57880,0.00000,3.906980E-01,3.650708E-01,3.373463E-01,3.098937E-01,2.834033E-01,2.579781E-01,2.337483E-01,2.107864E-01,1.912261E-01,1.729081E-01,1.549210E-01,1.374511E-01,1.213782E-01,1.066703E-01,9.330756E-02,8.144130E-02,7.114137E-02,6.141485E-02,5.307592E-02,4.585901E-02,3.947692E-02,3.385900E-02,2.871313E-02,2.451680E-02,2.085387E-02,1.753669E-02,1.455355E-02,1.201023E-02,9.853379E-03,8.183933E-03
22.94927,40.57880,0.00000,3.909763E-01,3.653488E-01,3.373742E-01,3.099227E-01,2.834331E-01,2.580084E-01,2.337790E-01,2.108212E-01,1.914109E-01,1.730808E-01,1.549491E-01,1.374787E-01,1.214049E-01,1.066959E-01,9.333234E-02,8.145455E-02,7.116275E-02,6.143481E-02,5.314635E-02,4.592095E-02,3.953112E-02,3.388446E-02,2.874681E-02,2.454624E-02,2.087973E-02,1.754637E-02,1.456215E-02,1.201783E-02,9.860003E-03,8.198600E-03
