lon,lat,PGV,PGA
22.93400,40.57880,1.000000E+01,3.142291E-01
22.93569,40.57880,1.000000E+01,3.145166E-01
22.93739,40.57880,1.000000E+01,3.148167E-01
22.93909,40.57880,1.000000E+01,3.151255E-01
22.94079,40.57880,1.000000E+01,3.154405E-01
22.94248,40.57880,1.000000E+01,3.428539E-01
22.94418,40.57880,1.000000E+01,3.433039E-01
22.94588,40.57880,1.000000E+01,3.437535E-01
22.94757,40.57880,1.000000E+01,3.442053E-01
22.94927,40.57880,1.000000E+01,3.446446E-01
22.95097,40.57880,1.000000E+01,3.645117E-01
22.95266,40.57880,1.000000E+01,3.649065E-01
22.95436,40.57880,1.000000E+01,3.653078E-01
22.95606,40.57880,1.000000E+01,3.657113E-01
22.95775,40.57880,1.000000E+01,3.661135E-01
22.95945,40.57880,1.000000E+01,3.763848E-01
22.96115,40.57880,1.000000E+01,3.767530E-01
22.96285,40.57880,1.000000E+01,3.771198E-01
22.96454,40.57880,1.000000E+01,3.774814E-01
22.96624,40.57880,1.000000E+01,3.778405E-01
22.96794,40.57880,1.000000E+01,3.791130E-01
22.96963,40.57880,1.000000E+01,3.794629E-01
22.97133,40.57880,1.000000E+01,3.798118E-01
22.97303,40.57880,1.000000E+01,3.801535E-01
22.93400,40.58123,1.000000E+01,3.146597E-01
22.93569,40.58123,1.000000E+01,3.149516E-01
22.93739,40.58123,1.000000E+01,3.152570E-01
22.93909,40.58123,1.000000E+01,3.155673E-01
22.94079,40.58123,1.000000E+01,3.158922E-01
22.94248,40.58123,1.000000E+01,3.445050E-01
22.94418,40.58123,1.000000E+01,3.449935E-01
22.94588,40.58123,1.000000E+01,3.454826E-01
22.94757,40.58123,1.000000E+01,3.459651E-01
22.94927,40.58123,1.000000E+01,3.464504E-01
22.95097,40.58123,1.000000E+01,3.660368E-01
22.95266,40.58123,1.000000E+01,3.665192E-01
22.95436,40.58123,1.000000E+01,3.669841E-01
22.95606,40.58123,1.000000E+01,3.674262E-01
22.95775,40.58123,1.000000E+01,3.677922E-01
22.95945,40.58123,1.000000E+01,3.762250E-01
22.96115,40.58123,1.000000E+01,3.765627E-01
22.96285,40.58123,1.000000E+01,3.768753E-01
22.96454,40.58123,1.000000E+01,3.771597E-01
22.96624,40.58123,1.000000E+01,3.775057E-01
22.96794,40.58123,1.000000E+01,3.787748E-01
