lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.93400,40.57880,5.218471E-01,3.142291E-01,1.471707E-01
22.93569,40.57880,5.223774E-01,3.145166E-01,1.472593E-01
22.93739,40.57880,5.229131E-01,3.148167E-01,1.473519E-01
22.93909,40.57880,5.234838E-01,3.151255E-01,1.474474E-01
22.94079,40.57880,5.240817E-01,3.154405E-01,1.475454E-01
22.94248,40.57880,5.795372E-01,3.428539E-01,1.605022E-01
22.94418,40.57880,5.808334E-01,3.433039E-01,1.606121E-01
22.94588,40.57880,5.821147E-01,3.437535E-01,1.607232E-01
22.94757,40.57880,5.833552E-01,3.442053E-01,1.608361E-01
22.94927,40.57880,5.845621E-01,3.446446E-01,1.609495E-01
22.95097,40.57880,6.205010E-01,3.645117E-01,1.702993E-01
22.95266,40.57880,6.217403E-01,3.649065E-01,1.704192E-01
22.95436,40.57880,6.229081E-01,3.653078E-01,1.705378E-01
22.95606,40.57880,6.240347E-01,3.657113E-01,1.706547E-01
22.95775,40.57880,6.251218E-01,3.661135E-01,1.707689E-01
22.95945,40.57880,6.420550E-01,3.763848E-01,1.755292E-01
22.96115,40.57880,6.430965E-01,3.767530E-01,1.756426E-01
22.96285,40.57880,6.440816E-01,3.771198E-01,1.757518E-01
22.96454,40.57880,6.450062E-01,3.774814E-01,1.758559E-01
22.96624,40.57880,6.458837E-01,3.778405E-01,1.759559E-01
22.96794,40.57880,6.481560E-01,3.791130E-01,1.764824E-01
22.96963,40.57880,6.489198E-01,3.794629E-01,1.765725E-01
22.97133,40.57880,6.496472E-01,3.798118E-01,1.766579E-01
22.97303,40.57880,6.503262E-01,3.801535E-01,1.767391E-01
22.93400,40.58123,5.213084E-01,3.146597E-01,1.474794E-01
22.93569,40.58123,5.222467E-01,3.149516E-01,1.475707E-01
22.93739,40.58123,5.238518E-01,3.152570E-01,1.476661E-01
22.93909,40.58123,5.254138E-01,3.155673E-01,1.477630E-01
22.94079,40.58123,5.269287E-01,3.158922E-01,1.478641E-01
22.94248,40.58123,5.819824E-01,3.445050E-01,1.608487E-01
22.94418,40.58123,5.827377E-01,3.449935E-01,1.609626E-01
22.94588,40.58123,5.835173E-01,3.454826E-01,1.610780E-01
22.94757,40.58123,5.843135E-01,3.459651E-01,1.611935E-01
22.94927,40.58123,5.851436E-01,3.464504E-01,1.613116E-01
22.95097,40.58123,6.262654E-01,3.660368E-01,1.706936E-01
22.95266,40.58123,6.276881E-01,3.665192E-01,1.708168E-01
22.95436,40.58123,6.290095E-01,3.669841E-01,1.709392E-01
22.95606,40.58123,6.302854E-01,3.674262E-01,1.710610E-01
22.95775,40.58123,6.315147E-01,3.677922E-01,1.711819E-01
22.95945,40.58123,6.492899E-01,3.762250E-01,1.759575E-01
22.96115,40.58123,6.504667E-01,3.765627E-01,1.760736E-01
22.96285,40.58123,6.515750E-01,3.768753E-01,1.761850E-01
22.96454,40.58123,6.526119E-01,3.771597E-01,1.762912E-01
22.96624,40.58123,6.535909E-01,3.775057E-01,1.763926E-01
22.96794,40.58123,6.560228E-01,3.787748E-01,1.769214E-01
22.96963,40.58123,6.568791E-01,3.791213E-01,1.770076E-01
22.97133,40.58123,6.576689E-01,3.794676E-01,1.770935E-01
22.97303,40.58123,6.583936E-01,3.798063E-01,1.771749E-01
22.93400,40.58366,5.246480E-01,3.150615E-01,1.478305E-01
22.93569,40.58366,5.262551E-01,3.153019E-01,1.479237E-01
22.93739,40.58366,5.278530E-01,3.155525E-01,1.480229E-01
22.93909,40.58366,5.294222E-01,3.158112E-01,1.481254E-01
22.94079,40.58366,5.309464E-01,3.160774E-01,1.482306E-01
22.94248,40.58366,5.872013E-01,3.491635E-01,1.625671E-01
22.94418,40.58366,5.879578E-01,3.497036E-01,1.626871E-01
22.94588,40.58366,5.887395E-01,3.502450E-01,1.628083E-01
22.94757,40.58366,5.895431E-01,3.507503E-01,1.629299E-01
22.94927,40.58366,5.904546E-01,3.511285E-01,1.630543E-01
22.95097,40.58366,6.381688E-01,3.723638E-01,1.736447E-01
22.95266,40.58366,6.391426E-01,3.728064E-01,1.737789E-01
22.95436,40.58366,6.401350E-01,3.732381E-01,1.739111E-01
22.95606,40.58366,6.411442E-01,3.736538E-01,1.740410E-01
22.95775,40.58366,6.421603E-01,3.740460E-01,1.741672E-01
22.95945,40.58366,6.542951E-01,3.787494E-01,1.768064E-01
22.96115,40.58366,6.553670E-01,3.791028E-01,1.769260E-01
22.96285,40.58366,6.564392E-01,3.794286E-01,1.770362E-01
22.96454,40.58366,6.574941E-01,3.797247E-01,1.771447E-01
22.96624,40.58366,6.585643E-01,3.799945E-01,1.772478E-01
22.96794,40.58366,6.515993E-01,3.771031E-01,1.755453E-01
22.96963,40.58366,6.526029E-01,3.773052E-01,1.756364E-01
22.97133,40.58366,6.535828E-01,3.774756E-01,1.757217E-01
22.97303,40.58366,6.545302E-01,3.776132E-01,1.758023E-01
22.93400,40.58609,5.284839E-01,3.147790E-01,1.482185E-01
22.93569,40.58609,5.300923E-01,3.150184E-01,1.483172E-01
22.93739,40.58609,5.316812E-01,3.152677E-01,1.484203E-01
22.93909,40.58609,5.332397E-01,3.155257E-01,1.485269E-01
22.94079,40.58609,5.347769E-01,3.157912E-01,1.486368E-01
22.94248,40.58609,5.875961E-01,3.495992E-01,1.630126E-01
22.94418,40.58609,5.888986E-01,3.499782E-01,1.631381E-01
22.94588,40.58609,5.901773E-01,3.503393E-01,1.632653E-01
22.94757,40.58609,5.914235E-01,3.507039E-01,1.633929E-01
22.94927,40.58609,5.926542E-01,3.510772E-01,1.635222E-01
22.95097,40.58609,6.372297E-01,3.743702E-01,1.741645E-01
22.95266,40.58609,6.381949E-01,3.748403E-01,1.743040E-01
22.95436,40.58609,6.391772E-01,3.752992E-01,1.744426E-01
22.95606,40.58609,6.401688E-01,3.757377E-01,1.745739E-01
22.95775,40.58609,6.411611E-01,3.761511E-01,1.747050E-01
22.95945,40.58609,6.532336E-01,3.807842E-01,1.773552E-01
22.96115,40.58609,6.542802E-01,3.811529E-01,1.774787E-01
22.96285,40.58609,6.553349E-01,3.814923E-01,1.775963E-01
22.96454,40.58609,6.563856E-01,3.818038E-01,1.777079E-01
22.96624,40.58609,6.574397E-01,3.820857E-01,1.778136E-01
22.96794,40.58609,6.505900E-01,3.793356E-01,1.761076E-01
22.96963,40.58609,6.515850E-01,3.795508E-01,1.761991E-01
22.97133,40.58609,6.525496E-01,3.797282E-01,1.762851E-01
22.97303,40.58609,6.534756E-01,3.798662E-01,1.763651E-01
22.93400,40.58853,5.321167E-01,3.144871E-01,1.486419E-01
22.93569,40.58853,5.337248E-01,3.147258E-01,1.487443E-01
22.93739,40.58853,5.353167E-01,3.149745E-01,1.488520E-01
22.93909,40.58853,5.368764E-01,3.152310E-01,1.489632E-01
22.94079,40.58853,5.384039E-01,3.154947E-01,1.490781E-01
22.94248,40.58853,5.897484E-01,3.495742E-01,1.634983E-01
22.94418,40.58853,5.910378E-01,3.499499E-01,1.636310E-01
22.94588,40.58853,5.923013E-01,3.503076E-01,1.637651E-01
22.94757,40.58853,5.935271E-01,3.506671E-01,1.638991E-01
22.94927,40.58853,5.947363E-01,3.510345E-01,1.640347E-01
22.95097,40.58853,6.370419E-01,3.754955E-01,1.747284E-01
22.95266,40.58853,6.381297E-01,3.758644E-01,1.748752E-01
22.95436,40.58853,6.392089E-01,3.762382E-01,1.750208E-01
22.95606,40.58853,6.402761E-01,3.766145E-01,1.751627E-01
22.95775,40.58853,6.413209E-01,3.769907E-01,1.752998E-01
22.95945,40.58853,6.526611E-01,3.824532E-01,1.779623E-01
22.96115,40.58853,6.536907E-01,3.828456E-01,1.780904E-01
22.96285,40.58853,6.547267E-01,3.832323E-01,1.782124E-01
22.96454,40.58853,6.557525E-01,3.836096E-01,1.783267E-01
22.96624,40.58853,6.567689E-01,3.839799E-01,1.784350E-01
22.96794,40.58853,6.502993E-01,3.806796E-01,1.767261E-01
22.96963,40.58853,6.512355E-01,3.810236E-01,1.768183E-01
22.97133,40.58853,6.521415E-01,3.813580E-01,1.769051E-01
22.97303,40.58853,6.530102E-01,3.816816E-01,1.769849E-01
22.93400,40.59096,5.354913E-01,3.141865E-01,1.490885E-01
22.93569,40.59096,5.370981E-01,3.144316E-01,1.491954E-01
22.93739,40.59096,5.386935E-01,3.146781E-01,1.493080E-01
22.93909,40.59096,5.402642E-01,3.149319E-01,1.494229E-01
22.94079,40.59096,5.418015E-01,3.151928E-01,1.495380E-01
22.94248,40.59096,5.917354E-01,3.494323E-01,1.640142E-01
22.94418,40.59096,5.930166E-01,3.497469E-01,1.641541E-01
22.94588,40.59096,5.942693E-01,3.500961E-01,1.642952E-01
22.94757,40.59096,5.954822E-01,3.504222E-01,1.644365E-01
22.94927,40.59096,5.966703E-01,3.507568E-01,1.645786E-01
22.95097,40.59096,6.373944E-01,3.754872E-01,1.753327E-01
22.95266,40.59096,6.384422E-01,3.758728E-01,1.754878E-01
22.95436,40.59096,6.394784E-01,3.762638E-01,1.756406E-01
22.95606,40.59096,6.404992E-01,3.766581E-01,1.757893E-01
22.95775,40.59096,6.414982E-01,3.770520E-01,1.759322E-01
22.95945,40.59096,6.523385E-01,3.827604E-01,1.786087E-01
22.96115,40.59096,6.533080E-01,3.831751E-01,1.787419E-01
22.96285,40.59096,6.542730E-01,3.835835E-01,1.788682E-01
22.96454,40.59096,6.552393E-01,3.839830E-01,1.789863E-01
22.96624,40.59096,6.561913E-01,3.843753E-01,1.790972E-01
22.96794,40.59096,6.500044E-01,3.809223E-01,1.773860E-01
22.96963,40.59096,6.508860E-01,3.812838E-01,1.774793E-01
22.97133,40.59096,6.517386E-01,3.816343E-01,1.775666E-01
22.97303,40.59096,6.525539E-01,3.819714E-01,1.776456E-01
22.94248,40.59339,5.738219E-01,3.353932E-01,1.587635E-01
22.94418,40.59339,5.751765E-01,3.356892E-01,1.589027E-01
22.94588,40.59339,5.758843E-01,3.360148E-01,1.590438E-01
22.94757,40.59339,5.765312E-01,3.363226E-01,1.591855E-01
22.94927,40.59339,5.772011E-01,3.366369E-01,1.593281E-01
22.95097,40.59339,6.441400E-01,3.791461E-01,1.776840E-01
22.95266,40.59339,6.451330E-01,3.795782E-01,1.778494E-01
22.95436,40.59339,6.461157E-01,3.800141E-01,1.780114E-01
22.95606,40.59339,6.470823E-01,3.804523E-01,1.781686E-01
22.95775,40.59339,6.480295E-01,3.808888E-01,1.783196E-01
22.95945,40.59339,6.455649E-01,3.793152E-01,1.775454E-01
22.96115,40.59339,6.465029E-01,3.797401E-01,1.776835E-01
22.96285,40.59339,6.474193E-01,3.801593E-01,1.778140E-01
22.96454,40.59339,6.483079E-01,3.805709E-01,1.779353E-01
22.96624,40.59339,6.491786E-01,3.809796E-01,1.780488E-01
22.96794,40.59339,6.386331E-01,3.742314E-01,1.749949E-01
22.96963,40.59339,6.394330E-01,3.745995E-01,1.750888E-01
22.97133,40.59339,6.401989E-01,3.749585E-01,1.751742E-01
22.97303,40.59339,6.409284E-01,3.753043E-01,1.752509E-01
22.94248,40.59582,5.739660E-01,3.351128E-01,1.592878E-01
22.94418,40.59582,5.745587E-01,3.354952E-01,1.594348E-01
22.94588,40.59582,5.757568E-01,3.358975E-01,1.595840E-01
22.94757,40.59582,5.773079E-01,3.362929E-01,1.597335E-01
22.94927,40.59582,5.788369E-01,3.366836E-01,1.598837E-01
22.95097,40.59582,6.441833E-01,3.792979E-01,1.783395E-01
22.95266,40.59582,6.451439E-01,3.797598E-01,1.785133E-01
22.95436,40.59582,6.460929E-01,3.802273E-01,1.786836E-01
22.95606,40.59582,6.470262E-01,3.806965E-01,1.788488E-01
22.95775,40.59582,6.478522E-01,3.810901E-01,1.790069E-01
22.95945,40.59582,6.452830E-01,3.793270E-01,1.782365E-01
22.96115,40.59582,6.461028E-01,3.797086E-01,1.783804E-01
22.96285,40.59582,6.469215E-01,3.800885E-01,1.785157E-01
22.96454,40.59582,6.477280E-01,3.804669E-01,1.786410E-01
22.96624,40.59582,6.488722E-01,3.808440E-01,1.787576E-01
22.96794,40.59582,6.403031E-01,3.738315E-01,1.756964E-01
22.96963,40.59582,6.411975E-01,3.741869E-01,1.757911E-01
22.97133,40.59582,6.419751E-01,3.745365E-01,1.758767E-01
22.97303,40.59582,6.426416E-01,3.748772E-01,1.759533E-01
22.94248,40.59826,5.750204E-01,3.354398E-01,1.598175E-01
22.94418,40.59826,5.767992E-01,3.358245E-01,1.599725E-01
22.94588,40.59826,5.785769E-01,3.362295E-01,1.601297E-01
22.94757,40.59826,5.803295E-01,3.366202E-01,1.602871E-01
22.94927,40.59826,5.820697E-01,3.370148E-01,1.604453E-01
22.95097,40.59826,6.437748E-01,3.791771E-01,1.790023E-01
22.95266,40.59826,6.456828E-01,3.795469E-01,1.791847E-01
22.95436,40.59826,6.478345E-01,3.799450E-01,1.793631E-01
22.95606,40.59826,6.499071E-01,3.803232E-01,1.795360E-01
22.95775,40.59826,6.518710E-01,3.807003E-01,1.797016E-01
22.95945,40.59826,6.508856E-01,3.789364E-01,1.789352E-01
22.96115,40.59826,6.526152E-01,3.793121E-01,1.790847E-01
22.96285,40.59826,6.542185E-01,3.796891E-01,1.792247E-01
22.96454,40.59826,6.556854E-01,3.800623E-01,1.793543E-01
22.96624,40.59826,6.570170E-01,3.804340E-01,1.794741E-01
22.96794,40.59826,6.480811E-01,3.734271E-01,1.764053E-01
22.96963,40.59826,6.490663E-01,3.737772E-01,1.765012E-01
22.97133,40.59826,6.499266E-01,3.741221E-01,1.765879E-01
22.97303,40.59826,6.506358E-01,3.744583E-01,1.766637E-01
22.95097,40.60069,6.563806E-01,3.838358E-01,1.818104E-01
22.95266,40.60069,6.590515E-01,3.842068E-01,1.820180E-01
22.95436,40.60069,6.616239E-01,3.845839E-01,1.822054E-01
22.95606,40.60069,6.641096E-01,3.849656E-01,1.823865E-01
22.95775,40.60069,6.664632E-01,3.853460E-01,1.825593E-01
22.95945,40.60069,6.628458E-01,3.814760E-01,1.808894E-01
22.96115,40.60069,6.648821E-01,3.818734E-01,1.810451E-01
22.96285,40.60069,6.667610E-01,3.822508E-01,1.811908E-01
22.96454,40.60069,6.684701E-01,3.826232E-01,1.813248E-01
22.96624,40.60069,6.700059E-01,3.829937E-01,1.814476E-01
22.96794,40.60069,6.596429E-01,3.751770E-01,1.780259E-01
22.96963,40.60069,6.607504E-01,3.755229E-01,1.781237E-01
22.97133,40.60069,6.616845E-01,3.758667E-01,1.782108E-01
22.97303,40.60069,6.624339E-01,3.762043E-01,1.782864E-01
22.95097,40.60312,6.633270E-01,3.835071E-01,1.824411E-01
22.95266,40.60312,6.664584E-01,3.838742E-01,1.826560E-01
22.95436,40.60312,6.694664E-01,3.842469E-01,1.828522E-01
22.95606,40.60312,6.723252E-01,3.846217E-01,1.830412E-01
22.95775,40.60312,6.749443E-01,3.849964E-01,1.832208E-01
22.95945,40.60312,6.714756E-01,3.811291E-01,1.815522E-01
22.96115,40.60312,6.736403E-01,3.815041E-01,1.817134E-01
22.96285,40.60312,6.755902E-01,3.818776E-01,1.818637E-01
22.96454,40.60312,6.773216E-01,3.822453E-01,1.820010E-01
22.96624,40.60312,6.788524E-01,3.826111E-01,1.821274E-01
22.96794,40.60312,6.690941E-01,3.748291E-01,1.786999E-01
22.96963,40.60312,6.702307E-01,3.751717E-01,1.787992E-01
22.97133,40.60312,6.711147E-01,3.755104E-01,1.788864E-01
22.97303,40.60312,6.717942E-01,3.758416E-01,1.789611E-01
22.95097,40.60555,6.704966E-01,3.832088E-01,1.830330E-01
22.95266,40.60555,6.738992E-01,3.835728E-01,1.832551E-01
22.95436,40.60555,6.770293E-01,3.839433E-01,1.834589E-01
22.95606,40.60555,6.799610E-01,3.843151E-01,1.836544E-01
22.95775,40.60555,6.827738E-01,3.846851E-01,1.838405E-01
22.95945,40.60555,6.795839E-01,3.808206E-01,1.821746E-01
22.96115,40.60555,6.819502E-01,3.811917E-01,1.823402E-01
22.96285,40.60555,6.841024E-01,3.815609E-01,1.824945E-01
22.96454,40.60555,6.860166E-01,3.819512E-01,1.826359E-01
22.96624,40.60555,6.877009E-01,3.826944E-01,1.827652E-01
22.96794,40.60555,6.777740E-01,3.776562E-01,1.793330E-01
22.96963,40.60555,6.789236E-01,3.782156E-01,1.794337E-01
22.97133,40.60555,6.798266E-01,3.786847E-01,1.795209E-01
22.97303,40.60555,6.804835E-01,3.790654E-01,1.795947E-01
22.95097,40.60799,6.770355E-01,3.829424E-01,1.835738E-01
22.95266,40.60799,6.806942E-01,3.833039E-01,1.838022E-01
22.95436,40.60799,6.841928E-01,3.836704E-01,1.840124E-01
22.95606,40.60799,6.874826E-01,3.840390E-01,1.842145E-01
22.95775,40.60799,6.905659E-01,3.844070E-01,1.844068E-01
22.95945,40.60799,6.874873E-01,3.821720E-01,1.827428E-01
22.96115,40.60799,6.900753E-01,3.831766E-01,1.829136E-01
22.96285,40.60799,6.924250E-01,3.840916E-01,1.830720E-01
22.96454,40.60799,6.945044E-01,3.849117E-01,1.832162E-01
22.96624,40.60799,6.963245E-01,3.856461E-01,1.833480E-01
22.96794,40.60799,6.861990E-01,3.807015E-01,1.799109E-01
22.96963,40.60799,6.874086E-01,3.812498E-01,1.800127E-01
22.97133,40.60799,6.883296E-01,3.817232E-01,1.801002E-01
22.97303,40.60799,6.889604E-01,3.820949E-01,1.801732E-01
22.95097,40.61042,6.772628E-01,3.785179E-01,1.822024E-01
22.95266,40.61042,6.811799E-01,3.797802E-01,1.824220E-01
22.95436,40.61042,6.849346E-01,3.811469E-01,1.826516E-01
22.95606,40.61042,6.884559E-01,3.824218E-01,1.828589E-01
22.95775,40.61042,6.917486E-01,3.836012E-01,1.830549E-01
22.95945,40.61042,6.767001E-01,3.766197E-01,1.778728E-01
22.96115,40.61042,6.777011E-01,3.777218E-01,1.780453E-01
22.96285,40.61042,6.786966E-01,3.787331E-01,1.782054E-01
22.96454,40.61042,6.796818E-01,3.796417E-01,1.783513E-01
22.96624,40.61042,6.806470E-01,3.804515E-01,1.784837E-01
22.96794,40.61042,6.581594E-01,3.701918E-01,1.732787E-01
