sids,lon,lat,depth,vs30,vs30measured,slope,xvf,region,geology
0,22.93400,40.57880,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
1,22.93569,40.57880,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
2,22.93739,40.57880,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
3,22.93909,40.57880,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
4,22.94079,40.57880,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
5,22.94248,40.57880,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
6,22.94418,40.57880,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
7,22.94588,40.57880,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
8,22.94757,40.57880,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
9,22.94927,40.57880,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
10,22.95097,40.57880,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
11,22.95266,40.57880,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
12,22.95436,40.57880,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
13,22.95606,40.57880,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
14,22.95775,40.57880,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
15,22.95945,40.57880,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
16,22.96115,40.57880,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
17,22.96285,40.57880,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
18,22.96454,40.57880,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
19,22.96624,40.57880,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
20,22.96794,40.57880,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
21,22.96963,40.57880,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
22,22.97133,40.57880,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
23,22.97303,40.57880,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
24,22.93400,40.58123,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
25,22.93569,40.58123,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
26,22.93739,40.58123,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
27,22.93909,40.58123,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
28,22.94079,40.58123,0.00000,5.47774E+02,0,2.41845E-02,-1.50000E+02,2,UNKNOWN
29,22.94248,40.58123,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
30,22.94418,40.58123,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
31,22.94588,40.58123,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
32,22.94757,40.58123,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
33,22.94927,40.58123,0.00000,4.49078E+02,0,2.80341E-02,-1.50000E+02,2,UNKNOWN
34,22.95097,40.58123,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
35,22.95266,40.58123,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
36,22.95436,40.58123,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
37,22.95606,40.58123,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
38,22.95775,40.58123,0.00000,3.87964E+02,0,2.19443E-02,-1.50000E+02,2,UNKNOWN
39,22.95945,40.58123,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
40,22.96115,40.58123,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
41,22.96285,40.58123,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
42,22.96454,40.58123,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
43,22.96624,40.58123,0.00000,3.60769E+02,0,1.06393E-02,-1.50000E+02,2,CENOZOIC
44,22.96794,40.58123,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
45,22.96963,40.58123,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
46,22.97133,40.58123,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
47,22.97303,40.58123,0.00000,3.58301E+02,0,1.11031E-02,-1.50000E+02,2,CENOZOIC
48,22.93400,40.58366,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
49,22.93569,40.58366,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
50,22.93739,40.58366,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
51,22.93909,40.58366,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
52,22.94079,40.58366,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
53,22.94248,40.58366,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
54,22.94418,40.58366,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
55,22.94588,40.58366,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
56,22.94757,40.58366,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
57,22.94927,40.58366,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
58,22.95097,40.58366,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
59,22.95266,40.58366,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
60,22.95436,40.58366,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
61,22.95606,40.58366,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
62,22.95775,40.58366,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
63,22.95945,40.58366,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
64,22.96115,40.58366,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
65,22.96285,40.58366,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
66,22.96454,40.58366,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
67,22.96624,40.58366,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
68,22.96794,40.58366,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
69,22.96963,40.58366,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
70,22.97133,40.58366,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
71,22.97303,40.58366,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
72,22.93400,40.58609,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
73,22.93569,40.58609,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
74,22.93739,40.58609,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
75,22.93909,40.58609,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
76,22.94079,40.58609,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
77,22.94248,40.58609,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
78,22.94418,40.58609,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
79,22.94588,40.58609,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
80,22.94757,40.58609,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
81,22.94927,40.58609,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
82,22.95097,40.58609,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
83,22.95266,40.58609,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
84,22.95436,40.58609,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
85,22.95606,40.58609,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
86,22.95775,40.58609,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
87,22.95945,40.58609,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
88,22.96115,40.58609,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
89,22.96285,40.58609,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
90,22.96454,40.58609,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
91,22.96624,40.58609,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
92,22.96794,40.58609,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
93,22.96963,40.58609,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
94,22.97133,40.58609,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
95,22.97303,40.58609,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
96,22.93400,40.58853,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
97,22.93569,40.58853,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
98,22.93739,40.58853,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
99,22.93909,40.58853,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
100,22.94079,40.58853,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
101,22.94248,40.58853,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
102,22.94418,40.58853,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
103,22.94588,40.58853,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
104,22.94757,40.58853,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
105,22.94927,40.58853,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
106,22.95097,40.58853,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
107,22.95266,40.58853,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
108,22.95436,40.58853,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
109,22.95606,40.58853,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
110,22.95775,40.58853,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
111,22.95945,40.58853,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
112,22.96115,40.58853,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
113,22.96285,40.58853,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
114,22.96454,40.58853,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
115,22.96624,40.58853,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
116,22.96794,40.58853,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
117,22.96963,40.58853,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
118,22.97133,40.58853,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
119,22.97303,40.58853,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
120,22.93400,40.59096,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
121,22.93569,40.59096,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
122,22.93739,40.59096,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
123,22.93909,40.59096,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
124,22.94079,40.59096,0.00000,5.47774E+02,0,2.03918E-02,-1.50000E+02,2,UNKNOWN
125,22.94248,40.59096,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
126,22.94418,40.59096,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
127,22.94588,40.59096,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
128,22.94757,40.59096,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
129,22.94927,40.59096,0.00000,4.39889E+02,0,2.10909E-02,-1.50000E+02,2,UNKNOWN
130,22.95097,40.59096,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
131,22.95266,40.59096,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
132,22.95436,40.59096,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
133,22.95606,40.59096,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
134,22.95775,40.59096,0.00000,3.73225E+02,0,2.21183E-02,-1.50000E+02,2,CENOZOIC
135,22.95945,40.59096,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
136,22.96115,40.59096,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
137,22.96285,40.59096,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
138,22.96454,40.59096,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
139,22.96624,40.59096,0.00000,3.58743E+02,0,2.33197E-02,-1.50000E+02,2,CENOZOIC
140,22.96794,40.59096,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
141,22.96963,40.59096,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
142,22.97133,40.59096,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
143,22.97303,40.59096,0.00000,3.69049E+02,0,2.23813E-02,-1.50000E+02,2,CENOZOIC
144,22.94248,40.59339,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
145,22.94418,40.59339,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
146,22.94588,40.59339,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
147,22.94757,40.59339,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
148,22.94927,40.59339,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
149,22.95097,40.59339,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
150,22.95266,40.59339,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
151,22.95436,40.59339,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
152,22.95606,40.59339,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
153,22.95775,40.59339,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
154,22.95945,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
155,22.96115,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
156,22.96285,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
157,22.96454,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
158,22.96624,40.59339,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
159,22.96794,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
160,22.96963,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
161,22.97133,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
162,22.97303,40.59339,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
163,22.94248,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
164,22.94418,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
165,22.94588,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
166,22.94757,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
167,22.94927,40.59582,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
168,22.95097,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
169,22.95266,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
170,22.95436,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
171,22.95606,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
172,22.95775,40.59582,0.00000,3.63381E+02,0,1.80584E-02,-1.50000E+02,2,CENOZOIC
173,22.95945,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
174,22.96115,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
175,22.96285,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
176,22.96454,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
177,22.96624,40.59582,0.00000,3.68616E+02,0,1.84413E-02,-1.50000E+02,2,CENOZOIC
178,22.96794,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
179,22.96963,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
180,22.97133,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
181,22.97303,40.59582,0.00000,3.86847E+02,0,2.46374E-02,-1.50000E+02,2,CENOZOIC
182,22.94248,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
183,22.94418,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
184,22.94588,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
185,22.94757,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
186,22.94927,40.59826,0.00000,4.80628E+02,0,2.13668E-02,-1.50000E+02,2,UNKNOWN
