lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92382,40.57880,0.00000,9.387467E-01,9.152553E-01,8.832260E-01,8.413928E-01,7.890919E-01,7.264816E-01,6.547241E-01,5.759981E-01,4.933937E-01,4.106212E-01,3.314857E-01,2.593278E-01,1.965605E-01,1.443991E-01,1.028789E-01,7.113299E-02,4.775251E-02,3.111530E-02,1.966198E-02,1.202788E-02,7.107073E-03,4.044170E-03,2.208796E-03,1.152644E-03,5.714996E-04,2.673399E-04,1.170629E-04,4.740447E-05,1.754252E-05,5.734756E-06
22.92551,40.57880,0.00000,9.387490E-01,9.152607E-01,8.832357E-01,8.414084E-01,7.891150E-01,7.265135E-01,6.547664E-01,5.760513E-01,4.934570E-01,4.106916E-01,3.315597E-01,2.594009E-01,1.966286E-01,1.444590E-01,1.029287E-01,7.117236E-02,4.778240E-02,3.113723E-02,1.967772E-02,1.203904E-02,7.114940E-03,4.049723E-03,2.212672E-03,1.155314E-03,5.732696E-04,2.684627E-04,1.177394E-04,4.777399E-05,1.772701E-05,5.817988E-06
22.92721,40.57880,0.00000,9.387457E-01,9.152585E-01,8.832355E-01,8.414114E-01,7.891227E-01,7.265283E-01,6.547902E-01,5.760861E-01,4.935029E-01,4.107473E-01,3.316223E-01,2.594658E-01,1.966910E-01,1.445153E-01,1.029764E-01,7.121079E-02,4.781185E-02,3.115906E-02,1.969358E-02,1.205046E-02,7.123102E-03,4.055554E-03,2.216788E-03,1.158149E-03,5.751466E-04,2.696505E-04,1.184528E-04,4.816622E-05,1.792218E-05,5.905813E-06
22.92891,40.57880,0.00000,9.387589E-01,9.152787E-01,8.832650E-01,8.414522E-01,7.891770E-01,7.265971E-01,6.548728E-01,5.761808E-01,4.936062E-01,4.108534E-01,3.317258E-01,2.595615E-01,1.967752E-01,1.445857E-01,1.030327E-01,7.125393E-02,4.784379E-02,3.118219E-02,1.971016E-02,1.206234E-02,7.131609E-03,4.061673E-03,2.221121E-03,1.161130E-03,5.771133E-04,2.709022E-04,1.191972E-04,4.857584E-05,1.812390E-05,5.996172E-06
22.93060,40.57880,0.00000,9.387574E-01,9.152790E-01,8.832681E-01,8.414595E-01,7.891899E-01,7.266178E-01,6.549034E-01,5.762222E-01,4.936586E-01,4.109150E-01,3.317935E-01,2.596303E-01,1.968408E-01,1.446442E-01,1.030818E-01,7.129309E-02,4.787369E-02,3.120438E-02,1.972643E-02,1.207421E-02,7.140270E-03,4.067987E-03,2.225606E-03,1.164232E-03,5.791480E-04,2.721990E-04,1.199621E-04,4.899444E-05,1.832906E-05,6.088232E-06
22.93230,40.57880,0.00000,9.387553E-01,9.152787E-01,8.832703E-01,8.414656E-01,7.892018E-01,7.266371E-01,6.549322E-01,5.762625E-01,4.937103E-01,4.109764E-01,3.318608E-01,2.596993E-01,1.969065E-01,1.447029E-01,1.031312E-01,7.133249E-02,4.790379E-02,3.122683E-02,1.974296E-02,1.208641E-02,7.149232E-03,4.074572E-03,2.230291E-03,1.167486E-03,5.812800E-04,2.735502E-04,1.207528E-04,4.942455E-05,1.853917E-05,6.181689E-06
22.93400,40.57880,0.00000,9.387537E-01,9.152787E-01,8.832732E-01,8.414727E-01,7.892143E-01,7.266576E-01,6.549623E-01,5.763039E-01,4.937627E-01,4.110382E-01,3.319286E-01,2.597684E-01,1.969724E-01,1.447618E-01,1.031806E-01,7.137194E-02,4.793395E-02,3.124936E-02,1.975967E-02,1.209883E-02,7.158426E-03,4.081371E-03,2.235152E-03,1.170855E-03,5.834883E-04,2.749421E-04,1.215605E-04,4.986047E-05,1.875343E-05,6.276214E-06
22.93569,40.57880,0.00000,9.383875E-01,9.149187E-01,8.829265E-01,8.411481E-01,7.889225E-01,7.264083E-01,6.547639E-01,5.761607E-01,4.936749E-01,4.109995E-01,3.319288E-01,2.597953E-01,1.970135E-01,1.448072E-01,1.032234E-01,7.140832E-02,4.796283E-02,3.127147E-02,1.977629E-02,1.211135E-02,7.167786E-03,4.088319E-03,2.240141E-03,1.174307E-03,5.857607E-04,2.763603E-04,1.223818E-04,5.029803E-05,1.896691E-05,6.370167E-06
22.93739,40.57880,0.00000,9.386432E-01,9.152145E-01,8.832640E-01,8.415238E-01,7.893264E-01,7.268249E-01,6.551739E-01,5.765444E-01,4.940161E-01,4.112875E-01,3.321609E-01,2.599748E-01,1.971479E-01,1.449052E-01,1.032934E-01,7.145770E-02,4.799746E-02,3.129600E-02,1.979395E-02,1.212439E-02,7.177489E-03,4.095504E-03,2.245307E-03,1.177874E-03,5.881206E-04,2.778186E-04,1.232166E-04,5.074123E-05,1.918078E-05,6.464871E-06
22.93909,40.57880,0.00000,9.386419E-01,9.152153E-01,8.832674E-01,8.415313E-01,7.893395E-01,7.268457E-01,6.552042E-01,5.765858E-01,4.940687E-01,4.113494E-01,3.322288E-01,2.600443E-01,1.972142E-01,1.449642E-01,1.033431E-01,7.149737E-02,4.802786E-02,3.131890E-02,1.981112E-02,1.213740E-02,7.187311E-03,4.102841E-03,2.250589E-03,1.181517E-03,5.905303E-04,2.792936E-04,1.240534E-04,5.118367E-05,1.939274E-05,6.559074E-06
