lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92382,40.57880,0.00000,4.179586E-01,3.909214E-01,3.643509E-01,3.383614E-01,3.130627E-01,2.885548E-01,2.649306E-01,2.422757E-01,2.206624E-01,2.001545E-01,1.807979E-01,1.626272E-01,1.456607E-01,1.299078E-01,1.153621E-01,1.020049E-01,8.980471E-02,7.872137E-02,6.870978E-02,5.971292E-02,5.167144E-02,4.452106E-02,3.819586E-02,3.263017E-02,2.775676E-02,2.350959E-02,1.982817E-02,1.665175E-02,1.392329E-02,1.159142E-02
22.92551,40.57880,0.00000,4.180246E-01,3.909881E-01,3.644176E-01,3.384277E-01,3.131280E-01,2.886187E-01,2.649926E-01,2.423353E-01,2.207196E-01,2.002089E-01,1.808494E-01,1.626756E-01,1.457059E-01,1.299500E-01,1.154011E-01,1.020410E-01,8.983781E-02,7.875176E-02,6.873756E-02,5.973826E-02,5.169448E-02,4.454201E-02,3.821487E-02,3.264741E-02,2.777241E-02,2.352373E-02,1.984093E-02,1.666331E-02,1.393372E-02,1.160080E-02
22.92721,40.57880,0.00000,4.180599E-01,3.910244E-01,3.644549E-01,3.384657E-01,3.131662E-01,2.886569E-01,2.650304E-01,2.423727E-01,2.207561E-01,2.002442E-01,1.808836E-01,1.627083E-01,1.457371E-01,1.299796E-01,1.154292E-01,1.020673E-01,8.986256E-02,7.877499E-02,6.875920E-02,5.975838E-02,5.171313E-02,4.455932E-02,3.823089E-02,3.266219E-02,2.778608E-02,2.353632E-02,1.985246E-02,1.667393E-02,1.394345E-02,1.160967E-02
22.92891,40.57880,0.00000,4.182020E-01,3.911649E-01,3.645926E-01,3.385998E-01,3.132960E-01,2.887814E-01,2.651493E-01,2.424853E-01,2.208621E-01,2.003436E-01,1.809759E-01,1.627937E-01,1.458158E-01,1.300516E-01,1.154947E-01,1.021268E-01,8.991624E-02,7.882340E-02,6.880262E-02,5.979721E-02,5.174776E-02,4.459021E-02,3.825834E-02,3.268654E-02,2.780769E-02,2.355546E-02,1.986937E-02,1.668892E-02,1.395669E-02,1.162136E-02
22.93060,40.57880,0.00000,4.182482E-01,3.912123E-01,3.646410E-01,3.386485E-01,3.133447E-01,2.888300E-01,2.651972E-01,2.425323E-01,2.209079E-01,2.003880E-01,1.810187E-01,1.628345E-01,1.458546E-01,1.300884E-01,1.155293E-01,1.021594E-01,8.994668E-02,7.885180E-02,6.882900E-02,5.982165E-02,5.177033E-02,4.461107E-02,3.827751E-02,3.270410E-02,2.782380E-02,2.357019E-02,1.988276E-02,1.670112E-02,1.396776E-02,1.163137E-02
22.93230,40.57880,0.00000,4.182930E-01,3.912583E-01,3.646878E-01,3.386960E-01,3.133925E-01,2.888776E-01,2.652444E-01,2.425788E-01,2.209533E-01,2.004319E-01,1.810610E-01,1.628752E-01,1.458934E-01,1.301252E-01,1.155641E-01,1.021921E-01,8.997724E-02,7.888042E-02,6.885559E-02,5.984636E-02,5.179317E-02,4.463222E-02,3.829697E-02,3.272195E-02,2.784022E-02,2.358522E-02,1.989646E-02,1.671362E-02,1.397911E-02,1.164164E-02
22.93400,40.57880,0.00000,4.183394E-01,3.913059E-01,3.647363E-01,3.387449E-01,3.134415E-01,2.889263E-01,2.652926E-01,2.426259E-01,2.209993E-01,2.004765E-01,1.811040E-01,1.629162E-01,1.459325E-01,1.301623E-01,1.155991E-01,1.022249E-01,9.000798E-02,7.890920E-02,6.888240E-02,5.987122E-02,5.181621E-02,4.465361E-02,3.831667E-02,3.274005E-02,2.785688E-02,2.360051E-02,1.991037E-02,1.672632E-02,1.399067E-02,1.165210E-02
22.93569,40.57880,0.00000,4.181663E-01,3.911534E-01,3.646036E-01,3.386309E-01,3.133449E-01,2.888459E-01,2.652268E-01,2.425735E-01,2.209587E-01,2.004461E-01,1.810825E-01,1.629024E-01,1.459251E-01,1.301603E-01,1.156015E-01,1.022308E-01,9.001647E-02,7.891982E-02,6.889442E-02,5.988429E-02,5.182983E-02,4.466755E-02,3.833057E-02,3.275366E-02,2.787010E-02,2.361319E-02,1.992236E-02,1.673761E-02,1.400122E-02,1.166186E-02
22.93739,40.57880,0.00000,4.187038E-01,3.916618E-01,3.650810E-01,3.390764E-01,3.137578E-01,2.892260E-01,2.655745E-01,2.428894E-01,2.212440E-01,2.007023E-01,1.813111E-01,1.631052E-01,1.461042E-01,1.303176E-01,1.157391E-01,1.023507E-01,9.012055E-02,7.900996E-02,6.897224E-02,5.995135E-02,5.188751E-02,4.471719E-02,3.837324E-02,3.279027E-02,2.790160E-02,2.364030E-02,1.994566E-02,1.675771E-02,1.401860E-02,1.167685E-02
22.93909,40.57880,0.00000,4.187506E-01,3.917098E-01,3.651300E-01,3.391258E-01,3.138072E-01,2.892751E-01,2.656230E-01,2.429371E-01,2.212904E-01,2.007472E-01,1.813544E-01,1.631465E-01,1.461436E-01,1.303551E-01,1.157743E-01,1.023839E-01,9.015165E-02,7.903913E-02,6.899945E-02,5.997672E-02,5.191103E-02,4.473912E-02,3.839352E-02,3.280897E-02,2.791884E-02,2.365618E-02,1.996018E-02,1.677097E-02,1.403070E-02,1.168781E-02
