lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92382,40.57880,0.00000,9.350688E-01,9.104332E-01,8.766848E-01,8.330152E-01,7.794499E-01,7.166883E-01,6.459795E-01,5.689629E-01,4.879448E-01,4.061774E-01,3.274141E-01,2.515098E-01,1.866512E-01,1.340677E-01,9.310368E-02,6.333859E-02,4.257370E-02,2.863845E-02,1.751479E-02,1.062338E-02,6.230095E-03,3.465207E-03,1.754888E-03,7.875490E-04,3.112440E-04,1.345067E-04,4.237878E-05,1.227189E-05,2.959426E-06,4.853972E-07
22.92551,40.57880,0.00000,9.350824E-01,9.104570E-01,8.767226E-01,8.330712E-01,7.795270E-01,7.167871E-01,6.461002E-01,5.691004E-01,4.880946E-01,4.063284E-01,3.275585E-01,2.515462E-01,1.867574E-01,1.341067E-01,9.316943E-02,6.336807E-02,4.260424E-02,2.865517E-02,1.752725E-02,1.063151E-02,6.234895E-03,3.469959E-03,1.757572E-03,7.887667E-04,3.142234E-04,1.347374E-04,4.243256E-05,1.253284E-05,3.058278E-06,5.144202E-07
22.92721,40.57880,0.00000,9.350798E-01,9.104583E-01,8.767301E-01,8.330874E-01,7.795529E-01,7.168267E-01,6.461540E-01,5.691727E-01,4.881834E-01,4.064313E-01,3.276693E-01,2.515826E-01,1.868491E-01,1.341460E-01,9.323270E-02,6.339765E-02,4.263477E-02,2.867203E-02,1.754002E-02,1.064008E-02,6.240214E-03,3.475168E-03,1.760404E-03,7.900704E-04,3.172703E-04,1.350096E-04,4.250804E-05,1.279901E-05,3.165594E-06,5.438897E-07
22.92891,40.57880,0.00000,9.350831E-01,9.104682E-01,8.767491E-01,8.331175E-01,7.795972E-01,7.168873E-01,6.462322E-01,5.692693E-01,4.882975E-01,4.065552E-01,3.277963E-01,2.516190E-01,1.869535E-01,1.341852E-01,9.329893E-02,6.342711E-02,4.266572E-02,2.868893E-02,1.755315E-02,1.064916E-02,6.246032E-03,3.480811E-03,1.763371E-03,7.914598E-04,3.203563E-04,1.353140E-04,4.261042E-05,1.306713E-05,3.275556E-06,5.734179E-07
22.93060,40.57880,0.00000,9.350862E-01,9.104773E-01,8.767679E-01,8.331476E-01,7.796414E-01,7.169480E-01,6.463110E-01,5.693656E-01,4.884097E-01,4.066772E-01,3.279226E-01,2.516554E-01,1.870575E-01,1.342234E-01,9.336502E-02,6.345619E-02,4.269667E-02,2.870575E-02,1.756668E-02,1.065864E-02,6.252346E-03,3.486869E-03,1.766449E-03,7.929177E-04,3.234519E-04,1.356493E-04,4.272776E-05,1.333900E-05,3.384118E-06,6.025892E-07
22.93230,40.57880,0.00000,9.350877E-01,9.104852E-01,8.767837E-01,8.331743E-01,7.796819E-01,7.170032E-01,6.463836E-01,5.694575E-01,4.885190E-01,4.067988E-01,3.280478E-01,2.516918E-01,1.871615E-01,1.342629E-01,9.343178E-02,6.348534E-02,4.272786E-02,2.872272E-02,1.758051E-02,1.066871E-02,6.259163E-03,3.493352E-03,1.769664E-03,7.944943E-04,3.265822E-04,1.360173E-04,4.286018E-05,1.362195E-05,3.491739E-06,6.314820E-07
22.93400,40.57880,0.00000,9.350907E-01,9.104943E-01,8.768020E-01,8.332046E-01,7.797254E-01,7.170639E-01,6.464612E-01,5.695538E-01,4.886314E-01,4.069219E-01,3.281739E-01,2.517280E-01,1.872664E-01,1.343017E-01,9.349873E-02,6.351431E-02,4.275924E-02,2.873975E-02,1.759459E-02,1.067918E-02,6.266383E-03,3.500162E-03,1.773015E-03,7.961852E-04,3.297288E-04,1.364159E-04,4.300917E-05,1.390109E-05,3.596892E-06,6.596334E-07
22.93569,40.57880,0.00000,9.350935E-01,9.105033E-01,8.768201E-01,8.332340E-01,7.797695E-01,7.171239E-01,6.465380E-01,5.696481E-01,4.887427E-01,4.070442E-01,3.282996E-01,2.517641E-01,1.873702E-01,1.343405E-01,9.356582E-02,6.354299E-02,4.279071E-02,2.875669E-02,1.760885E-02,1.068992E-02,6.273965E-03,3.507237E-03,1.776477E-03,7.979656E-04,3.328382E-04,1.368430E-04,4.321994E-05,1.417367E-05,3.698060E-06,6.865816E-07
22.93739,40.57880,0.00000,9.350963E-01,9.105126E-01,8.768381E-01,8.332642E-01,7.798132E-01,7.171833E-01,6.466153E-01,5.697432E-01,4.888549E-01,4.071662E-01,3.284258E-01,2.519518E-01,1.874758E-01,1.344242E-01,9.363351E-02,6.358204E-02,4.282251E-02,2.878278E-02,1.762342E-02,1.070104E-02,6.281967E-03,3.514609E-03,1.780085E-03,7.998771E-04,3.359312E-04,1.373020E-04,4.383613E-05,1.443818E-05,3.795487E-06,7.123293E-07
22.93909,40.57880,0.00000,9.350991E-01,9.105216E-01,8.768563E-01,8.332940E-01,7.798565E-01,7.172427E-01,6.466920E-01,5.698380E-01,4.889664E-01,4.072888E-01,3.285514E-01,2.519883E-01,1.875811E-01,1.344625E-01,9.370145E-02,6.361064E-02,4.285458E-02,2.879995E-02,1.763826E-02,1.071256E-02,6.290268E-03,3.522239E-03,1.783815E-03,8.019111E-04,3.389728E-04,1.377915E-04,4.442965E-05,1.469441E-05,3.887592E-06,7.363918E-07
