lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92382,40.57880,0.00000,4.227035E-01,3.967221E-01,3.709897E-01,3.428032E-01,3.152092E-01,2.885510E-01,2.629370E-01,2.384894E-01,2.153695E-01,1.957168E-01,1.771348E-01,1.586765E-01,1.409325E-01,1.245901E-01,1.096152E-01,9.598401E-02,8.365498E-02,7.327807E-02,6.332405E-02,5.464508E-02,4.722816E-02,4.066284E-02,3.488033E-02,2.967974E-02,2.534899E-02,2.154379E-02,1.820645E-02,1.512769E-02,1.249965E-02,1.026837E-02
22.92551,40.57880,0.00000,4.228528E-01,3.968705E-01,3.711345E-01,3.428219E-01,3.152297E-01,2.885735E-01,2.629607E-01,2.385144E-01,2.154601E-01,1.958008E-01,1.772126E-01,1.587018E-01,1.409573E-01,1.246146E-01,1.096388E-01,9.600706E-02,8.367690E-02,7.329784E-02,6.334256E-02,5.467940E-02,4.725881E-02,4.069027E-02,3.490496E-02,2.969936E-02,2.536658E-02,2.156213E-02,1.821459E-02,1.513490E-02,1.250601E-02,1.027394E-02
22.92721,40.57880,0.00000,4.228984E-01,3.969163E-01,3.711809E-01,3.428407E-01,3.152502E-01,2.885959E-01,2.629845E-01,2.385393E-01,2.154976E-01,1.958351E-01,1.772441E-01,1.587270E-01,1.409824E-01,1.246392E-01,1.096626E-01,9.603006E-02,8.369890E-02,7.331754E-02,6.336120E-02,5.470635E-02,4.728359E-02,4.071327E-02,3.492633E-02,2.971368E-02,2.537993E-02,2.157929E-02,1.822286E-02,1.514227E-02,1.251248E-02,1.027961E-02
22.92891,40.57880,0.00000,4.229819E-01,3.969999E-01,3.712386E-01,3.428592E-01,3.152706E-01,2.886180E-01,2.630081E-01,2.385641E-01,2.155678E-01,1.959024E-01,1.773074E-01,1.587521E-01,1.410073E-01,1.246637E-01,1.096863E-01,9.605312E-02,8.372089E-02,7.333766E-02,6.337990E-02,5.473925E-02,4.731358E-02,4.074083E-02,3.495139E-02,2.973410E-02,2.539845E-02,2.159858E-02,1.823130E-02,1.514973E-02,1.251903E-02,1.028538E-02
22.93060,40.57880,0.00000,4.230651E-01,3.970836E-01,3.712547E-01,3.428774E-01,3.152907E-01,2.886400E-01,2.630312E-01,2.385886E-01,2.156380E-01,1.959693E-01,1.773704E-01,1.587770E-01,1.410319E-01,1.246878E-01,1.097097E-01,9.607588E-02,8.374272E-02,7.335753E-02,6.339838E-02,5.477219E-02,4.734366E-02,4.076849E-02,3.497671E-02,2.975480E-02,2.541726E-02,2.161821E-02,1.823979E-02,1.515723E-02,1.252563E-02,1.029119E-02
22.93230,40.57880,0.00000,4.231420E-01,3.971614E-01,3.712707E-01,3.428957E-01,3.153107E-01,2.886618E-01,2.630546E-01,2.386130E-01,2.157080E-01,1.960350E-01,1.774326E-01,1.588018E-01,1.410564E-01,1.247121E-01,1.097333E-01,9.609882E-02,8.376461E-02,7.337730E-02,6.341697E-02,5.480567E-02,4.737419E-02,4.079672E-02,3.500249E-02,2.977596E-02,2.543659E-02,2.163830E-02,1.824843E-02,1.516489E-02,1.253236E-02,1.029712E-02
22.93400,40.57880,0.00000,4.232259E-01,3.972451E-01,3.712865E-01,3.429138E-01,3.153306E-01,2.886835E-01,2.630777E-01,2.386373E-01,2.157787E-01,1.961025E-01,1.774963E-01,1.588264E-01,1.410810E-01,1.247363E-01,1.097567E-01,9.612171E-02,8.378647E-02,7.339733E-02,6.343559E-02,5.483929E-02,4.740500E-02,4.082536E-02,3.502866E-02,2.979752E-02,2.545632E-02,2.165886E-02,1.825715E-02,1.517266E-02,1.253921E-02,1.030314E-02
22.93569,40.57880,0.00000,4.233090E-01,3.973283E-01,3.713020E-01,3.429315E-01,3.153501E-01,2.887048E-01,2.631003E-01,2.386612E-01,2.158496E-01,1.961696E-01,1.775596E-01,1.588508E-01,1.411052E-01,1.247601E-01,1.097799E-01,9.614437E-02,8.380819E-02,7.299383E-02,6.345442E-02,5.487302E-02,4.743588E-02,4.085409E-02,3.505509E-02,2.981933E-02,2.547628E-02,2.167964E-02,1.826594E-02,1.518047E-02,1.254612E-02,1.030920E-02
22.93739,40.57880,0.00000,4.233922E-01,3.974121E-01,3.716764E-01,3.438186E-01,3.161513E-01,2.894217E-01,2.637359E-01,2.392197E-01,2.159646E-01,1.962374E-01,1.776232E-01,1.591940E-01,1.413979E-01,1.250080E-01,1.099880E-01,9.631866E-02,8.395278E-02,7.300503E-02,6.357040E-02,5.490713E-02,4.746731E-02,4.088320E-02,3.508199E-02,2.984152E-02,2.549658E-02,2.170044E-02,1.829676E-02,1.520545E-02,1.256634E-02,1.032543E-02
22.93909,40.57880,0.00000,4.234753E-01,3.974957E-01,3.717606E-01,3.438375E-01,3.161721E-01,2.894441E-01,2.637595E-01,2.392444E-01,2.159929E-01,1.963055E-01,1.776873E-01,1.592188E-01,1.414226E-01,1.250323E-01,1.100116E-01,9.634168E-02,8.397489E-02,7.301597E-02,6.358924E-02,5.494162E-02,4.749889E-02,4.091264E-02,3.510911E-02,2.986398E-02,2.551724E-02,2.171952E-02,1.830583E-02,1.521354E-02,1.257352E-02,1.033170E-02
