sids,lon,lat,depth,vs30,vs30measured
0,22.92382,40.57880,0.00000,3.48845E+02,0
1,22.92551,40.57880,0.00000,3.48845E+02,0
2,22.92721,40.57880,0.00000,3.48845E+02,0
3,22.92891,40.57880,0.00000,3.48845E+02,0
4,22.93060,40.57880,0.00000,3.48845E+02,0
5,22.93230,40.57880,0.00000,3.48845E+02,0
6,22.93400,40.57880,0.00000,3.48845E+02,0
7,22.93569,40.57880,0.00000,3.48845E+02,0
8,22.93739,40.57880,0.00000,3.48845E+02,0
9,22.93909,40.57880,0.00000,3.48845E+02,0
10,22.94079,40.57880,0.00000,3.48845E+02,0
11,22.94248,40.57880,0.00000,3.48845E+02,0
12,22.94418,40.57880,0.00000,3.48845E+02,0
13,22.94588,40.57880,0.00000,3.48845E+02,0
14,22.94757,40.57880,0.00000,3.48845E+02,0
15,22.94927,40.57880,0.00000,3.48845E+02,0
16,22.95097,40.57880,0.00000,3.48845E+02,0
17,22.95266,40.57880,0.00000,3.48845E+02,0
18,22.95436,40.57880,0.00000,3.48845E+02,0
19,22.95606,40.57880,0.00000,3.48845E+02,0
20,22.95775,40.57880,0.00000,3.48845E+02,0
21,22.95945,40.57880,0.00000,3.48845E+02,0
22,22.96115,40.57880,0.00000,3.48845E+02,0
23,22.96285,40.57880,0.00000,3.48845E+02,0
24,22.96454,40.57880,0.00000,3.48845E+02,0
25,22.96624,40.57880,0.00000,3.48845E+02,0
26,22.96794,40.57880,0.00000,3.48845E+02,0
27,22.96963,40.57880,0.00000,3.48845E+02,0
28,22.97133,40.57880,0.00000,3.48845E+02,0
29,22.97303,40.57880,0.00000,3.48845E+02,0
30,22.92382,40.58123,0.00000,3.48845E+02,0
31,22.92551,40.58123,0.00000,3.48845E+02,0
32,22.92721,40.58123,0.00000,3.48845E+02,0
33,22.92891,40.58123,0.00000,3.48845E+02,0
34,22.93060,40.58123,0.00000,3.48845E+02,0
35,22.93230,40.58123,0.00000,3.48845E+02,0
36,22.93400,40.58123,0.00000,3.48845E+02,0
37,22.93569,40.58123,0.00000,3.48845E+02,0
38,22.93739,40.58123,0.00000,3.48845E+02,0
39,22.93909,40.58123,0.00000,3.48845E+02,0
40,22.94079,40.58123,0.00000,3.48845E+02,0
41,22.94248,40.58123,0.00000,3.48845E+02,0
42,22.94418,40.58123,0.00000,3.48845E+02,0
43,22.94588,40.58123,0.00000,3.48845E+02,0
44,22.94757,40.58123,0.00000,3.48845E+02,0
45,22.94927,40.58123,0.00000,3.48845E+02,0
46,22.95097,40.58123,0.00000,3.48845E+02,0
47,22.95266,40.58123,0.00000,3.48845E+02,0
48,22.95436,40.58123,0.00000,3.48844E+02,0
49,22.95606,40.58123,0.00000,3.48844E+02,0
50,22.95775,40.58123,0.00000,3.48845E+02,0
51,22.95945,40.58123,0.00000,3.48845E+02,0
52,22.96115,40.58123,0.00000,3.48845E+02,0
53,22.96285,40.58123,0.00000,3.48844E+02,0
54,22.96454,40.58123,0.00000,3.48844E+02,0
55,22.96624,40.58123,0.00000,3.48845E+02,0
56,22.96794,40.58123,0.00000,3.48845E+02,0
57,22.96963,40.58123,0.00000,3.48846E+02,0
58,22.97133,40.58123,0.00000,3.48846E+02,0
59,22.97303,40.58123,0.00000,3.48846E+02,0
60,22.92382,40.58366,0.00000,3.48845E+02,0
61,22.92551,40.58366,0.00000,3.48845E+02,0
62,22.92721,40.58366,0.00000,3.48845E+02,0
63,22.92891,40.58366,0.00000,3.48845E+02,0
64,22.93060,40.58366,0.00000,3.48845E+02,0
65,22.93230,40.58366,0.00000,3.48845E+02,0
