CODE,Vs30_1,POINT_X,POINT_Y
G20,784.4690967,22.9505183,40.63749206
G21,632.137775,22.95261698,40.63591186
G23,450.1851411,22.95683756,40.63276051
G24,378.6132859,22.95894776,40.63118027
G25,445.4212905,22.96105785,40.6296
G26,372.0073006,22.96315602,40.6280196
G28,348.9594373,22.96737562,40.62486786
H11,783.9912281,22.92946916,40.6500853
H13,912.7966225,22.93367991,40.64693474
H23,323.7964708,22.95476342,40.63115279
H24,359.5553141,22.95687361,40.6295726
H25,366.9475401,22.9589837,40.62799235
H27,389.7747767,22.96319167,40.62484068
H29,360.5215613,22.96741116,40.62167992
I12,421.8407597,22.92950643,40.64690642
I14,411.7541983,22.93371707,40.64374685
I16,314.7901399,22.93793902,40.64059621
I17,336.2391034,22.9400499,40.63901633
J24,331.8846306,22.95272552,40.62636613
J25,347.3434657,22.9548356,40.62478596
K17,244.5019405,22.93590216,40.63580027
K18,250.6797533,22.93801283,40.63422943
K19,258.5499316,22.9401235,40.63264954
K20,234.1282131,22.94223408,40.63106961
K21,266.0098522,22.94433275,40.62948955
K22,282.2580645,22.94644313,40.62790955
K23,308.2568807,22.9485533,40.62633851
K24,288.9908257,22.95066348,40.62475842
K25,293.3767966,22.95276175,40.62317822
K26,340.6940063,22.95487173,40.62159804
K30,329.8429319,22.96329875,40.6152859
N38,388.5690789,22.97604737,40.59626619
O29,264.7244205,22.95290643,40.61044453
O30,332.8929987,22.955016,40.60886436
O34,339.1655451,22.96344139,40.60255217
P30,293.0232558,22.95294263,40.6072566
P31,319.391635,22.95505199,40.60568543
P35,315.5258765,22.96347708,40.59936423
P37,329.153605,22.96769483,40.59621244
P38,339.8974912,22.97190048,40.5930514
P39,383.5510294,22.97611745,40.58989929
Q31,202.7027027,22.95297872,40.60407767
Q32,291.6666667,22.95508809,40.6024975
R37,307.0581373,22.96354836,40.59299735
R38,344.0742764,22.9677657,40.58984554
R39,379.8040693,22.97197093,40.5866845
S33,228.4263959,22.953051,40.59771081
S34,299.7145576,22.95516017,40.59613063
U35,342.3913043,22.95312325,40.59134394
U36,355.9322034,22.95523222,40.58976376
V37,321.0191083,22.95526828,40.58657581
K15,269.8458024,22.93169212,40.63895992
