lon,lat,vs30
22.926109,40.645276,387.83325
22.928711,40.643918,387.83325
22.92912,40.643705,387.83325
22.92994,40.643277,387.83325
22.933391,40.641472,415.19873
22.933536,40.641401,415.19873
22.934419,40.640941,415.19873
22.941911,40.637033,483.2445
22.941977,40.636999,483.2445
22.942086,40.636941,483.2445
22.942968,40.636446,483.2445
22.946429,40.634616,483.2445
22.953413,40.631032,462.2793
22.954161,40.630756,462.2793
22.955136,40.630396,462.2793
22.955384,40.630305,462.2793
22.956913,40.629495,462.2793
22.957729,40.629063,462.2793
22.958381,40.628718,549.9396
22.958801,40.628419,549.9396
22.95916,40.628071,549.9396
22.960527,40.626254,549.9396
22.961848,40.624499,448.90567
22.962069,40.624088,448.90567
22.962217,40.623664,448.90567
22.962974,40.619708,448.90567
22.96314,40.61883,448.90567
22.963041,40.618294,448.90567
22.962806,40.617789,448.90567
22.962446,40.617325,448.90567
22.960412,40.615873,391.9381
22.958073,40.614204,361.44287
22.957599,40.613864,361.44287
22.957397,40.613691,361.44287
22.95729,40.613485,361.44287
22.957231,40.613266,361.44287
22.957204,40.613043,361.44287
22.95728,40.611983,361.44287
22.957685,40.606734,351.23132
22.9578,40.606199,351.23132
22.957904,40.60583,351.23132
22.958112,40.605092,351.23132
22.958776,40.602741,361.4624
22.958799,40.602523,361.4624
22.958782,40.6023,361.4624
22.958473,40.601083,361.4624
22.958379,40.600713,361.4624
22.958267,40.600271,351.23132
22.957928,40.599902,363.38147
22.957722,40.599741,363.38147
22.957486,40.599607,363.38147
22.957303,40.599431,363.38147
22.957188,40.599228,363.38147
22.957142,40.599002,363.38147
22.957153,40.598925,363.38147
22.957175,40.59878,363.38147
22.957282,40.598568,363.38147
22.957456,40.598387,363.38147
22.957692,40.598244,363.38147
22.95825,40.598066,363.38147
22.958695,40.597782,368.6156
22.959752,40.596882,368.6156
22.960308,40.595894,368.6156
22.960612,40.595024,368.6156
22.961006,40.59393,368.6156
22.961139,40.593735,368.6156
22.961312,40.593573,368.6156
22.962277,40.592982,368.6156
22.962923,40.592722,368.6156
22.963193,40.592664,368.6156
22.963476,40.592649,368.6156
22.967385,40.593071,386.847
22.96837,40.593177,386.847
22.968863,40.593231,386.847
22.969473,40.593297,386.847
22.969946,40.59331,386.847
