lon,lat,slope,vs30,geology,xvf,region,vs30measured
22.926192,40.645363,0.023780536,387.83325,UNKNOWN,-150.0,2,0
22.928792,40.644007,0.023780536,387.83325,UNKNOWN,-149.99999999999997,2,0
22.929202,40.643793,0.023780536,387.83325,UNKNOWN,-150.0,2,0
22.930021,40.643366,0.023780536,387.83325,UNKNOWN,-150.0,2,0
22.933642,40.641477,0.029918209,415.19873,UNKNOWN,-150.0,2,0
22.9345,40.64103,0.029918209,415.19873,UNKNOWN,-150.0,2,0
22.937201,40.639621,0.029918209,415.19873,UNKNOWN,-150.00000000000003,2,0
22.942168,40.63703,0.049822573,483.2445,UNKNOWN,-150.0,2,0
22.946552,40.634743,0.049822573,483.2445,UNKNOWN,-150.0,2,0
22.950682,40.632587,0.03983373,462.2793,UNKNOWN,-150.0,2,0
22.95084,40.632506,0.03983373,462.2793,UNKNOWN,-150.0,2,0
22.953485,40.631126,0.03983373,462.2793,UNKNOWN,-150.0,2,0
22.954223,40.630853,0.03983373,462.2793,UNKNOWN,-149.99999999999997,2,0
22.955456,40.630398,0.03983373,462.2793,UNKNOWN,-150.0,2,0
22.956995,40.629583,0.03983373,462.2793,UNKNOWN,-150.0,2,0
22.957811,40.629151,0.03983373,462.2793,UNKNOWN,-150.0,2,0
22.95849,40.628792,0.0690543,549.9396,CENOZOIC,-150.0,2,0
22.958911,40.628492,0.0690543,549.9396,CENOZOIC,-150.0,2,0
22.959268,40.628145,0.0690543,549.9396,CENOZOIC,-150.0,2,0
22.960651,40.626307,0.0690543,549.9396,CENOZOIC,-150.0,2,0
22.961953,40.624576,0.038213164,448.90567,CENOZOIC,-149.99999999999997,2,0
22.962176,40.624169,0.038213164,448.90567,CENOZOIC,-150.0,2,0
22.962331,40.623741,0.038213164,448.90567,CENOZOIC,-150.0,2,0
22.963091,40.619721,0.038213164,448.90567,CENOZOIC,-150.00000000000003,2,0
22.963257,40.618843,0.038213164,448.90567,CENOZOIC,-150.0,2,0
22.963128,40.61823,0.038213164,448.90567,CENOZOIC,-150.0,2,0
22.962896,40.617719,0.038213164,448.90567,CENOZOIC,-150.0,2,0
22.962544,40.617247,0.038213164,448.90567,CENOZOIC,-150.0,2,0
22.960509,40.615794,0.02665167,391.9381,CENOZOIC,-149.99999999999997,2,0
22.958283,40.614215,0.024221499,361.44287,UNKNOWN,-150.0,2,0
22.958178,40.614149,0.024221499,361.44287,UNKNOWN,-150.0,2,0
22.958115,40.614078,0.024221499,361.44287,UNKNOWN,-150.0,2,0
22.957696,40.613786,0.024221499,361.44287,UNKNOWN,-150.00000000000003,2,0
22.957523,40.613658,0.024221499,361.44287,UNKNOWN,-150.0,2,0
22.957418,40.613493,0.024221499,361.44287,UNKNOWN,-150.0,2,0
22.957339,40.613276,0.024221499,361.44287,UNKNOWN,-150.0,2,0
22.957323,40.613048,0.024221499,361.44287,UNKNOWN,-150.0,2,0
