#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.92611,40.64528,0.00000,9.268436E-01,8.910126E-01,8.409591E-01,7.757743E-01,6.963930E-01,6.056713E-01,5.082142E-01,4.099256E-01,3.170859E-01,2.350235E-01,1.670159E-01,1.139431E-01,7.472593E-02,4.714362E-02,2.860678E-02,1.667175E-02,9.303469E-03,4.947438E-03,2.487178E-03,1.168808E-03,5.055114E-04,1.971928E-04,6.789074E-05,1.998493E-05,4.849176E-06
22.92871,40.64392,0.00000,9.279994E-01,8.923227E-01,8.423991E-01,7.772827E-01,6.978751E-01,6.070216E-01,5.093490E-01,4.108059E-01,3.177216E-01,2.354561E-01,1.672968E-01,1.141191E-01,7.483382E-02,4.721017E-02,2.864988E-02,1.670252E-02,9.327705E-03,4.966980E-03,2.502531E-03,1.179755E-03,5.126453E-04,2.012522E-04,6.981558E-05,2.079089E-05,5.116525E-06
22.92912,40.64370,0.00000,9.280203E-01,8.923529E-01,8.424399E-01,7.773339E-01,6.979333E-01,6.070824E-01,5.094069E-01,4.108566E-01,3.177632E-01,2.354887E-01,1.673213E-01,1.141369E-01,7.484632E-02,4.721881E-02,2.865606E-02,1.670724E-02,9.331582E-03,4.970177E-03,2.505070E-03,1.181583E-03,5.138405E-04,2.019376E-04,7.014794E-05,2.092803E-05,5.162675E-06
22.92994,40.64328,0.00000,9.280360E-01,8.923762E-01,8.424714E-01,7.773731E-01,6.979794E-01,6.071342E-01,5.094621E-01,4.109129E-01,3.178178E-01,2.355378E-01,1.673628E-01,1.141693E-01,7.487012E-02,4.723576E-02,2.866826E-02,1.671664E-02,9.339309E-03,4.976564E-03,2.510161E-03,1.185256E-03,5.162504E-04,2.033231E-04,7.082319E-05,2.120665E-05,5.256723E-06
22.93339,40.64147,0.00000,9.278517E-01,8.920419E-01,8.419673E-01,7.766945E-01,6.971357E-01,6.061490E-01,5.083817E-01,4.098057E-01,3.167636E-01,2.346081E-01,1.666000E-01,1.135828E-01,7.444481E-02,4.694455E-02,2.848158E-02,1.660692E-02,9.282587E-03,4.952720E-03,2.504242E-03,1.186957E-03,5.199356E-04,2.064289E-04,7.264665E-05,2.205734E-05,5.567159E-06
22.93354,40.64140,0.00000,9.278545E-01,8.920460E-01,8.419730E-01,7.767017E-01,6.971443E-01,6.061589E-01,5.083922E-01,4.098164E-01,3.167740E-01,2.346174E-01,1.666078E-01,1.135887E-01,7.444919E-02,4.694762E-02,2.848381E-02,1.660865E-02,9.284039E-03,4.953954E-03,2.505239E-03,1.187692E-03,5.204219E-04,2.067126E-04,7.278669E-05,2.211643E-05,5.587287E-06
22.93442,40.64094,0.00000,9.278684E-01,8.920666E-01,8.420003E-01,7.767353E-01,6.971830E-01,6.062022E-01,5.084400E-01,4.098675E-01,3.168260E-01,2.346666E-01,1.666505E-01,1.136230E-01,7.447454E-02,4.696572E-02,2.849698E-02,1.661901E-02,9.292846E-03,4.961459E-03,2.511341E-03,1.192207E-03,5.234096E-04,2.084525E-04,7.364480E-05,2.247855E-05,5.710548E-06
22.94191,40.63703,0.00000,9.262217E-01,8.899552E-01,8.394361E-01,7.737957E-01,6.939935E-01,6.029127E-01,5.052116E-01,4.068567E-01,3.141649E-01,2.324407E-01,1.648867E-01,1.122941E-01,7.352137E-02,4.631708E-02,2.808347E-02,1.637886E-02,9.172280E-03,4.915071E-03,2.504484E-03,1.201450E-03,5.354812E-04,2.177612E-04,7.904986E-05,2.498688E-05,6.643755E-06
22.94198,40.63700,0.00000,9.262230E-01,8.899571E-01,8.394385E-01,7.737988E-01,6.939973E-01,6.029171E-01,5.052162E-01,4.068615E-01,3.141695E-01,2.324449E-01,1.648902E-01,1.122968E-01,7.352334E-02,4.631848E-02,2.808451E-02,1.637968E-02,9.172999E-03,4.915704E-03,2.505012E-03,1.201852E-03,5.357520E-04,2.179218E-04,7.913279E-05,2.502226E-05,6.656300E-06
22.94209,40.63694,0.00000,9.262255E-01,8.899608E-01,8.394435E-01,7.738050E-01,6.940045E-01,6.029251E-01,5.052247E-01,4.068701E-01,3.141776E-01,2.324519E-01,1.648961E-01,1.123013E-01,7.352661E-02,4.632075E-02,2.808616E-02,1.638101E-02,9.174176E-03,4.916752E-03,2.505892E-03,1.202521E-03,5.362039E-04,2.181893E-04,7.927081E-05,2.508109E-05,6.677078E-06
