lon,lat,0.000400~PGA,0.001670~PGA,0.008000~PGA
22.92611,40.64528,0.770154,0.4126853,0.1800383
22.92871,40.64392,0.7748245,0.4142449,0.1803412
22.92912,40.6437,0.7756107,0.414505,0.18039
22.92994,40.64328,0.7771987,0.4150278,0.1804876
22.93339,40.64147,0.7800451,0.4149673,0.1798872
22.93354,40.6414,0.7803696,0.4150718,0.1799057
22.93442,40.64094,0.7823637,0.415713,0.1800182
22.94191,40.63703,0.7915263,0.4163274,0.1787484
22.94198,40.637,0.7917115,0.4163847,0.1787576
22.94209,40.63694,0.7920204,0.4164802,0.1787729
22.94297,40.63645,0.7945312,0.4172544,0.1788961
22.94643,40.63462,0.8046356,0.4203375,0.1793784
22.95341,40.63103,0.8302312,0.4290785,0.1813494
22.95416,40.63076,0.8322806,0.4296975,0.1814455
22.95514,40.6304,0.8349265,0.4304977,0.1815702
22.95538,40.6303,0.8355829,0.4306959,0.181601
22.95691,40.6295,0.8398916,0.4319929,0.1818012
22.95773,40.62906,0.8421316,0.4326676,0.1819059
22.95838,40.62872,0.8148933,0.418134,0.175833
22.9588,40.62842,0.8160223,0.418473,0.1758846
22.95916,40.62807,0.8170764,0.4187851,0.1759307
22.96053,40.62625,0.8212616,0.4200006,0.1761064
22.96185,40.6245,0.8852209,0.4522013,0.1889465
22.96207,40.62409,0.8858076,0.4523636,0.1889713
22.96222,40.62366,0.8862376,0.4524756,0.1889872
22.96297,40.61971,0.8868406,0.4525176,0.1890007
22.96314,40.61883,0.8863992,0.4523684,0.1889872
22.96304,40.61829,0.8857058,0.4521415,0.188955
22.96281,40.61779,0.884782,0.4518416,0.1889093
22.96245,40.61732,0.8836219,0.4514664,0.1888497
22.96041,40.61587,0.9172941,0.4699136,0.19679
22.95807,40.6142,0.8507457,0.4370244,0.1839808
22.9576,40.61386,0.8491998,0.4365398,0.1839065
22.9574,40.61369,0.8484843,0.4363163,0.1838728
22.95729,40.61348,0.8478611,0.4361231,0.183846
22.95723,40.61327,0.8473279,0.4359589,0.1838243
22.9572,40.61304,0.8468048,0.4357987,0.1838042
22.95728,40.61198,0.8446944,0.43516,0.1837313
22.95768,40.60673,0.8337025,0.432291,0.18371
22.9578,40.6062,0.8323405,0.4318835,0.1836656
22.9579,40.60583,0.8313981,0.4316022,0.1836356
22.95811,40.60509,0.8294877,0.431032,0.1835749
22.95878,40.60274,0.9359315,0.4887705,0.2080746
22.9588,40.60252,0.9351417,0.488533,0.2080462
22.95878,40.6023,0.934287,0.4882728,0.2080131
22.95847,40.60108,0.9292448,0.4867179,0.207805
22.95838,40.60071,0.9277282,0.4862482,0.2077419
22.95827,40.60027,0.8146271,0.426473,0.1830204
22.95793,40.5999,0.9082002,0.476662,0.2040742
22.95772,40.59974,0.9073154,0.4763747,0.2040282
22.95749,40.59961,0.9065107,0.4761105,0.2039842
22.9573,40.59943,0.905587,0.4758127,0.2039405
22.95719,40.59923,0.9047129,0.4755346,0.2039
22.95714,40.599,0.9038227,0.4752553,0.203862
22.95715,40.59892,0.9035537,0.4751725,0.2038519
22.95718,40.59878,0.9031012,0.475034,0.2038354
22.95728,40.59857,0.9025009,0.4748543,0.2038168
22.95746,40.59839,0.9021192,0.4747479,0.2038112
22.95769,40.59824,0.90191,0.4746984,0.2038153
22.95825,40.59807,0.902074,0.4747886,0.2038524
22.9587,40.59778,0.8993368,0.4734582,0.2033473
22.95975,40.59688,0.8974244,0.4729471,0.2033302
22.96031,40.59589,0.8945091,0.4720905,0.203246
22.96061,40.59502,0.8917153,0.4712514,0.2031516
22.96101,40.59393,0.8882571,0.4702158,0.2030357
22.96114,40.59374,0.887719,0.4700604,0.2030217
22.96131,40.59357,0.887291,0.469943,0.2030145
22.96228,40.59298,0.8861549,0.4696787,0.2030271
22.96292,40.59272,0.8858284,0.4696367,0.203053
22.96319,40.59266,0.8858585,0.4696711,0.2030708
