lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.188036E-01,8.896679E-01,8.512862E-01,8.028826E-01,7.444227E-01,6.767359E-01,6.015753E-01,5.215716E-01,4.400471E-01,3.606735E-01,2.869174E-01,2.214942E-01,1.660132E-01,1.209108E-01,8.564474E-02,5.903589E-02,3.960881E-02,2.585958E-02,1.641480E-02,1.011511E-02,6.037239E-03,3.477831E-03,1.924154E-03,1.015376E-03,5.064649E-04,2.360945E-04,1.014477E-04,3.959219E-05,1.364913E-05,4.082472E-06
22.92631,40.64517,0.00000,9.188075E-01,8.896735E-01,8.512935E-01,8.028914E-01,7.444332E-01,6.767482E-01,6.015889E-01,5.215861E-01,4.400620E-01,3.606884E-01,2.869315E-01,2.215069E-01,1.660240E-01,1.209196E-01,8.565149E-02,5.904095E-02,3.961252E-02,2.586238E-02,1.641698E-02,1.011690E-02,6.038746E-03,3.479090E-03,1.925158E-03,1.016135E-03,5.070030E-04,2.364411E-04,1.016480E-04,3.969692E-05,1.369654E-05,4.101432E-06
22.92651,40.64507,0.00000,9.187760E-01,8.896356E-01,8.512545E-01,8.028577E-01,7.444105E-01,6.767382E-01,6.015906E-01,5.215963E-01,4.400775E-01,3.607070E-01,2.869510E-01,2.215261E-01,1.660415E-01,1.209342E-01,8.566251E-02,5.904857E-02,3.961766E-02,2.586581E-02,1.641933E-02,1.011871E-02,6.040220E-03,3.480317E-03,1.926138E-03,1.016877E-03,5.075299E-04,2.367811E-04,1.018453E-04,3.980044E-05,1.374348E-05,4.120273E-06
22.92671,40.64496,0.00000,9.187798E-01,8.896407E-01,8.512613E-01,8.028661E-01,7.444203E-01,6.767497E-01,6.016034E-01,5.216103E-01,4.400920E-01,3.607215E-01,2.869649E-01,2.215386E-01,1.660522E-01,1.209429E-01,8.566933E-02,5.905366E-02,3.962138E-02,2.586860E-02,1.642152E-02,1.012052E-02,6.041739E-03,3.481589E-03,1.927155E-03,1.017647E-03,5.080758E-04,2.371333E-04,1.020491E-04,3.990713E-05,1.379182E-05,4.139575E-06
22.92691,40.64486,0.00000,9.187833E-01,8.896456E-01,8.512678E-01,8.028743E-01,7.444301E-01,6.767610E-01,6.016161E-01,5.216238E-01,4.401062E-01,3.607356E-01,2.869784E-01,2.215509E-01,1.660627E-01,1.209515E-01,8.567595E-02,5.905863E-02,3.962506E-02,2.587137E-02,1.642368E-02,1.012228E-02,6.043222E-03,3.482830E-03,1.928149E-03,1.018399E-03,5.086102E-04,2.374788E-04,1.022496E-04,4.001246E-05,1.383966E-05,4.158755E-06
22.92712,40.64475,0.00000,9.187872E-01,8.896511E-01,8.512749E-01,8.028831E-01,7.444409E-01,6.767732E-01,6.016297E-01,5.216385E-01,4.401214E-01,3.607508E-01,2.869926E-01,2.215638E-01,1.660738E-01,1.209606E-01,8.568302E-02,5.906390E-02,3.962895E-02,2.587428E-02,1.642595E-02,1.012417E-02,6.044807E-03,3.484159E-03,1.929212E-03,1.019205E-03,5.091832E-04,2.378490E-04,1.024644E-04,4.012538E-05,1.389081E-05,4.179228E-06
22.92732,40.64465,0.00000,9.187907E-01,8.896561E-01,8.512814E-01,8.028913E-01,7.444505E-01,6.767845E-01,6.016421E-01,5.216520E-01,4.401355E-01,3.607649E-01,2.870063E-01,2.215760E-01,1.660844E-01,1.209691E-01,8.568969E-02,5.906894E-02,3.963263E-02,2.587705E-02,1.642811E-02,1.012595E-02,6.046301E-03,3.485413E-03,1.930217E-03,1.019967E-03,5.097254E-04,2.382002E-04,1.026686E-04,4.023303E-05,1.393970E-05,4.198757E-06
22.92752,40.64454,0.00000,9.187929E-01,8.896593E-01,8.512856E-01,8.028964E-01,7.444569E-01,6.767916E-01,6.016505E-01,5.216616E-01,4.401462E-01,3.607764E-01,2.870179E-01,2.215872E-01,1.660944E-01,1.209775E-01,8.569632E-02,5.907392E-02,3.963636E-02,2.587985E-02,1.643032E-02,1.012777E-02,6.047845E-03,3.486710E-03,1.931260E-03,1.020758E-03,5.102871E-04,2.385635E-04,1.028803E-04,4.034396E-05,1.399000E-05,4.218771E-06
22.92772,40.64443,0.00000,9.187970E-01,8.896647E-01,8.512928E-01,8.029054E-01,7.444673E-01,6.768038E-01,6.016639E-01,5.216761E-01,4.401611E-01,3.607912E-01,2.870319E-01,2.215999E-01,1.661052E-01,1.209863E-01,8.570309E-02,5.907901E-02,3.964009E-02,2.588263E-02,1.643252E-02,1.012960E-02,6.049396E-03,3.488015E-03,1.932311E-03,1.021553E-03,5.108535E-04,2.389296E-04,1.030940E-04,4.045582E-05,1.404080E-05,4.238965E-06
22.92792,40.64433,0.00000,9.190385E-01,8.899029E-01,8.515228E-01,8.031218E-01,7.446641E-01,6.769757E-01,6.018075E-01,5.217902E-01,4.402478E-01,3.608544E-01,2.870760E-01,2.216300E-01,1.661253E-01,1.209997E-01,8.571202E-02,5.908496E-02,3.964418E-02,2.588555E-02,1.643473E-02,1.013140E-02,6.050916E-03,3.489288E-03,1.933337E-03,1.022332E-03,5.114082E-04,2.392888E-04,1.033045E-04,4.056629E-05,1.409134E-05,4.259035E-06
