lon,lat,depth,poe-0.5000000,poe-0.5544126,poe-0.6147467,poe-0.6816467,poe-0.7558270,poe-0.8380801,poe-0.9292844,poe-1.0304139,poe-1.1425490,poe-1.2668872,poe-1.4047565,poe-1.5576294,poe-1.7271388,poe-1.9150951,poe-2.1235058,poe-2.3545968,poe-2.6108364,poe-2.8949613,poe-3.2100061,poe-3.5593358,poe-3.9466814,poe-4.3761800,poe-4.8524188,poe-5.3804844,poe-5.9660170,poe-6.6152702,poe-7.3351786,poe-8.1334311,poe-9.0185537,poe-10.0000000
22.92611,40.64528,0.00000,3.632184E-01,3.374856E-01,3.124050E-01,2.880782E-01,2.645972E-01,2.420502E-01,2.205144E-01,2.000545E-01,1.807233E-01,1.625584E-01,1.455874E-01,1.298203E-01,1.152568E-01,1.018804E-01,8.966289E-02,7.856759E-02,6.854715E-02,5.954754E-02,5.150814E-02,4.436440E-02,3.805047E-02,3.249896E-02,2.764107E-02,2.341229E-02,1.974902E-02,1.659044E-02,1.388049E-02,1.156586E-02,9.598021E-03,7.932660E-03
22.92631,40.64517,0.00000,3.632295E-01,3.374963E-01,3.124157E-01,2.880886E-01,2.646073E-01,2.420599E-01,2.205236E-01,2.000633E-01,1.807316E-01,1.625662E-01,1.455948E-01,1.298272E-01,1.152632E-01,1.018863E-01,8.966836E-02,7.857267E-02,6.855184E-02,5.955185E-02,5.151213E-02,4.436807E-02,3.805381E-02,3.250205E-02,2.764389E-02,2.341490E-02,1.975141E-02,1.659261E-02,1.388246E-02,1.156766E-02,9.599645E-03,7.934133E-03
22.92651,40.64507,0.00000,3.632319E-01,3.374988E-01,3.124183E-01,2.880915E-01,2.646108E-01,2.420638E-01,2.205278E-01,2.000680E-01,1.807366E-01,1.625715E-01,1.456001E-01,1.298324E-01,1.152683E-01,1.018912E-01,8.967309E-02,7.857694E-02,6.855576E-02,5.955538E-02,5.151534E-02,4.437099E-02,3.805639E-02,3.250434E-02,2.764598E-02,2.341682E-02,1.975313E-02,1.659420E-02,1.388391E-02,1.156900E-02,9.600881E-03,7.935276E-03
22.92671,40.64496,0.00000,3.632419E-01,3.375088E-01,3.124280E-01,2.881010E-01,2.646201E-01,2.420728E-01,2.205365E-01,2.000763E-01,1.807446E-01,1.625790E-01,1.456072E-01,1.298391E-01,1.152745E-01,1.018970E-01,8.967847E-02,7.858194E-02,6.856037E-02,5.955964E-02,5.151924E-02,4.437464E-02,3.805975E-02,3.250743E-02,2.764883E-02,2.341944E-02,1.975553E-02,1.659639E-02,1.388590E-02,1.157081E-02,9.602522E-03,7.936757E-03
22.92691,40.64486,0.00000,3.632524E-01,3.375192E-01,3.124382E-01,2.881109E-01,2.646297E-01,2.420821E-01,2.205455E-01,2.000848E-01,1.807526E-01,1.625867E-01,1.456143E-01,1.298457E-01,1.152808E-01,1.019027E-01,8.968376E-02,7.858682E-02,6.856490E-02,5.956382E-02,5.152312E-02,4.437818E-02,3.806302E-02,3.251043E-02,2.765161E-02,2.342198E-02,1.975786E-02,1.659852E-02,1.388784E-02,1.157258E-02,9.604128E-03,7.938210E-03
22.92712,40.64475,0.00000,3.632637E-01,3.375302E-01,3.124492E-01,2.881216E-01,2.646400E-01,2.420921E-01,2.205550E-01,2.000940E-01,1.807612E-01,1.625947E-01,1.456219E-01,1.298528E-01,1.152874E-01,1.019088E-01,8.968942E-02,7.859206E-02,6.856976E-02,5.956827E-02,5.152722E-02,4.438199E-02,3.806652E-02,3.251365E-02,2.765456E-02,2.342470E-02,1.976035E-02,1.660081E-02,1.388991E-02,1.157447E-02,9.605839E-03,7.939762E-03
22.92732,40.64465,0.00000,3.632742E-01,3.375406E-01,3.124592E-01,2.881315E-01,2.646497E-01,2.421014E-01,2.205639E-01,2.001024E-01,1.807693E-01,1.626023E-01,1.456290E-01,1.298595E-01,1.152935E-01,1.019146E-01,8.969470E-02,7.859696E-02,6.857428E-02,5.957245E-02,5.153108E-02,4.438554E-02,3.806981E-02,3.251668E-02,2.765735E-02,2.342726E-02,1.976270E-02,1.660295E-02,1.389186E-02,1.157625E-02,9.607456E-03,7.941224E-03
22.92752,40.64454,0.00000,3.632764E-01,3.375428E-01,3.124615E-01,2.881338E-01,2.646521E-01,2.421039E-01,2.205664E-01,2.001051E-01,1.807720E-01,1.626052E-01,1.456319E-01,1.298625E-01,1.152966E-01,1.019177E-01,8.969784E-02,7.860006E-02,6.857736E-02,5.957551E-02,5.153407E-02,4.438844E-02,3.807259E-02,3.251936E-02,2.765989E-02,2.342966E-02,1.976495E-02,1.660505E-02,1.389380E-02,1.157804E-02,9.609086E-03,7.942707E-03
22.92772,40.64443,0.00000,3.632874E-01,3.375537E-01,3.124722E-01,2.881443E-01,2.646621E-01,2.421135E-01,2.205757E-01,2.001139E-01,1.807804E-01,1.626130E-01,1.456393E-01,1.298694E-01,1.153030E-01,1.019236E-01,8.970330E-02,7.860512E-02,6.858206E-02,5.957980E-02,5.153803E-02,4.439211E-02,3.807597E-02,3.252249E-02,2.766278E-02,2.343231E-02,1.976738E-02,1.660728E-02,1.389582E-02,1.157989E-02,9.610760E-03,7.944222E-03
22.92792,40.64433,0.00000,3.634320E-01,3.376858E-01,3.125924E-01,2.882530E-01,2.647600E-01,2.422011E-01,2.206536E-01,2.001830E-01,1.808413E-01,1.626665E-01,1.456860E-01,1.299101E-01,1.153384E-01,1.019542E-01,8.972971E-02,7.862788E-02,6.860159E-02,5.959655E-02,5.155240E-02,4.440439E-02,3.808646E-02,3.253142E-02,2.767039E-02,2.343882E-02,1.977291E-02,1.661198E-02,1.389982E-02,1.158328E-02,9.613646E-03,7.946673E-03
22.92812,40.64422,0.00000,3.647142E-01,3.388732E-01,3.136845E-01,2.892506E-01,2.656651E-01,2.430171E-01,2.213846E-01,2.008335E-01,1.814168E-01,1.631724E-01,1.461284E-01,1.302946E-01,1.156707E-01,1.022400E-01,8.997406E-02,7.883577E-02,6.877758E-02,5.974475E-02,5.167657E-02,4.450786E-02,3.817224E-02,3.260217E-02,2.772840E-02,2.348611E-02,1.981124E-02,1.664285E-02,1.392453E-02,1.160295E-02,9.629188E-03,7.958887E-03
22.92833,40.64412,0.00000,3.649458E-01,3.390940E-01,3.138936E-01,2.894473E-01,2.658488E-01,2.431874E-01,2.215412E-01,2.009769E-01,1.815470E-01,1.632901E-01,1.462340E-01,1.303889E-01,1.157544E-01,1.023138E-01,9.003900E-02,7.889250E-02,6.882698E-02,5.978751E-02,5.171344E-02,4.453953E-02,3.819929E-02,3.262516E-02,2.774790E-02,2.350255E-02,1.982504E-02,1.665438E-02,1.393412E-02,1.161090E-02,9.635750E-03,7.964289E-03
22.92853,40.64401,0.00000,3.649569E-01,3.391052E-01,3.139046E-01,2.894579E-01,2.658590E-01,2.431972E-01,2.215507E-01,2.009858E-01,1.815556E-01,1.632980E-01,1.462415E-01,1.303958E-01,1.157609E-01,1.023198E-01,9.004455E-02,7.889763E-02,6.883170E-02,5.979188E-02,5.171748E-02,4.454325E-02,3.820274E-02,3.262834E-02,2.775082E-02,2.350524E-02,1.982751E-02,1.665664E-02,1.393618E-02,1.161278E-02,9.637458E-03,7.965832E-03
22.92873,40.64391,0.00000,3.649677E-01,3.391159E-01,3.139150E-01,2.894680E-01,2.658688E-01,2.432068E-01,2.215599E-01,2.009945E-01,1.815637E-01,1.633058E-01,1.462487E-01,1.304026E-01,1.157671E-01,1.023257E-01,9.004991E-02,7.890261E-02,6.883630E-02,5.979611E-02,5.172140E-02,4.454687E-02,3.820609E-02,3.263142E-02,2.775365E-02,2.350786E-02,1.982992E-02,1.665885E-02,1.393818E-02,1.161461E-02,9.639123E-03,7.967342E-03
22.92893,40.64380,0.00000,3.650271E-01,3.391727E-01,3.139691E-01,2.895190E-01,2.659163E-01,2.432507E-01,2.216000E-01,2.010309E-01,1.815965E-01,1.633349E-01,1.462744E-01,1.304250E-01,1.157866E-01,1.023424E-01,9.006423E-02,7.891477E-02,6.884664E-02,5.980487E-02,5.172881E-02,4.455316E-02,3.821143E-02,3.263601E-02,2.775760E-02,2.351127E-02,1.983290E-02,1.666146E-02,1.394048E-02,1.161665E-02,9.640932E-03,7.968955E-03
22.92913,40.64370,0.00000,3.650379E-01,3.391834E-01,3.139795E-01,2.895292E-01,2.659262E-01,2.432603E-01,2.216092E-01,2.010396E-01,1.816047E-01,1.633426E-01,1.462816E-01,1.304318E-01,1.157929E-01,1.023482E-01,9.006960E-02,7.891974E-02,6.885123E-02,5.980914E-02,5.173272E-02,4.455677E-02,3.821477E-02,3.263911E-02,2.776045E-02,2.351390E-02,1.983531E-02,1.666367E-02,1.394250E-02,1.161849E-02,9.642608E-03,7.970477E-03
22.92933,40.64359,0.00000,3.650492E-01,3.391945E-01,3.139904E-01,2.895398E-01,2.659366E-01,2.432702E-01,2.216186E-01,2.010486E-01,1.816131E-01,1.633506E-01,1.462891E-01,1.304388E-01,1.157993E-01,1.023542E-01,9.007515E-02,7.892490E-02,6.885600E-02,5.981347E-02,5.173679E-02,4.456051E-02,3.821823E-02,3.264229E-02,2.776339E-02,2.351662E-02,1.983781E-02,1.666596E-02,1.394459E-02,1.162040E-02,9.644341E-03,7.972045E-03
22.92953,40.64349,0.00000,3.650599E-01,3.392051E-01,3.140008E-01,2.895499E-01,2.659464E-01,2.432796E-01,2.216277E-01,2.010572E-01,1.816213E-01,1.633583E-01,1.462963E-01,1.304455E-01,1.158056E-01,1.023600E-01,9.008053E-02,7.892986E-02,6.886061E-02,5.981772E-02,5.174072E-02,4.456415E-02,3.822157E-02,3.264539E-02,2.776626E-02,2.351926E-02,1.984024E-02,1.666819E-02,1.394662E-02,1.162226E-02,9.646031E-03,7.973581E-03
22.92974,40.64338,0.00000,3.650640E-01,3.392088E-01,3.140042E-01,2.895529E-01,2.659490E-01,2.432819E-01,2.216295E-01,2.010587E-01,1.816225E-01,1.633592E-01,1.462969E-01,1.304460E-01,1.158060E-01,1.023602E-01,9.008078E-02,7.893011E-02,6.886090E-02,5.981815E-02,5.174125E-02,4.456482E-02,3.822239E-02,3.264632E-02,2.776729E-02,2.352040E-02,1.984144E-02,1.666944E-02,1.394790E-02,1.162353E-02,9.647276E-03,7.974791E-03
