lon,lat,PGV,PGA
22.92611,40.64528,1.000000E+01,7.345123E-01
22.92631,40.64517,1.000000E+01,7.348554E-01
22.92651,40.64507,1.000000E+01,7.351916E-01
22.92671,40.64496,1.000000E+01,7.355400E-01
22.92691,40.64486,1.000000E+01,7.358813E-01
22.92712,40.64475,1.000000E+01,7.362476E-01
22.92732,40.64465,1.000000E+01,7.365945E-01
22.92752,40.64454,1.000000E+01,7.369537E-01
22.92772,40.64443,1.000000E+01,7.373160E-01
22.92792,40.64433,1.000000E+01,7.376713E-01
22.92812,40.64422,1.000000E+01,7.380392E-01
22.92833,40.64412,1.000000E+01,7.384133E-01
22.92853,40.64401,1.000000E+01,7.387874E-01
22.92873,40.64391,1.000000E+01,7.391542E-01
22.92893,40.64380,1.000000E+01,7.395341E-01
22.92913,40.64370,1.000000E+01,7.399070E-01
22.92933,40.64359,1.000000E+01,7.402928E-01
22.92953,40.64349,1.000000E+01,7.406713E-01
22.92974,40.64338,1.000000E+01,7.410769E-01
22.92994,40.64328,1.000000E+01,7.414610E-01
22.93014,40.64317,1.000000E+01,7.418584E-01
22.93034,40.64307,1.000000E+01,7.422485E-01
22.93054,40.64296,1.000000E+01,7.426518E-01
22.93074,40.64286,1.000000E+01,7.430476E-01
22.93094,40.64275,1.000000E+01,7.434567E-01
22.93115,40.64265,1.000000E+01,7.438732E-01
22.93135,40.64254,1.000000E+01,7.442884E-01
22.93155,40.64244,1.000000E+01,7.446958E-01
22.93175,40.64233,1.000000E+01,7.451171E-01
22.93195,40.64222,1.000000E+01,7.455415E-01
22.93215,40.64212,1.000000E+01,7.459580E-01
22.93235,40.64201,1.000000E+01,7.463883E-01
22.93256,40.64191,1.000000E+01,7.468265E-01
22.93276,40.64180,1.000000E+01,7.472630E-01
22.93296,40.64170,1.000000E+01,7.476914E-01
22.93316,40.64159,1.000000E+01,7.556888E-01
22.93336,40.64149,1.000000E+01,7.442947E-01
22.93356,40.64139,1.000000E+01,7.447289E-01
22.93377,40.64128,1.000000E+01,7.451936E-01
22.93397,40.64118,1.000000E+01,7.456337E-01
22.93417,40.64107,1.000000E+01,7.460881E-01
22.93437,40.64097,1.000000E+01,7.465341E-01
22.93457,40.64086,1.000000E+01,7.469944E-01
22.93477,40.64076,1.000000E+01,7.474463E-01
22.93497,40.64065,1.000000E+01,7.479125E-01
22.93518,40.64055,1.000000E+01,7.483872E-01
22.93538,40.64044,1.000000E+01,7.488596E-01
22.93558,40.64034,1.000000E+01,7.493238E-01
22.93578,40.64023,1.000000E+01,7.498032E-01
22.93598,40.64013,1.000000E+01,7.502736E-01
22.93618,40.64002,1.000000E+01,7.507588E-01
22.93639,40.63992,1.000000E+01,7.512531E-01
22.93659,40.63981,1.000000E+01,7.517443E-01
22.93679,40.63971,1.000000E+01,7.522265E-01
22.93699,40.63960,1.000000E+01,7.527239E-01
22.93719,40.63950,1.000000E+01,7.532124E-01
22.93739,40.63939,1.000000E+01,7.537159E-01
22.93759,40.63928,1.000000E+01,7.542227E-01
22.93780,40.63918,1.000000E+01,7.547390E-01
22.93800,40.63907,1.000000E+01,7.552521E-01
22.93820,40.63897,1.000000E+01,7.557554E-01
22.93840,40.63886,1.000000E+01,7.562740E-01
22.93860,40.63876,1.000000E+01,7.567831E-01
22.93880,40.63865,1.000000E+01,7.573081E-01
22.93900,40.63855,1.000000E+01,7.578236E-01
22.93921,40.63844,1.000000E+01,7.583742E-01
22.93941,40.63834,1.000000E+01,7.588950E-01
22.93961,40.63823,1.000000E+01,7.594314E-01
22.93981,40.63813,1.000000E+01,7.599581E-01
