lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92611,40.64528,1.000000E+01,1.000000E+01,9.954284E+00,7.345123E-01,3.926684E-01,1.712105E-01
22.92631,40.64517,1.000000E+01,1.000000E+01,9.955281E+00,7.348554E-01,3.927739E-01,1.712314E-01
22.92651,40.64507,1.000000E+01,1.000000E+01,9.956055E+00,7.351916E-01,3.928768E-01,1.712522E-01
22.92671,40.64496,1.000000E+01,1.000000E+01,9.957060E+00,7.355400E-01,3.929837E-01,1.712733E-01
22.92691,40.64486,1.000000E+01,1.000000E+01,9.958043E+00,7.358813E-01,3.930882E-01,1.712939E-01
22.92712,40.64475,1.000000E+01,1.000000E+01,9.959095E+00,7.362476E-01,3.932001E-01,1.713159E-01
22.92732,40.64465,1.000000E+01,1.000000E+01,9.960086E+00,7.365945E-01,3.933058E-01,1.713367E-01
22.92752,40.64454,1.000000E+01,1.000000E+01,9.961092E+00,7.369537E-01,3.934157E-01,1.713580E-01
22.92772,40.64443,1.000000E+01,1.000000E+01,9.962119E+00,7.373160E-01,3.935263E-01,1.713795E-01
22.92792,40.64433,1.000000E+01,1.000000E+01,9.963785E+00,7.376713E-01,3.936345E-01,1.714006E-01
22.92812,40.64422,1.000000E+01,1.000000E+01,9.972101E+00,7.380392E-01,3.937467E-01,1.714226E-01
22.92833,40.64412,1.000000E+01,1.000000E+01,9.975771E+00,7.384133E-01,3.938603E-01,1.714451E-01
22.92853,40.64401,1.000000E+01,1.000000E+01,9.976816E+00,7.387874E-01,3.939739E-01,1.714669E-01
22.92873,40.64391,1.000000E+01,1.000000E+01,9.977839E+00,7.391542E-01,3.940850E-01,1.714882E-01
22.92893,40.64380,1.000000E+01,1.000000E+01,9.978934E+00,7.395341E-01,3.942001E-01,1.715101E-01
22.92913,40.64370,1.000000E+01,1.000000E+01,9.979964E+00,7.399070E-01,3.943126E-01,1.715316E-01
22.92933,40.64359,1.000000E+01,1.000000E+01,9.981029E+00,7.402928E-01,3.944293E-01,1.715537E-01
22.92953,40.64349,1.000000E+01,1.000000E+01,9.982070E+00,7.406713E-01,3.945433E-01,1.715752E-01
22.92974,40.64338,1.000000E+01,1.000000E+01,9.982889E+00,7.410769E-01,3.946655E-01,1.715983E-01
22.92994,40.64328,1.000000E+01,1.000000E+01,9.983939E+00,7.414610E-01,3.947812E-01,1.716201E-01
22.93014,40.64317,1.000000E+01,1.000000E+01,9.985021E+00,7.418584E-01,3.949011E-01,1.716424E-01
22.93034,40.64307,1.000000E+01,1.000000E+01,9.986076E+00,7.422485E-01,3.950184E-01,1.716643E-01
22.93054,40.64296,1.000000E+01,1.000000E+01,9.987165E+00,7.426518E-01,3.951397E-01,1.716869E-01
22.93074,40.64286,1.000000E+01,1.000000E+01,9.988235E+00,7.430476E-01,3.952585E-01,1.717089E-01
22.93094,40.64275,1.000000E+01,1.000000E+01,9.989332E+00,7.434567E-01,3.953814E-01,1.717316E-01
22.93115,40.64265,1.000000E+01,1.000000E+01,9.990449E+00,7.438732E-01,3.955059E-01,1.717546E-01
22.93135,40.64254,1.000000E+01,1.000000E+01,9.991593E+00,7.442884E-01,3.956302E-01,1.717770E-01
22.93155,40.64244,1.000000E+01,1.000000E+01,9.992698E+00,7.446958E-01,3.957517E-01,1.717989E-01
22.93175,40.64233,1.000000E+01,1.000000E+01,9.994809E+00,7.451171E-01,3.958777E-01,1.718219E-01
