lon,lat,depth,poe-0.0005000,poe-0.0006749,poe-0.0009110,poe-0.0012297,poe-0.0016599,poe-0.0022407,poe-0.0030245,poe-0.0040826,poe-0.0055109,poe-0.0074387,poe-0.0100411,poe-0.0135538,poe-0.0182954,poe-0.0246959,poe-0.0333354,poe-0.0449973,poe-0.0607389,poe-0.0819876,poe-0.1106699,poe-0.1493862,poe-0.2016469,poe-0.2721903,poe-0.3674123,poe-0.4959465,poe-0.6694465,poe-0.9036431,poe-1.2197702,poe-1.6464900,poe-2.2224919,poe-3.0000000
22.92611,40.64528,0.00000,9.202925E-01,8.916056E-01,8.524970E-01,8.031749E-01,7.487484E-01,6.808244E-01,6.008182E-01,5.231165E-01,4.431690E-01,3.619218E-01,2.839572E-01,2.161258E-01,1.587723E-01,1.135144E-01,7.928456E-02,5.410009E-02,3.627313E-02,2.410239E-02,1.530889E-02,9.372323E-03,5.547517E-03,3.107996E-03,1.449262E-03,6.172756E-04,2.447722E-04,8.567260E-05,2.456839E-05,5.981919E-06,7.485964E-07,0.000000E+00
22.92631,40.64517,0.00000,9.202964E-01,8.916116E-01,8.525051E-01,8.031816E-01,7.487566E-01,6.808391E-01,6.008356E-01,5.231349E-01,4.431877E-01,3.619393E-01,2.839704E-01,2.161379E-01,1.587831E-01,1.135231E-01,7.929062E-02,5.410422E-02,3.627571E-02,2.410457E-02,1.531106E-02,9.374565E-03,5.549638E-03,3.108558E-03,1.449513E-03,6.173625E-04,2.454754E-04,8.567038E-05,2.469357E-05,6.025360E-06,7.608552E-07,0.000000E+00
22.92651,40.64507,0.00000,9.202406E-01,8.915349E-01,8.524146E-01,8.031874E-01,7.487637E-01,6.807978E-01,6.008328E-01,5.231487E-01,4.432104E-01,3.619590E-01,2.839824E-01,2.161491E-01,1.588065E-01,1.135314E-01,7.930709E-02,5.411194E-02,3.628104E-02,2.410753E-02,1.531339E-02,9.376628E-03,5.551636E-03,3.109129E-03,1.449770E-03,6.174539E-04,2.461724E-04,8.567004E-05,2.481850E-05,6.068497E-06,7.735242E-07,0.000000E+00
22.92671,40.64496,0.00000,9.202445E-01,8.915403E-01,8.524227E-01,8.031942E-01,7.487717E-01,6.808117E-01,6.008465E-01,5.231648E-01,4.432277E-01,3.619761E-01,2.839954E-01,2.161610E-01,1.588166E-01,1.135401E-01,7.931297E-02,5.411711E-02,3.628374E-02,2.410967E-02,1.531562E-02,9.378873E-03,5.553784E-03,3.109697E-03,1.450024E-03,6.175421E-04,2.464219E-04,8.566827E-05,2.494569E-05,6.112775E-06,7.864213E-07,0.000000E+00
22.92691,40.64486,0.00000,9.202481E-01,8.915461E-01,8.524300E-01,8.032001E-01,7.487788E-01,6.808251E-01,6.008633E-01,5.231828E-01,4.432463E-01,3.619929E-01,2.840075E-01,2.161723E-01,1.588280E-01,1.135483E-01,7.931902E-02,5.412179E-02,3.628651E-02,2.411184E-02,1.531776E-02,9.381031E-03,5.555817E-03,3.110271E-03,1.450283E-03,6.176353E-04,2.464409E-04,8.566845E-05,2.507261E-05,6.156737E-06,7.994273E-07,0.000000E+00
22.92712,40.64475,0.00000,9.202521E-01,8.915519E-01,8.524383E-01,8.032066E-01,7.487867E-01,6.808400E-01,6.008809E-01,5.232012E-01,4.432656E-01,3.620109E-01,2.840205E-01,2.161843E-01,1.588405E-01,1.135572E-01,7.932533E-02,5.412611E-02,3.628943E-02,2.411413E-02,1.532004E-02,9.383349E-03,5.558035E-03,3.110875E-03,1.450556E-03,6.177322E-04,2.464604E-04,8.566811E-05,2.520760E-05,6.203717E-06,8.132153E-07,0.000000E+00
22.92732,40.64465,0.00000,9.202558E-01,8.915574E-01,8.524461E-01,8.032124E-01,7.487937E-01,6.808543E-01,6.008969E-01,5.232189E-01,4.432840E-01,3.620282E-01,2.840327E-01,2.161956E-01,1.588522E-01,1.135654E-01,7.933138E-02,5.413037E-02,3.629218E-02,2.411630E-02,1.532222E-02,9.385517E-03,5.560085E-03,3.111458E-03,1.450820E-03,6.178279E-04,2.464812E-04,8.566881E-05,2.533698E-05,6.248578E-06,8.264599E-07,0.000000E+00
22.92752,40.64454,0.00000,9.202585E-01,8.915616E-01,8.524520E-01,8.032191E-01,7.488018E-01,6.808596E-01,6.008965E-01,5.232207E-01,4.432886E-01,3.620371E-01,2.840459E-01,2.162075E-01,1.588629E-01,1.135741E-01,7.933724E-02,5.413431E-02,3.629485E-02,2.411851E-02,1.532444E-02,9.387842E-03,5.562288E-03,3.112040E-03,1.451078E-03,6.179206E-04,2.464991E-04,8.566814E-05,2.546872E-05,6.294632E-06,8.398417E-07,0.000000E+00
22.92772,40.64443,0.00000,9.202627E-01,8.915675E-01,8.524601E-01,8.032259E-01,7.488101E-01,6.808745E-01,6.009133E-01,5.232390E-01,4.433078E-01,3.620543E-01,2.840587E-01,2.162197E-01,1.588750E-01,1.135828E-01,7.934302E-02,5.413843E-02,3.629754E-02,2.412063E-02,1.532665E-02,9.390114E-03,5.564511E-03,3.112622E-03,1.451338E-03,6.180137E-04,2.465178E-04,8.566763E-05,2.560210E-05,6.341122E-06,8.533458E-07,0.000000E+00
22.92792,40.64433,0.00000,9.202662E-01,8.915730E-01,8.524676E-01,8.071530E-01,7.493904E-01,6.808879E-01,6.009294E-01,5.232561E-01,4.433258E-01,3.620712E-01,2.840708E-01,2.162310E-01,1.588867E-01,1.135911E-01,7.934905E-02,5.414255E-02,3.630031E-02,2.412281E-02,1.532887E-02,9.392346E-03,5.566614E-03,3.113207E-03,1.451604E-03,6.181126E-04,2.465401E-04,8.566928E-05,2.573515E-05,6.387259E-06,8.691927E-07,0.000000E+00
22.92812,40.64422,0.00000,9.202701E-01,8.915789E-01,8.524757E-01,8.071606E-01,7.494032E-01,6.809028E-01,6.024116E-01,5.232747E-01,4.433448E-01,3.620881E-01,2.846622E-01,2.165680E-01,1.588983E-01,1.136848E-01,7.935487E-02,5.414671E-02,3.630304E-02,2.412500E-02,1.533113E-02,9.394659E-03,5.568864E-03,3.113791E-03,1.451867E-03,6.182072E-04,2.465623E-04,8.566989E-05,2.587142E-05,6.434619E-06,8.855836E-07,0.000000E+00
22.92833,40.64412,0.00000,9.202738E-01,8.915834E-01,8.524823E-01,8.071671E-01,7.494134E-01,6.809145E-01,6.024221E-01,5.232855E-01,4.433577E-01,3.621039E-01,2.846746E-01,2.165789E-01,1.589107E-01,1.136934E-01,7.936117E-02,5.415101E-02,3.630593E-02,2.412730E-02,1.533338E-02,9.396929E-03,5.571042E-03,3.114414E-03,1.452151E-03,6.183151E-04,2.465954E-04,8.584481E-05,2.601353E-05,6.483569E-06,9.027779E-07,0.000000E+00
22.92853,40.64401,0.00000,9.202777E-01,8.915894E-01,8.524906E-01,8.071748E-01,7.494259E-01,6.809290E-01,6.024346E-01,5.233035E-01,4.433763E-01,3.621216E-01,2.846880E-01,2.165911E-01,1.589226E-01,1.137021E-01,7.936712E-02,5.415509E-02,3.630866E-02,2.412947E-02,1.533565E-02,9.399283E-03,5.573324E-03,3.115003E-03,1.452416E-03,6.184113E-04,2.466252E-04,8.617221E-05,2.611743E-05,6.531825E-06,9.194867E-07,0.000000E+00
22.92873,40.64391,0.00000,9.202814E-01,8.915949E-01,8.524985E-01,8.071814E-01,7.494377E-01,6.809429E-01,6.024460E-01,5.233224E-01,4.433948E-01,3.621385E-01,2.847004E-01,2.166027E-01,1.589343E-01,1.137104E-01,7.937308E-02,5.415907E-02,3.631138E-02,2.413161E-02,1.533786E-02,9.401532E-03,5.575472E-03,3.115598E-03,1.452688E-03,6.185133E-04,2.466583E-04,8.649649E-05,2.611464E-05,6.579700E-06,9.362265E-07,0.000000E+00
